GENE_ID	locusLine	bin_1_13_0EWZ_0229Kronos_MM1S-KB-1hr-1_H3K27Ac_hs-dm_i22.bam
1_MACS_peak_1_lociStitched	chr1(.):9873-10671	4.1522
1_MACS_peak_2_lociStitched	chr1(.):28320-30312	3.9782
1_MACS_peak_3_lociStitched	chr1(.):713137-715422	2.7935
1_MACS_peak_4_lociStitched	chr1(.):761692-763944	2.5343
1_MACS_peak_5_lociStitched	chr1(.):793204-794101	0.4427
1_MACS_peak_6_lociStitched	chr1(.):879216-880623	0.8841
3_MACS_peak_7_lociStitched	chr1(.):893711-902951	0.5879
1_MACS_peak_10_lociStitched	chr1(.):948186-949500	0.8144
1_MACS_peak_11_lociStitched	chr1(.):998992-999921	0.5019
1_MACS_peak_12_lociStitched	chr1(.):1051120-1052344	0.8226
1_MACS_peak_13_lociStitched	chr1(.):1079314-1080188	0.4272
1_MACS_peak_14_lociStitched	chr1(.):1092834-1094058	0.7315
1_MACS_peak_15_lociStitched	chr1(.):1165976-1167857	2.4403
1_MACS_peak_16_lociStitched	chr1(.):1185127-1185891	0.8328
1_MACS_peak_17_lociStitched	chr1(.):1207654-1210143	1.5459
1_MACS_peak_18_lociStitched	chr1(.):1242311-1245240	2.2597
1_MACS_peak_19_lociStitched	chr1(.):1259368-1261842	2.2552
2_MACS_peak_20_lociStitched	chr1(.):1283532-1285683	0.9805
1_MACS_peak_22_lociStitched	chr1(.):1309477-1311771	2.7887
2_MACS_peak_23_lociStitched	chr1(.):1333274-1343710	1.2376
1_MACS_peak_25_lociStitched	chr1(.):1396721-1398979	2.1803
1_MACS_peak_26_lociStitched	chr1(.):1405885-1408625	1.8006
2_MACS_peak_27_lociStitched	chr1(.):1439836-1449054	1.5265
1_MACS_peak_29_lociStitched	chr1(.):1509033-1511219	3.3233
2_MACS_peak_30_lociStitched	chr1(.):1544937-1552336	1.062
1_MACS_peak_32_lociStitched	chr1(.):1589396-1591676	3.6387
2_MACS_peak_33_lociStitched	chr1(.):1606110-1611139	2.2102
1_MACS_peak_35_lociStitched	chr1(.):1622565-1625728	7.763
1_MACS_peak_36_lociStitched	chr1(.):1654847-1656924	2.9647
2_MACS_peak_37_lociStitched	chr1(.):1668924-1678983	2.9738
2_MACS_peak_39_lociStitched	chr1(.):1708695-1714953	3.5534
1_MACS_peak_41_lociStitched	chr1(.):1754953-1756253	0.6152
1_MACS_peak_42_lociStitched	chr1(.):1772339-1775218	0.8134
2_MACS_peak_43_lociStitched	chr1(.):1821067-1829589	0.6429
1_MACS_peak_45_lociStitched	chr1(.):1837887-1841322	0.9903
2_MACS_peak_46_lociStitched	chr1(.):2120466-2127264	0.37
1_MACS_peak_48_lociStitched	chr1(.):2158429-2159376	1.0527
1_MACS_peak_49_lociStitched	chr1(.):2186160-2188554	1.7282
1_MACS_peak_50_lociStitched	chr1(.):2221113-2223394	2.6714
1_MACS_peak_51_lociStitched	chr1(.):2230836-2233645	5.7169
1_MACS_peak_52_lociStitched	chr1(.):2321943-2324403	1.8222
1_MACS_peak_53_lociStitched	chr1(.):2342802-2346278	2.471
1_MACS_peak_54_lociStitched	chr1(.):2456505-2458385	1.1933
2_MACS_peak_55_lociStitched	chr1(.):2476952-2489158	1.4837
1_MACS_peak_57_lociStitched	chr1(.):2516468-2518691	1.6992
1_MACS_peak_58_lociStitched	chr1(.):2573760-2574970	1.8865
2_MACS_peak_59_lociStitched	chr1(.):3540338-3547659	0.5686
2_MACS_peak_61_lociStitched	chr1(.):3565719-3570165	0.8026
1_MACS_peak_63_lociStitched	chr1(.):3589177-3590358	0.7081
1_MACS_peak_64_lociStitched	chr1(.):3711882-3713801	1.1184
1_MACS_peak_65_lociStitched	chr1(.):3772803-3774995	1.4411
1_MACS_peak_66_lociStitched	chr1(.):3815794-3818385	6.7105
1_MACS_peak_67_lociStitched	chr1(.):4066904-4068641	0.67
1_MACS_peak_68_lociStitched	chr1(.):4997767-4998534	0.4845
1_MACS_peak_69_lociStitched	chr1(.):6051186-6055494	2.3586
1_MACS_peak_70_lociStitched	chr1(.):6083840-6087261	2.3238
2_MACS_peak_71_lociStitched	chr1(.):6258552-6266744	0.7463
1_MACS_peak_73_lociStitched	chr1(.):6294524-6296728	1.7765
1_MACS_peak_74_lociStitched	chr1(.):6419330-6420658	0.6044
1_MACS_peak_75_lociStitched	chr1(.):6452253-6454753	2.0094
1_MACS_peak_76_lociStitched	chr1(.):6549876-6551575	1.19
1_MACS_peak_77_lociStitched	chr1(.):6613404-6615447	1.713
1_MACS_peak_78_lociStitched	chr1(.):6639478-6641320	1.2977
1_MACS_peak_79_lociStitched	chr1(.):6659966-6664795	3.3299
1_MACS_peak_80_lociStitched	chr1(.):6672484-6674981	1.569
