GENE_ID	locusLine	bin_1_21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02.bam
5_MACS_peak_1_lociStitched	chr1(.):30360-36748	0.8181
2_MACS_peak_6_lociStitched	chr1(.):39072-40067	0.5838
3_MACS_peak_8_lociStitched	chr1(.):87452-90476	0.8753
2_MACS_peak_11_lociStitched	chr1(.):92546-94463	0.5962
2_MACS_peak_13_lociStitched	chr1(.):132079-134160	0.549
1_MACS_peak_15_lociStitched	chr1(.):135716-135980	0.3654
3_MACS_peak_16_lociStitched	chr1(.):329768-331760	0.4872
1_MACS_peak_19_lociStitched	chr1(.):460818-461202	0.4936
1_MACS_peak_20_lociStitched	chr1(.):537096-537570	0.5723
1_MACS_peak_21_lociStitched	chr1(.):553845-554151	0.5256
2_MACS_peak_22_lociStitched	chr1(.):658497-659975	0.484
5_MACS_peak_24_lociStitched	chr1(.):798596-802867	0.8446
1_MACS_peak_29_lociStitched	chr1(.):804030-804481	0.917
2_MACS_peak_30_lociStitched	chr1(.):807904-809945	0.8286
1_MACS_peak_33_lociStitched	chr1(.):826071-826475	0.6938
6_MACS_peak_34_lociStitched	chr1(.):829265-843882	1.6127
2_MACS_peak_40_lociStitched	chr1(.):845363-879050	2.811
1_MACS_peak_42_lociStitched	chr1(.):894720-895546	0.8502
3_MACS_peak_43_lociStitched	chr1(.):908433-911208	0.9003
11_MACS_peak_46_lociStitched	chr1(.):913468-947400	1.8325
5_MACS_peak_57_lociStitched	chr1(.):949404-954244	0.9133
2_MACS_peak_62_lociStitched	chr1(.):955453-976287	2.0371
10_MACS_peak_64_lociStitched	chr1(.):977372-1016839	1.6625
3_MACS_peak_74_lociStitched	chr1(.):1052557-1072645	2.0677
1_MACS_peak_77_lociStitched	chr1(.):1074315-1074687	0.64
2_MACS_peak_78_lociStitched	chr1(.):1075906-1078755	1.2881
4_MACS_peak_80_lociStitched	chr1(.):1080052-1088017	1.2426
4_MACS_peak_84_lociStitched	chr1(.):1089994-1122391	2.1834
4_MACS_peak_88_lociStitched	chr1(.):1123783-1128638	1.0442
