#MM4_jia_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM4_jia_ROSE/MM4_jia_peaks_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MM4_jia.bam
#Using cutoff of 1535.7664 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM4_jia.bam	enhancerRank	isSuperStretch
5_MACS_peak_4226_lociStitched	chr17	43298930	43308933	5	9638	10781.2334	1	1
2_MACS_peak_4037_lociStitched	chr17	6915116	6920303	2	5173	8459.4783	2	1
5_MACS_peak_4722_lociStitched	chr18	60823556	60830591	5	6486	6376.524	3	1
5_MACS_peak_1948_lociStitched	chr11	65265625	65272862	5	6691	5909.7342	4	1
5_MACS_peak_1940_lociStitched	chr11	65188337	65195078	5	5796	6552.252	5	1
3_MACS_peak_5030_lociStitched	chr19	16434881	16439750	3	4580	5341.293	6	1
2_MACS_peak_4316_lociStitched	chr17	48942235	48945634	2	3248	5988.3582	7	1
3_MACS_peak_4352_lociStitched	chr17	55432697	55437162	3	4408	4913.7325	8	1
2_MACS_peak_4140_lociStitched	chr17	27275751	27279527	2	3566	5675.7056	9	1
6_MACS_peak_1117_lociStitched	chr1	234743410	234748508	6	4613	4004.9888	10	1
4_MACS_peak_4976_lociStitched	chr19	12900274	12905029	4	4429	4067.427	11	1
2_MACS_peak_8940_lociStitched	chr6	32936286	32940857	2	4281	4164.181	12	1
1_MACS_peak_4242_lociStitched	chr17	43660596	43663119	1	2524	5435.8035	13	1
4_MACS_peak_4990_lociStitched	chr19	13949748	13954162	4	4281	3769.1146	14	1
1_MACS_peak_4299_lociStitched	chr17	47752745	47755531	1	2787	4945.4286	15	1
2_MACS_peak_4222_lociStitched	chr17	43224294	43227601	2	3009	4579.2029	16	1
3_MACS_peak_10983_lociStitched	chrX	106957428	106961108	3	3532	4052.048	17	1
1_MACS_peak_10526_lociStitched	chr9	66455363	66459108	1	3746	3554.3795	18	1
1_MACS_peak_4128_lociStitched	chr17	26988335	26990230	1	1896	4982.1445	19	1
2_MACS_peak_4572_lociStitched	chr18	9135891	9138886	2	2929	3933.3335	20	1
4_MACS_peak_1180_lociStitched	chr10	3824742	3828414	4	3155	3494.6424	21	1
2_MACS_peak_4146_lociStitched	chr17	27619203	27622256	2	3014	3567.7358	22	1
1_MACS_peak_4131_lociStitched	chr17	27054053	27056357	1	2305	4042.368	23	1
3_MACS_peak_8597_lociStitched	chr5	172196471	172199590	3	2931	3496.7109	24	1
1_MACS_peak_4313_lociStitched	chr17	48784452	48786814	1	2363	3979.2614	25	1
2_MACS_peak_4246_lociStitched	chr17	44269132	44271927	2	2766	3614.7735	26	1
3_MACS_peak_8324_lociStitched	chr5	90675421	90678986	3	3101	3161.7985	27	1
1_MACS_peak_4111_lociStitched	chr17	25620400	25622556	1	2157	3921.3328	28	1
4_MACS_peak_8706_lociStitched	chr6	7907667	7911488	4	3020	3061.3852	29	1
5_MACS_peak_597_lociStitched	chr1	145437691	145441601	5	3224	2762.806	30	1
4_MACS_peak_10164_lociStitched	chr8	95959212	95962503	4	3136	2878.6377	31	1
2_MACS_peak_4321_lociStitched	chr17	49197140	49199647	2	2400	3624.3699	32	1
4_MACS_peak_9309_lociStitched	chr6	143265579	143269424	4	3034	2964.8795	33	1
3_MACS_peak_5066_lociStitched	chr19	18390160	18393443	3	2720	3176.3025	35	1
2_MACS_peak_4365_lociStitched	chr17	56413252	56416152	2	2867	2913.34	36	1
1_MACS_peak_4042_lociStitched	chr17	7144990	7147140	1	2151	3603.185	37	1
5_MACS_peak_8759_lociStitched	chr6	16759934	16763096	5	2964	2731.968	38	1
2_MACS_peak_7423_lociStitched	chr3	156876837	156879310	2	2352	3265.1019	39	1
3_MACS_peak_2181_lociStitched	chr11	115092243	115095169	3	2773	2809.5452	40	1
1_MACS_peak_962_lociStitched	chr1	203258291	203260941	1	2651	2913.94	41	1
2_MACS_peak_4121_lociStitched	chr17	26661181	26663487	2	2270	3289.2784	42	1
2_MACS_peak_5243_lociStitched	chr19	45970353	45973113	2	2719	2784.012	43	1
4_MACS_peak_659_lociStitched	chr1	150548967	150552750	4	2785	2667.7716	44	1
2_MACS_peak_10199_lociStitched	chr8	101963058	101965647	2	2505	2984.0814	45	1
4_MACS_peak_11028_lociStitched	chrX	123093529	123096954	4	2625	2829.735	46	1
4_MACS_peak_9845_lociStitched	chr7	130790379	130793427	4	2857	2503.6272	47	1
3_MACS_peak_9756_lociStitched	chr7	104652473	104655351	3	2543	2874.8342	48	1
2_MACS_peak_10402_lociStitched	chr9	3524899	3527531	2	2459	2938.1016	49	1
5_MACS_peak_7431_lociStitched	chr3	160116555	160119847	5	2741	2559.8592	50	1
1_MACS_peak_4994_lociStitched	chr19	13956940	13959007	1	2068	3237.9555	51	1
3_MACS_peak_1328_lociStitched	chr10	43902691	43905277	3	2507	2757.1932	52	1
4_MACS_peak_5936_lociStitched	chr2	157188538	157191612	4	2644	2519.143	53	1
3_MACS_peak_9488_lociStitched	chr7	26006339	26009015	3	2591	2543.2704	54	1
2_MACS_peak_10394_lociStitched	chr8	146125899	146128475	2	2430	2718.7104	55	1
2_MACS_peak_1558_lociStitched	chr10	104153593	104156139	2	2515	2580.371	56	1
3_MACS_peak_4013_lociStitched	chr17	4851219	4854086	3	2376	2708.4549	57	1
3_MACS_peak_548_lociStitched	chr1	118147829	118151182	3	2655	2352.8001	58	1
3_MACS_peak_5261_lociStitched	chr19	47615157	47617584	3	2204	2857.7925	59	1
4_MACS_peak_1184_lociStitched	chr10	3915460	3918421	4	2605	2375.9064	60	1
3_MACS_peak_361_lociStitched	chr1	59247935	59250773	3	2549	2440.3962	61	1
1_MACS_peak_628_lociStitched	chr1	149223071	149224980	1	1910	3043.3278	62	1
2_MACS_peak_4998_lociStitched	chr19	14116259	14118210	2	1925	3028.1471	63	1
3_MACS_peak_7382_lociStitched	chr3	150125284	150127820	3	2460	2490.6056	64	1
2_MACS_peak_9030_lociStitched	chr6	42749757	42751917	2	2091	2863.728	65	1
