GENE_ID	locusLine	bin_1_15_0EX1_0229Kronos_MM1S-KB-3hr-1_H3K27Ac_hs-dm_i25.bam
NM_001006605	chr1(.):93302720-93432079	0.3054
NM_001010935	chr1(.):112157404-112261101	0.1089
NR_002188	chr1(.):155178615-155202325	0.6532
NM_201569	chr1(.):183436505-183528328	0.4987
NM_004091	chr1(.):23827921-23862713	2.1096
NM_020448	chr1(.):24737244-24804473	0.1573
NM_173065	chr1(.):24475646-24518751	1.6914
NM_001048199	chr1(.):28827454-28870708	0.7202
NR_002909	chr1(.):28827454-28842404	1.5017
NM_002379	chr1(.):31179123-31201432	0.2042
NR_034182	chr1(.):31186618-31204593	0.2424
NM_174964	chr1(.):44168217-44401831	0.1844
NM_002600	chr1(.):66253855-66845262	0.2295
NM_001037341	chr1(.):66253192-66845262	0.2293
NM_001037340	chr1(.):66453389-66845262	0.3174
NM_024763	chr1(.):67273571-67395570	0.1236
NM_207014	chr1(.):67298281-67395570	0.1443
NM_001081976	chr1(.):112020969-112111597	0.1355
NM_198459	chr1(.):115122195-115217732	0.0963
NM_153713	chr1(.):145472084-145504091	0.2177
NM_207168	chr1(.):150594521-150607098	1.2365
NM_020699	chr1(.):153772202-153900451	0.2059
NM_020524	chr1(.):154911558-154933567	4.5198
NM_181359	chr1(.):154372668-154445188	1.3701
NM_005572	chr1(.):156079460-156112657	0.307
NM_005973	chr1(.):156732273-156775609	0.4858
NM_012394	chr1(.):161065345-161092866	0.4933
NM_007348	chr1(.):161731083-161933852	0.2097
NM_014412	chr1(.):174963891-174986163	1.6844
NM_001007214	chr1(.):174963570-174986163	1.6611
NM_025191	chr1(.):184654624-184729041	0.4961
NM_144977	chr1(.):197516384-197749623	0.2959
NM_001195215	chr1(.):197468878-197749623	0.2606
NM_014875	chr1(.):200515624-200594862	0.2439
NM_015375	chr1(.):205106630-205185727	0.214
NM_182663	chr1(.):206675878-206767616	0.9466
NM_001143962	chr1(.):223709971-223858436	0.0421
NM_002221	chr1(.):226814390-226931876	0.9527
NM_014675	chr1(.):17243444-17304474	0.1088
NM_017707	chr1(.):23750055-23815750	0.0599
NM_002167	chr1(.):23879408-23891322	0.4663
NM_021258	chr1(.):24441260-24474611	0.1163
NR_027087	chr1(.):24521729-24543180	0.5844
NM_001199013	chr1(.):24678488-24745262	0.3984
NM_001199012	chr1(.):24678488-24746587	0.3919
NM_015484	chr1(.):25543766-25564013	0.3936
NM_001127691	chr1(.):25593980-25661936	0.131
NM_020317	chr1(.):25563739-25578985	1.0415
NM_015627	chr1(.):25865075-25900377	1.0132
NM_017837	chr1(.):27109485-27129887	1.3049
NM_006015	chr1(.):27017521-27113601	0.8585
NM_018066	chr1(.):27200872-27221869	0.332
NM_032283	chr1(.):27148200-27187211	0.5475
NM_006142	chr1(.):27184632-27195947	2.2057
NR_024127	chr1(.):28900049-28913366	1.1345
NM_152304	chr1(.):28913711-28926088	0.5168
NM_001193532	chr1(.):28914006-28926088	0.5046
NR_003035	chr1(.):28902431-28912565	1.4196
NR_002987	chr1(.):28901275-28911405	1.4258
NR_003109	chr1(.):28874528-28910057	0.7114
NM_001269	chr1(.):28839744-28870708	0.3099
NR_002976	chr1(.):28901892-28912024	1.4195
NR_003077	chr1(.):28900254-28910334	1.4359
NM_006762	chr1(.):31200314-31235683	3.0203
NM_005202	chr1(.):36555843-36570850	0.0954
NM_018067	chr1(.):36616802-36651441	0.4804
NM_014408	chr1(.):36597172-36620067	0.5286
NM_022756	chr1(.):37953175-37985364	0.1857
NM_025079	chr1(.):37935118-37954978	1.335
NM_001038633	chr1(.):38071950-38105491	0.0597
NM_017850	chr1(.):38142241-38161192	0.8535
NM_018101	chr1(.):38153158-38180391	0.5165
NR_002983	chr1(.):40028045-40038182	1.3934
NR_003929	chr1(.):39982951-40030370	0.3794
NM_001135653	chr1(.):40021484-40047521	1.0126
NM_001198979	chr1(.):40854016-40893998	0.2005
NM_001198978	chr1(.):40835304-40893998	0.6534
NM_001198980	chr1(.):40857471-40893998	0.1076
NM_022733	chr1(.):40834377-40893998	0.6436
NM_001037339	chr1(.):66792792-66845262	0.7887
NM_001077702	chr1(.):67385577-67459302	0.2959
NM_001077704	chr1(.):67390925-67459302	0.247
NM_001001933	chr1(.):75589118-75632218	1.292
NM_006769	chr1(.):87789150-87819607	0.8946
NM_004974	chr1(.):111140775-111153345	0.0475
NM_002232	chr1(.):111209309-111222655	0.9199
NR_034126	chr1(.):112136628-112155940	1.1741
NM_007158	chr1(.):115254536-115305624	0.2092
NM_002524	chr1(.):115242077-115264515	0.5133
NM_001172626	chr1(.):115210719-115243239	0.4617
NM_001130523	chr1(.):115254537-115305671	0.2091
NM_001779	chr1(.):117052155-117118715	0.3436
NM_001144822	chr1(.):117056321-117118715	0.3535
NM_017709	chr1(.):118143603-118176011	4.3443
NM_032305	chr1(.):145451235-145475387	1.8618
NM_202004	chr1(.):145408190-145422545	0.1032
NM_006472	chr1(.):145433461-145447628	2.5034
NM_001039888	chr1(.):145465507-145480647	0.3909
NM_005105	chr1(.):145502637-145516444	1.6771
NM_001161334	chr1(.):149749244-149788928	0.4607
NM_001034077	chr1(.):149799220-149809616	1.7189
NM_001005464	chr1(.):149807258-149817765	3.7541
NM_001040874	chr1(.):149808784-149819318	3.7595
NM_001123375	chr1(.):149779779-149790236	1.2347
NM_000566	chr1(.):149749249-149769074	0.2355
NM_016074	chr1(.):149866154-149877348	0.4412
NM_003528	chr1(.):149851009-149863232	3.629
NM_003517	chr1(.):149853524-149863961	4.2402
NM_175065	chr1(.):149854018-149864466	4.2314
NR_036461	chr1(.):149816758-149827340	3.5014
NM_001040874	chr1(.):149817627-149828161	3.5103
NM_001005464	chr1(.):149819180-149829687	3.4999
NM_001034077	chr1(.):149827329-149837725	1.7077
NM_019032	chr1(.):150516897-150538412	2.9197
NM_207046	chr1(.):150589598-150606609	0.9732
NR_036211	chr1(.):150519404-150529490	0.1285
NM_001197320	chr1(.):150542026-150557214	1.3528
NM_014437	chr1(.):153926587-153945188	1.8122
