GENE_ID	locusLine	bin_1_32_0EX8_0229Kronos_MM1S-No-Treatment-2_IRF4_hs_i48.bam
2_MACS_peak_1_lociStitched	chr1(.):9912-11871	1.911
1_MACS_peak_3_lociStitched	chr1(.):28463-30280	0.7934
1_MACS_peak_4_lociStitched	chr1(.):713309-715174	0.7039
1_MACS_peak_5_lociStitched	chr1(.):762125-763573	0.7042
1_MACS_peak_6_lociStitched	chr1(.):879268-880144	0.6889
1_MACS_peak_7_lociStitched	chr1(.):948078-949214	1.0104
1_MACS_peak_8_lociStitched	chr1(.):1051220-1052241	0.4995
1_MACS_peak_9_lociStitched	chr1(.):1167092-1167589	0.4095
1_MACS_peak_10_lociStitched	chr1(.):1243289-1243979	0.5899
1_MACS_peak_11_lociStitched	chr1(.):1310232-1311475	1.285
1_MACS_peak_12_lociStitched	chr1(.):1342204-1343071	0.6497
1_MACS_peak_13_lociStitched	chr1(.):1397203-1398527	0.7607
1_MACS_peak_14_lociStitched	chr1(.):1406297-1407359	0.6628
1_MACS_peak_15_lociStitched	chr1(.):1439940-1441367	0.7351
1_MACS_peak_16_lociStitched	chr1(.):1509585-1511015	0.748
2_MACS_peak_17_lociStitched	chr1(.):1545218-1551312	0.2871
1_MACS_peak_19_lociStitched	chr1(.):1589768-1591528	0.8698
2_MACS_peak_20_lociStitched	chr1(.):1606577-1610904	0.5592
1_MACS_peak_22_lociStitched	chr1(.):1622905-1625442	0.9313
1_MACS_peak_23_lociStitched	chr1(.):1655241-1656677	0.9824
1_MACS_peak_24_lociStitched	chr1(.):1669283-1670961	0.7776
1_MACS_peak_25_lociStitched	chr1(.):1676313-1678775	0.8173
1_MACS_peak_26_lociStitched	chr1(.):1709902-1712525	1.107
1_MACS_peak_27_lociStitched	chr1(.):1755292-1756050	0.6792
1_MACS_peak_28_lociStitched	chr1(.):1821324-1821942	0.5545
1_MACS_peak_29_lociStitched	chr1(.):1839997-1841130	0.6168
1_MACS_peak_30_lociStitched	chr1(.):2126325-2127082	0.6718
1_MACS_peak_31_lociStitched	chr1(.):2186586-2188011	0.7342
1_MACS_peak_32_lociStitched	chr1(.):2221853-2223113	0.7954
1_MACS_peak_33_lociStitched	chr1(.):2231486-2233102	0.8137
1_MACS_peak_34_lociStitched	chr1(.):2322790-2323613	0.7401
1_MACS_peak_35_lociStitched	chr1(.):2345250-2346347	0.502
1_MACS_peak_36_lociStitched	chr1(.):2457141-2458052	0.58
1_MACS_peak_37_lociStitched	chr1(.):2479003-2480124	0.705
1_MACS_peak_38_lociStitched	chr1(.):2487492-2488786	0.6959
1_MACS_peak_39_lociStitched	chr1(.):2516615-2517590	0.5695
1_MACS_peak_40_lociStitched	chr1(.):2574346-2575124	0.5402
1_MACS_peak_41_lociStitched	chr1(.):3540889-3541602	0.5661
1_MACS_peak_42_lociStitched	chr1(.):3712785-3713820	0.7021
1_MACS_peak_43_lociStitched	chr1(.):3773735-3774489	0.5548
1_MACS_peak_44_lociStitched	chr1(.):3816358-3818170	0.7456
1_MACS_peak_45_lociStitched	chr1(.):3838378-3839393	0.5588
1_MACS_peak_46_lociStitched	chr1(.):4066876-4068488	1.0108
1_MACS_peak_47_lociStitched	chr1(.):4087402-4088206	0.5317
1_MACS_peak_48_lociStitched	chr1(.):6052011-6053371	0.7129
2_MACS_peak_49_lociStitched	chr1(.):6084114-6086926	0.607
1_MACS_peak_51_lociStitched	chr1(.):6258781-6260367	0.7104
1_MACS_peak_52_lociStitched	chr1(.):6453515-6454511	0.6929
1_MACS_peak_53_lociStitched	chr1(.):6549925-6551171	0.4858
