ENHANCER_ID	CHROM	START	STOP	GENE_LIST
5_MACS_peak_22027_lociStitched	chr3	141090735	141111287	ZBTB38
8_MACS_peak_6278_lociStitched	chr11	128585733	128607300	FLI1
5_MACS_peak_22032_lociStitched	chr3	141115901	141132773	ZBTB38
5_MACS_peak_29439_lociStitched	chr7	150069416	150084623	ZNF775
1_MACS_peak_19748_lociStitched	chr21	45660072	45665671	AIRE
1_MACS_peak_7032_lociStitched	chr12	53590696	53601183	ZNF740,RARG
2_MACS_peak_22592_lociStitched	chr3	193817616	193822904	HES1
1_MACS_peak_20075_lociStitched	chr22	29212130	29221390	XBP1
3_MACS_peak_31473_lociStitched	chr9	94182539	94192465	NFIL3
3_MACS_peak_20068_lociStitched	chr22	29191011	29199658	XBP1
1_MACS_peak_9416_lociStitched	chr15	31553979	31560827	KLF13
2_MACS_peak_26705_lociStitched	chr6	45386941	45394971	RUNX2
1_MACS_peak_29438_lociStitched	chr7	150064010	150068135	ZNF775
3_MACS_peak_18310_lociStitched	chr2	239166818	239176766	HES6
4_MACS_peak_12625_lociStitched	chr17	38473593	38483797	RARA
2_MACS_peak_27166_lociStitched	chr6	108878419	108884467	FOXO3
1_MACS_peak_29444_lociStitched	chr7	150101282	150105869	ZNF775
3_MACS_peak_14388_lociStitched	chr19	1647722	1653578	TCF3
1_MACS_peak_398_lociStitched	chr1	23850740	23857910	E2F2
3_MACS_peak_27201_lociStitched	chr6	108987781	108997167	FOXO3
1_MACS_peak_25200_lociStitched	chr5	131829848	131837088	IRF1
3_MACS_peak_5237_lociStitched	chr11	58340357	58347600	ZFP91
1_MACS_peak_29033_lociStitched	chr7	113724303	113728093	FOXP2
3_MACS_peak_27181_lociStitched	chr6	108911650	108921421	FOXO3
1_MACS_peak_24035_lociStitched	chr4	185302339	185307859	IRF2
2_MACS_peak_27134_lociStitched	chr6	106610604	106617176	PRDM1
7_MACS_peak_27124_lociStitched	chr6	106544997	106555565	PRDM1
2_MACS_peak_27132_lociStitched	chr6	106588730	106595836	PRDM1
1_MACS_peak_16799_lociStitched	chr2	97201416	97205757	ARID5A
2_MACS_peak_24851_lociStitched	chr5	88177473	88186007	MEF2C
3_MACS_peak_32637_lociStitched	chrX	58124264	58135315	ZXDA
4_MACS_peak_11473_lociStitched	chr16	67595292	67601310	CTCF
3_MACS_peak_3042_lociStitched	chr1	228269211	228274045	ARF1
2_MACS_peak_1935_lociStitched	chr1	154923355	154929758	ZBTB7B
3_MACS_peak_16795_lociStitched	chr2	97190382	97196260	ARID5A
2_MACS_peak_14036_lociStitched	chr18	46453946	46462779	SMAD7
1_MACS_peak_2652_lociStitched	chr1	203732014	203735676	ZBED6
2_MACS_peak_1943_lociStitched	chr1	154971093	154976710	ZBTB7B
3_MACS_peak_19188_lociStitched	chr20	52205475	52211932	ZNF217
3_MACS_peak_25191_lociStitched	chr5	131790001	131795823	IRF1
1_MACS_peak_19264_lociStitched	chr20	56047973	56053124	CTCFL
