ENHANCER_ID	CHROM	START	STOP	GENE_LIST
8_MACS_peak_28548_lociStitched	chr6	290234	357600	DUSP22,IRF4
3_MACS_peak_11003_lociStitched	chr15	60824868	60885799	RORA
4_MACS_peak_18454_lociStitched	chr2	20386769	20426585	SDC1
12_MACS_peak_23543_lociStitched	chr3	13319790	13394673	NUP210
13_MACS_peak_1847_lociStitched	chr1	118147721	118221123	FAM46C
1_MACS_peak_2338_lociStitched	chr1	156448793	156479679	MEF2D,C1ORF61
3_MACS_peak_18696_lociStitched	chr2	37562601	37607344	QPCT,PRKD3
11_MACS_peak_19339_lociStitched	chr2	87749789	87825917	NCRNA00152
10_MACS_peak_19637_lociStitched	chr2	112181721	112258276	LOC541471
7_MACS_peak_10402_lociStitched	chr14	106022094	106068845	TMEM121
7_MACS_peak_2211_lociStitched	chr1	154373519	154418832	IL6R
8_MACS_peak_25257_lociStitched	chr3	186693094	186751221	ST6GAL1
12_MACS_peak_21165_lociStitched	chr20	30248839	30312399	BCL2L1,COX4I2,TPX2
4_MACS_peak_28655_lociStitched	chr6	7878411	7919799	TXNDC5,BMP6,MUTED-TXNDC5
13_MACS_peak_3455_lociStitched	chr1	233742287	233814160	KCNK1
2_MACS_peak_6015_lociStitched	chr11	65182823	65217324	NEAT1,FRMD8,MALAT1,SLC25A45,MIR612
6_MACS_peak_22980_lociStitched	chr22	38634350	38687893	TMEM184B,MAFF,CSNK1E
2_MACS_peak_14773_lociStitched	chr17	56404300	56430719	MIR142,MPO,BZRAP1,SUPT4H1
7_MACS_peak_22567_lociStitched	chr22	23255724	23298741	IGLL5
6_MACS_peak_10100_lociStitched	chr14	91811546	91867185	CCDC88C
1_MACS_peak_2099_lociStitched	chr1	150531157	150554149	MCL1,MIR4257,ENSA,ADAMTSL4
9_MACS_peak_4308_lociStitched	chr10	74051530	74100286	DNAJB12,DDIT4
4_MACS_peak_30888_lociStitched	chr7	25979977	26011252	MIR148A
10_MACS_peak_10409_lociStitched	chr14	106143772	106188886	TMEM121
9_MACS_peak_19485_lociStitched	chr2	99054926	99109886	INPP4A
1_MACS_peak_6023_lociStitched	chr11	65253713	65279171	MALAT1,MIR612,SCYL1,LTBP3
9_MACS_peak_21405_lociStitched	chr20	37486906	37524260	FAM83D,PPP1R16B
6_MACS_peak_11813_lociStitched	chr15	101456695	101489921	LRRK1,ALDH1A3
7_MACS_peak_31777_lociStitched	chr7	101915326	101955601	MIR4285,SPDYE6,CUX1,SH2B2
5_MACS_peak_11232_lociStitched	chr15	70768948	70805993	UACA
4_MACS_peak_31276_lociStitched	chr7	55571658	55605839	VOPP1
6_MACS_peak_2059_lociStitched	chr1	149800634	149834995	HIST2H2AA4,FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB,HIST2H4B,HIST2H3A,HIST2H2BC
4_MACS_peak_28361_lociStitched	chr5	173309979	173358125	CPEB4
8_MACS_peak_16132_lociStitched	chr19	1237203	1277502	MIDN,STK11,EFNA2,ATP5D,CIRBP,C19ORF24,C19ORF26,C19ORF23
