GENE	TF	CHROM	START	STOP	ENHANCER_ID
AANAT	0	chr17	74476170	74498266	4_MACS_peak_12062_lociStitched
AARS2	0	chr6	44213190	44234219	3_MACS_peak_23924_lociStitched
ABCA7	0	chr19	1015248	1029292	2_MACS_peak_12851_lociStitched
ABCF1	0	chr6	30582035	30587075	1_MACS_peak_23655_lociStitched
ABCG1	0	chr21	43639121	43655844	3_MACS_peak_17476_lociStitched
ABCG4	0	chr11	118963502	118979917	3_MACS_peak_5523_lociStitched
ABHD12	0	chr20	25261475	25303001	7_MACS_peak_16641_lociStitched
ABHD2	0	chr15	89646485	89676872	6_MACS_peak_9623_lociStitched
ABR	0	chr17	977532	985586	1_MACS_peak_10834_lociStitched
ACADVL	0	chr17	7136621	7156728	3_MACS_peak_10973_lociStitched
ACAP1	0	chr17	7209433	7219685	2_MACS_peak_10976_lociStitched
ACBD3	0	chr1	226308674	226317135	2_MACS_peak_2648_lociStitched
ACO2	0	chr22	41839813	41845204	1_MACS_peak_18057_lociStitched
ACOXL	0	chr2	111503822	111513351	2_MACS_peak_15120_lociStitched
ACTR3	0	chr2	114643372	114649509	1_MACS_peak_15204_lociStitched
ACTR3C	0	chr7	150062710	150084687	2_MACS_peak_26515_lociStitched
ADA	0	chr20	43270348	43282283	1_MACS_peak_16896_lociStitched
ADAM15	0	chr1	154970811	154979802	1_MACS_peak_1723_lociStitched
ADAM9	0	chr8	38811647	38823518	3_MACS_peak_26998_lociStitched
ADAMTS4	0	chr1	161144163	161157860	2_MACS_peak_1866_lociStitched
ADAMTS4	0	chr1	161122706	161137545	3_MACS_peak_1863_lociStitched
ADAMTSL4	0	chr1	150532219	150552945	2_MACS_peak_1615_lociStitched
ADAT3	0	chr19	1846993	1865764	4_MACS_peak_12887_lociStitched
ADCY10	0	chr1	167903612	167907553	1_MACS_peak_1984_lociStitched
ADM	0	chr11	10323590	10345082	3_MACS_peak_4375_lociStitched
ADM2	0	chr22	50962057	50979093	4_MACS_peak_18201_lociStitched
ADORA2A	0	chr22	24822652	24832535	1_MACS_peak_17732_lociStitched
ADRB2	0	chr5	148204738	148215940	1_MACS_peak_22836_lociStitched
ADRBK1	0	chr11	67034019	67057860	3_MACS_peak_4977_lociStitched
ADRM1	0	chr20	60911109	60916845	1_MACS_peak_17154_lociStitched
AEN	0	chr15	89163847	89184456	2_MACS_peak_9611_lociStitched
AFMID	0	chr17	76163776	76184062	4_MACS_peak_12112_lociStitched
AFMID	0	chr17	76137615	76152445	4_MACS_peak_12108_lociStitched
AGBL3	0	chr7	134670626	134682315	2_MACS_peak_26366_lociStitched
AGRP	0	chr16	67562639	67601619	6_MACS_peak_10524_lociStitched
AHNAK	0	chr11	62308024	62328689	4_MACS_peak_4805_lociStitched
AIF1	0	chr6	31618995	31634878	4_MACS_peak_23685_lociStitched
AIM2	0	chr1	159036539	159048231	2_MACS_peak_1815_lociStitched
AIRE	1	chr21	45659783	45664983	1_MACS_peak_17528_lociStitched
AK1	0	chr9	130672455	130681229	2_MACS_peak_28900_lociStitched
AKAP13	0	chr15	86231670	86237449	1_MACS_peak_9589_lociStitched
AKAP2	0	chr9	112903758	112925357	2_MACS_peak_28693_lociStitched
AKNA	0	chr9	117145359	117151739	1_MACS_peak_28746_lociStitched
AKNA	0	chr9	117125722	117137721	2_MACS_peak_28744_lociStitched
AKT1S1	0	chr19	50369490	50382218	3_MACS_peak_13815_lociStitched
ALAD	0	chr9	116162872	116179444	4_MACS_peak_28731_lociStitched
ALDH3B1	0	chr11	67760499	67781501	4_MACS_peak_5013_lociStitched
ALDH8A1	0	chr6	135190487	135195966	1_MACS_peak_24660_lociStitched
ALKBH4	0	chr7	102063503	102093217	4_MACS_peak_26014_lociStitched
ALOX12	0	chr17	6915080	6926253	2_MACS_peak_10966_lociStitched
ALOX5	0	chr10	45913670	45918207	1_MACS_peak_3318_lociStitched
AMH	0	chr19	2254572	2274242	4_MACS_peak_12909_lociStitched
AMHR2	0	chr12	53845116	53876431	1_MACS_peak_6358_lociStitched
AMZ2	0	chr17	66230168	66236379	1_MACS_peak_11935_lociStitched
AMZ2P1	0	chr17	62979888	62986056	2_MACS_peak_11894_lociStitched
ANAPC1	0	chr2	112455819	112465782	2_MACS_peak_15152_lociStitched
ANAPC16	0	chr10	74006775	74024313	4_MACS_peak_3560_lociStitched
ANKDD1A	0	chr15	65169409	65189520	3_MACS_peak_9249_lociStitched
ANKRD12	0	chr18	9095119	9157724	4_MACS_peak_12306_lociStitched
ANKRD13D	0	chr11	67034019	67057860	3_MACS_peak_4977_lociStitched
ANKRD28	0	chr3	15834942	15851816	4_MACS_peak_18376_lociStitched
ANKRD30BL	0	chr2	133022940	133027230	1_MACS_peak_15313_lociStitched
ANKRD34A	0	chr1	145448718	145457936	1_MACS_peak_1510_lociStitched
ANKRD34A	0	chr1	145427299	145441124	2_MACS_peak_1508_lociStitched
ANKRD34A	0	chr1	145501416	145517354	3_MACS_peak_1512_lociStitched
ANKRD35	0	chr1	145501416	145517354	3_MACS_peak_1512_lociStitched
ANKRD36BP2	0	chr2	89043107	89066593	4_MACS_peak_14914_lociStitched
ANKRD37	0	chr4	186252289	186275134	4_MACS_peak_21567_lociStitched
ANKRD55	0	chr5	55436981	55453725	3_MACS_peak_21983_lociStitched
ANKRD56	0	chr4	77608445	77624866	2_MACS_peak_20758_lociStitched
ANP32A	0	chr15	69108864	69115006	1_MACS_peak_9313_lociStitched
ANXA11	0	chr10	81946378	81966276	4_MACS_peak_3685_lociStitched
ANXA6	0	chr5	150512961	150537888	4_MACS_peak_22876_lociStitched
ANXA6	0	chr5	150459490	150476227	3_MACS_peak_22873_lociStitched
AP1G1	0	chr16	71841330	71853040	2_MACS_peak_10624_lociStitched
AP1G1	0	chr16	71876807	71888716	3_MACS_peak_10626_lociStitched
AP1M1	0	chr19	16243672	16273301	2_MACS_peak_13252_lociStitched
APOA2	0	chr1	161144163	161157860	2_MACS_peak_1866_lociStitched
APOBEC3C	0	chr22	39459164	39474341	3_MACS_peak_17985_lociStitched
APOBEC3D	0	chr22	39459164	39474341	3_MACS_peak_17985_lociStitched
APOBEC3F	0	chr22	39459164	39474341	3_MACS_peak_17985_lociStitched
APOBEC3G	0	chr22	39459164	39474341	3_MACS_peak_17985_lociStitched
APOBEC3H	0	chr22	39459164	39474341	3_MACS_peak_17985_lociStitched
APOBEC4	0	chr1	183809130	183815800	1_MACS_peak_2143_lociStitched
APOF	0	chr12	56726400	56734378	2_MACS_peak_6412_lociStitched
APOLD1	0	chr12	12866102	12881965	1_MACS_peak_5904_lociStitched
APOM	0	chr6	31618995	31634878	4_MACS_peak_23685_lociStitched
AQP10	0	chr1	154296720	154308021	2_MACS_peak_1697_lociStitched
ARF1	1	chr1	228268925	228279620	1_MACS_peak_2687_lociStitched
ARFRP1	0	chr20	62358005	62371005	2_MACS_peak_17178_lociStitched
ARGFX	1	chr3	121303170	121313598	2_MACS_peak_19295_lociStitched
ARHGAP18	0	chr6	130004005	130010977	1_MACS_peak_24604_lociStitched
ARHGAP27	0	chr17	43504836	43531669	5_MACS_peak_11586_lociStitched
ARHGAP30	0	chr1	161007869	161019256	2_MACS_peak_1855_lociStitched
ARHGAP30	0	chr1	161028913	161041502	3_MACS_peak_1857_lociStitched
ARHGAP33	0	chr19	36230721	36240239	3_MACS_peak_13480_lociStitched
ARHGAP4	0	chrX	153232565	153252602	3_MACS_peak_30096_lociStitched
ARHGAP4	0	chrX	153189347	153200815	2_MACS_peak_30093_lociStitched
ARHGAP9	0	chr12	57912601	57917836	1_MACS_peak_6448_lociStitched
ARHGDIB	0	chr12	15101053	15116363	1_MACS_peak_5947_lociStitched
ARHGEF18	0	chr19	7400233	7410912	3_MACS_peak_13030_lociStitched
ARHGEF2	0	chr1	155937914	155954251	3_MACS_peak_1759_lociStitched
ARHGEF2	0	chr1	155900416	155922430	3_MACS_peak_1756_lociStitched
ARHGEF3	0	chr3	56948155	56956726	2_MACS_peak_18874_lociStitched
ARID1A	0	chr1	27018318	27030805	1_MACS_peak_390_lociStitched
ARID2	0	chr12	46119387	46132709	2_MACS_peak_6209_lociStitched
ARID3B	1	chr15	74827194	74846185	3_MACS_peak_9384_lociStitched
ARID5A	1	chr2	97190710	97220693	5_MACS_peak_14959_lociStitched
ARID5B	0	chr10	63802966	63814767	1_MACS_peak_3444_lociStitched
ARID5B	0	chr10	63656449	63665381	1_MACS_peak_3438_lociStitched
ARL4D	0	chr17	41436617	41447408	2_MACS_peak_11537_lociStitched
ARL6IP5	0	chr3	69128363	69155236	3_MACS_peak_18949_lociStitched
ARL8B	0	chr3	5221989	5257148	4_MACS_peak_18253_lociStitched
ARPC5L	0	chr9	127622725	127636146	2_MACS_peak_28842_lociStitched
ARPM1	0	chr3	169480842	169492599	3_MACS_peak_19786_lociStitched
ARRDC3	0	chr5	90674317	90681104	1_MACS_peak_22306_lociStitched
ARSG	0	chr17	66230168	66236379	1_MACS_peak_11935_lociStitched
ASAP3	0	chr1	23849572	23858918	1_MACS_peak_294_lociStitched
ASB9P1	0	chr15	93346274	93364531	3_MACS_peak_9707_lociStitched
ASB9P1	0	chr15	93373700	93389224	3_MACS_peak_9710_lociStitched
ASCC1	0	chr10	74006775	74024313	4_MACS_peak_3560_lociStitched
ATAD1	0	chr10	89619823	89626032	1_MACS_peak_3742_lociStitched
ATAT1	0	chr6	30582035	30587075	1_MACS_peak_23655_lociStitched
ATF3	1	chr1	212779676	212788839	2_MACS_peak_2513_lociStitched
ATF4	1	chr22	39909921	39929600	4_MACS_peak_18014_lociStitched
ATF5	1	chr19	50369490	50382218	3_MACS_peak_13815_lociStitched
ATG16L2	0	chr11	72523364	72527530	1_MACS_peak_5084_lociStitched
ATHL1	0	chr11	267156	271073	1_MACS_peak_4233_lociStitched
ATN1	0	chr12	7045189	7085767	7_MACS_peak_5805_lociStitched
ATN1	0	chr12	7022757	7038396	3_MACS_peak_5802_lociStitched
ATP2A3	0	chr17	3813439	3820711	1_MACS_peak_10903_lociStitched
ATP2C1	0	chr3	130557465	130574087	2_MACS_peak_19446_lociStitched
ATP5B	0	chr12	57076510	57083762	1_MACS_peak_6424_lociStitched
ATP5B	0	chr12	57021762	57040953	4_MACS_peak_6419_lociStitched
ATP5D	0	chr19	1258121	1277461	4_MACS_peak_12866_lociStitched
ATP6V0D1	0	chr16	67562639	67601619	6_MACS_peak_10524_lociStitched
ATP6V1A	0	chr3	113455254	113468850	2_MACS_peak_19233_lociStitched
ATP6V1E2	0	chr2	46788339	46804751	3_MACS_peak_14442_lociStitched
ATP6V1G1	0	chr9	117368898	117380292	2_MACS_peak_28756_lociStitched
ATP8B2	0	chr1	154296720	154308021	2_MACS_peak_1697_lociStitched
ATP8B3	0	chr19	1846993	1865764	4_MACS_peak_12887_lociStitched
ATPIF1	0	chr1	28558560	28577225	3_MACS_peak_441_lociStitched
ATXN1L	0	chr16	71841330	71853040	2_MACS_peak_10624_lociStitched
ATXN1L	0	chr16	71876807	71888716	3_MACS_peak_10626_lociStitched
AURKB	0	chr17	8149370	8153824	1_MACS_peak_11019_lociStitched
AURKC	0	chr19	57790634	57796236	1_MACS_peak_13917_lociStitched
AVPR1B	0	chr1	206272188	206307686	5_MACS_peak_2398_lociStitched
AVPR2	0	chrX	153189347	153200815	2_MACS_peak_30093_lociStitched
AXL	0	chr19	41767977	41772469	1_MACS_peak_13595_lociStitched
AZIN1	0	chr8	103815899	103828755	4_MACS_peak_27478_lociStitched
B2M	0	chr15	45001846	45029353	5_MACS_peak_9008_lociStitched
B3GALNT2	0	chr1	235665410	235669590	1_MACS_peak_2787_lociStitched
B3GALT4	0	chr6	33279658	33292598	3_MACS_peak_23735_lociStitched
