REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM7_jia.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
16_MACS_peak_23204_lociStitched	chr3	141079294	141147455	16	58571	109534.727	1	1	ZBTB38		ZBTB38	ZBTB38	0.9384	1	1
19_MACS_peak_17365_lociStitched	chr2	99060714	99138205	19	64459	88719.4459	2	1	INPP4A		INPP4A	INPP4A	0.7046	2	1
22_MACS_peak_31376_lociStitched	chr8	27206582	27267140	22	46362	44934.036	3	1	PTK2B	TRIM35	PTK2B	PTK2B	0.4925	3	1
10_MACS_peak_1582_lociStitched	chr1	118147412	118188368	10	37913	47422.9524	4	1	FAM46C		FAM46C	FAM46C	1.1141	4	1
10_MACS_peak_16519_lociStitched	chr2	46761640	46806801	10	33580	53524.8172	5	1	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	RHOQ	1.0562	5	1
6_MACS_peak_2093_lociStitched	chr1	156449219	156479635	6	27516	48410.1056	6	1	MEF2D		MEF2D	MEF2D	1.0327	6	1
4_MACS_peak_17286_lociStitched	chr2	88896378	88928917	4	30294	42853.863	7	1	EIF2AK3		EIF2AK3	EIF2AK3	0.7054	7	1
3_MACS_peak_1837_lociStitched	chr1	150532142	150553127	3	20280	53039.5875	8	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	1.5422	8	1
6_MACS_peak_16280_lociStitched	chr2	33699712	33728787	6	24942	44903.43	9	1	RASGRP3	RASGRP3	RASGRP3	RASGRP3	0.592	9	1
10_MACS_peak_23554_lociStitched	chr3	171801552	171833971	10	28438	37537.9601	10	1	FNDC3B		FNDC3B	FNDC3B	0.5026	10	1
6_MACS_peak_9903_lociStitched	chr15	45001905	45030003	6	21179	49000.1022	11	1	B2M,TRIM69	SPG11,PATL2	B2M	B2M	1.4591	11	1
13_MACS_peak_22691_lociStitched	chr3	112039051	112072578	13	29279	31542.2016	12	1	CD200	SLC9A10	CD200	CD200	0.7519	12	1
10_MACS_peak_23745_lociStitched	chr3	183224658	183260736	10	27650	35356.44	13	1	KLHL6		KLHL6	KLHL6	0.7586	13	1
9_MACS_peak_32770_lociStitched	chr9	20351193	20385035	9	27338	35493.4896	14	1	MLLT3		MLLT3	MLLT3	0.5776	14	1
14_MACS_peak_26283_lociStitched	chr5	95258952	95298839	14	28594	31654.3232	15	1	ELL2		ELL2	ELL2	0.5264	15	1
11_MACS_peak_1592_lociStitched	chr1	118192668	118230769	11	26557	36134.9884	16	1		FAM46C	FAM46C	FAM46C	1.1141	16	1
2_MACS_peak_3286_lociStitched	chr1	234729560	234749457	2	16400	49223.1883	17	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	3.0421	17	1
7_MACS_peak_10460_lociStitched	chr15	75063566	75093343	7	24039	38793.4756	18	1	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	1.1786	18	1
8_MACS_peak_9626_lociStitched	chr15	31630843	31660627	8	24580	37605.2784	19	1	KLF13		KLF13	KLF13	0.9326	19	1
3_MACS_peak_18756_lociStitched	chr2	201979411	202001078	3	20376	43888.6752	20	1	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	CFLAR	0.962	20	1
11_MACS_peak_28636_lociStitched	chr6	90046944	90085837	11	26751	31970.046	21	1	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	0.7505	21	1
3_MACS_peak_27470_lociStitched	chr6	7894848	7921531	3	25350	34965.4032	22	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	0.883	22	1
8_MACS_peak_6312_lociStitched	chr12	7052082	7081235	8	23586	38041.7497	23	1	C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,ATN1,LPCAT3	MIR200C	MIR200C	1.3151	23	1
18_MACS_peak_23564_lociStitched	chr3	171840053	171879533	18	28591	24394.692	24	1	FNDC3B		FNDC3B	FNDC3B	0.5026	24	1
5_MACS_peak_17266_lociStitched	chr2	87794206	87822790	5	25525	32694.3792	25	1	NCRNA00152		NCRNA00152	NCRNA00152	0.8763	25	1
13_MACS_peak_3047_lociStitched	chr1	218517722	218551452	13	25793	29915.137	26	1	TGFB2		TGFB2	TGFB2	0.5268	26	1
5_MACS_peak_16063_lociStitched	chr2	20403550	20432309	5	24506	30869.9106	27	1	SDC1		SDC1	SDC1	0.958	27	1
11_MACS_peak_26803_lociStitched	chr5	139027271	139058142	11	25337	28682.2461	28	1	CXXC5		CXXC5	CXXC5	0.7043	28	1
2_MACS_peak_5341_lociStitched	chr11	65183382	65199940	2	16550	42719.64	29	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	2.8649	29	1
7_MACS_peak_30952_lociStitched	chr7	137660101	137688051	7	24948	27242.865	30	1	CREB3L2		CREB3L2	CREB3L2	0.4197	30	1
10_MACS_peak_7568_lociStitched	chr12	109007042	109035268	10	22723	31841.7506	31	1	SELPLG	TMEM119	SELPLG	SELPLG	1.2795	31	1
8_MACS_peak_16921_lociStitched	chr2	65140061	65167849	8	23214	30486.2148	32	1	LOC400958	SLC1A4	LOC400958	LOC400958	0.6301	32	1
5_MACS_peak_10732_lociStitched	chr15	89164382	89185723	5	19261	37532.4167	33	1	AEN,ISG20	MIR1179,MIR7-2	ISG20	ISG20	0.8809	33	1
6_MACS_peak_16766_lociStitched	chr2	60756661	60783409	6	21014	34047.5292	34	1	BCL11A		BCL11A	BCL11A	0.5244	34	1
5_MACS_peak_18955_lociStitched	chr2	219742177	219763076	5	17551	39170.9957	35	1	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	1.6891	35	1
10_MACS_peak_17543_lociStitched	chr2	112182120	112212904	10	24860	24768.8064	36	1	LOC541471		LOC541471	LOC541471	0.4304	36	1
3_MACS_peak_17987_lociStitched	chr2	157188012	157200611	3	9083	46282.4265	37	1	NR4A2		NR4A2	NR4A2	1.3271	37	1
5_MACS_peak_16863_lociStitched	chr2	64430457	64456628	5	19697	35435.534	38	1	LOC150992		LOC150992	LOC150992	0.3883	38	1
15_MACS_peak_30089_lociStitched	chr7	55569361	55603846	15	23529	27522.4785	39	1	VOPP1		VOPP1	VOPP1	0.4516	39	1
9_MACS_peak_25667_lociStitched	chr5	26860410	26890746	9	24956	23258.6112	40	1	CDH9		CDH9	CDH9	0.1682	40	1
10_MACS_peak_23582_lociStitched	chr3	171888096	171914438	10	24037	23881.6572	41	1	FNDC3B		FNDC3B	FNDC3B	0.5026	41	1
3_MACS_peak_15989_lociStitched	chr2	13786863	13807499	3	20502	31368.7836	42	1			MIR3125	MIR3125	NONE	42	1
11_MACS_peak_20711_lociStitched	chr22	23260287	23286273	11	21029	30190.5348	43	1		IGLL5	IGLL5	IGLL5	0.3195	43	1
5_MACS_peak_2015_lociStitched	chr1	154925762	154949371	5	16261	37165.2878	44	1	CKS1B,MIR4258,PBXIP1,PYGO2,SHC1	FLAD1,LENEP,ZBTB7B,PMVK	PYGO2	PYGO2	1.0754	44	1
14_MACS_peak_12049_lociStitched	chr16	81841676	81875745	14	21547	27752.6074	45	1	PLCG2		PLCG2	PLCG2	0.2705	45	1
5_MACS_peak_33631_lociStitched	chr9	112904508	112927532	5	22321	25556.64	46	1	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.5298	46	1
8_MACS_peak_33877_lociStitched	chr9	130526565	130549662	8	16893	34885.7088	47	1	CDK9,MIR2861,SH2D3C	TTC16,FPGS,PTRH1,TOR2A,SH2D3C	SH2D3C	PTRH1	0.5816	47	1
9_MACS_peak_29660_lociStitched	chr7	8006763	8031503	9	22897	22627.204	48	1	GLCCI1		GLCCI1	GLCCI1	0.3674	48	1
9_MACS_peak_27002_lociStitched	chr5	150510572	150537898	9	22560	22240.6314	49	1	ANXA6	TNIP1	ANXA6	TNIP1	0.5515	49	1
11_MACS_peak_16658_lociStitched	chr2	54776852	54807877	11	19849	28713.6375	50	1	SPTBN1	RPL23AP32	SPTBN1	SPTBN1	0.3715	50	1
8_MACS_peak_16903_lociStitched	chr2	64863307	64889185	8	17552	32748.609	51	1	SERTAD2	LOC339807	SERTAD2	SERTAD2	1.0613	51	1
13_MACS_peak_16840_lociStitched	chr2	64340944	64372524	13	21209	25699.804	52	1	PELI1		PELI1	PELI1	0.5479	52	1
7_MACS_peak_26648_lociStitched	chr5	131745620	131774234	7	20835	26067.354	53	1	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	0.6581	53	1
6_MACS_peak_774_lociStitched	chr1	40846633	40870729	6	20414	27009.2064	54	1	SMAP2	ZNF643	SMAP2	SMAP2	0.6353	54	1
7_MACS_peak_21372_lociStitched	chr22	50962707	50987467	7	16356	33990.528	55	1	NCAPH2,KLHDC7B,SCO2,TYMP,ODF3B	ADM2,MIOX,LOC100144603,SBF1,LMF2,C22orf41,CPT1B,CHKB	ODF3B	ODF3B	1.7161	55	1
4_MACS_peak_32793_lociStitched	chr9	20457399	20481306	4	20831	25449.0015	56	1	MLLT3		MLLT3	MLLT3	0.5776	56	1
13_MACS_peak_25888_lociStitched	chr5	56108999	56138498	13	20618	25230.4947	57	1	MAP3K1		MAP3K1	MAP3K1	0.4071	57	1
4_MACS_peak_28729_lociStitched	chr6	106531542	106555476	4	21157	23146.5714	58	1	PRDM1		PRDM1	PRDM1	0.7417	58	1
5_MACS_peak_5923_lociStitched	chr11	111230450	111251583	5	19762	26382.4372	59	1	POU2AF1		POU2AF1	POU2AF1	0.8041	59	1
9_MACS_peak_21012_lociStitched	chr22	37614458	37642319	9	19925	25972.0242	60	1	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	RAC2	0.8425	60	1
6_MACS_peak_16335_lociStitched	chr2	37528472	37553868	6	18225	29154.608	61	1	PRKD3	QPCT	PRKD3	QPCT	0.832	61	1
5_MACS_peak_1981_lociStitched	chr1	154370636	154394717	5	19067	27348.7917	62	1	IL6R		IL6R	IL6R	0.5432	62	1
5_MACS_peak_17717_lociStitched	chr2	127830839	127855730	5	20051	25100.0844	63	1	BIN1		BIN1	BIN1	0.5154	63	1
4_MACS_peak_33887_lociStitched	chr9	130660763	130680915	4	14341	34302.7344	64	1	ST6GALNAC6,ST6GALNAC4	ENG,AK1,PIP5KL1,DPM2,FAM102A	ST6GALNAC4	ST6GALNAC4	1.7145	64	1
6_MACS_peak_15973_lociStitched	chr2	13670586	13694320	6	19174	26605.814	65	1			MIR3125	MIR3125	NONE	65	1
9_MACS_peak_20544_lociStitched	chr21	45552815	45581242	9	18451	27844.2465	66	1	C21orf33	PWP2	C21orf33	C21orf33	0.7366	66	1
2_MACS_peak_6410_lociStitched	chr12	12866199	12879956	2	13757	34117.36	67	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	2.2907	67	1
7_MACS_peak_11428_lociStitched	chr16	22195164	22219848	7	16071	30956.2044	68	1	EEF2K		EEF2K	EEF2K	0.1745	68	1
7_MACS_peak_5352_lociStitched	chr11	65254462	65278389	7	18670	26042.1468	69	1	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	1.1246	69	1
4_MACS_peak_6801_lociStitched	chr12	48195512	48214588	4	18044	26771.2584	70	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	0.6642	70	1
6_MACS_peak_17708_lociStitched	chr2	127412844	127434808	6	17469	27584.5876	71	1	GYPC		GYPC	GYPC	0.6279	71	1
8_MACS_peak_28767_lociStitched	chr6	108895545	108921337	8	20531	19937.216	72	1	FOXO3		FOXO3	FOXO3	0.6417	72	1
8_MACS_peak_4224_lociStitched	chr10	92955336	92982304	8	18972	23912.5256	73	1	PCGF5	NUDT9P1	PCGF5	PCGF5	0.2403	73	1
8_MACS_peak_22531_lociStitched	chr3	98475790	98498736	8	19918	20855.6194	74	1	ST3GAL6		ST3GAL6	ST3GAL6	0.5919	74	1
15_MACS_peak_22882_lociStitched	chr3	121540062	121574255	15	19878	20898.7616	75	1	EAF2,IQCB1	SLC15A2	EAF2	EAF2	0.4294	75	1
5_MACS_peak_9693_lociStitched	chr15	37319963	37341390	5	18169	24923.8864	76	1	MEIS2		MEIS2	MEIS2	0.3598	76	1
5_MACS_peak_5640_lociStitched	chr11	76777228	76802412	5	19888	20786.8736	77	1	CAPN5	B3GNT6,OMP,MYO7A	CAPN5	CAPN5	0.3662	77	1
7_MACS_peak_23035_lociStitched	chr3	129023105	129043730	7	17257	26558.8125	78	1	C3orf37,C3orf47,H1FX		C3orf47	C3orf47	0.9484	78	1
16_MACS_peak_28315_lociStitched	chr6	52386659	52419048	16	20197	19355.6664	79	1	TRAM2		TRAM2	TRAM2	0.5015	79	1
6_MACS_peak_10200_lociStitched	chr15	63788881	63810198	6	16634	27061.9315	80	1	USP3		USP3	USP3	0.524	80	1
6_MACS_peak_7876_lociStitched	chr12	123366713	123388523	6	16545	26926.626	81	1	VPS37B	HIP1R	VPS37B	VPS37B	0.8052	81	1
4_MACS_peak_33337_lociStitched	chr9	91918741	91936235	4	13569	31354.4962	82	1	CKS2,MIR3153,SECISBP2		MIR3153	MIR3153	1.5723	82	1
3_MACS_peak_3587_lociStitched	chr10	22595598	22616339	3	18310	23217.4754	83	1	COMMD3,BMI1	SPAG6	COMMD3	COMMD3	1.2494	83	1
10_MACS_peak_27309_lociStitched	chr5	180221709	180249016	10	17784	24357.844	84	1	MGAT1	LOC729678,ZFP62	MGAT1	MGAT1	0.6002	84	1
6_MACS_peak_14829_lociStitched	chr19	12885872	12907571	6	14811	29421.6741	85	1	JUNB,HOOK2	ASNA1,BEST2,RNASEH2A,MAST1,C19orf43,PRDX2,RTBDN	JUNB	JUNB	1.7788	85	1
11_MACS_peak_6140_lociStitched	chr11	128585588	128611892	11	18696	21953.3184	86	1	FLI1		FLI1	FLI1	0.3943	86	1
4_MACS_peak_2965_lociStitched	chr1	207988826	208006303	4	11448	33166.1029	87	1	LOC148696	MIR29C,MIR29B2	LOC148696	LOC148696	2.1458	87	1
6_MACS_peak_21426_lociStitched	chr3	5223138	5243153	6	17970	23207.3925	88	1	EDEM1		EDEM1	EDEM1	0.6322	88	1
6_MACS_peak_18772_lociStitched	chr2	202083192	202105220	6	17657	23834.296	89	1	CASP10,CASP8	CASP8	CASP8	CASP8	0.5753	89	1
6_MACS_peak_18274_lociStitched	chr2	173410384	173429932	6	17584	23950.2096	90	1	PDK1		PDK1	PDK1	0.7668	90	1
