GENE_ID	locusLine	bin_1_MOLP-8.jin.bam
NM_021222	chr1(.):150975972-151013189	0.5569
NM_007051	chr1(.):50901934-51430936	0.0849
NM_001198993	chr1(.):1677670-1715297	0.7494
NM_023018	chr1(.):1677670-1714909	0.7531
NM_001198994	chr1(.):1677670-1716508	0.7325
NM_001170754	chr1(.):11001529-11047094	0.6684
NM_004091	chr1(.):23827921-23862713	0.7348
NM_174964	chr1(.):44168217-44401831	0.2963
NR_034178	chr1(.):143910747-144099477	0.4177
NM_153713	chr1(.):145472084-145504091	0.4004
NM_020524	chr1(.):154911558-154933567	1.3944
NM_002249	chr1(.):154674914-154847754	0.4855
NM_170782	chr1(.):154674914-154837338	0.4912
NM_005973	chr1(.):156732273-156775609	0.3972
NM_001135050	chr1(.):159891828-159920386	0.9768
NM_052862	chr1(.):167594473-167680486	0.6093
NM_002697	chr1(.):167185065-167401582	0.2228
NR_037163	chr1(.):167185122-167401582	0.2229
NM_014412	chr1(.):174963891-174986163	1.0178
NM_014857	chr1(.):174123633-174932327	0.1714
NM_001007214	chr1(.):174963570-174986163	1.0045
NM_145034	chr1(.):179804101-179851941	0.4906
NM_004481	chr1(.):230197955-230422875	0.3916
NM_032328	chr1(.):245128170-245256148	0.2493
NR_026588	chr1(.):245128630-245256148	0.25
NR_026587	chr1(.):245128630-245293530	0.2225
NR_026586	chr1(.):245128283-245293530	0.2222
NM_031921	chr1(.):1402163-1436582	0.3646
NM_018188	chr1(.):1442522-1475067	0.5522
NM_001170536	chr1(.):1442909-1475067	0.5576
NM_001114748	chr1(.):1465157-1480740	0.1833
NM_182838	chr1(.):1658680-1682431	0.7536
NM_001198995	chr1(.):1677670-1695081	0.4353
NM_177540	chr1(.):6610337-6644817	0.3388
NM_005341	chr1(.):6635062-6654340	0.3391
NM_014851	chr1(.):6645783-6667929	0.7395
NM_153812	chr1(.):6668755-6689093	0.5924
NM_024654	chr1(.):6576406-6619658	0.1987
NM_001195752	chr1(.):6680209-6698642	0.244
NM_001195753	chr1(.):6679924-6698642	0.2422
NM_007375	chr1(.):11067678-11090549	0.3788
NM_017707	chr1(.):23750055-23815750	0.1191
NM_002167	chr1(.):23879408-23891322	0.2739
NM_001262	chr1(.):51429366-51445306	1.94
NM_078626	chr1(.):51430641-51445309	2.1057
NM_017709	chr1(.):118143603-118176011	0.9279
NM_207418	chr1(.):143891451-143918143	0.8325
NM_032305	chr1(.):145451235-145475387	0.7604
NM_202004	chr1(.):145408190-145422545	0.1534
NM_006472	chr1(.):145433461-145447628	1.4245
NM_001039888	chr1(.):145465507-145480647	0.7058
NM_001161334	chr1(.):149749244-149788928	0.4183
NM_001034077	chr1(.):149799220-149809616	1.9835
NM_001005464	chr1(.):149807258-149817765	3.6841
NM_001040874	chr1(.):149808784-149819318	3.6479
NM_001123375	chr1(.):149779779-149790236	0.9196
NM_000566	chr1(.):149749249-149769074	0.2922
NM_005850	chr1(.):149890210-149904702	0.6195
NM_016074	chr1(.):149866154-149877348	1.02
NM_003528	chr1(.):149851009-149863232	2.7131
NM_003517	chr1(.):149853524-149863961	3.1446
NM_175065	chr1(.):149854018-149864466	3.1325
NM_014849	chr1(.):149869871-149894434	0.646
NM_181873	chr1(.):149895542-149913266	0.7545
NM_001145862	chr1(.):149895542-149913791	0.7328
NR_036461	chr1(.):149816758-149827340	3.5819
NM_001040874	chr1(.):149817627-149828161	3.579
NM_001005464	chr1(.):149819180-149829687	3.6187
NM_001034077	chr1(.):149827329-149837725	1.9558
NM_019032	chr1(.):150516897-150538412	1.3192
NR_036211	chr1(.):150519404-150529490	0.5229
NM_001197320	chr1(.):150542026-150557214	1.1951
NM_001163258	chr1(.):150964300-150985854	1.001
NM_181746	chr1(.):150932648-150952440	0.5844
NM_003568	chr1(.):150949498-150973114	0.4184
NM_001163260	chr1(.):150964300-150984273	1.0733
NM_001040217	chr1(.):150964300-150984385	1.0692
NM_138278	chr1(.):151004028-151025076	0.4531
NM_017860	chr1(.):151015258-151028871	0.6201
NM_020452	chr1(.):154295275-154328780	0.9935
NM_001005855	chr1(.):154293035-154315322	1.3513
NM_080429	chr1(.):154288591-154302801	1.9027
NM_017582	chr1(.):154516050-154536120	0.5079
NM_001193495	chr1(.):154549533-154583776	1.0048
NM_001111	chr1(.):154549533-154585724	0.9706
NM_001025107	chr1(.):154549533-154605456	0.8968
NM_000748	chr1(.):154535256-154557353	0.221
NM_006556	chr1(.):154892207-154914484	1.2817
NM_001130041	chr1(.):154929773-154951959	1.5554
NM_001130040	chr1(.):154929773-154948223	1.7471
