REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X19_0EX5_0229Kronos_MM1S.KB.24hr.1_H3K27Ac_hs.dm_i39.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
6_MACS_peak_17319_lociStitched	chr3	141079096	141160745	6	74219	695967.9111	17579.0297	1	ZBTB38	RASA2	ZBTB38	ZBTB38	5.0249999999999995	1	1
11_MACS_peak_8825_lociStitched	chr16	11754714	11843335	11	74096	405485.3855	17006.3699	2	SNN,TXNDC11	ZC3H7A	SNN	SNN	4.077800000000001	2	1
4_MACS_peak_21590_lociStitched	chr6	108878354	108961013	4	77459	231230.2866	13605.6714	3	FOXO3		FOXO3	FOXO3	2.046	3	1
7_MACS_peak_2032_lociStitched	chr1	203236278	203298424	7	40550	593724.2402	20644.9012	4	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	10.1212	4	1
5_MACS_peak_12735_lociStitched	chr2	37514981	37588550	5	58674	415981.1967	15765.8367	5	QPCT,PRKD3		PRKD3	PRKD3	1.6348	5	1
5_MACS_peak_1237_lociStitched	chr1	118141907	118219403	5	61110	346980.5904	9415.764	6	FAM46C		FAM46C	FAM46C	4.3984	6	1
8_MACS_peak_7487_lociStitched	chr14	91812915	91886114	8	61488	289040.8913	8198.288	7	CCDC88C		CCDC88C	CCDC88C	1.9715999999999998	7	1
10_MACS_peak_15688_lociStitched	chr22	23188609	23248961	10	47579	329383.1104	8539.808	8	IGLL5	MIR650	IGLL5	IGLL5	10.8313	8	1
3_MACS_peak_13347_lociStitched	chr2	99054612	99108430	3	49307	295848.3096	11899.1598	9	INPP4A		INPP4A	INPP4A	1.9912	9	1
6_MACS_peak_10955_lociStitched	chr18	9095096	9157557	6	50859	220812.1272	12891.9504	10	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.5699	10	1
3_MACS_peak_14780_lociStitched	chr20	30261713	30312440	3	46517	247243.398	11504.8836	11	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	3.5223	11	1
3_MACS_peak_10023_lociStitched	chr17	32688367	32727274	3	33922	344167.4313	9800.6733	12	CCL1	CCL8,CCL13	CCL1	CCL1	3.6761	12	1
1_MACS_peak_20648_lociStitched	chr6	7879142	7919804	1	40663	249229.5966	9771.0786	13	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	4.8003	13	1
5_MACS_peak_1513_lociStitched	chr1	154907896	154957929	5	36903	257354.7421	13969.2136	14	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	PYGO2	4.822900000000001	14	1
3_MACS_peak_18508_lociStitched	chr4	90204978	90246772	3	30835	306408.5316	9081.8362	15	GPRIN3		GPRIN3	GPRIN3	3.8503000000000003	15	1
5_MACS_peak_10066_lociStitched	chr17	34597614	34641732	5	37617	238184.2584	11236.8546	16	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	16	1
6_MACS_peak_9820_lociStitched	chr17	16847897	16895580	6	32954	262013.3167	9126.5262	17	TNFRSF13B		TNFRSF13B	TNFRSF13B	3.5448000000000004	17	1
5_MACS_peak_14822_lociStitched	chr20	32398778	32449174	5	37118	174864.0408	10089.2792	18	CHMP4B		CHMP4B	CHMP4B	2.6654	18	1
6_MACS_peak_21237_lociStitched	chr6	52392511	52443091	6	38711	140384.79	9933.912	19	TRAM2		TRAM2	TRAM2	1.9436	19	1
3_MACS_peak_10533_lociStitched	chr17	62149775	62187297	3	37409	148744.7124	7767.054	20	ERN1	SNORD104,SNORA76	ERN1	ERN1	2.1203	20	1
5_MACS_peak_11173_lociStitched	chr18	46440275	46482995	5	37472	122691.84	8360.304	21	SMAD7		SMAD7	SMAD7	2.7462	21	1
6_MACS_peak_20541_lociStitched	chr6	289975	337949	6	33358	203184.2822	15505.1968	22	DUSP22		DUSP22	DUSP22	2.6763	22	1
3_MACS_peak_24338_lociStitched	chr8	120915106	120948957	3	32906	193323.061	6502.7771	23	DEPDC6	DSCC1	DEPDC6	DEPDC6	1.3620999999999999	23	1
2_MACS_peak_7629_lociStitched	chr14	106024472	106052942	2	26993	248861.964	5565.885	24		TMEM121	TMEM121	TMEM121	0.015199999999999991	24	1
6_MACS_peak_20029_lociStitched	chr5	131789537	131837969	6	32056	181377.84	9894.6576	25	C5orf56,IRF1	IL5	IRF1	IRF1	1.1404	25	1
6_MACS_peak_20440_lociStitched	chr5	173309959	173357171	6	36520	81978.9168	7728.6044	26	CPEB4		CPEB4	CPEB4	0.9138	26	1
7_MACS_peak_9328_lociStitched	chr16	68269996	68320800	7	33841	141616.15	9601.956	27	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	SLC7A6	1.6594	27	1
3_MACS_peak_10062_lociStitched	chr17	34509591	34540256	3	26524	234277.5335	8868.318	28	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	7.9338	28	1
7_MACS_peak_17684_lociStitched	chr3	183220101	183261507	7	29769	191084.5494	11440.4778	29	KLHL6		KLHL6	KLHL6	2.8374	29	1
4_MACS_peak_3612_lociStitched	chr10	125821729	125854974	4	30973	163409.1485	6353.1195	30	CHST15		CHST15	CHST15	1.7263	30	1
6_MACS_peak_9439_lociStitched	chr16	78763611	78805007	6	35268	43051.84	4387.976	31	WWOX		WWOX	WWOX	0.0305	31	1
5_MACS_peak_7750_lociStitched	chr15	31616728	31660660	5	32278	128619.7164	7855.0416	32	KLF13		KLF13	KLF13	1.9747	32	1
5_MACS_peak_2088_lociStitched	chr1	206271968	206311041	5	24384	221344.6377	10838.8502	33	C1orf186	AVPR1B,CTSE	C1orf186	C1orf186	2.7231	33	1
5_MACS_peak_23010_lociStitched	chr7	102062846	102093328	5	25813	196861.9006	6044.5806	34	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	3.3430999999999997	34	1
1_MACS_peak_2633_lociStitched	chr10	11202397	11224043	1	21647	231157.634	6398.5576	35	CELF2		CELF2	CELF2	0.9719999999999999	35	1
5_MACS_peak_18301_lociStitched	chr4	71515064	71555236	5	25897	188736.0904	8219.1912	36	UTP3,IGJ	ENAM,RUFY3	IGJ	IGJ	3.8233	36	1
5_MACS_peak_3529_lociStitched	chr10	112600035	112633392	5	23078	213631.5708	6688.0785	37	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	6.3968	37	1
2_MACS_peak_3931_lociStitched	chr11	22676707	22704600	2	23887	201638.497	4973.3219	38	GAS2	FANCF	GAS2	GAS2	1.2465	38	1
4_MACS_peak_7636_lociStitched	chr14	106143797	106173264	4	25282	185450.5645	3871.9638	39			TMEM121	TMEM121	0.015199999999999991	39	1
3_MACS_peak_20026_lociStitched	chr5	131744619	131774527	3	24626	193764.9596	6690.4196	40	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	4.4957	40	1
4_MACS_peak_6078_lociStitched	chr12	109009379	109036401	4	23015	207223.6114	6258.2952	41	SELPLG	TMEM119	SELPLG	SELPLG	8.772300000000001	41	1
1_MACS_peak_21558_lociStitched	chr6	106530224	106556246	1	26023	175453.335	6104.7612	42	PRDM1		PRDM1	PRDM1	5.0478000000000005	42	1
3_MACS_peak_15915_lociStitched	chr22	37610885	37642475	3	28705	137536.542	6491.745	43	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	RAC2	2.3855	43	1
3_MACS_peak_8209_lociStitched	chr15	68568564	68599480	3	29422	120417.82	6418.1616	44	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	3.0989	44	1
2_MACS_peak_4923_lociStitched	chr11	128584997	128618663	2	27875	146928.5238	7137.192	45	FLI1		FLI1	FLI1	1.2703	45	1
8_MACS_peak_12124_lociStitched	chr19	42022449	42070578	8	28703	134520.555	9688.3677	46		CEACAM21	CEACAM21	NONE	NONE	46	1
9_MACS_peak_21879_lociStitched	chr6	138246661	138297737	9	27808	144187.548	8601.1984	47			TNFAIP3	TNFAIP3	2.5065	47	1
2_MACS_peak_15698_lociStitched	chr22	23269400	23286071	2	16188	238988.7876	4189.4223	48		IGLL5	IGLL5	IGLL5	10.8313	48	1
4_MACS_peak_23427_lociStitched	chr7	150053119	150084950	4	25937	161367.2545	8387.4685	49	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	REPIN1	6.4479999999999995	49	1
5_MACS_peak_16215_lociStitched	chr3	5222098	5256348	5	28819	108260.825	6514.35	50	ARL8B,EDEM1		EDEM1	EDEM1	2.0724	50	1
4_MACS_peak_10951_lociStitched	chr18	9054643	9085266	4	19227	219695.5266	6372.6463	51		NDUFV2	NDUFV2	NDUFV2	4.0224	51	1
3_MACS_peak_15719_lociStitched	chr22	24176697	24200900	3	16574	228212.5073	4859.9624	52	SMARCB1,SLC2A11,DERL3	MIF	DERL3	DERL3	2.2867	52	1
1_MACS_peak_5564_lociStitched	chr12	53845207	53874844	1	29638	59697.8091	6594.2325	53	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	PCBP2	1.3578999999999999	53	1
6_MACS_peak_23714_lociStitched	chr8	27208530	27253044	6	27916	108115.6032	8698.0356	54	PTK2B	TRIM35	PTK2B	PTK2B	0.9118	54	1
2_MACS_peak_10151_lociStitched	chr17	38459047	38484344	2	21203	182722.7607	5284.5433	55	CDC6,RARA	RARA,GJD3	RARA	RARA	3.0449	55	1
2_MACS_peak_17553_lociStitched	chr3	171801697	171827278	2	21646	180036.5199	7369.8861	56	FNDC3B		FNDC3B	FNDC3B	0.4798	56	1
3_MACS_peak_2638_lociStitched	chr10	11278933	11313242	3	26635	96600.4204	6583.8971	57	CELF2		CELF2	CELF2	0.9719999999999999	57	1
4_MACS_peak_3820_lociStitched	chr11	10314479	10345128	4	22172	163359.17	6687.6118	58	ADM,SBF2		ADM	ADM	7.7604	58	1
5_MACS_peak_14754_lociStitched	chr20	25261137	25303012	5	24423	133811.5625	6586.9375	59	PYGB,ABHD12		PYGB	PYGB	1.1881	59	1
1_MACS_peak_5549_lociStitched	chr12	53582467	53604464	1	21998	159339.6689	5371.6674	60	ZNF740,ITGB7,RARG	MFSD5,CSAD	ITGB7	ITGB7	5.9629	60	1
3_MACS_peak_22642_lociStitched	chr7	55616042	55643205	3	26896	77990.4056	5562.9824	61	VOPP1		VOPP1	VOPP1	2.5744	61	1
3_MACS_peak_17261_lociStitched	chr3	133178967	133201183	3	18125	192601.612	5329.6184	62	BFSP2		BFSP2	BFSP2	2.342	62	1
1_MACS_peak_4274_lociStitched	chr11	65183305	65200047	1	16743	199889.4348	4726.2666	63	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	12.4837	63	1
5_MACS_peak_8287_lociStitched	chr15	75063209	75093273	5	25205	107544.9408	5973.7168	64	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	2.9508	64	1
1_MACS_peak_15478_lociStitched	chr21	41324428	41344368	1	19941	175370.306	6691.864	65			PCP4	PCP4	0.33429999999999993	65	1
5_MACS_peak_10770_lociStitched	chr17	76710836	76746757	5	26107	86986.2936	7004.595	66	CYTH1		CYTH1	CYTH1	1.3151000000000002	66	1
