GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
ENGASE	NM_001042573	chr17:77078190-77297617,chr17:77015729-77035734	1,437	1	0.7968999999999999
RBFOX3	NM_001082575	chr17:77078190-77297617,chr17:77344718-77493399,chr17:77522838-77545559	1,8,532	1	1.2301
C1QTNF1	NM_198593	chr17:77015729-77035734,chr17:77078190-77297617	1,437	1	1.2781
ONECUT3	NM_001080488	chr19:1668836-1813165	2	1	2.0356
ATP8B3	NM_138813	chr19:1668836-1813165	2	1	1.5858
LOC100288123	NR_034114	chr19:1668836-1813165	2	1	0.0
TCF3	NM_001136139	chr19:1668836-1813165	2	1	0.0
MIR1909	NR_031730	chr19:1668836-1813165	2	1	0.32699999999999996
REXO1	NM_020695	chr19:1668836-1813165	2	1	0.07949999999999999
BAHCC1	NM_001080519	chr17:79316467-79474262	3	1	1.8323999999999998
MIR3186	NR_036152	chr17:79316467-79474262	3	1	2.1408
FSCN2	NM_012418	chr17:79316467-79474262	3	1	0.4196000000000001
SLC38A10	NM_138570	chr17:79316467-79474262,chr17:79272741-79301524	3,227	1	0.0
C17orf55	NM_178519	chr17:79272741-79301524,chr17:79316467-79474262	3,227	1	1.7441
TMEM105	NM_178520	chr17:79272741-79301524,chr17:79316467-79474262	3,227	1	1.4987
ACTG1	NM_001614	chr17:79316467-79474262	3	1	0.2045
C17orf70	NM_025161	chr17:79316467-79474262	3	1	0.0
CACNA1H	NM_021098	chr16:1204113-1342062,chr16:1144022-1202099	4,59	1	1.6388
TPSAB1	NM_003294	chr16:1204113-1342062	4	1	1.5812
TPSD1	NM_012217	chr16:1204113-1342062	4	1	1.8715
TPSG1	NM_012467	chr16:1204113-1342062	4	1	2.1500000000000004
TPSB2	NM_024164	chr16:1204113-1342062	4	1	1.5933
UBE2I	NM_194261	chr16:1204113-1342062	4	1	0.004699999999999996
BAIAP3	NM_001199097	chr16:1204113-1342062	4	1	0.8067
CASZ1	NM_001079843	chr1:10755015-10903301,chr1:10696298-10753572	5,63	1	1.437
DLX4	NM_138281	chr17:47938377-48078691	6	1	1.7066000000000001
DLX3	NM_005220	chr17:47938377-48078691	6	1	1.559
TAC4	NM_001077503	chr17:47938377-48078691	6	1	0.0918
ATCAY	NM_033064	chr19:3773047-3910688,chr19:3912558-3953121	7,140	1	1.107
MATK	NM_002378	chr19:3773047-3910688	7	1	1.2306
ZFR2	NM_015174	chr19:3773047-3910688,chr19:3912558-3953121	7,140	1	1.6303
TJP3	NM_014428	chr19:3727894-3747279,chr19:3773047-3910688,chr19:3707686-3726664	7,470,560	1	1.0012
MRPL54	NM_172251	chr19:3773047-3910688,chr19:3727894-3747279,chr19:3707686-3726664	7,470,560	1	0.0
ITGB1BP3	NM_170678	chr19:3912558-3953121,chr19:3773047-3910688	7,140	1	1.5935
APBA3	NM_004886	chr19:3773047-3910688,chr19:3727894-3747279,chr19:3707686-3726664	7,470,560	1	0.04040000000000002
RAX2	NM_032753	chr19:3773047-3910688,chr19:3727894-3747279,chr19:3707686-3726664	7,470,560	1	0.3073
BAIAP2	NM_017451	chr17:78991634-79095259	9	1	2.0488
FLJ90757	NR_026857	chr17:78991634-79095259	9	1	1.7771
AATK	NM_001080395	chr17:78991634-79095259,chr17:79112537-79147268	9,158	1	1.6643
CHMP6	NM_024591	chr17:78991634-79095259	9	1	0.2913
MIR3065	NR_036151	chr17:78991634-79095259,chr17:79112537-79147268	9,158	1	1.5553000000000001
LOC388428	NR_027255	chr17:79112537-79147268,chr17:78991634-79095259	9,158	1	1.5672
MIR657	NR_030394	chr17:78991634-79095259,chr17:79112537-79147268	9,158	1	1.4968
MIR338	NR_029897	chr17:78991634-79095259,chr17:79112537-79147268	9,158	1	1.556
MIR1250	NR_031652	chr17:78991634-79095259,chr17:79112537-79147268	9,158	1	1.8033
FSTL3	NM_005860	chr19:681112-794294	10	1	1.557
PALM	NM_002579	chr19:681112-794294	10	1	1.9525
C19orf21	NM_173481	chr19:681112-794294	10	1	1.7155
PRSSL1	NM_214710	chr19:681112-794294	10	1	1.6802
FGF22	NM_020637	chr19:681112-794294	10	1	0.1813
PTBP1	NM_031991	chr19:681112-794294,chr19:817327-863772	10,109	1	0.06720000000000001
MIR3187	NR_036154	chr19:681112-794294,chr19:817327-863772	10,109	1	0.11710000000000004
AZU1	NM_001700	chr19:817327-863772,chr19:681112-794294	10,109	1	1.6772
PRTN3	NM_002777	chr19:817327-863772,chr19:681112-794294	10,109	1	1.7628
POLRMT	NM_005035	chr19:681112-794294	10	1	0.027700000000000002
RNF126	NM_194460	chr19:681112-794294	10	1	0.131
LPPR3	NM_024888	chr19:817327-863772,chr19:681112-794294	10,109	1	0.5746
NTSR1	NM_002531	chr20:61313047-61424092	11	1	1.5036
SLCO4A1	NM_016354	chr20:61313047-61424092	11	1	0.05729999999999999
C20orf20	NM_018270	chr20:61313047-61424092,chr20:61445732-61470719	11,341	1	0.1243
OGFR	NM_007346	chr20:61313047-61424092,chr20:61445732-61470719	11,341	1	0.4657
COL9A3	NM_001853	chr20:61445732-61470719,chr20:61313047-61424092	11,341	1	1.0157
LOC100127888	NR_024470	chr20:61313047-61424092	11	1	0.0
GABRD	NM_000815	chr1:1914569-2044272,chr1:1867798-1910481	12,146	1	1.4451
PRKCZ	NM_002744	chr1:1914569-2044272,chr1:2088058-2117209	12,305	1	0.8748
KIAA1751	NM_001080484	chr1:1914569-2044272,chr1:1867798-1910481	12,146	1	0.9754999999999999
NXN	NM_022463	chr17:724900-854477,chr17:855488-882348,chr17:700224-723694	13,393,414	1	0.9817
RNMTL1	NM_018146	chr17:724900-854477,chr17:700224-723694	13,414	1	0.0218
TIMM22	NM_013337	chr17:724900-854477,chr17:855488-882348	13,393	1	0.06830000000000003
GLOD4	NM_016080	chr17:724900-854477,chr17:700224-723694	13,414	1	0.0
PRRX2	NM_016307	chr9:132406572-132520085	14	1	1.2549000000000001
PTGES	NM_004878	chr9:132406572-132520085,chr9:132521137-132551989	14,349	1	1.3106
METTL11A	NM_014064	chr9:132406572-132520085	14	1	0.1075
TOR1B	NM_014506	chr9:132406572-132520085,chr9:132521137-132551989	14,349	1	0.026899999999999993
C9orf50	NM_199350	chr9:132406572-132520085	14	1	0.8040999999999999
ASB6	NM_017873	chr9:132406572-132520085	14	1	0.1982
C20orf151	NM_080833	chr20:60984630-61072552	15	1	1.6597
GATA5	NM_080473	chr20:60984630-61072552	15	1	1.8666
