REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X15_0EX1_0229Kronos_MM1S.KB.3hr.1_H3K27Ac_hs.dm_i25.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
9_MACS_peak_23820_lociStitched	chr6	108878301	108961425	9	76551	168101.6652	11994.7932	1	FOXO3		FOXO3	FOXO3	1.4862000000000002	1	1
11_MACS_peak_19205_lociStitched	chr3	141079122	141160545	11	70813	494001.4833	15209.8164	2	ZBTB38	RASA2	ZBTB38	ZBTB38	3.5465	2	1
9_MACS_peak_9792_lociStitched	chr16	11761587	11843254	9	68971	231199.277	14455.059	3	SNN,TXNDC11	ZC3H7A	TXNDC11	TXNDC11	2.9042	3	1
6_MACS_peak_14189_lociStitched	chr2	37525717	37593660	6	53182	249119.8038	12304.4773	4	QPCT,PRKD3		QPCT	QPCT	3.8457000000000003	4	1
7_MACS_peak_12203_lociStitched	chr18	9095057	9158864	7	51816	204763.0437	10764.2409	5	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.4971	5	1
3_MACS_peak_16450_lociStitched	chr20	30261737	30312264	3	47685	204366.5569	9938.6609	6	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	2.904	6	1
5_MACS_peak_8298_lociStitched	chr14	91829237	91886027	5	47194	170125.803	6065.172	7	CCDC88C		CCDC88C	CCDC88C	1.3260999999999998	7	1
5_MACS_peak_14849_lociStitched	chr2	99054837	99107982	5	44954	185332.5585	9597.987	8	INPP4A		INPP4A	INPP4A	1.2138	8	1
2_MACS_peak_22776_lociStitched	chr6	7878487	7919616	2	40909	238408.3614	8221.6871	9	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	5.1643	9	1
3_MACS_peak_1382_lociStitched	chr1	118141979	118188247	3	37669	161702.0332	5084.8532	10	FAM46C		FAM46C	FAM46C	4.233	10	1
6_MACS_peak_12453_lociStitched	chr18	46440475	46482781	6	36427	92552.8362	7200.4812	11	SMAD7		SMAD7	SMAD7	2.0509	11	1
5_MACS_peak_10475_lociStitched	chr16	78768031	78804986	5	34547	40343.7735	3603.1125	12	WWOX		WWOX	WWOX	0.023700000000000006	12	1
7_MACS_peak_11745_lociStitched	chr17	62150060	62186844	7	32836	76845.4544	6260.6368	13	ERN1	SNORD104,SNORA76	ERN1	ERN1	1.1178	13	1
9_MACS_peak_11207_lociStitched	chr17	34597841	34641215	9	32665	84974.0034	8570.7024	14	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	14	1
7_MACS_peak_22665_lociStitched	chr6	290131	337800	7	32491	208113.3202	15835.6418	15	DUSP22		DUSP22	DUSP22	2.7529	15	1
3_MACS_peak_16494_lociStitched	chr20	32398629	32436209	3	29857	97933.48	6599.048	16	CHMP4B		CHMP4B	CHMP4B	2.1534	16	1
5_MACS_peak_4039_lociStitched	chr10	125822037	125854765	5	29831	105721.2584	6084.1352	17	CHST15		CHST15	CHST15	1.132	17	1
3_MACS_peak_6228_lociStitched	chr12	53845153	53874830	3	29404	47708.7452	5365.6016	18	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	PCBP2	1.0986	18	1
3_MACS_peak_9102_lociStitched	chr15	68568647	68599590	3	29376	96467.8968	5532.6084	19	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	2.715	19	1
5_MACS_peak_22549_lociStitched	chr5	173310030	173344021	5	28002	57036.898	5622.1114	20	CPEB4		CPEB4	CPEB4	0.7044	20	1
2_MACS_peak_16026_lociStitched	chr2	232686871	232714834	2	27941	49969.881	3540.1158	21		COPS7B,PDE6D,MIR1471	COPS7B	COPS7B	0.07850000000000001	21	1
7_MACS_peak_10359_lociStitched	chr16	68278131	68320840	7	27578	60791.9906	7166.5702	22	PLA2G15,SLC7A6	PRMT7,ESRP2,SLC7A6OS	SLC7A6	SLC7A6	0.5722	22	1
4_MACS_peak_23441_lociStitched	chr6	52392662	52424751	4	26945	93019.5932	5554.6059	23	TRAM2		TRAM2	TRAM2	1.5027000000000001	23	1
3_MACS_peak_8451_lociStitched	chr14	106024643	106052811	3	26606	184706.0264	4658.9872	24		TMEM121	TMEM121	TMEM121	0.11270000000000001	24	1
7_MACS_peak_5692_lociStitched	chr12	7045691	7085693	7	26261	86076.3036	6808.3404	25	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	PTPN6	2.4513000000000003	25	1
4_MACS_peak_24929_lociStitched	chr7	55616120	55643056	4	26228	67603.9728	4907.7392	26	VOPP1		VOPP1	VOPP1	1.9106	26	1
1_MACS_peak_23787_lociStitched	chr6	106530435	106556568	1	26134	178485.7767	5124.6813	27	PRDM1		PRDM1	PRDM1	5.164000000000001	27	1
2_MACS_peak_1689_lociStitched	chr1	154907910	154936473	2	25681	183320.1903	8337.5397	28	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	PBXIP1	4.232	28	1
2_MACS_peak_20493_lociStitched	chr4	90204452	90230139	2	25651	199331.12	5430.2318	29	GPRIN3		GPRIN3	GPRIN3	2.6902	29	1
5_MACS_peak_17667_lociStitched	chr22	37611068	37642222	5	24986	85617.4228	5648.2202	30	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	RAC2	1.6949999999999998	30	1
4_MACS_peak_17995_lociStitched	chr3	5222373	5256346	4	24963	69111.2739	5625.9288	31	ARL8B,EDEM1		EDEM1	EDEM1	1.3925	31	1
6_MACS_peak_26832_lociStitched	chr8	120916686	120947713	6	24709	61995.0487	5051.1956	32	DEPDC6	DSCC1	DEPDC6	DEPDC6	0.4415	32	1
2_MACS_peak_5527_lociStitched	chr11	128585153	128610102	2	24589	82708.4299	5019.7388	33	FLI1		FLI1	FLI1	0.8058	33	1
5_MACS_peak_4794_lociStitched	chr11	65183322	65212294	5	24540	204956.6196	6443.3728	34	NEAT1,MIR612	FRMD8,SLC25A45	NEAT1	NEAT1	12.7767	34	1
2_MACS_peak_2933_lociStitched	chr10	11278938	11304708	2	24468	76320.432	4664.37	35	CELF2		CELF2	CELF2	1.4765000000000001	35	1
5_MACS_peak_16422_lociStitched	chr20	25261527	25303060	5	24245	134454.7809	6562.214	36	PYGB,ABHD12		PYGB	PYGB	1.1992	36	1
