GENE_ID	locusLine	bin_1_MM.1S.jin.bam
1_MACS_peak_1_lociStitched	chr1(.):28599-29929	2.2202
1_MACS_peak_2_lociStitched	chr1(.):540403-540764	0.4719
1_MACS_peak_3_lociStitched	chr1(.):713250-714828	1.6747
1_MACS_peak_4_lociStitched	chr1(.):762111-763574	1.5911
2_MACS_peak_5_lociStitched	chr1(.):879001-880435	0.9558
1_MACS_peak_7_lociStitched	chr1(.):894134-894658	1.1777
2_MACS_peak_8_lociStitched	chr1(.):948378-949410	1.1029
1_MACS_peak_10_lociStitched	chr1(.):954910-955311	0.3956
1_MACS_peak_11_lociStitched	chr1(.):1050992-1051560	1.1244
2_MACS_peak_12_lociStitched	chr1(.):1072004-1072696	0.8034
1_MACS_peak_14_lociStitched	chr1(.):1079727-1080117	0.7654
2_MACS_peak_15_lociStitched	chr1(.):1166728-1168043	1.3569
1_MACS_peak_17_lociStitched	chr1(.):1208541-1209842	1.3703
3_MACS_peak_18_lociStitched	chr1(.):1242825-1244873	1.5236
1_MACS_peak_21_lociStitched	chr1(.):1259495-1261305	1.3674
1_MACS_peak_22_lociStitched	chr1(.):1284943-1285444	1.418
2_MACS_peak_23_lociStitched	chr1(.):1310070-1311466	1.375
2_MACS_peak_25_lociStitched	chr1(.):1333831-1335447	1.7415
1_MACS_peak_27_lociStitched	chr1(.):1341851-1343413	1.7561
1_MACS_peak_28_lociStitched	chr1(.):1353389-1353762	1.043
1_MACS_peak_29_lociStitched	chr1(.):1397530-1398057	0.8711
1_MACS_peak_30_lociStitched	chr1(.):1406611-1408180	1.4892
1_MACS_peak_31_lociStitched	chr1(.):1440545-1441056	0.7832
1_MACS_peak_32_lociStitched	chr1(.):1446465-1448272	2.3776
1_MACS_peak_33_lociStitched	chr1(.):1509317-1510942	2.9946
1_MACS_peak_34_lociStitched	chr1(.):1538331-1538755	0.8299
1_MACS_peak_35_lociStitched	chr1(.):1545944-1546224	0.5284
1_MACS_peak_36_lociStitched	chr1(.):1550702-1551957	2.2508
1_MACS_peak_37_lociStitched	chr1(.):1565841-1566477	1.3897
1_MACS_peak_38_lociStitched	chr1(.):1589973-1591467	1.9898
1_MACS_peak_39_lociStitched	chr1(.):1606491-1608091	1.4312
1_MACS_peak_40_lociStitched	chr1(.):1609118-1610587	1.8982
1_MACS_peak_41_lociStitched	chr1(.):1623077-1625424	2.1236
1_MACS_peak_42_lociStitched	chr1(.):1655256-1656633	1.4095
1_MACS_peak_43_lociStitched	chr1(.):1668986-1670976	1.6815
1_MACS_peak_44_lociStitched	chr1(.):1676150-1678648	2.3553
2_MACS_peak_45_lociStitched	chr1(.):1708577-1713250	2.3282
1_MACS_peak_47_lociStitched	chr1(.):1755945-1756341	0.6473
3_MACS_peak_48_lociStitched	chr1(.):1771963-1775324	0.9277
1_MACS_peak_51_lociStitched	chr1(.):1821198-1823365	1.4951
1_MACS_peak_52_lociStitched	chr1(.):1828036-1829007	1.1907
1_MACS_peak_53_lociStitched	chr1(.):1837859-1839024	0.9698
2_MACS_peak_54_lociStitched	chr1(.):1839603-1841853	1.3808
1_MACS_peak_56_lociStitched	chr1(.):1850156-1850756	1.1925
2_MACS_peak_57_lociStitched	chr1(.):2125935-2126621	0.6735
1_MACS_peak_59_lociStitched	chr1(.):2158741-2159123	0.9455
1_MACS_peak_60_lociStitched	chr1(.):2222294-2222628	0.9644
2_MACS_peak_61_lociStitched	chr1(.):2231433-2233177	1.507
1_MACS_peak_63_lociStitched	chr1(.):2323174-2323846	1.6363
2_MACS_peak_64_lociStitched	chr1(.):2343355-2345238	1.2942
2_MACS_peak_66_lociStitched	chr1(.):2457005-2458103	0.7792
1_MACS_peak_68_lociStitched	chr1(.):2477756-2481135	1.7057
1_MACS_peak_69_lociStitched	chr1(.):2486778-2488923	1.6274
2_MACS_peak_70_lociStitched	chr1(.):2516484-2518686	1.6479
1_MACS_peak_72_lociStitched	chr1(.):2574047-2574685	2.0568
2_MACS_peak_73_lociStitched	chr1(.):3087024-3087768	0.9136
1_MACS_peak_75_lociStitched	chr1(.):3540797-3541354	0.9687
1_MACS_peak_76_lociStitched	chr1(.):3547404-3547773	0.5592
1_MACS_peak_77_lociStitched	chr1(.):3566059-3566703	0.88
1_MACS_peak_78_lociStitched	chr1(.):3568371-3569664	1.1355
1_MACS_peak_79_lociStitched	chr1(.):3589439-3590080	0.9077
1_MACS_peak_80_lociStitched	chr1(.):3689319-3689553	0.5042
1_MACS_peak_81_lociStitched	chr1(.):3712236-3713034	1.5637
1_MACS_peak_82_lociStitched	chr1(.):3773325-3773782	0.7814
1_MACS_peak_83_lociStitched	chr1(.):3816247-3818071	2.3765
1_MACS_peak_84_lociStitched	chr1(.):4439884-4440195	0.637
1_MACS_peak_85_lociStitched	chr1(.):4997991-4998361	0.7125
1_MACS_peak_86_lociStitched	chr1(.):5281261-5281556	0.6307
3_MACS_peak_87_lociStitched	chr1(.):6051709-6054832	1.7653
3_MACS_peak_90_lociStitched	chr1(.):6084170-6087049	1.5487
2_MACS_peak_93_lociStitched	chr1(.):6258911-6260438	1.9489
2_MACS_peak_95_lociStitched	chr1(.):6295326-6296580	1.5909
1_MACS_peak_97_lociStitched	chr1(.):6419387-6419926	0.7828
1_MACS_peak_98_lociStitched	chr1(.):6452776-6454346	1.3962
1_MACS_peak_99_lociStitched	chr1(.):6550219-6551154	0.8749
1_MACS_peak_100_lociStitched	chr1(.):6613878-6614786	1.9903
1_MACS_peak_101_lociStitched	chr1(.):6639965-6640637	1.5188
1_MACS_peak_102_lociStitched	chr1(.):6660585-6664579	2.2796
2_MACS_peak_103_lociStitched	chr1(.):6672771-6674668	1.5809
1_MACS_peak_105_lociStitched	chr1(.):6684863-6685932	0.8793
2_MACS_peak_106_lociStitched	chr1(.):6733456-6735020	0.755
2_MACS_peak_108_lociStitched	chr1(.):6761042-6762396	1.8249
