GENE_ID	locusLine	bin_1_43_0EXV_0229Kronos_MM1S-KB-24hr-1_Input_hs_i87.bam
1_MACS_peak_1_lociStitched	chr1(.):28290-30233	0.2911
1_MACS_peak_2_lociStitched	chr1(.):713099-715395	0.2132
1_MACS_peak_3_lociStitched	chr1(.):761708-763648	0.2221
1_MACS_peak_4_lociStitched	chr1(.):879249-880576	0.1466
3_MACS_peak_5_lociStitched	chr1(.):893724-902792	0.1076
1_MACS_peak_8_lociStitched	chr1(.):948001-949508	0.2516
1_MACS_peak_9_lociStitched	chr1(.):1051055-1051842	0.201
1_MACS_peak_10_lociStitched	chr1(.):1092819-1094107	0.1271
1_MACS_peak_11_lociStitched	chr1(.):1166037-1167540	0.2152
1_MACS_peak_12_lociStitched	chr1(.):1184918-1185806	0.0638
1_MACS_peak_13_lociStitched	chr1(.):1207960-1210102	0.1481
1_MACS_peak_14_lociStitched	chr1(.):1242443-1244988	0.1647
1_MACS_peak_15_lociStitched	chr1(.):1259314-1261591	0.1581
1_MACS_peak_16_lociStitched	chr1(.):1284896-1285511	0.0743
1_MACS_peak_17_lociStitched	chr1(.):1309386-1311719	0.1656
2_MACS_peak_18_lociStitched	chr1(.):1333496-1343541	0.1693
1_MACS_peak_20_lociStitched	chr1(.):1396746-1398839	0.2208
1_MACS_peak_21_lociStitched	chr1(.):1405979-1408614	0.1704
2_MACS_peak_22_lociStitched	chr1(.):1439576-1448832	0.1524
1_MACS_peak_24_lociStitched	chr1(.):1509065-1511263	0.2046
2_MACS_peak_25_lociStitched	chr1(.):1545069-1552467	0.1176
1_MACS_peak_27_lociStitched	chr1(.):1589449-1591782	0.2776
2_MACS_peak_28_lociStitched	chr1(.):1606237-1611239	0.1919
1_MACS_peak_30_lociStitched	chr1(.):1622485-1625718	0.2493
1_MACS_peak_31_lociStitched	chr1(.):1654762-1656919	0.2248
2_MACS_peak_32_lociStitched	chr1(.):1668796-1678984	0.1852
1_MACS_peak_34_lociStitched	chr1(.):1708166-1715290	0.1806
1_MACS_peak_35_lociStitched	chr1(.):1755017-1756113	0.1456
1_MACS_peak_36_lociStitched	chr1(.):1772722-1775178	0.2032
2_MACS_peak_37_lociStitched	chr1(.):1821115-1829510	0.1309
1_MACS_peak_39_lociStitched	chr1(.):1838385-1840943	0.1331
2_MACS_peak_40_lociStitched	chr1(.):2120596-2127423	0.1211
1_MACS_peak_42_lociStitched	chr1(.):2158372-2159415	0.0785
1_MACS_peak_43_lociStitched	chr1(.):2221466-2223103	0.2054
1_MACS_peak_44_lociStitched	chr1(.):2231227-2233410	0.1787
1_MACS_peak_45_lociStitched	chr1(.):2322153-2324305	0.176
1_MACS_peak_46_lociStitched	chr1(.):2343054-2346246	0.2074
1_MACS_peak_47_lociStitched	chr1(.):2456724-2458464	0.1599
2_MACS_peak_48_lociStitched	chr1(.):2476902-2489263	0.1706
2_MACS_peak_50_lociStitched	chr1(.):2508877-2518630	0.1151
1_MACS_peak_52_lociStitched	chr1(.):2573755-2574971	0.1944
2_MACS_peak_53_lociStitched	chr1(.):3540511-3547486	0.118
1_MACS_peak_55_lociStitched	chr1(.):3565722-3566869	0.2489
1_MACS_peak_56_lociStitched	chr1(.):3589222-3590389	0.1591
1_MACS_peak_57_lociStitched	chr1(.):3712120-3713575	0.1919
1_MACS_peak_58_lociStitched	chr1(.):3772842-3775074	0.1602
1_MACS_peak_59_lociStitched	chr1(.):3815900-3818353	0.2857
1_MACS_peak_60_lociStitched	chr1(.):4066451-4068664	0.1019
1_MACS_peak_61_lociStitched	chr1(.):4856242-4857134	0.1324
1_MACS_peak_62_lociStitched	chr1(.):6051385-6055708	0.2342
