#24_0F2A_0229Kronos_MM1S-KB-1hr-2_H3K27me3_hs-dm_i06_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/24_0F2A_0229Kronos_MM1S-KB-1hr-2_H3K27me3_hs-dm_i06_ROSE/24_0F2A_0229Kronos_MM1S-KB-1hr-2_H3K27me3_hs-dm_i06_peaks_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X24_0F2A_0229Kronos_MM1S.KB.1hr.2_H3K27me3_hs.dm_i06.bam
#Using cutoff of 14046.2756 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X24_0F2A_0229Kronos_MM1S.KB.1hr.2_H3K27me3_hs.dm_i06.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	isStretch
11_MACS_peak_16575_lociStitched	chr17	77083780	77199216	11	113553	241018.8244	10862.5276	1	1
23_MACS_peak_16627_lociStitched	chr17	77354060	77455598	23	98091	163476.18	10732.5666	2	1
7_MACS_peak_37202_lociStitched	chr9	139525934	139614843	7	88100	205904.3531	9397.6813	3	1
8_MACS_peak_17389_lociStitched	chr19	681203	769468	8	86962	204033.374	12824.9045	4	1
7_MACS_peak_24654_lociStitched	chr20	60984675	61072386	7	86638	204007.0149	8604.4491	5	1
5_MACS_peak_6945_lociStitched	chr11	1982251	2063134	5	80395	209333.2923	7991.2404	6	1
4_MACS_peak_627_lociStitched	chr1	3408394	3488285	4	79414	174553.8459	6622.9639	7	1
17_MACS_peak_27618_lociStitched	chr22	46295871	46374716	17	75846	145547.87	7182.7795	8	1
19_MACS_peak_17708_lociStitched	chr19	3360344	3434846	19	71533	124373.6388	10050.3198	9	1
15_MACS_peak_531_lociStitched	chr1	3099376	3167709	15	67006	107303.3099	5323.1407	10	1
5_MACS_peak_16973_lociStitched	chr17	79009545	79075142	5	65391	174225.632	7747.0057	11	1
12_MACS_peak_287_lociStitched	chr1	2346631	2411265	12	62420	125099.107	6146.6934	12	1
14_MACS_peak_13739_lociStitched	chr17	1042143	1106225	14	61695	118647.823	7395.0628	13	1
19_MACS_peak_29984_lociStitched	chr4	9211678	9274618	19	61426	197209.902	22293.348	14	1
6_MACS_peak_25263_lociStitched	chr21	44155798	44218059	6	61222	144962.2863	9625.5506	15	1
13_MACS_peak_15487_lociStitched	chr17	47952638	48014449	13	60486	104911.8103	6712.6746	16	1
9_MACS_peak_26597_lociStitched	chr22	37772194	37831511	9	58679	107227.3409	6275.7386	17	1
11_MACS_peak_1756_lociStitched	chr1	10792302	10851998	11	58143	100665.3648	6339.7152	18	1
7_MACS_peak_17773_lociStitched	chr19	3798184	3856452	7	57861	124827.5364	8612.0104	19	1
3_MACS_peak_21291_lociStitched	chr19	48406099	48462661	3	56028	131048.4978	21193.7814	20	1
8_MACS_peak_11710_lociStitched	chr16	1144911	1202512	8	55954	121284.6656	4694.4815	21	1
19_MACS_peak_24965_lociStitched	chr20	62807507	62866170	19	55787	96518.2339	6505.7267	22	1
12_MACS_peak_7360_lociStitched	chr11	61442499	61499334	12	54678	91726.0065	5990.409	23	1
9_MACS_peak_17822_lociStitched	chr19	4183669	4239187	9	53798	97267.536	9493.578	24	1
11_MACS_peak_24720_lociStitched	chr20	61585490	61640684	11	53726	105668.913	5596.6716	25	1
5_MACS_peak_2174_lociStitched	chr1	17012365	17066270	5	53265	176113.0255	15050.276	26	1
13_MACS_peak_35956_lociStitched	chr9	133769879	133825566	13	53192	112432.053	5407.2077	27	1
16_MACS_peak_21494_lociStitched	chr19	49520944	49575079	16	51801	89474.328	5895.3015	28	1
13_MACS_peak_34424_lociStitched	chr8	142359397	142412509	13	51655	87326.7504	5114.6856	29	1
6_MACS_peak_17018_lociStitched	chr17	79399928	79452104	6	51566	124544.112	4643.664	30	1
10_MACS_peak_26582_lociStitched	chr22	37711563	37763770	10	50834	92234.1069	5638.356	31	1
4_MACS_peak_24785_lociStitched	chr20	61850412	61901356	4	50817	114145.1264	5965.5424	32	1
12_MACS_peak_192_lociStitched	chr1	1934571	1985687	12	49212	85465.952	5080.9304	33	1
17_MACS_peak_35735_lociStitched	chr9	132426935	132478745	17	49088	83061.792	4958.217	34	1
3_MACS_peak_21660_lociStitched	chr19	50594162	50643160	3	48980	98814.2666	15713.6586	35	1
7_MACS_peak_17469_lociStitched	chr19	1704033	1753672	7	48481	122514.0159	7128.1604	36	1
19_MACS_peak_9200_lociStitched	chr12	3359298	3409098	19	47724	71114.4	4940.16	37	1
8_MACS_peak_37194_lociStitched	chr9	139477231	139525149	8	47229	98174.3984	4465.9576	38	1
7_MACS_peak_24821_lociStitched	chr20	62074625	62123073	7	47017	97041.344	4418.4576	39	1
11_MACS_peak_9638_lociStitched	chr12	54356829	54405734	11	46825	89686.8795	5413.7835	40	1
12_MACS_peak_37114_lociStitched	chr9	138870369	138918511	12	46645	82188.0224	4241.3102	41	1
5_MACS_peak_277_lociStitched	chr1	2246734	2293965	5	46457	106855.4144	4246.0669	42	1
2_MACS_peak_18623_lociStitched	chr19	8851097	8897611	2	46454	190846.942	24843.1274	43	1
12_MACS_peak_30003_lociStitched	chr4	9324637	9370797	12	45213	141226.52	15832.88	44	1
8_MACS_peak_19565_lociStitched	chr19	18070178	18115720	8	44761	71974.5768	4809.2352	45	1
7_MACS_peak_34396_lociStitched	chr8	142012933	142058059	7	43940	82995.7392	5821.254	46	1
5_MACS_peak_17857_lociStitched	chr19	4557201	4601641	5	43642	95874.856	7337.044	47	1
11_MACS_peak_36391_lociStitched	chr9	136377440	136422666	11	43570	79986.7036	4468.3288	48	1
7_MACS_peak_6980_lociStitched	chr11	2163413	2208245	7	43352	81585.2736	3730.0224	49	1
8_MACS_peak_26549_lociStitched	chr22	37469396	37514511	8	42986	76555.6435	5301.0125	50	1
11_MACS_peak_24667_lociStitched	chr20	61169810	61213371	11	42323	80043.3375	4434.5098	51	1
2_MACS_peak_17429_lociStitched	chr19	1286380	1328665	2	42286	148073.613	5797.2735	52	1
12_MACS_peak_29838_lociStitched	chr4	8586832	8630941	12	41633	65898.846	3599.2944	53	1
1_MACS_peak_25489_lociStitched	chr21	46301200	46342605	1	41406	128740.5665	7134.0815	54	1
3_MACS_peak_25824_lociStitched	chr22	20152350	20193068	3	40428	87832.7978	3872.2818	55	1
8_MACS_peak_36093_lociStitched	chr9	135053293	135094423	8	40405	66223.413	4001.949	56	1
6_MACS_peak_11718_lociStitched	chr16	1204082	1244977	6	40043	83875.645	3377.927	57	1
11_MACS_peak_11724_lociStitched	chr16	1245506	1286645	11	39723	90678.5838	3636.6876	58	1
5_MACS_peak_35542_lociStitched	chr9	129376644	129416465	5	39669	80518.062	4002.0105	59	1
7_MACS_peak_25827_lociStitched	chr22	20197223	20237948	7	39559	81808.38	4158.0225	60	1
4_MACS_peak_24812_lociStitched	chr20	62022248	62062230	4	39221	80947.5572	3246.5384	61	1
6_MACS_peak_17006_lociStitched	chr17	79326989	79367597	6	39003	80935.8048	3821.2128	62	1
9_MACS_peak_25248_lociStitched	chr21	44091153	44131530	9	38968	73595.1579	6080.7762	63	1
10_MACS_peak_28430_lociStitched	chr3	50219273	50258337	10	38055	67748.6952	4492.36	64	1
14_MACS_peak_3328_lociStitched	chr1	22558258	22597953	14	38016	57867.371	4164.0055	65	1
7_MACS_peak_5299_lociStitched	chr1	228744106	228782559	7	37817	52992.0793	18861.1965	66	1
5_MACS_peak_11694_lociStitched	chr16	1044496	1082545	5	36962	76486.0998	3359.7267	67	1
2_MACS_peak_31063_lociStitched	chr6	31991202	32028182	2	36846	99638.912	4940.528	68	1
6_MACS_peak_25544_lociStitched	chr21	46717543	46755083	6	36808	94991.216	5169.258	69	1
10_MACS_peak_37160_lociStitched	chr9	139058217	139096948	10	36659	72643.8636	3237.9116	70	1
10_MACS_peak_6689_lociStitched	chr11	1025432	1063194	10	36344	76086.6538	4059.415	71	1
4_MACS_peak_25570_lociStitched	chr21	46882873	46919987	4	36174	89912.3764	5311.0134	72	1
6_MACS_peak_1750_lociStitched	chr1	10755007	10791629	6	36087	71599.6722	3497.401	73	1
8_MACS_peak_9976_lociStitched	chr13	113627503	113664316	8	36077	65140.6035	3810.1455	74	1
3_MACS_peak_37175_lociStitched	chr9	139216977	139253127	3	35804	104234.91	3264.345	75	1
7_MACS_peak_18135_lociStitched	chr19	5991261	6027745	7	35376	62157.7908	5786.3624	76	1
5_MACS_peak_24682_lociStitched	chr20	61315711	61351643	5	35338	70340.4832	3798.0124	77	1
