GENE_ID	locusLine	bin_1_MOLP-8.jin.bam
1_MACS_peak_1_lociStitched	chr1(.):28644-29389	3.8662
2_MACS_peak_2_lociStitched	chr1(.):713369-714871	3.4488
1_MACS_peak_4_lociStitched	chr1(.):762258-763497	2.7826
2_MACS_peak_5_lociStitched	chr1(.):878985-880634	1.6416
1_MACS_peak_7_lociStitched	chr1(.):893844-894692	1.8149
1_MACS_peak_8_lociStitched	chr1(.):948788-949400	1.9303
1_MACS_peak_9_lociStitched	chr1(.):955031-955223	1.0794
1_MACS_peak_10_lociStitched	chr1(.):1051087-1051522	1.4529
2_MACS_peak_11_lociStitched	chr1(.):1166050-1167455	2.1246
1_MACS_peak_13_lociStitched	chr1(.):1167957-1168265	1.173
2_MACS_peak_14_lociStitched	chr1(.):1208363-1209769	1.7616
3_MACS_peak_16_lociStitched	chr1(.):1242660-1244771	1.5439
2_MACS_peak_19_lociStitched	chr1(.):1259480-1260810	2.0236
1_MACS_peak_21_lociStitched	chr1(.):1283133-1284487	1.673
1_MACS_peak_22_lociStitched	chr1(.):1285002-1285319	1.2561
2_MACS_peak_23_lociStitched	chr1(.):1309482-1311466	2.0216
2_MACS_peak_25_lociStitched	chr1(.):1333472-1335988	3.5266
1_MACS_peak_27_lociStitched	chr1(.):1341589-1343702	3.8886
1_MACS_peak_28_lociStitched	chr1(.):1346770-1347909	3.9751
1_MACS_peak_29_lociStitched	chr1(.):1353345-1353735	1.3512
3_MACS_peak_30_lociStitched	chr1(.):1406684-1408514	2.352
1_MACS_peak_33_lociStitched	chr1(.):1410866-1411274	1.3323
1_MACS_peak_34_lociStitched	chr1(.):1440456-1440888	1.3902
3_MACS_peak_35_lociStitched	chr1(.):1446304-1449594	3.3713
1_MACS_peak_38_lociStitched	chr1(.):1509102-1510960	5.8116
2_MACS_peak_39_lociStitched	chr1(.):1550060-1551994	3.0351
2_MACS_peak_41_lociStitched	chr1(.):1563443-1566550	2.3563
1_MACS_peak_43_lociStitched	chr1(.):1589796-1591328	3.7813
2_MACS_peak_44_lociStitched	chr1(.):1607007-1608438	2.0003
1_MACS_peak_46_lociStitched	chr1(.):1608976-1610579	2.9323
1_MACS_peak_47_lociStitched	chr1(.):1622846-1625233	4.3607
2_MACS_peak_48_lociStitched	chr1(.):1654989-1656663	3.0901
2_MACS_peak_50_lociStitched	chr1(.):1669760-1671202	1.7756
1_MACS_peak_52_lociStitched	chr1(.):1676130-1678517	4.183
2_MACS_peak_53_lociStitched	chr1(.):1709199-1713324	3.8366
1_MACS_peak_55_lociStitched	chr1(.):1737844-1738112	1.1603
3_MACS_peak_56_lociStitched	chr1(.):1821152-1823992	3.2938
3_MACS_peak_59_lociStitched	chr1(.):1828188-1829529	1.4208
