REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	EJM.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
5_MACS_peak_8494_lociStitched	chr14	106023613	106057829	5	34052	274230.9752	1	1		TMEM121	TMEM121	TMEM121	0.1927	1	1
6_MACS_peak_8252_lociStitched	chr14	91829526	91857703	6	26863	194046.5459	2	1	CCDC88C		CCDC88C	CCDC88C	2.4255	2	1
5_MACS_peak_8500_lociStitched	chr14	106143465	106175689	5	31288	190411.616	3	1			TMEM121	TMEM121	0.1927	3	1
1_MACS_peak_11610_lociStitched	chr17	43386533	43397102	1	10570	173131.8459	4	1	MAP3K14	LOC100133991,C17orf46	MAP3K14	MAP3K14	4.0705	4	1
3_MACS_peak_18339_lociStitched	chr22	23268226	23287802	3	19377	141090.1048	5	1		IGLL5	IGLL5	IGLL5	0.3097	5	1
3_MACS_peak_4535_lociStitched	chr11	62223401	62234799	3	11157	106166.671	6	1	AHNAK	SCGB1A1	SCGB1A1	SCGB1A1	0.6957	6	1
2_MACS_peak_5178_lociStitched	chr11	111230527	111251877	2	21326	96700.555	7	1	POU2AF1		POU2AF1	POU2AF1	2.7632	7	1
1_MACS_peak_23605_lociStitched	chr6	315191	330552	1	15362	95734.3603	8	1	DUSP22		DUSP22	DUSP22	2.6229	8	1
4_MACS_peak_4673_lociStitched	chr11	65183550	65198693	4	14720	88286.7186	9	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	5.7473	9	1
3_MACS_peak_20090_lociStitched	chr3	141116052	141133771	3	17416	88182.1473	10	1	ZBTB38		RASA2	RASA2	NONE	10	1
4_MACS_peak_20086_lociStitched	chr3	141094036	141111319	4	16716	87277.4217	11	1	ZBTB38		ZBTB38	ZBTB38	1.7686	11	1
4_MACS_peak_27934_lociStitched	chr8	129276480	129289981	4	13229	80307.9983	12	1			MIR1208	MIR1208	NONE	12	1
6_MACS_peak_16622_lociStitched	chr2	201979622	201997775	6	17677	78774.9435	13	1	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	CFLAR	1.5269	13	1
4_MACS_peak_14886_lociStitched	chr2	20404986	20426320	4	20854	77809.3648	14	1	SDC1		SDC1	SDC1	2.3647	14	1
5_MACS_peak_1552_lociStitched	chr1	118168564	118189651	5	20200	73882.5219	15	1	FAM46C		FAM46C	FAM46C	2.134	15	1
3_MACS_peak_1558_lociStitched	chr1	118193625	118209346	3	15553	67194.6982	16	1		FAM46C	FAM46C	FAM46C	2.134	16	1
3_MACS_peak_12513_lociStitched	chr18	9060391	9072182	3	11545	65131.1258	17	1		NDUFV2	NDUFV2	NDUFV2	1.8399	17	1
5_MACS_peak_22308_lociStitched	chr5	55435050	55449408	5	14113	64026.6294	18	1	ANKRD55		ANKRD55	ANKRD55	0.8104	18	1
3_MACS_peak_23716_lociStitched	chr6	7895779	7913728	3	17746	62252.5167	19	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	1.8311	19	1
1_MACS_peak_11831_lociStitched	chr17	56407557	56417863	1	10307	60368.4256	20	1	MIR142	MPO,BZRAP1,SUPT4H1	MIR142	MIR142	3.3809	20	1
2_MACS_peak_26342_lociStitched	chr7	102063619	102070411	2	6601	57382.8912	21	1	PRKRIP1	ORAI2,LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	3.1657	21	1
1_MACS_peak_8262_lociStitched	chr14	91879261	91885416	1	6156	56093.5925	22	1	CCDC88C		CCDC88C	CCDC88C	2.4255	22	1
2_MACS_peak_26347_lociStitched	chr7	102080498	102088958	2	8435	55053.45	23	1	ORAI2	PRKRIP1,LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	3.1657	23	1
3_MACS_peak_24200_lociStitched	chr6	32935489	32942713	3	6834	54971.7504	24	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	2.6044	24	1
5_MACS_peak_14829_lociStitched	chr2	11884117	11896200	5	11850	53654.5615	25	1	LPIN1		LPIN1	LPIN1	0.7068	25	1
5_MACS_peak_1976_lociStitched	chr1	156456617	156472859	5	15923	53358.2184	26	1	MEF2D		MEF2D	MEF2D	1.6519	26	1
5_MACS_peak_23416_lociStitched	chr5	173160073	173174426	5	13566	53120.453	27	1			BOD1	BOD1	NONE	27	1
2_MACS_peak_6868_lociStitched	chr12	123370643	123381598	2	10520	53091.2165	28	1	VPS37B		VPS37B	VPS37B	1.9013	28	1
2_MACS_peak_17440_lociStitched	chr20	37498595	37507295	2	8672	50963.73	29	1	PPP1R16B	FAM83D	FAM83D	FAM83D	0.3134	29	1
9_MACS_peak_8175_lociStitched	chr14	81935770	81957757	9	20872	50183.1288	30	1	SEL1L		SEL1L	SEL1L	0.8567	30	1
2_MACS_peak_18089_lociStitched	chr21	44725861	44735527	2	9539	48986.3214	31	1			SIK1	SIK1	1.6335	31	1
3_MACS_peak_14068_lociStitched	chr19	39891590	39904475	3	12650	48932.076	32	1	ZFP36,PLEKHG2	MED29,SUPT5H,PAF1,RPS16	ZFP36	ZFP36	3.7656	32	1
4_MACS_peak_23998_lociStitched	chr6	27093944	27104329	4	9921	47389.8705	33	1	HIST1H2AG,HIST1H2BJ	HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BK	HIST1H2BJ	HIST1H2BJ	4.3089	33	1
3_MACS_peak_15428_lociStitched	chr2	65157459	65168722	3	10840	47140.1602	34	1	LOC400958	SLC1A4	LOC400958	LOC400958	1.2219	34	1
5_MACS_peak_18638_lociStitched	chr22	38782988	38798078	5	14623	46714.113	35	1	LOC400927	KCNJ4	LOC400927	LOC400927	0.9336	35	1
6_MACS_peak_28724_lociStitched	chr9	93675801	93690026	6	13368	46192.8425	36	1			SYK	SYK	0.4936	36	1
1_MACS_peak_8339_lociStitched	chr14	95980120	95987166	1	7047	45939.92	37	1		GLRX5,C14orf49,SCARNA13,SNHG10	SCARNA13	SCARNA13	1.9075	37	1
2_MACS_peak_26397_lociStitched	chr7	104651095	104657413	2	6014	45857.9394	38	1	MLL5,LOC100216545		LOC100216545	LOC100216545	3.6307	38	1
1_MACS_peak_10074_lociStitched	chr16	30193939	30199303	1	5365	45843.9624	39	1	CORO1A		CORO1A	CORO1A	3.6046	39	1
4_MACS_peak_6828_lociStitched	chr12	122233899	122244744	4	10466	45785.421	40	1	SETD1B,LOC338799	RHOF	LOC338799	LOC338799	2.9378	40	1
4_MACS_peak_27607_lociStitched	chr8	95951940	95964760	4	11969	45745.606	41	1	TP53INP1	CCNE2	TP53INP1	TP53INP1	1.5717	41	1
1_MACS_peak_6773_lociStitched	chr12	120971203	120978874	1	7672	45547.3296	42	1	RNF10	DYNLL1,COQ5,POP5	RNF10	RNF10	1.2644	42	1
2_MACS_peak_1880_lociStitched	chr1	154908061	154918834	2	10303	45272.4552	43	1	PMVK,PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1	PMVK	PYGO2	1.7213	43	1
2_MACS_peak_407_lociStitched	chr1	23850277	23858650	2	8315	44998.1766	44	1	E2F2	ASAP3,ID3	E2F2	E2F2	1.5167	44	1
3_MACS_peak_17553_lociStitched	chr20	45976895	45987186	3	10021	44094.8768	45	1	ZMYND8	LOC100131496	ZMYND8	ZMYND8	0.4633	45	1
3_MACS_peak_21907_lociStitched	chr5	1312104	1321613	3	9483	43060.5556	46	1	CLPTM1L	TERT	TERT	TERT	0.2155	46	1
7_MACS_peak_12530_lociStitched	chr18	9134752	9147838	7	11941	42372.468	47	1	ANKRD12	NDUFV2	ANKRD12	NDUFV2	1.8399	47	1
3_MACS_peak_16889_lociStitched	chr2	232570350	232576046	3	5415	42349.1904	48	1	PTMA	MIR1244-1	PTMA	PTMA	3.3709	48	1
2_MACS_peak_4533_lociStitched	chr11	62210797	62219032	2	8199	42152.4945	49	1	AHNAK	SCGB1A1	SCGB1A1	SCGB1A1	0.6957	49	1
1_MACS_peak_24153_lociStitched	chr6	31701912	31709299	1	7388	41837.7519	50	1	MSH5,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,BAT5,LY6G6E,LY6G6C,DDAH2,C6orf27	CLIC1	CLIC1	3.3498	50	1
1_MACS_peak_4540_lociStitched	chr11	62305329	62315133	1	9805	41689.5492	51	1	AHNAK	EEF1G,TUT1	AHNAK	AHNAK	2.0351	51	1
8_MACS_peak_20365_lociStitched	chr3	171811230	171826942	8	15086	41309.9904	52	1	FNDC3B		FNDC3B	FNDC3B	0.287	52	1
2_MACS_peak_11270_lociStitched	chr17	32712453	32721656	2	9191	40819.9065	53	1		CCL13,CCL1	CCL1	CCL1	1.3282	53	1
3_MACS_peak_2446_lociStitched	chr1	203288212	203298453	3	10212	40414.0583	54	1		BTG2,LOC730227,FMOD	BTG2	LOC730227	2.3144	54	1
2_MACS_peak_13609_lociStitched	chr19	16475231	16484831	2	9594	39682.56	55	1	EPS15L1	KLF2	KLF2	KLF2	1.9924	55	1
2_MACS_peak_13625_lociStitched	chr19	16694223	16701245	2	6984	39274.046	56	1	MED26	CHERP,SLC35E1	SLC35E1	CHERP	0.3032	56	1
1_MACS_peak_28747_lociStitched	chr9	93795501	93800759	1	5259	38908.6742	57	1		LOC100129316	LOC100129316	LOC100129316	0.2113	57	1
3_MACS_peak_23799_lociStitched	chr6	11827056	11836879	3	9662	38773.3456	58	1		C6orf105	C6orf105	C6orf105	0.8197	58	1
8_MACS_peak_23429_lociStitched	chr5	173310273	173327751	8	16717	38254.0986	59	1	CPEB4		CPEB4	CPEB4	0.9005	59	1
1_MACS_peak_17255_lociStitched	chr20	30291937	30302098	1	10162	37895.4495	60	1	BCL2L1	TPX2	BCL2L1	BCL2L1	1.4888	60	1
4_MACS_peak_28732_lociStitched	chr9	93698320	93708763	4	9862	37674.1668	61	1			SYK	SYK	0.4936	61	1
3_MACS_peak_15494_lociStitched	chr2	70310799	70316961	3	6086	37657.8306	62	1	PCBP1,LOC400960	LOC100133985	LOC400960	LOC100133985	1.2276	62	1
2_MACS_peak_1460_lociStitched	chr1	111173252	111182447	2	9185	37557.897	63	1		KCNA2,KCNA3	KCNA2	KCNA3	1.4476	63	1
4_MACS_peak_12281_lociStitched	chr17	76710428	76722871	4	12226	37526.8437	64	1	CYTH1		CYTH1	CYTH1	0.8912	64	1
2_MACS_peak_15690_lociStitched	chr2	89048977	89056908	2	7835	37103.5973	65	1	RPIA	ANKRD36BP2	ANKRD36BP2	ANKRD36BP2	0.4395	65	1
6_MACS_peak_1544_lociStitched	chr1	118147707	118162113	6	13606	36585.4776	66	1	FAM46C		FAM46C	FAM46C	2.134	66	1
1_MACS_peak_17310_lociStitched	chr20	32468127	32473878	1	5752	36391.1778	67	1			CHMP4B	CHMP4B	NONE	67	1
1_MACS_peak_9823_lociStitched	chr16	11773840	11785228	1	11389	36289.0008	68	1	TXNDC11	SNN	SNN	SNN	1.0588	68	1
1_MACS_peak_26250_lociStitched	chr7	98975496	98980029	1	4534	36277.1457	69	1	ARPC1B	BUD31,PDAP1	ARPC1B	ARPC1B	2.0933	69	1
5_MACS_peak_17947_lociStitched	chr21	34600847	34613070	5	11352	35923.397	70	1	IFNAR2	IL10RB	IFNAR2	IFNAR2	1.1681	70	1
4_MACS_peak_9834_lociStitched	chr16	11826152	11837820	4	11165	35921.1048	71	1	TXNDC11		TXNDC11	TXNDC11	1.5027	71	1
3_MACS_peak_12212_lociStitched	chr17	75203459	75210802	3	7236	35891.1154	72	1	SEC14L1		SEC14L1	SEC14L1	1.0866	72	1
2_MACS_peak_26527_lociStitched	chr7	121943608	121951486	2	7869	35874.8364	73	1	LOC154860,FEZF1		FEZF1	FEZF1	1.9267	73	1
2_MACS_peak_1762_lociStitched	chr1	150532217	150541762	2	9541	35871.0645	74	1	ADAMTSL4	MIR4257,MCL1	MIR4257	MCL1	1.3166	74	1
3_MACS_peak_12208_lociStitched	chr17	75135677	75145038	3	9089	35802.0806	75	1	SEC14L1	SEC14L1	SEC14L1	SEC14L1	1.0866	75	1
3_MACS_peak_23807_lociStitched	chr6	12007088	12014065	3	6639	35604.3287	76	1	HIVEP1		HIVEP1	HIVEP1	0.4458	76	1
1_MACS_peak_25868_lociStitched	chr7	47513606	47522120	1	8515	35506.7856	77	1	TNS3		TNS3	TNS3	0.3988	77	1
2_MACS_peak_26632_lociStitched	chr7	130789464	130795893	2	6292	35437.2909	78	1	MKLN1,FLJ43663		FLJ43663	FLJ43663	0.4546	78	1
3_MACS_peak_24037_lociStitched	chr6	27857128	27864305	3	7061	35363.2321	79	1	HIST1H2BO,HIST1H3J,HIST1H2AM	HIST1H2AL,HIST1H1B,HIST1H3I,HIST1H4L,OR2B2	HIST1H2AM	HIST1H2AM	3.5009	79	1
5_MACS_peak_6156_lociStitched	chr12	57021674	57031395	5	8779	35363.0538	80	1	BAZ2A	SNORD59B,SNORD59A,ATP5B	BAZ2A	ATP5B	1.6485	80	1
3_MACS_peak_23600_lociStitched	chr6	291072	298364	3	7065	35318.802	81	1	DUSP22		DUSP22	DUSP22	2.6229	81	1
2_MACS_peak_3095_lociStitched	chr10	15826417	15838008	2	11556	35259.822	82	1	FAM188A		FAM188A	FAM188A	0.5547	82	1
2_MACS_peak_12868_lociStitched	chr18	60821562	60830652	2	9026	34943.778	83	1	BCL2		BCL2	BCL2	0.5518	83	1
3_MACS_peak_11365_lociStitched	chr17	36856360	36863469	3	6981	34622.9627	84	1	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	MLLT6	1.1712	84	1
5_MACS_peak_24002_lociStitched	chr6	27105699	27115979	5	9661	34564.444	85	1	HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BK	HIST1H2AG,HIST1H2BJ	HIST1H4I	HIST1H2BJ	4.3089	85	1
2_MACS_peak_4935_lociStitched	chr11	72861643	72871005	2	9338	34244.3236	86	1		FCHSD2	FCHSD2	FCHSD2	0.1682	86	1
2_MACS_peak_2511_lociStitched	chr1	206728278	206738412	2	10109	34147.5264	87	1	RASSF5	LGTN	RASSF5	RASSF5	0.7284	87	1
2_MACS_peak_18330_lociStitched	chr22	23241753	23250487	2	8722	34060.8532	88	1		IGLL5	IGLL5	IGLL5	0.3097	88	1
3_MACS_peak_28743_lociStitched	chr9	93731025	93738784	3	7255	33988.2995	89	1			LOC100129316	LOC100129316	0.2113	89	1
1_MACS_peak_13474_lociStitched	chr19	12898878	12905676	1	6799	33961.4484	90	1	JUNB	BEST2,RNASEH2A,MAST1,HOOK2,PRDX2,RTBDN	JUNB	JUNB	3.0975	90	1
1_MACS_peak_6119_lociStitched	chr12	56320019	56326487	1	6469	33955.0596	91	1	DGKA,WIBG	CDK2,RAB5B,SILV	WIBG	WIBG	1.0627	91	1
2_MACS_peak_4714_lociStitched	chr11	65623901	65629747	2	5781	33755.9732	92	1	MUS81,CFL1	SNX32,CTSW,CCDC85B,EFEMP2,FIBP,FOSL1	CFL1	CFL1	2.5999	92	1
8_MACS_peak_512_lociStitched	chr1	27018597	27029304	8	9913	33692.7876	93	1	ARID1A		ARID1A	ARID1A	0.5835	93	1
2_MACS_peak_13582_lociStitched	chr19	16186158	16191519	2	5298	33289.6656	94	1	TPM4	FLJ25328,RAB8A	TPM4	TPM4	1.0941	94	1
3_MACS_peak_6163_lociStitched	chr12	57076707	57084095	3	7021	33169.1648	95	1	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	ATP5B	1.6485	95	1
2_MACS_peak_26344_lociStitched	chr7	102071639	102077008	2	5324	33017.7393	96	1	ORAI2	PRKRIP1,LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	3.1657	96	1
2_MACS_peak_23952_lociStitched	chr6	26194954	26200907	2	5916	32936.7584	97	1	HIST1H2BF,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2BE,HIST1H4E,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H4D,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	HIST1H3D	3.0478	97	1
2_MACS_peak_26333_lociStitched	chr7	101945238	101952602	2	7066	32871.4232	98	1	SH2B2	MIR4285,SPDYE6	MIR4285	MIR4285	1.0364	98	1
1_MACS_peak_6923_lociStitched	chr12	125398288	125406445	1	8158	32829.4779	99	1	UBC	SCARB1	UBC	UBC	2.141	99	1
4_MACS_peak_23422_lociStitched	chr5	173213396	173223083	4	8842	32727.5295	100	1			CPEB4	CPEB4	0.9005	100	1
2_MACS_peak_12524_lociStitched	chr18	9101440	9109679	2	8204	32562.9997	101	1	NDUFV2	ANKRD12	NDUFV2	NDUFV2	1.8399	101	1
6_MACS_peak_6061_lociStitched	chr12	53590801	53603523	6	12202	32450.0054	102	1	ITGB7	ZNF740,MFSD5,CSAD,RARG	ITGB7	ITGB7	1.4901	102	1
1_MACS_peak_8266_lociStitched	chr14	91974948	91977807	1	2860	32285.5434	103	1	SMEK1		SMEK1	SMEK1	0.7789	103	1
1_MACS_peak_19001_lociStitched	chr3	14159422	14167589	1	8168	32177.98	104	1	TMEM43,CHCHD4		CHCHD4	CHCHD4	1.5422	104	1
3_MACS_peak_53_lociStitched	chr1	1706934	1715157	3	8126	32109.9927	105	1	NADK	SLC35E2,NADK	NADK	NADK	1.1551	105	1
2_MACS_peak_23504_lociStitched	chr5	176852169	176859816	2	7405	31678.4622	106	1	GRK6	SLC34A1,PRR7,PFN3,F12,DBN1	GRK6	GRK6	1.5674	106	1
2_MACS_peak_28213_lociStitched	chr9	5625093	5631760	2	6338	31554.2443	107	1	KIAA1432	KIAA1432	KIAA1432	KIAA1432	0.3231	107	1
1_MACS_peak_5265_lociStitched	chr11	118658697	118664291	1	5595	31429.3296	108	1	DDX6		DDX6	DDX6	0.7104	108	1
7_MACS_peak_2811_lociStitched	chr1	234739453	234749369	7	9313	31403.972	109	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	2.4615	109	1
3_MACS_peak_26692_lociStitched	chr7	139473224	139479300	3	5979	31367.9576	110	1	TBXAS1,HIPK2	TBXAS1	HIPK2	TBXAS1	0.7087	110	1
3_MACS_peak_18979_lociStitched	chr3	13050962	13061710	3	10510	31349.7664	111	1	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.339	111	1
2_MACS_peak_8237_lociStitched	chr14	91579312	91583983	2	4512	31291.029	112	1	C14orf159	SNORA11B	C14orf159	C14orf159	0.5763	112	1
2_MACS_peak_1660_lociStitched	chr1	145448094	145457212	2	9065	31237.3562	113	1	POLR3GL	HFE2,TXNIP,ANKRD34A,LIX1L	TXNIP	TXNIP	1.745	113	1
2_MACS_peak_25929_lociStitched	chr7	55597914	55605293	2	7190	30893.6593	114	1	VOPP1		VOPP1	VOPP1	0.8828	114	1
2_MACS_peak_23986_lociStitched	chr6	26532237	26539865	2	7592	30691.258	115	1	HMGN4	BTN1A1,HCG11	HMGN4	HMGN4	1.696	115	1
2_MACS_peak_8816_lociStitched	chr15	45015860	45023380	2	7429	30680.096	116	1		B2M,TRIM69,PATL2	TRIM69	B2M	1.7092	116	1
1_MACS_peak_17708_lociStitched	chr20	56252755	56258821	1	6067	30595.0842	117	1	PMEPA1		PMEPA1	PMEPA1	0.9902	117	1
3_MACS_peak_23792_lociStitched	chr6	11727273	11736569	3	9136	30444.4	118	1	C6orf105		C6orf105	C6orf105	0.8197	118	1
3_MACS_peak_26390_lociStitched	chr7	104580074	104587152	3	6903	30421.244	119	1		LOC723809	LOC723809	LOC723809	0.231	119	1
3_MACS_peak_17570_lociStitched	chr20	46385738	46393188	3	7352	30212.73	120	1	SULF2		SULF2	SULF2	0.4244	120	1
2_MACS_peak_16884_lociStitched	chr2	232534641	232540243	2	5171	30105.148	121	1		PTMA,MIR1244-1	PTMA	PTMA	3.3709	121	1
1_MACS_peak_169_lociStitched	chr1	9374220	9381276	1	7057	30088.1952	122	1	SPSB1		SPSB1	SPSB1	0.6088	122	1
4_MACS_peak_6591_lociStitched	chr12	109021275	109031352	4	9837	29915.5899	123	1	SELPLG	TMEM119	SELPLG	SELPLG	1.6144	123	1
3_MACS_peak_24031_lociStitched	chr6	27802642	27808279	3	5222	29911.0494	124	1	HIST1H2BN,HIST1H2AK	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H4J,HIST1H2AL,HIST1H2BL,HIST1H2AJ,HIST1H4K,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H2AK	HIST1H2AK	2.9598	124	1
2_MACS_peak_26189_lociStitched	chr7	92459647	92466866	2	7210	29787.7597	125	1	CDK6		CDK6	CDK6	0.4757	125	1
1_MACS_peak_9942_lociStitched	chr16	21527220	21532444	1	5225	29775.2328	126	1	SLC7A5P2	LOC100271836	SLC7A5P2	SLC7A5P2	2.6495	126	1
2_MACS_peak_26687_lociStitched	chr7	139042802	139046813	2	3915	29699.4495	127	1	LUC7L2	C7orf55	LUC7L2	C7orf55	1.4688	127	1
2_MACS_peak_20232_lociStitched	chr3	156804622	156811880	2	7255	29542.9632	128	1	LOC100498859,LOC339894		LOC100498859	LOC100498859	2.3907	128	1
2_MACS_peak_20053_lociStitched	chr3	135912120	135917396	2	5181	29533.4652	129	1	MSL2		MSL2	MSL2	0.6779	129	1
1_MACS_peak_15234_lociStitched	chr2	47208404	47214353	1	5950	29526.6717	130	1	TTC7A	MCFD2	MCFD2	MCFD2	0.4227	130	1
3_MACS_peak_2673_lociStitched	chr1	226308908	226317035	3	8038	29518.8894	131	1			ACBD3	ACBD3	NONE	131	1
2_MACS_peak_9758_lociStitched	chr16	4663507	4668397	2	4836	29452.47	132	1	FAM100A	MGRN1	FAM100A	FAM100A	2.0089	132	1
2_MACS_peak_2436_lociStitched	chr1	203255010	203261383	2	6371	29333.0071	133	1		BTG2,LOC730227	LOC730227	LOC730227	2.3144	133	1
3_MACS_peak_17659_lociStitched	chr20	52203621	52213621	3	9349	29326	134	1		ZNF217	ZNF217	ZNF217	0.4817	134	1
3_MACS_peak_17481_lociStitched	chr20	42306956	42312359	3	5369	29285.8809	135	1	MYBL2	GTSF1L	MYBL2	MYBL2	0.891	135	1
1_MACS_peak_8270_lociStitched	chr14	92586823	92589826	1	3004	28994.2653	136	1	CPSF2,NDUFB1	ATXN3	CPSF2	CPSF2	0.8059	136	1
2_MACS_peak_11616_lociStitched	chr17	43504602	43510826	2	5977	28987.0352	137	1	SH3D20	ARHGAP27,MIR4315-1	SH3D20	SH3D20	2.8258	137	1
2_MACS_peak_24350_lociStitched	chr6	37136474	37140678	2	3952	28950.0052	138	1	PIM1		PIM1	PIM1	2.2009	138	1
2_MACS_peak_4889_lociStitched	chr11	70822913	70829029	2	5960	28808.1948	139	1	SHANK2		MIR3664	MIR3664	NONE	139	1
2_MACS_peak_24255_lociStitched	chr6	34621961	34628120	2	6157	28757.6028	140	1	C6orf106		C6orf106	C6orf106	0.7013	140	1
2_MACS_peak_11405_lociStitched	chr17	37909381	37915196	2	5615	28620.267	141	1		GRB7,C17orf37	GRB7	GRB7	0.464	141	1
3_MACS_peak_13064_lociStitched	chr19	2081750	2091260	3	9453	28318.878	142	1	MOBKL2A	IZUMO4,MKNK2	MOBKL2A	MOBKL2A	1.1318	142	1
2_MACS_peak_24108_lociStitched	chr6	30683625	30690476	2	6823	28219.9541	143	1	TUBB,MDC1	DHX16,KIAA1949,NRM,FLOT1,IER3	TUBB	TUBB	2.0683	143	1
2_MACS_peak_23943_lociStitched	chr6	26122294	26127252	2	4828	28103.4314	144	1	HIST1H2AC,HIST1H2BC	HFE,HIST1H4C,HIST1H1E,HIST1H2BD,HIST1H1T	HIST1H2AC	HIST1H2AC	2.8178	144	1
3_MACS_peak_13500_lociStitched	chr19	13260325	13267072	3	6549	28101.9297	145	1	IER2,STX10	NACC1,LYL1,TRMT1	IER2	IER2	2.0571	145	1
1_MACS_peak_23514_lociStitched	chr5	176934213	176938745	1	4533	28098.4	146	1	DOK3,DDX41	DBN1,PDLIM7,FAM193B	DOK3	DOK3	1.9335	146	1
3_MACS_peak_14795_lociStitched	chr2	10463278	10472857	3	9223	27923.7429	147	1	HPCAL1		HPCAL1	HPCAL1	0.6295	147	1
2_MACS_peak_28003_lociStitched	chr8	134579227	134585670	2	6385	27848.5789	148	1	ST3GAL1		ST3GAL1	ST3GAL1	0.6036	148	1
3_MACS_peak_15886_lociStitched	chr2	112458122	112465732	3	7534	27692.029	149	1			ANAPC1	ANAPC1	NONE	149	1
1_MACS_peak_18184_lociStitched	chr22	16188503	16193788	1	5286	27221.978	150	1			POTEH	POTEH	NONE	150	1
8_MACS_peak_27994_lociStitched	chr8	134508806	134518532	8	8710	27206.5398	151	1	ST3GAL1		ST3GAL1	ST3GAL1	0.6036	151	1
1_MACS_peak_8225_lociStitched	chr14	90847891	90851298	1	3408	27153.79	152	1		CALM1,C14orf102	CALM1	CALM1	0.849	152	1
1_MACS_peak_9975_lociStitched	chr16	23344451	23350244	1	5794	27100.8126	153	1	SCNN1B		SCNN1B	SCNN1B	0.7476	153	1
2_MACS_peak_29307_lociStitched	chr9	134548547	134555523	2	6956	26932.9408	154	1	RAPGEF1		RAPGEF1	RAPGEF1	0.4076	154	1
1_MACS_peak_17220_lociStitched	chr20	25274473	25281837	1	7365	26758.5668	155	1	PYGB,ABHD12		PYGB	PYGB	1.1034	155	1
2_MACS_peak_29407_lociStitched	chr9	139791530	139798146	2	6570	26339.6192	156	1	TRAF2	PHPT1,MAMDC4,C8G,LCN12,EDF1,FBXW5	TRAF2	TRAF2	0.9526	156	1
3_MACS_peak_15114_lociStitched	chr2	37570687	37578695	3	7631	26311.0848	157	1	QPCT	PRKD3	QPCT	QPCT	1.3681	157	1
2_MACS_peak_975_lociStitched	chr1	51441098	51448351	2	7185	26247.8817	158	1		CDKN2C,FAF1	CDKN2C	CDKN2C	3.096	158	1
1_MACS_peak_27938_lociStitched	chr8	129323456	129328719	1	5264	26137.6369	159	1			MIR1208	MIR1208	NONE	159	1
