ENHANCER_ID	CHROM	START	STOP	GENE_LIST
2_MACS_peak_14570_lociStitched	chr22	23264777	23281671	IGLL5
6_MACS_peak_3727_lociStitched	chr11	65183970	65196342	NEAT1,FRMD8,MIR612,SLC25A45
7_MACS_peak_18363_lociStitched	chr6	7904623	7921709	TXNDC5,MUTED-TXNDC5
1_MACS_peak_18258_lociStitched	chr6	289996	300256	DUSP22
4_MACS_peak_18260_lociStitched	chr6	316884	330483	DUSP22
4_MACS_peak_6463_lociStitched	chr14	106037554	106049550	TMEM121
4_MACS_peak_6486_lociStitched	chr14	106157782	106170301	TMEM121
3_MACS_peak_2216_lociStitched	chr1	234742293	234750136	IRF2BP2,NCRNA00184
2_MACS_peak_7345_lociStitched	chr15	100649855	100658852	ADAMTS17
4_MACS_peak_12812_lociStitched	chr2	134876248	134889800	MIR3679
3_MACS_peak_8756_lociStitched	chr17	21197477	21205917	MAP2K3,C17ORF103
6_MACS_peak_12648_lociStitched	chr2	112455663	112466045	ANAPC1
2_MACS_peak_22611_lociStitched	chr9	140061419	140069842	LRRC26,SSNA1,NDOR1,C9ORF169,TPRN,TMEM203,RNF208,GRIN1,MIR3621,ANAPC2
1_MACS_peak_5881_lociStitched	chr13	114562592	114568144	GAS6,FLJ44054
2_MACS_peak_21507_lociStitched	chr8	128806012	128810939	MIR1204,PVT1
2_MACS_peak_12457_lociStitched	chr2	97188182	97195914	ARID5A,NEURL3
2_MACS_peak_18985_lociStitched	chr6	74229357	74234214	EEF1A1
2_MACS_peak_64_lociStitched	chr1	1707647	1714737	NADK,SLC35E2
3_MACS_peak_4431_lociStitched	chr12	4378085	4385433	CCND2,C12ORF5
4_MACS_peak_13626_lociStitched	chr20	25274126	25283368	PYGB,ABHD12
1_MACS_peak_1485_lociStitched	chr1	154971115	154977623	ZBTB7B,CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2
1_MACS_peak_1883_lociStitched	chr1	203255118	203261293	LOC730227,BTG2
5_MACS_peak_7097_lociStitched	chr15	75334442	75341626	PPCDC,SCAMP5
6_MACS_peak_1180_lociStitched	chr1	118169962	118181498	FAM46C
3_MACS_peak_18487_lociStitched	chr6	25403417	25413755	LRRC16A
6_MACS_peak_17443_lociStitched	chr5	63456742	63463916	RNF180
3_MACS_peak_19921_lociStitched	chr7	55598885	55605906	VOPP1
3_MACS_peak_20704_lociStitched	chr7	150064276	150068360	REPIN1,LRRC61,C7ORF29,ZNF775,LOC728743,ACTR3C,RARRES2
5_MACS_peak_9263_lociStitched	chr17	56408151	56417271	MIR142,MPO,BZRAP1,SUPT4H1
3_MACS_peak_487_lociStitched	chr1	27018779	27024772	ARID1A
2_MACS_peak_20477_lociStitched	chr7	113722985	113728266	FOXP2
6_MACS_peak_6537_lociStitched	chr15	21925084	21936145	LOC646214
3_MACS_peak_19543_lociStitched	chr7	5459326	5466458	TNRC18
4_MACS_peak_12554_lociStitched	chr2	107120221	107128052	RGPD3
1_MACS_peak_18696_lociStitched	chr6	32935685	32939783	BRD2,HLA-DMB,HLA-DMA,HLA-DOA
3_MACS_peak_19941_lociStitched	chr7	55635993	55642894	VOPP1
9_MACS_peak_19801_lociStitched	chr7	44668178	44680011	OGDH,TMED4
2_MACS_peak_14648_lociStitched	chr22	29194015	29199630	XBP1,CCDC117
1_MACS_peak_17894_lociStitched	chr5	138723227	138730368	MZB1,PAIP2,SLC23A1,SPATA24,DNAJC18,LOC389333
1_MACS_peak_14360_lociStitched	chr21	43480746	43486333	UMODL1,C21ORF121,C21ORF128
3_MACS_peak_10148_lociStitched	chr18	60822224	60830562	BCL2
2_MACS_peak_8876_lociStitched	chr17	32711959	32719375	CCL1,CCL13
2_MACS_peak_1888_lociStitched	chr1	203289022	203297387	BTG2,LOC730227,FMOD
3_MACS_peak_11847_lociStitched	chr2	27383792	27391140	TCF23,ABHD1,C2ORF28,CAD,CGREF1,PREB,C2ORF53,SLC5A6
9_MACS_peak_6454_lociStitched	chr14	106025724	106035562	TMEM121
1_MACS_peak_20422_lociStitched	chr7	104652202	104656330	LOC100216545,MLL5
2_MACS_peak_8764_lociStitched	chr17	21248368	21253878	KCNJ12
2_MACS_peak_811_lociStitched	chr1	45272196	45278131	BTBD19,RPS8,SNORD55,SNORD46,SNORD38A,SNORD38B,PLK3,BEST4,PTCH2,TCTEX1D4
1_MACS_peak_12183_lociStitched	chr2	70312761	70316981	PCBP1,LOC100133985,LOC400960
1_MACS_peak_6994_lociStitched	chr15	69109489	69113986	ANP32A,MIR548H4,MIR4312,C15ORF28
2_MACS_peak_74_lociStitched	chr1	1837421	1841432	CALML6,GNB1,TMEM52
6_MACS_peak_16021_lociStitched	chr3	141084664	141093378	ZBTB38
5_MACS_peak_6479_lociStitched	chr14	106146025	106154701	TMEM121
4_MACS_peak_18395_lociStitched	chr6	11827888	11835980	C6ORF105
1_MACS_peak_14763_lociStitched	chr22	37771790	37776112	ELFN2
1_MACS_peak_16200_lociStitched	chr3	176913172	176917106	TBL1XR1
2_MACS_peak_7109_lociStitched	chr15	75492322	75497183	C15ORF39
1_MACS_peak_11308_lociStitched	chr19	47729180	47736637	BBC3,CCDC9,PRR24,MIR3190,MIR3191
1_MACS_peak_1537_lociStitched	chr1	156092347	156097315	LMNA,SEMA4A,MEX3A
2_MACS_peak_5375_lociStitched	chr12	122237517	122243628	LOC338799,RHOF,SETD1B
1_MACS_peak_9670_lociStitched	chr17	79022335	79028217	BAIAP2,FLJ90757
4_MACS_peak_6549_lociStitched	chr15	21994719	22003590	CXADRP2
2_MACS_peak_8248_lociStitched	chr16	79039680	79044796	MAF,WWOX
1_MACS_peak_19429_lociStitched	chr6	168579831	168585490	FRMD1
1_MACS_peak_11950_lociStitched	chr2	43357755	43363632	ZFP36L2
2_MACS_peak_17437_lociStitched	chr5	61984151	61990564	LRRC70
2_MACS_peak_14436_lociStitched	chr21	45572979	45578007	C21ORF33,PWP2
1_MACS_peak_14357_lociStitched	chr21	43429081	43431619	ZNF295,C21ORF121
2_MACS_peak_10784_lociStitched	chr19	16186331	16191181	TPM4,FLJ25328,RAB8A
3_MACS_peak_3616_lociStitched	chr11	62318851	62325668	AHNAK,EEF1G,TUT1,MTA2
14_MACS_peak_8253_lociStitched	chr16	79631797	79644554	MAF
4_MACS_peak_14424_lociStitched	chr21	45280953	45286521	AGPAT3,LOC284837
3_MACS_peak_4422_lociStitched	chr12	4224607	4229545	CCND2
4_MACS_peak_3743_lociStitched	chr11	65263707	65268544	MALAT1,SCYL1
4_MACS_peak_7080_lociStitched	chr15	75074376	75083360	CSK,CYP1A2,LMAN1L,CPLX3
3_MACS_peak_3673_lociStitched	chr11	64004602	64010019	FKBP2,FERMT3,NUDT22,DNAJC4,PLCB3,GPR137,KCNK4,TRPT1,PPP1R14B,BAD,VEGFB
4_MACS_peak_18391_lociStitched	chr6	11726454	11733375	C6ORF105
3_MACS_peak_17711_lociStitched	chr5	112785004	112790275	TSSK1B,MCC
3_MACS_peak_12312_lociStitched	chr2	87064921	87070664	CD8B,CD8A
1_MACS_peak_6944_lociStitched	chr15	65183493	65188590	ANKDD1A,PLEKHO2
1_MACS_peak_24_lociStitched	chr1	1078390	1081463	MIR200B,MIR200A,MIR429,TTLL10,C1ORF159
2_MACS_peak_21551_lociStitched	chr8	134579838	134585192	ST3GAL1
1_MACS_peak_14433_lociStitched	chr21	45562230	45566285	C21ORF33,PWP2
6_MACS_peak_17797_lociStitched	chr5	131755764	131764460	C5ORF56
2_MACS_peak_4582_lociStitched	chr12	12876169	12879802	APOLD1,CDKN1B,MIR613,GPR19
4_MACS_peak_21499_lociStitched	chr8	126441275	126447712	TRIB1
6_MACS_peak_12575_lociStitched	chr2	109826691	109835872	MIR4265,SH3RF3
1_MACS_peak_17390_lociStitched	chr5	56110007	56113460	MAP3K1
3_MACS_peak_3613_lociStitched	chr11	62306511	62314690	AHNAK,EEF1G,TUT1
2_MACS_peak_8114_lociStitched	chr16	67594902	67598807	CTCF,FAM65A
2_MACS_peak_3777_lociStitched	chr11	65624576	65628980	CFL1,SNX32,CTSW,CCDC85B,EFEMP2,FIBP,FOSL1,MUS81
4_MACS_peak_7114_lociStitched	chr15	75742763	75748761	SIN3A
1_MACS_peak_15062_lociStitched	chr22	50326829	50330934	CRELD2,PIM3,ALG12
1_MACS_peak_14287_lociStitched	chr21	38737864	38740659	DYRK1A
3_MACS_peak_13653_lociStitched	chr20	30293101	30301444	BCL2L1,TPX2
3_MACS_peak_154_lociStitched	chr1	6977335	6984637	CAMTA1
4_MACS_peak_3571_lociStitched	chr11	60634338	60640679	ZP1,CCDC86,TMEM109,GPR44,PRPF19
1_MACS_peak_7169_lociStitched	chr15	81292214	81294800	MESDC1,MESDC2
4_MACS_peak_9111_lociStitched	chr17	43298549	43306988	FMNL1,LOC100133991,C17ORF46
3_MACS_peak_5882_lociStitched	chr13	114581476	114586295	FLJ44054,GAS6
2_MACS_peak_4580_lociStitched	chr12	12867276	12873274	CDKN1B,APOLD1,MIR613,GPR19
5_MACS_peak_3566_lociStitched	chr11	60605088	60612013	CCDC86,ZP1,GPR44
2_MACS_peak_21374_lociStitched	chr8	103816671	103821433	AZIN1
1_MACS_peak_1486_lociStitched	chr1	154988071	154992891	ZBTB7B,CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,EFNA4,SHC1,DCST2
2_MACS_peak_16100_lociStitched	chr3	152877508	152881365	RAP2B
1_MACS_peak_8007_lociStitched	chr16	56964156	56967054	HERPUD1,CETP
3_MACS_peak_16202_lociStitched	chr3	177074975	177079022	TBL1XR1
3_MACS_peak_23191_lociStitched	chrX	153234468	153239492	HCFC1,MIR3202-1,ARHGAP4,NAA10,RENBP,MIR3202-2,IRAK1,MIR718,TMEM187
2_MACS_peak_13301_lociStitched	chr2	232570923	232575150	PTMA,MIR1244-1
7_MACS_peak_18531_lociStitched	chr6	26358942	26367192	BTN3A2,BTN2A2,BTN3A1
1_MACS_peak_21300_lociStitched	chr8	95959604	95962760	TP53INP1
4_MACS_peak_10810_lociStitched	chr19	16694553	16701167	SLC35E1,CHERP,MED26
2_MACS_peak_14441_lociStitched	chr21	45660217	45664567	ICOSLG,AIRE,DNMT3L
6_MACS_peak_20707_lociStitched	chr7	150070037	150077340	ZNF775,LRRC61,C7ORF29,LOC728743,ACTR3C,RARRES2,REPIN1
2_MACS_peak_22542_lociStitched	chr9	138999754	139003077	C9ORF69,NACC2
3_MACS_peak_16032_lociStitched	chr3	141119236	141124268	ZBTB38
1_MACS_peak_15095_lociStitched	chr22	50967904	50971101	TYMP,ADM2,MIOX,NCAPH2,KLHDC7B,LMF2,SCO2,C22ORF41,CPT1B,ODF3B
2_MACS_peak_9682_lociStitched	chr17	79479037	79482515	ACTG1,FSCN2,C17ORF70
6_MACS_peak_7631_lociStitched	chr16	11771306	11779147	SNN,TXNDC11
1_MACS_peak_18848_lociStitched	chr6	42749340	42751942	TBCC,KIAA0240
1_MACS_peak_5041_lociStitched	chr12	69200820	69203385	MDM2
1_MACS_peak_3545_lociStitched	chr11	58344992	58347497	ZFP91-CNTF,CNTF,LPXN,ZFP91
3_MACS_peak_18881_lociStitched	chr6	43737482	43741731	VEGFA
3_MACS_peak_12011_lociStitched	chr2	47208982	47214733	MCFD2,TTC7A
1_MACS_peak_15003_lociStitched	chr22	46464942	46468590	LOC400931,LOC150381,MIR3619,MIRLET7A3,MIRLET7B,LOC100271722,C22ORF26
4_MACS_peak_7358_lociStitched	chr15	101458358	101464430	LRRK1,ALDH1A3
1_MACS_peak_1323_lociStitched	chr1	149222050	149225024	LOC388692
4_MACS_peak_4242_lociStitched	chr11	117877721	117883865	IL10RA
4_MACS_peak_14573_lociStitched	chr22	23291379	23298770	IGLL5
3_MACS_peak_14393_lociStitched	chr21	44730216	44734852	SIK1
1_MACS_peak_10725_lociStitched	chr19	13949526	13954463	MIR23A,ZSWIM4,MIR181C,MIR181D,NANOS3,LOC284454,MIR24-2,MIR27A
2_MACS_peak_1471_lociStitched	chr1	154830898	154834409	KCNN3
3_MACS_peak_9499_lociStitched	chr17	73871264	73875478	TRIM47,UNC13D,WBP2,TRIM65,MRPL38
3_MACS_peak_12294_lociStitched	chr2	86262121	86267681	LOC90784,POLR1A
2_MACS_peak_1338_lociStitched	chr1	149856696	149860601	HIST2H2AC,BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11,HIST2H2BE,HIST2H2AB
1_MACS_peak_19489_lociStitched	chr7	2393209	2395629	EIF3B,CHST12,SNX8
4_MACS_peak_6621_lociStitched	chr15	31555128	31560350	KLF13
1_MACS_peak_5880_lociStitched	chr13	114556793	114561344	GAS6,FLJ44054
5_MACS_peak_15189_lociStitched	chr3	14161776	14167337	CHCHD4,TMEM43
1_MACS_peak_3899_lociStitched	chr11	67979942	67982067	SUV420H1
3_MACS_peak_14960_lociStitched	chr22	44419446	44423574	PARVB
2_MACS_peak_3879_lociStitched	chr11	67568962	67574076	LOC645332
3_MACS_peak_337_lociStitched	chr1	17230250	17233204	CROCC
1_MACS_peak_20388_lociStitched	chr7	102064039	102067934	ORAI2,LRWD1,ALKBH4,PRKRIP1
2_MACS_peak_9092_lociStitched	chr17	42293883	42298760	UBTF,ASB16,TMUB2,C17ORF65,ATXN7L3,SLC4A1
3_MACS_peak_8672_lociStitched	chr17	16889960	16895262	TNFRSF13B
1_MACS_peak_3890_lociStitched	chr11	67775226	67778504	ALDH3B1,NDUFS8,TCIRG1,UNC93B1
2_MACS_peak_21029_lociStitched	chr8	29629902	29634505	C8ORF75
3_MACS_peak_1334_lociStitched	chr1	149821271	149825326	HIST2H2BC,HIST2H4B,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB,HIST2H2AA4,HIST2H3A
4_MACS_peak_12558_lociStitched	chr2	107136611	107142692	RGPD3
2_MACS_peak_11773_lociStitched	chr2	20421757	20425826	SDC1
1_MACS_peak_21504_lociStitched	chr8	128746516	128751361	MYC
1_MACS_peak_14616_lociStitched	chr22	24822486	24826453	ADORA2A,C22ORF45
3_MACS_peak_6625_lociStitched	chr15	31617084	31622097	KLF13
4_MACS_peak_1839_lociStitched	chr1	200987690	200992833	KIF21B
1_MACS_peak_22128_lociStitched	chr9	100744796	100747961	ANP32B,HEMGN
1_MACS_peak_7842_lociStitched	chr16	30194061	30198207	CORO1A
2_MACS_peak_7603_lociStitched	chr16	9055051	9058674	USP7
3_MACS_peak_13580_lociStitched	chr20	17947036	17950844	SNX5,SNORD17,C20ORF72
5_MACS_peak_11842_lociStitched	chr2	27374817	27382583	TCF23,ABHD1,CGREF1,PREB,C2ORF53
5_MACS_peak_7243_lociStitched	chr15	89655179	89661041	ABHD2
5_MACS_peak_21429_lociStitched	chr8	119574378	119580711	SAMD12
1_MACS_peak_2273_lociStitched	chr1	245025989	245028522	HNRNPU,FAM36A,NCRNA00201
1_MACS_peak_13560_lociStitched	chr20	17628061	17633586	RRBP1,BANF2
3_MACS_peak_15323_lociStitched	chr3	32461451	32467455	CMTM7
1_MACS_peak_1473_lociStitched	chr1	154908456	154911389	PMVK,CKS1B,MIR4258,FLAD1,PBXIP1,PYGO2,SHC1
1_MACS_peak_20389_lociStitched	chr7	102071907	102075406	ORAI2,PRKRIP1,LRWD1,ALKBH4,POLR2J
1_MACS_peak_14658_lociStitched	chr22	29662989	29665452	EWSR1,GAS2L1,RASL10A,RHBDD3
1_MACS_peak_22544_lociStitched	chr9	139008855	139011728	C9ORF69,NACC2
1_MACS_peak_2139_lociStitched	chr1	228269306	228271579	ARF1,MIR3620,C1ORF35,MRPL55
4_MACS_peak_10674_lociStitched	chr19	12899444	12905259	JUNB,BEST2,RNASEH2A,MAST1,HOOK2,PRDX2,RTBDN
3_MACS_peak_22035_lociStitched	chr9	93923107	93929132	LOC100129316
4_MACS_peak_6513_lociStitched	chr15	20552470	20559304	HERC2P3
1_MACS_peak_1333_lociStitched	chr1	149811708	149815434	HIST2H2AA4,HIST2H4B,HIST2H2AC,HIST2H2BF,HIST2H3D,HIST2H2BC,HIST2H2BE,HIST2H2AB,HIST2H3A
2_MACS_peak_19550_lociStitched	chr7	5568986	5571285	ACTB,MIR589,FBXL18
2_MACS_peak_2271_lociStitched	chr1	244996615	244999454	FAM36A,NCRNA00201,HNRNPU
2_MACS_peak_22415_lociStitched	chr9	133319797	133324694	ASS1
2_MACS_peak_5693_lociStitched	chr13	50697225	50700776	DLEU2,DLEU1,ST13P4
1_MACS_peak_20328_lociStitched	chr7	100025665	100028256	MEPCE,C7ORF47,C7ORF61,TSC22D4,ZCWPW1
2_MACS_peak_18961_lociStitched	chr6	64281772	64284399	PTP4A1
2_MACS_peak_9047_lociStitched	chr17	40827123	40832528	PLEKHH3,TUBG2,CNTNAP1,CCR10
1_MACS_peak_22229_lociStitched	chr9	123637625	123641133	PHF19,LOC253039,PSMD5,TRAF1
2_MACS_peak_1681_lociStitched	chr1	167531574	167536923	CREG1,CD247
7_MACS_peak_13856_lociStitched	chr20	46038969	46046814	ZMYND8
5_MACS_peak_8925_lociStitched	chr17	36856755	36862386	MLLT6,CISD3,PSMB3,C17ORF96,PCGF2
3_MACS_peak_19036_lociStitched	chr6	90060706	90064991	UBE2J1,GABRR2
2_MACS_peak_11966_lociStitched	chr2	43451197	43455117	ZFP36L2,LOC100129726
9_MACS_peak_1272_lociStitched	chr1	145448654	145456603	TXNIP,HFE2,ANKRD34A,LIX1L,POLR3GL
2_MACS_peak_3692_lociStitched	chr11	64545272	64547641	SF1,RASGRP2,PYGM,MAP4K2,MEN1
4_MACS_peak_17415_lociStitched	chr5	60625400	60629937	ZSWIM6
4_MACS_peak_11769_lociStitched	chr2	20410068	20415900	SDC1
1_MACS_peak_7499_lociStitched	chr16	2801409	2803749	LOC100128788,PRSS41,PRSS27,TCEB2,PRSS33,SRRM2
2_MACS_peak_12801_lociStitched	chr2	133024976	133027241	ANKRD30BL,MIR663B
2_MACS_peak_3647_lociStitched	chr11	62606227	62610233	WDR74,SLC3A2,TMEM223,NXF1,STX5,SNORD22,SNORD31,SNORD30,SNORD29,SNORD28,SNORD27,SNORD26,SNORD25,SNHG1
1_MACS_peak_9705_lociStitched	chr17	79827934	79830433	ARHGDIA,ANAPC11,NPB,FAM195B,DYSFIP1,P4HB,THOC4,PCYT2,SIRT7
5_MACS_peak_13738_lociStitched	chr20	34684128	34691077	EPB41L1,LOC647979
1_MACS_peak_18094_lociStitched	chr5	172197119	172200165	DUSP1
3_MACS_peak_21626_lociStitched	chr8	144594959	144599976	ZC3H3,GSDMD
4_MACS_peak_3334_lociStitched	chr11	12260943	12268187	MICALCL,MICAL2
2_MACS_peak_7728_lociStitched	chr16	21529374	21532365	SLC7A5P2,LOC100271836
