GENE_ID	locusLine	bin_1_MM25.jin.bam
1_MACS_peak_1_lociStitched	chr1(.):9983-10482	5.3008
1_MACS_peak_2_lociStitched	chr1(.):28535-29542	3.3979
1_MACS_peak_3_lociStitched	chr1(.):713335-715101	3.2157
1_MACS_peak_4_lociStitched	chr1(.):762231-763505	2.6945
4_MACS_peak_5_lociStitched	chr1(.):877378-880016	2.7583
1_MACS_peak_9_lociStitched	chr1(.):894328-894579	1.2408
1_MACS_peak_10_lociStitched	chr1(.):901800-902197	1.5076
1_MACS_peak_11_lociStitched	chr1(.):948646-949392	2.3189
1_MACS_peak_12_lociStitched	chr1(.):954916-955496	1.7931
1_MACS_peak_13_lociStitched	chr1(.):968068-968491	1.3922
1_MACS_peak_14_lociStitched	chr1(.):1051144-1051466	1.1257
2_MACS_peak_15_lociStitched	chr1(.):1092972-1094049	2.157
1_MACS_peak_17_lociStitched	chr1(.):1166768-1167446	2.0175
2_MACS_peak_18_lociStitched	chr1(.):1185381-1185827	1.1735
1_MACS_peak_20_lociStitched	chr1(.):1208500-1209324	2.7451
1_MACS_peak_21_lociStitched	chr1(.):1242839-1244559	3.0542
1_MACS_peak_22_lociStitched	chr1(.):1259561-1260765	2.6378
1_MACS_peak_23_lociStitched	chr1(.):1266044-1266261	1.0127
2_MACS_peak_24_lociStitched	chr1(.):1284469-1285394	1.5278
1_MACS_peak_26_lociStitched	chr1(.):1310064-1311485	2.7125
3_MACS_peak_27_lociStitched	chr1(.):1333934-1335577	2.2126
1_MACS_peak_30_lociStitched	chr1(.):1342158-1343259	2.2402
1_MACS_peak_31_lociStitched	chr1(.):1406799-1407669	2.025
1_MACS_peak_32_lociStitched	chr1(.):1440495-1441162	1.9495
1_MACS_peak_33_lociStitched	chr1(.):1446759-1448112	3.0817
1_MACS_peak_34_lociStitched	chr1(.):1509306-1510913	9.5447
1_MACS_peak_35_lociStitched	chr1(.):1550133-1551856	4.4947
2_MACS_peak_36_lociStitched	chr1(.):1564484-1565629	1.6649
1_MACS_peak_38_lociStitched	chr1(.):1589716-1591335	4.5098
1_MACS_peak_39_lociStitched	chr1(.):1609399-1609821	1.5757
1_MACS_peak_40_lociStitched	chr1(.):1622888-1625280	7.8941
1_MACS_peak_41_lociStitched	chr1(.):1655186-1656524	3.2716
1_MACS_peak_42_lociStitched	chr1(.):1676163-1678505	6.2347
2_MACS_peak_43_lociStitched	chr1(.):1709202-1712242	2.8049
1_MACS_peak_45_lociStitched	chr1(.):1821251-1823295	7.0552
2_MACS_peak_46_lociStitched	chr1(.):1839810-1841341	2.2443
1_MACS_peak_48_lociStitched	chr1(.):1981963-1982127	1.0324
2_MACS_peak_49_lociStitched	chr1(.):2064121-2064751	1.4385
1_MACS_peak_51_lociStitched	chr1(.):2121138-2121674	1.7648
2_MACS_peak_52_lociStitched	chr1(.):2125774-2126974	2.3392
1_MACS_peak_54_lociStitched	chr1(.):2158463-2159175	2.9976
1_MACS_peak_55_lociStitched	chr1(.):2232018-2232503	1.6232
1_MACS_peak_56_lociStitched	chr1(.):2322323-2323831	2.6683
3_MACS_peak_57_lociStitched	chr1(.):2343287-2344725	2.6957
2_MACS_peak_60_lociStitched	chr1(.):2457330-2458396	1.8164
2_MACS_peak_62_lociStitched	chr1(.):2477700-2481245	2.5619
2_MACS_peak_64_lociStitched	chr1(.):2486871-2488585	2.5183
1_MACS_peak_66_lociStitched	chr1(.):2508305-2510134	4.1519
1_MACS_peak_67_lociStitched	chr1(.):2516466-2518070	4.319
1_MACS_peak_68_lociStitched	chr1(.):2573982-2574889	4.7674
2_MACS_peak_69_lociStitched	chr1(.):3540748-3542291	2.1506
1_MACS_peak_71_lociStitched	chr1(.):3712472-3712949	1.5384
1_MACS_peak_72_lociStitched	chr1(.):3773293-3774389	1.9999
1_MACS_peak_73_lociStitched	chr1(.):3816175-3817977	4.0953
1_MACS_peak_74_lociStitched	chr1(.):4714672-4714842	0.5657
2_MACS_peak_75_lociStitched	chr1(.):4715665-4716184	1.3162
1_MACS_peak_77_lociStitched	chr1(.):6051576-6052826	5.2111
1_MACS_peak_78_lociStitched	chr1(.):6258972-6259695	2.2479
1_MACS_peak_79_lociStitched	chr1(.):6295667-6296033	1.3956
1_MACS_peak_80_lociStitched	chr1(.):6419820-6419992	0.3836
1_MACS_peak_81_lociStitched	chr1(.):6453255-6454326	3.1594
1_MACS_peak_82_lociStitched	chr1(.):6550745-6551058	1.2362
1_MACS_peak_83_lociStitched	chr1(.):6614022-6614669	2.207
1_MACS_peak_84_lociStitched	chr1(.):6639481-6640682	2.3746
1_MACS_peak_85_lociStitched	chr1(.):6660559-6664327	5.8123
2_MACS_peak_86_lociStitched	chr1(.):6672661-6675336	1.9088
2_MACS_peak_88_lociStitched	chr1(.):6684404-6686246	3.6309
1_MACS_peak_90_lociStitched	chr1(.):6734276-6734449	0.7628
1_MACS_peak_91_lociStitched	chr1(.):6761172-6762004	3.2331
2_MACS_peak_92_lociStitched	chr1(.):6844145-6846234	2.9523
1_MACS_peak_94_lociStitched	chr1(.):7831249-7831958	3.7891
1_MACS_peak_95_lociStitched	chr1(.):7843527-7843725	0.7615
1_MACS_peak_96_lociStitched	chr1(.):7844354-7844557	0.8
1_MACS_peak_97_lociStitched	chr1(.):8013808-8014803	1.6293
2_MACS_peak_98_lociStitched	chr1(.):8021321-8022296	2.4352
3_MACS_peak_100_lociStitched	chr1(.):8482579-8484602	2.8982
1_MACS_peak_103_lociStitched	chr1(.):8556319-8557291	2.1711
1_MACS_peak_104_lociStitched	chr1(.):8585886-8586081	0.6975
1_MACS_peak_105_lociStitched	chr1(.):8741123-8741280	0.9714
2_MACS_peak_106_lociStitched	chr1(.):8762963-8763496	0.9956
2_MACS_peak_108_lociStitched	chr1(.):8876818-8878095	2.4939
2_MACS_peak_110_lociStitched	chr1(.):8938178-8939503	3.3523
1_MACS_peak_112_lociStitched	chr1(.):9294654-9295471	3.2722
1_MACS_peak_113_lociStitched	chr1(.):9599407-9600184	3.1894
2_MACS_peak_114_lociStitched	chr1(.):9649025-9649502	0.7529
1_MACS_peak_116_lociStitched	chr1(.):9969847-9970115	1.2552
1_MACS_peak_117_lociStitched	chr1(.):9970802-9971107	1.5959
2_MACS_peak_118_lociStitched	chr1(.):10002678-10003913	3.0534
1_MACS_peak_120_lociStitched	chr1(.):10010610-10010904	1.777
1_MACS_peak_121_lociStitched	chr1(.):10092916-10093703	2.9329
1_MACS_peak_122_lociStitched	chr1(.):10270547-10271402	3.2504
1_MACS_peak_123_lociStitched	chr1(.):10458980-10459628	2.9005
2_MACS_peak_124_lociStitched	chr1(.):10490576-10491167	1.0541
1_MACS_peak_126_lociStitched	chr1(.):10534987-10535376	1.2719
1_MACS_peak_127_lociStitched	chr1(.):10753746-10754492	2.9382
1_MACS_peak_128_lociStitched	chr1(.):11072302-11073440	5.9682
3_MACS_peak_129_lociStitched	chr1(.):11119601-11120720	1.3103
1_MACS_peak_132_lociStitched	chr1(.):11159468-11159903	2.1756
1_MACS_peak_133_lociStitched	chr1(.):11322192-11322589	1.4584
1_MACS_peak_134_lociStitched	chr1(.):11333179-11333851	2.5184
1_MACS_peak_135_lociStitched	chr1(.):11714505-11714876	1.7966
1_MACS_peak_136_lociStitched	chr1(.):11724184-11725013	3.0763
1_MACS_peak_137_lociStitched	chr1(.):11740643-11741215	1.5163
1_MACS_peak_138_lociStitched	chr1(.):11796234-11796417	0.7289
1_MACS_peak_139_lociStitched	chr1(.):11865026-11866824	4.5709
1_MACS_peak_140_lociStitched	chr1(.):11967708-11970436	2.9925
1_MACS_peak_141_lociStitched	chr1(.):11986016-11986425	1.8732
1_MACS_peak_142_lociStitched	chr1(.):12039919-12041094	5.7048
1_MACS_peak_143_lociStitched	chr1(.):12290156-12290382	1.1235
