#KMS12_H3K27ac_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/KMS12_H3K27ac_ROSE/KMS12_H3K27ac_peaks_7KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by KMS12_jia.bam
#Using cutoff of 17074.902 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS12_jia.bam	enhancerRank	isSuperStretch
5_MACS_peak_16205_lociStitched	chr6	290051	343722	5	49791	210680.1434	1	1
6_MACS_peak_16384_lociStitched	chr6	26155079	26219793	6	44942	89311.7914	2	1
6_MACS_peak_13370_lociStitched	chr22	46422799	46471672	6	35118	130109.7006	3	1
3_MACS_peak_6097_lociStitched	chr14	106024726	106057810	3	31578	142171.8732	4	1
2_MACS_peak_6134_lociStitched	chr15	20992058	21032591	2	40290	88203.8613	5	1
4_MACS_peak_1213_lociStitched	chr1	149797844	149836676	4	36308	106112.3232	6	1
2_MACS_peak_6141_lociStitched	chr15	21998749	22039367	2	39403	83965.5296	7	1
5_MACS_peak_5031_lociStitched	chr12	127525586	127572384	5	39347	83291.0804	8	1
7_MACS_peak_17543_lociStitched	chr7	30323074	30371004	7	38909	59687.229	9	1
5_MACS_peak_7673_lociStitched	chr16	81829317	81877546	5	34769	63802.1441	10	1
3_MACS_peak_2190_lociStitched	chr10	22595340	22634258	3	30394	85654.6262	11	1
1_MACS_peak_6139_lociStitched	chr15	21924773	21950571	1	25799	106037.5194	12	1
3_MACS_peak_16447_lociStitched	chr6	27772786	27808608	3	31937	68369.8692	13	1
4_MACS_peak_12992_lociStitched	chr22	23188356	23227438	4	31060	60807.6838	14	1
4_MACS_peak_17533_lociStitched	chr7	29694094	29726637	4	29929	68096.2275	15	1
6_MACS_peak_2751_lociStitched	chr10	112599920	112642794	6	28694	72945.8236	16	1
4_MACS_peak_3799_lociStitched	chr11	111230409	111263879	4	26155	85445.563	17	1
6_MACS_peak_20156_lociStitched	chrX	48767921	48816926	6	29424	52298.136	18	1
3_MACS_peak_8116_lociStitched	chr17	27037286	27074354	3	27406	68390.46	19	1
1_MACS_peak_1754_lociStitched	chr1	206281577	206308313	1	26737	66559.272	20	1
3_MACS_peak_12492_lociStitched	chr20	52194603	52215794	3	21011	96003.7064	21	1
1_MACS_peak_3401_lociStitched	chr11	65183305	65198674	1	15370	112900.674	22	1
5_MACS_peak_4942_lociStitched	chr12	122219362	122251590	5	20798	90357.6436	23	1
5_MACS_peak_16425_lociStitched	chr6	27094161	27130324	5	27018	52949.8646	24	1
6_MACS_peak_6506_lociStitched	chr15	63764403	63801155	6	26159	59144.9936	25	1
2_MACS_peak_16969_lociStitched	chr6	106531325	106563072	2	25548	60271.6795	26	1
5_MACS_peak_19783_lociStitched	chr9	134126846	134154226	5	24389	63031.498	27	1
1_MACS_peak_16278_lociStitched	chr6	7896167	7920086	1	23920	64643.4894	28	1
4_MACS_peak_11380_lociStitched	chr2	112186088	112223603	4	25721	38370.342	29	1
11_MACS_peak_6101_lociStitched	chr14	106145200	106175817	11	20443	76196.5279	30	1
3_MACS_peak_7406_lociStitched	chr16	34718764	34745413	3	24618	43112.7522	31	1
6_MACS_peak_17592_lociStitched	chr7	38374046	38408285	6	24751	35098.3989	32	1
7_MACS_peak_3288_lociStitched	chr11	62306386	62343233	7	23610	46383.0036	33	1
2_MACS_peak_3944_lociStitched	chr11	128584839	128607153	2	22293	56237.9742	34	1
2_MACS_peak_3406_lociStitched	chr11	65259918	65278986	2	18928	74599.7364	35	1
3_MACS_peak_12714_lociStitched	chr21	34586801	34614564	3	21585	59210.1501	36	1
1_MACS_peak_1388_lociStitched	chr1	156455742	156476172	1	20431	64953.099	37	1
2_MACS_peak_14947_lociStitched	chr4	90206641	90230099	2	21735	53944.0168	38	1
3_MACS_peak_11265_lociStitched	chr2	87795110	87825347	3	22629	44711.4519	39	1
4_MACS_peak_1928_lociStitched	chr1	228643112	228679616	4	21161	55869.372	40	1
6_MACS_peak_10223_lociStitched	chr19	42027261	42070137	6	23390	33246.0504	41	1
5_MACS_peak_18188_lociStitched	chr7	137664523	137688083	5	21995	40165.088	42	1
1_MACS_peak_4199_lociStitched	chr12	26265299	26280916	1	15618	75887.6881	43	1
1_MACS_peak_2500_lociStitched	chr10	81946404	81966424	1	20021	53679.626	44	1
1_MACS_peak_6138_lociStitched	chr15	21891738	21911509	1	19772	51038.8365	45	1
1_MACS_peak_10913_lociStitched	chr2	43444235	43457309	1	13075	79993.269	46	1
8_MACS_peak_9645_lociStitched	chr19	10512847	10543714	8	21664	26740.0821	48	1
4_MACS_peak_10979_lociStitched	chr2	54777403	54810184	4	21015	34688.8542	49	1
1_MACS_peak_4133_lociStitched	chr12	12866190	12880741	1	14552	71863.0237	50	1
2_MACS_peak_20075_lociStitched	chrX	39949358	39969973	2	18977	48389.5895	51	1
3_MACS_peak_1233_lociStitched	chr1	150532400	150553227	3	18526	50717.9104	52	1
5_MACS_peak_8600_lociStitched	chr17	56405611	56430796	5	19192	45882.033	53	1
3_MACS_peak_14832_lociStitched	chr4	71526054	71554963	3	20038	38087.6075	54	1
3_MACS_peak_18924_lociStitched	chr8	128567718	128594720	3	20296	35413.123	55	1
5_MACS_peak_12511_lociStitched	chr20	52530702	52559638	5	19915	38178.1584	56	1
1_MACS_peak_8514_lociStitched	chr17	46123255	46138374	1	15120	65740.4358	57	1
4_MACS_peak_18268_lociStitched	chr7	150053591	150078746	4	18782	45324.279	58	1
3_MACS_peak_12394_lociStitched	chr20	43587093	43609365	3	19040	43091.8656	59	1
2_MACS_peak_7729_lociStitched	chr16	87885372	87905331	2	19202	40718.3559	60	1
5_MACS_peak_2894_lociStitched	chr11	303410	333415	5	20352	28936.822	61	1
1_MACS_peak_1979_lociStitched	chr1	234734132	234750773	1	16642	55990.3086	62	1
3_MACS_peak_3364_lociStitched	chr11	64610721	64634176	3	19005	39911.028	63	1
8_MACS_peak_16394_lociStitched	chr6	26301687	26343379	8	20246	25949.1008	64	1
1_MACS_peak_9270_lociStitched	chr18	60977114	60989015	1	11902	73917.111	65	1
2_MACS_peak_704_lociStitched	chr1	51425014	51449926	2	19879	29201.8464	66	1
2_MACS_peak_13245_lociStitched	chr22	39456832	39475540	2	18607	40897.5588	67	1
7_MACS_peak_4060_lociStitched	chr12	7045424	7081299	7	19267	33898.2875	68	1
2_MACS_peak_4505_lociStitched	chr12	57621360	57639399	2	14099	64945.8117	70	1
4_MACS_peak_3385_lociStitched	chr11	64877796	64903782	4	16055	54422.4798	71	1
3_MACS_peak_3966_lociStitched	chr11	131502698	131532880	3	18852	34836.0644	72	1
6_MACS_peak_3346_lociStitched	chr11	63992631	64019782	6	18229	39244.0554	73	1
2_MACS_peak_16267_lociStitched	chr6	7134633	7157329	2	19365	27537.0568	74	1
5_MACS_peak_1446_lociStitched	chr1	161409244	161442855	5	19665	22697.5083	75	1
1_MACS_peak_2855_lociStitched	chr10	133876227	133894204	1	17978	40455.4408	76	1
6_MACS_peak_17206_lociStitched	chr6	144655329	144686421	6	18938	30930.3216	77	1
5_MACS_peak_1326_lociStitched	chr1	154926953	154958197	5	17579	41810.7208	78	1
2_MACS_peak_14388_lociStitched	chr3	171804320	171827044	2	18663	31599.9944	79	1
3_MACS_peak_10160_lociStitched	chr19	39880549	39904627	3	17653	40150.065	80	1
2_MACS_peak_15632_lociStitched	chr5	87954189	87973734	2	18350	33255.8175	81	1
6_MACS_peak_17000_lociStitched	chr6	109194819	109228207	6	18965	25408.268	82	1
1_MACS_peak_17487_lociStitched	chr7	23502639	23518380	1	15742	51413.2542	83	1
1_MACS_peak_853_lociStitched	chr1	80159117	80178025	1	18909	25919.0864	84	1
4_MACS_peak_6372_lociStitched	chr15	45001680	45023381	4	16466	46987.0052	85	1
4_MACS_peak_1471_lociStitched	chr1	162530056	162558940	4	18507	26371.092	86	1
7_MACS_peak_9736_lociStitched	chr19	12885675	12918414	7	17725	33167.8809	87	1
3_MACS_peak_13455_lociStitched	chr3	5223112	5241824	3	16378	43277.1136	88	1
3_MACS_peak_9304_lociStitched	chr18	74806230	74828362	3	15898	45089.5236	89	1
1_MACS_peak_16210_lociStitched	chr6	387818	403694	1	15877	44808.4224	90	1
6_MACS_peak_2920_lociStitched	chr11	795032	834138	6	17552	31472.5088	91	1
4_MACS_peak_15755_lociStitched	chr5	118667162	118693115	4	17671	30121.0518	92	1
4_MACS_peak_16178_lociStitched	chr5	180228965	180248962	4	17620	30551.4166	93	1
3_MACS_peak_3162_lociStitched	chr11	46121027	46144989	3	16411	40850.4176	94	1
2_MACS_peak_3579_lociStitched	chr11	72848440	72867854	2	14069	54034.9862	95	1
1_MACS_peak_6660_lociStitched	chr15	75068182	75084240	1	16059	42862.0136	96	1
5_MACS_peak_13265_lociStitched	chr22	39823315	39845772	5	17581	29034.6553	98	1
1_MACS_peak_9113_lociStitched	chr18	30338895	30353900	1	15006	47597.3605	99	1
3_MACS_peak_4115_lociStitched	chr12	11900767	11920498	3	17795	24892.6296	100	1
5_MACS_peak_3017_lociStitched	chr11	10314690	10344703	5	16345	38776.796	101	1
2_MACS_peak_17636_lociStitched	chr7	44661412	44680685	2	17237	30582.3964	102	1
4_MACS_peak_10599_lociStitched	chr19	56145437	56169653	4	15624	43189.236	103	1
3_MACS_peak_17646_lociStitched	chr7	45023344	45048162	3	16423	37420.5804	104	1
3_MACS_peak_2176_lociStitched	chr10	21803617	21824625	3	16738	34589.672	105	1
6_MACS_peak_11653_lociStitched	chr2	178126882	178155735	6	17716	23497.8832	106	1
5_MACS_peak_13699_lociStitched	chr3	46389552	46413473	5	17544	24483.1435	107	1
1_MACS_peak_9264_lociStitched	chr18	60821297	60831806	1	10510	63888.4146	108	1
4_MACS_peak_3871_lociStitched	chr11	118954860	118979795	4	15020	44895.4675	109	1
2_MACS_peak_4748_lociStitched	chr12	105716462	105732035	2	15016	44510.7486	110	1
1_MACS_peak_18732_lociStitched	chr8	93063802	93076556	1	12755	55497.7556	111	1
5_MACS_peak_14376_lociStitched	chr3	170956793	170989670	5	16732	30779.4474	112	1
3_MACS_peak_218_lociStitched	chr1	16159046	16179942	3	14087	48493.3472	113	1
4_MACS_peak_19050_lociStitched	chr8	145731680	145755269	4	13575	50923.9332	114	1
1_MACS_peak_18550_lociStitched	chr8	42741912	42755604	1	13693	50115.4584	115	1
4_MACS_peak_5868_lociStitched	chr14	77487951	77508177	4	16632	29855.5986	116	1
3_MACS_peak_12498_lociStitched	chr20	52257423	52279719	3	15637	37749.3576	117	1
1_MACS_peak_3544_lociStitched	chr11	69452437	69464654	1	12218	55791.3739	118	1
3_MACS_peak_1312_lociStitched	chr1	154373523	154393717	3	16089	33649.2622	119	1
5_MACS_peak_3620_lociStitched	chr11	75508187	75537312	5	16516	29570.6125	120	1
7_MACS_peak_6282_lociStitched	chr15	40834830	40863010	7	17163	21160.362	121	1
3_MACS_peak_12996_lociStitched	chr22	23269357	23285777	3	15502	37296.388	122	1
4_MACS_peak_16509_lociStitched	chr6	31150547	31173116	4	16203	31321.2582	123	1
1_MACS_peak_17670_lociStitched	chr7	50343022	50353407	1	10386	60771.9815	124	1
3_MACS_peak_16539_lociStitched	chr6	31783438	31805424	3	16443	27550.6566	125	1
4_MACS_peak_12306_lociStitched	chr20	34677529	34703085	4	16687	24152.9756	126	1
3_MACS_peak_7324_lociStitched	chr16	29815233	29834079	3	14977	38809.5678	127	1
1_MACS_peak_6494_lociStitched	chr15	60871937	60885941	1	14005	44601.3396	128	1
3_MACS_peak_9346_lociStitched	chr19	908617	928048	3	15439	35055.4671	129	1
5_MACS_peak_8444_lociStitched	chr17	43372625	43395789	5	15576	33409.4372	130	1
1_MACS_peak_13218_lociStitched	chr22	38782811	38797762	1	14952	36937.9406	132	1
2_MACS_peak_11897_lociStitched	chr2	227654114	227667977	2	12838	48810.2367	133	1
1_MACS_peak_11754_lociStitched	chr2	201979505	201994721	1	15217	34340.9904	134	1
3_MACS_peak_8559_lociStitched	chr17	48223824	48247317	3	13722	44133.9498	135	1
3_MACS_peak_8666_lociStitched	chr17	62150648	62171302	3	16087	25732.8186	136	1
7_MACS_peak_4520_lociStitched	chr12	58134982	58167422	7	15255	33513.764	137	1
8_MACS_peak_10188_lociStitched	chr19	40909365	40951277	8	16123	24262.8568	138	1
1_MACS_peak_14261_lociStitched	chr3	141096658	141110590	1	13933	41862.8736	139	1
1_MACS_peak_16380_lociStitched	chr6	26020434	26034835	1	14402	37536.2065	140	1
1_MACS_peak_4177_lociStitched	chr12	24679661	24695803	1	16143	20974.9148	141	1
2_MACS_peak_2196_lociStitched	chr10	22666969	22683127	2	16131	20861.5938	142	1
2_MACS_peak_13957_lociStitched	chr3	74872874	74890559	2	15144	31387.338	143	1
3_MACS_peak_8493_lociStitched	chr17	45725449	45742304	3	15012	32412.165	144	1
3_MACS_peak_16199_lociStitched	chr6	217195	236759	3	14569	35074.3392	145	1
2_MACS_peak_848_lociStitched	chr1	79926391	79946437	2	15688	23728.4502	146	1
4_MACS_peak_13501_lociStitched	chr3	13034702	13059144	4	15690	23630.5256	147	1
4_MACS_peak_243_lociStitched	chr1	17221257	17249120	4	13528	40794.2183	148	1
2_MACS_peak_12270_lociStitched	chr20	32987862	33005243	2	14830	31370.9669	149	1
1_MACS_peak_19294_lociStitched	chr9	66454563	66462307	1	7745	62020.9216	150	1
5_MACS_peak_8303_lociStitched	chr17	38251847	38281400	5	15265	27032.1291	151	1
3_MACS_peak_4881_lociStitched	chr12	120548112	120573112	3	14569	32087.5	152	1
2_MACS_peak_17558_lociStitched	chr7	32766573	32786632	2	15004	28050.5056	153	1
3_MACS_peak_17952_lociStitched	chr7	102065201	102087181	3	14038	35869.162	154	1
2_MACS_peak_16412_lociStitched	chr6	26520312	26541139	2	14420	32415.1428	155	1
4_MACS_peak_11070_lociStitched	chr2	64862923	64886106	4	15401	22784.2524	156	1
2_MACS_peak_3898_lociStitched	chr11	122927577	122942567	2	13631	37479.497	158	1
1_MACS_peak_4509_lociStitched	chr12	57846137	57857279	1	11143	49940.6724	160	1
4_MACS_peak_1299_lociStitched	chr1	153928990	153951879	4	13805	35555.7726	161	1
6_MACS_peak_6262_lociStitched	chr15	40387948	40409298	6	15363	21157.85	162	1
3_MACS_peak_9767_lociStitched	chr19	13259573	13279413	3	14446	30123.072	163	1
4_MACS_peak_15028_lociStitched	chr4	113199302	113224430	4	14658	27773.9784	164	1
4_MACS_peak_13558_lociStitched	chr3	20079754	20099468	4	15165	22233.4492	165	1
4_MACS_peak_20467_lociStitched	chrX	130946162	130966805	4	15214	20692.5432	166	1
4_MACS_peak_19016_lociStitched	chr8	145046964	145069629	4	13967	32556.006	167	1
3_MACS_peak_6224_lociStitched	chr15	32869218	32884779	3	15242	19686.2211	168	1
5_MACS_peak_19692_lociStitched	chr9	130660776	130681356	5	15074	21220.038	169	1
1_MACS_peak_15409_lociStitched	chr5	32529503	32543677	1	14175	30150.9328	170	1
2_MACS_peak_7137_lociStitched	chr16	12055384	12071461	2	12133	43157.0988	171	1
3_MACS_peak_10855_lociStitched	chr2	33699717	33723816	3	14942	21937.3197	172	1
3_MACS_peak_12429_lociStitched	chr20	46114276	46133676	3	14278	28473.38	173	1
4_MACS_peak_2826_lociStitched	chr10	125820257	125840714	4	14725	23801.7195	174	1
3_MACS_peak_5821_lociStitched	chr14	74224055	74241914	3	14344	27458.2125	175	1
2_MACS_peak_7128_lociStitched	chr16	11821510	11837869	2	14257	27146.1246	176	1
2_MACS_peak_14835_lociStitched	chr4	71567070	71581430	2	13846	30234.98	177	1
3_MACS_peak_6213_lociStitched	chr15	31636039	31654642	3	14023	28691.4069	178	1
4_MACS_peak_3250_lociStitched	chr11	60671694	60692938	4	14075	28203.5344	179	1
2_MACS_peak_6221_lociStitched	chr15	32749380	32764268	2	14671	22083.3704	180	1
5_MACS_peak_13009_lociStitched	chr22	24178922	24200929	5	13196	34940.5139	181	1
1_MACS_peak_6199_lociStitched	chr15	30827732	30842585	1	14854	19283.6499	182	1
4_MACS_peak_16852_lociStitched	chr6	74159036	74182678	4	14015	28112.7022	183	1
1_MACS_peak_3887_lociStitched	chr11	120205620	120217950	1	12331	39650.814	184	1
3_MACS_peak_1087_lociStitched	chr1	118194799	118209933	3	14100	26130.3644	185	1
2_MACS_peak_13934_lociStitched	chr3	69127889	69145203	2	14547	17677.594	187	1
2_MACS_peak_2328_lociStitched	chr10	54004780	54021338	2	13484	28772.8366	188	1
3_MACS_peak_6874_lociStitched	chr15	93346997	93364605	3	11275	42491.6256	189	1
1_MACS_peak_18037_lociStitched	chr7	114561807	114574728	1	12922	33037.7049	190	1
3_MACS_peak_1708_lociStitched	chr1	203255634	203277788	3	13706	26578.1538	191	1
1_MACS_peak_6452_lociStitched	chr15	55692641	55701994	1	9354	50008.6204	192	1
9_MACS_peak_10540_lociStitched	chr19	54870367	54901081	9	14174	21595.0134	194	1
2_MACS_peak_4152_lociStitched	chr12	15101169	15118075	2	13822	25306.5914	195	1
5_MACS_peak_13421_lociStitched	chr22	50962475	50987731	5	13359	29357.5744	196	1
2_MACS_peak_6196_lociStitched	chr15	30707909	30722920	2	14312	18832.8006	197	1
3_MACS_peak_13900_lociStitched	chr3	61606727	61629271	3	13632	26180.3472	198	1
1_MACS_peak_18812_lociStitched	chr8	103539857	103550456	1	10600	44319.7185	199	1
4_MACS_peak_3477_lociStitched	chr11	66867085	66891613	4	13332	27934.9392	200	1
5_MACS_peak_2439_lociStitched	chr10	74076690	74096089	5	12571	33416.7174	201	1
2_MACS_peak_12602_lociStitched	chr20	62357847	62373712	2	12878	31203.282	202	1
1_MACS_peak_2521_lociStitched	chr10	89619751	89631329	1	11579	39059.5408	203	1
3_MACS_peak_4490_lociStitched	chr12	57021945	57040802	3	13194	28392.9849	204	1
4_MACS_peak_9351_lociStitched	chr19	1019048	1041158	4	13701	23668.755	205	1
5_MACS_peak_6716_lociStitched	chr15	78348419	78370584	5	13967	20657.78	206	1
5_MACS_peak_6987_lociStitched	chr16	2254473	2275538	5	12096	36010.6175	208	1
3_MACS_peak_4886_lociStitched	chr12	120627204	120640665	3	13335	26940.8454	209	1
6_MACS_peak_3379_lociStitched	chr11	64845765	64865253	6	13862	21543.984	210	1
3_MACS_peak_10942_lociStitched	chr2	46789124	46805190	3	13888	21027.1808	211	1
2_MACS_peak_3971_lociStitched	chr11	132215040	132233261	2	12820	30698.7408	212	1
1_MACS_peak_17980_lociStitched	chr7	104649645	104659831	1	10187	44778.6746	213	1
3_MACS_peak_16196_lociStitched	chr6	179884	195284	3	13953	19417.86	214	1
3_MACS_peak_13060_lociStitched	chr22	29186337	29199759	3	12705	30922.9458	215	1
5_MACS_peak_13532_lociStitched	chr3	15835356	15859238	5	13911	19404.125	216	1
2_MACS_peak_7876_lociStitched	chr17	4841766	4855950	2	13266	26016.2928	217	1
5_MACS_peak_10144_lociStitched	chr19	39338005	39360850	5	12461	32200.0275	218	1
1_MACS_peak_3992_lociStitched	chr12	1097188	1110591	1	13404	24483.2601	219	1
3_MACS_peak_18729_lociStitched	chr8	93020212	93034386	3	12993	27840.5708	220	1
5_MACS_peak_19011_lociStitched	chr8	145001903	145028618	5	13832	19133.283	221	1
2_MACS_peak_16286_lociStitched	chr6	10520569	10534399	2	13732	20014.776	222	1
3_MACS_peak_2983_lociStitched	chr11	7532032	7544652	3	12529	31051.51	223	1
1_MACS_peak_12424_lociStitched	chr20	45978312	45988847	1	10536	42086.2715	224	1
2_MACS_peak_5911_lociStitched	chr14	89881873	89899375	2	11505	37260.0078	225	1
1_MACS_peak_18918_lociStitched	chr8	126612257	126623211	1	10955	39810.1222	226	1
3_MACS_peak_15282_lociStitched	chr4	186391653	186406448	3	11924	34362.867	227	1
4_MACS_peak_15345_lociStitched	chr5	6711523	6738852	4	13468	21865.9329	228	1
1_MACS_peak_9298_lociStitched	chr18	72918194	72928572	1	10379	41991.4636	229	1
2_MACS_peak_13183_lociStitched	chr22	37611477	37627738	2	13474	20758.7926	230	1
4_MACS_peak_14168_lociStitched	chr3	128821346	128840884	4	13071	24481.114	232	1
2_MACS_peak_13941_lociStitched	chr3	71105816	71117914	2	12096	32160.1134	233	1
2_MACS_peak_13445_lociStitched	chr3	4533526	4551181	2	12042	31741.9245	234	1
1_MACS_peak_12148_lociStitched	chr20	15958542	15971305	1	12764	25995.6784	235	1
4_MACS_peak_3303_lociStitched	chr11	62431381	62448926	4	12537	27856.1965	236	1
2_MACS_peak_12753_lociStitched	chr21	36410376	36424372	2	13073	22866.6648	237	1
4_MACS_peak_3410_lociStitched	chr11	65306697	65326897	4	12506	27740.66	238	1
3_MACS_peak_3670_lociStitched	chr11	82666541	82685598	3	12662	26018.5221	239	1
3_MACS_peak_20560_lociStitched	chrX	153232784	153252586	3	12747	25095.0746	240	1
5_MACS_peak_11211_lociStitched	chr2	85105417	85135028	5	12718	25296.6773	241	1
2_MACS_peak_3398_lociStitched	chr11	65144638	65157821	2	12780	24459.7382	242	1
3_MACS_peak_11080_lociStitched	chr2	65155892	65174542	3	12268	28696.755	243	1
1_MACS_peak_18080_lociStitched	chr7	123385082	123397594	1	12513	26527.9424	244	1
