REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MOLP.2.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
5_MACS_peak_8624_lociStitched	chr14	106024770	106049557	5	24399	124274.5819	1	1		TMEM121	TMEM121	TMEM121	0.3661	1	1
9_MACS_peak_23902_lociStitched	chr6	7897711	7919947	9	21379	113986.1832	2	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	2.6906	2	1
6_MACS_peak_18950_lociStitched	chr22	23268220	23286986	6	18259	126439.6782	3	1		IGLL5	IGLL5	IGLL5	3.2291	3	1
5_MACS_peak_18940_lociStitched	chr22	23234439	23248947	5	14355	56376.6372	4	1	IGLL5		IGLL5	IGLL5	3.2291	4	1
5_MACS_peak_6052_lociStitched	chr12	12866228	12880017	5	13007	62420.0452	5	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	4.1833	5	1
9_MACS_peak_18999_lociStitched	chr22	24178735	24192774	9	12925	50237.1576	6	1	DERL3	SMARCB1,SLC2A11,MIF	DERL3	DERL3	1.8718	6	1
11_MACS_peak_26898_lociStitched	chr7	137664973	137679525	11	13238	37501.9592	7	1	CREB3L2		CREB3L2	CREB3L2	0.5615	7	1
5_MACS_peak_14073_lociStitched	chr19	16473815	16484642	5	9814	55203.6249	8	1	EPS15L1	KLF2	KLF2	KLF2	1.9901	8	1
2_MACS_peak_11951_lociStitched	chr17	43298355	43308947	2	10593	49870.3136	9	1	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	1.7118	9	1
8_MACS_peak_26166_lociStitched	chr7	55581904	55595387	8	12346	37262.9671	10	1	VOPP1		VOPP1	VOPP1	1.1102	10	1
10_MACS_peak_5604_lociStitched	chr11	122613581	122626305	10	11574	33792.3992	11	1	UBASH3B		CRTAM	CRTAM	NONE	11	1
6_MACS_peak_8416_lociStitched	chr14	91832888	91843919	6	10142	43637.5329	12	1	CCDC88C		CCDC88C	CCDC88C	0.8435	12	1
4_MACS_peak_8631_lociStitched	chr14	106144222	106155560	4	10831	37569.5968	13	1			TMEM121	TMEM121	0.3661	13	1
2_MACS_peak_4877_lociStitched	chr11	65184009	65193173	2	9153	46688.7472	14	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	3.3636	14	1
6_MACS_peak_14515_lociStitched	chr19	39891837	39902326	6	9657	38763.1484	15	1	ZFP36	MED29,PLEKHG2,SUPT5H,PAF1,RPS16	ZFP36	ZFP36	3.2827	15	1
6_MACS_peak_24094_lociStitched	chr6	25403393	25413703	6	9889	36959.288	16	1	LRRC16A		LRRC16A	LRRC16A	0.3761	16	1
3_MACS_peak_12705_lociStitched	chr17	79477585	79487559	3	9638	38174.4876	17	1	ACTG1	FSCN2,C17orf70	ACTG1	ACTG1	2.0578	17	1
5_MACS_peak_23947_lociStitched	chr6	11726365	11736322	5	9686	35933.8173	18	1	C6orf105		C6orf105	C6orf105	0.7985	18	1
2_MACS_peak_24621_lociStitched	chr6	36718595	36727013	2	8040	43940.2764	19	1	CPNE5		CDKN1A	CDKN1A	2.1432	19	1
5_MACS_peak_1681_lociStitched	chr1	150532515	150541816	5	8983	38336.8618	20	1	ADAMTSL4	MIR4257,MCL1	MIR4257	MCL1	1.7023	20	1
4_MACS_peak_23780_lociStitched	chr6	315465	325302	4	9376	34367.5269	21	1	DUSP22		DUSP22	DUSP22	1.7758	21	1
3_MACS_peak_23773_lociStitched	chr6	290494	299397	3	8826	37141.5354	22	1	DUSP22		DUSP22	DUSP22	1.7758	22	1
4_MACS_peak_11092_lociStitched	chr17	6062752	6071349	4	8478	37430.4783	23	1			WSCD1	WSCD1	NONE	23	1
2_MACS_peak_24442_lociStitched	chr6	32935507	32941705	2	6005	48605.9556	24	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	2.34	24	1
4_MACS_peak_12185_lociStitched	chr17	56407910	56416904	4	8387	36314.1744	25	1	MIR142	MPO,BZRAP1,SUPT4H1	MIR142	MIR142	2.5459	25	1
5_MACS_peak_13252_lociStitched	chr18	60821795	60830795	5	8698	31794.3	26	1	BCL2		BCL2	BCL2	0.5772	26	1
6_MACS_peak_5747_lociStitched	chr11	130696546	130705432	6	8295	33605.9634	27	1			SNX19	SNX19	NONE	27	1
10_MACS_peak_15563_lociStitched	chr2	37542759	37553173	10	8980	27774.138	28	1	PRKD3	QPCT	PRKD3	QPCT	1.4273	28	1
11_MACS_peak_15710_lociStitched	chr2	46791326	46802137	11	9188	25396.1201	29	1	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	RHOQ	1.0424	29	1
