#20_0EX6_0229Kronos_MM1S-KB-24hr-2_H3K27Ac_hs-dm_i43_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/20_0EX6_0229Kronos_MM1S-KB-24hr-2_H3K27Ac_hs-dm_i43_ROSE/20_0EX6_0229Kronos_MM1S-KB-24hr-2_H3K27Ac_hs-dm_i43_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X20_0EX6_0229Kronos_MM1S.KB.24hr.2_H3K27Ac_hs.dm_i43.bam
#Using cutoff of 31914.3456 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X20_0EX6_0229Kronos_MM1S.KB.24hr.2_H3K27Ac_hs.dm_i43.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	isSuperStretch
9_MACS_peak_17032_lociStitched	chr3	141079028	141176177	9	83138	709168.2702	22334.5551	1	1
8_MACS_peak_12526_lociStitched	chr2	37509769	37606896	8	70914	531731.4742	20658.9129	2	1
10_MACS_peak_8683_lociStitched	chr16	11754766	11843377	10	75755	408204.2937	17793.0888	3	1
5_MACS_peak_21237_lociStitched	chr6	108878280	108960707	5	79561	226468.1825	14218.6575	4	1
6_MACS_peak_1990_lociStitched	chr1	203236333	203298299	6	41652	575360.5066	19711.3846	5	1
5_MACS_peak_1214_lociStitched	chr1	118142005	118219377	5	60399	342038.4004	10166.6808	6	1
8_MACS_peak_7375_lociStitched	chr14	91812942	91886191	8	64158	284645.614	8789.88	7	1
3_MACS_peak_13137_lociStitched	chr2	99054685	99123482	3	58124	315957.1022	15183.4979	8	1
6_MACS_peak_10768_lociStitched	chr18	9094910	9157586	6	52587	221873.04	13343.7204	9	1
3_MACS_peak_14563_lociStitched	chr20	30262065	30312266	3	47315	243284.0862	10898.6371	10	1
3_MACS_peak_9864_lociStitched	chr17	32688443	32727311	3	33899	336367.5588	9192.282	11	1
4_MACS_peak_10364_lociStitched	chr17	62132892	62187445	4	47288	160183.9739	10457.8101	12	1
1_MACS_peak_20308_lociStitched	chr6	7878563	7920145	1	41583	245238.1614	10599.2518	13	1
5_MACS_peak_1481_lociStitched	chr1	154907726	154957807	5	38128	247199.816	14788.9193	14	1
3_MACS_peak_9907_lociStitched	chr17	34597780	34641776	3	38607	236540.0944	11720.5344	15	1
5_MACS_peak_9664_lociStitched	chr17	16847699	16895598	5	35753	256216.5409	9646.8586	16	1
6_MACS_peak_20893_lociStitched	chr6	52392705	52443061	6	42034	137527.2716	9834.5268	17	1
6_MACS_peak_14604_lociStitched	chr20	32398791	32452456	6	39634	174786.905	10813.4975	18	1
1_MACS_peak_18199_lociStitched	chr4	90204322	90230199	1	25878	290896.2955	7198.9814	19	1
6_MACS_peak_20204_lociStitched	chr6	289913	337872	6	34052	199744.4391	16008.7142	20	1
1_MACS_peak_23962_lociStitched	chr8	120915386	120949059	1	33674	195017.1795	7014.0859	21	1
5_MACS_peak_10985_lociStitched	chr18	46440216	46482929	5	37827	119442.6332	8243.609	22	1
7_MACS_peak_9183_lociStitched	chr16	68269845	68321051	7	36840	141174.942	9457.7482	23	1
3_MACS_peak_7514_lociStitched	chr14	106023380	106052854	3	27937	243458.1874	5785.7462	24	1
6_MACS_peak_17386_lociStitched	chr3	183219921	183261975	6	32821	191042.9112	11636.3418	25	1
6_MACS_peak_19704_lociStitched	chr5	131789705	131837856	6	33723	177576.0729	10193.5667	26	1
3_MACS_peak_9903_lociStitched	chr17	34509548	34540406	3	28131	234233.8206	9121.6248	27	1
6_MACS_peak_20104_lociStitched	chr5	173309962	173357002	6	36600	81647.328	8260.224	28	1
2_MACS_peak_3562_lociStitched	chr10	125821940	125854974	2	32669	160717.0168	7092.3998	29	1
5_MACS_peak_15451_lociStitched	chr22	23217399	23249196	5	26226	218152.8576	5933.3202	30	1
5_MACS_peak_2044_lociStitched	chr1	206272100	206311168	5	25820	219820.0088	11040.6168	31	1
4_MACS_peak_9292_lociStitched	chr16	78768048	78805019	4	35683	42527.7413	4558.5243	32	1
4_MACS_peak_7630_lociStitched	chr15	31616669	31660832	4	33140	122689.2303	7914.0096	33	1
5_MACS_peak_17998_lociStitched	chr4	71515564	71555462	5	27636	197363.4366	8290.8044	34	1
9_MACS_peak_13262_lociStitched	chr2	112186344	112242379	9	33740	100089.717	9172.9295	35	1
3_MACS_peak_4215_lociStitched	chr11	65183036	65214585	3	25633	206794.2303	7404.5503	36	1
1_MACS_peak_2590_lociStitched	chr10	11201965	11224744	1	22780	227808.2232	7077.4353	37	1
7_MACS_peak_10168_lociStitched	chr17	46516070	46571047	7	32117	120520.5794	9494.5279	38	1
2_MACS_peak_3871_lociStitched	chr11	22676678	22704323	2	24027	204874.3305	5161.3215	39	1
4_MACS_peak_5988_lociStitched	chr12	109009441	109036365	4	24482	202037.696	6424.0664	40	1
4_MACS_peak_22642_lociStitched	chr7	102063298	102093656	4	25770	187764.23	6199.1036	41	1
