GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
FOXO3	NM_201559	chr6:108878218-108975008,chr6:108982509-108999008	1,185	1	1.6255
SNN	NM_003498	chr16:11765873-11843329	2	1	1.8961000000000001
TXNDC11	NM_015914	chr16:11765873-11843329	2	1	2.4013999999999998
ZC3H7A	NM_014153	chr16:11765873-11843329	2	1	0.19810000000000003
ZBTB38	NM_001080412	chr3:141079083-141160634	3	1	2.279
RASA2	NM_006506	chr3:141205469-141219151,chr3:141079083-141160634	3,827	1	0.08050000000000002
INPP4A	NM_004027	chr2:99054428-99132454,chr2:99157751-99174198	4,857	1	1.8559
CCDC88C	NM_001080414	chr14:91812871-91885875,chr14:91781524-91802181	5,202	1	1.248
FAM46C	NM_017709	chr1:118136975-118219316	6	1	3.7919
BCL2L1	NM_001191	chr20:30249136-30312238	7	1	2.3545
COX4I2	NM_032609	chr20:30249136-30312238	7	1	0.0
TPX2	NM_012112	chr20:30249136-30312238	7	1	0.0
QPCT	NM_012413	chr2:37526045-37586500,chr2:37615036-37625029	8,823	1	2.9231
PRKD3	NM_005813	chr2:37526045-37586500	8	1	1.2645
NDUFV2	NM_021074	chr18:9101617-9158228,chr18:9055113-9085237	9,108	1	2.7774
ANKRD12	NM_001083625	chr18:9101617-9158228	9	1	0.40469999999999995
ERN1	NM_001433	chr17:62132919-62187423,chr17:62195594-62210332	10,171	1	1.4433
SNORD104	NR_004380	chr17:62132919-62187423,chr17:62195594-62210332	10,171	1	0.4718
SNORA76	NR_002995	chr17:62132919-62187423,chr17:62195594-62210332	10,171	1	0.4722
ICAM2	NM_000873	chr17:62132919-62187423	10	1	0.0
TRAM2	NM_012288	chr6:52392441-52443078	11	1	1.3788
BMP6	NM_001718	chr6:7878028-7920367	12	1	0.022199999999999998
MUTED-TXNDC5	NR_037616	chr6:7878028-7920367	12	1	1.4989
TXNDC5	NM_001145549	chr6:7878028-7920367	12	1	5.6627
CHMP4B	NM_176812	chr20:32398778-32452254	13	1	1.4096
SMAD7	NM_005904	chr18:46440302-46483076	14	1	1.5899
CKS1B	NR_024163	chr1:154908006-154957995,chr1:154970829-154979763	15,603	1	2.1638
MIR4258	NR_036212	chr1:154908006-154957995,chr1:154970829-154979763	15,603	1	2.5733
FLAD1	NM_201398	chr1:154908006-154957995,chr1:154970829-154979763	15,603	1	0.2861
PMVK	NM_006556	chr1:154908006-154957995	15	1	2.1054
PBXIP1	NM_020524	chr1:154908006-154957995,chr1:154970829-154979763	15,603	1	4.3692
PYGO2	NM_138300	chr1:154908006-154957995,chr1:154970829-154979763	15,603	1	3.9167
SHC1	NM_001130041	chr1:154908006-154957995,chr1:154970829-154979763	15,603	1	1.9007999999999998
LENEP	NM_018655	chr1:154908006-154957995,chr1:154970829-154979763	15,603	1	0.2195
ZBTB7B	NM_015872	chr1:154970829-154979763,chr1:154908006-154957995	15,603	1	1.7117
DCST1	NM_001143687	chr1:154908006-154957995,chr1:154970829-154979763	15,603	1	0.10759999999999997
DCST2	NM_144622	chr1:154908006-154957995,chr1:154970829-154979763	15,603	1	0.36029999999999995
CPEB4	NM_030627	chr5:173310059-173357109	16	1	0.5858
CCL4L1	NM_001001435	chr17:34597879-34641474,chr17:34509792-34539869	17,36	1	1.8533
CCL3L1	NM_021006	chr17:34597879-34641474,chr17:34509792-34539869	17,36	1	4.1024
CCL3L3	NM_001001437	chr17:34597879-34641474,chr17:34509792-34539869	17,36	1	4.1048
TBC1D3C	NM_001001418	chr17:34597879-34641474	17	1	0.0
DUSP22	NM_020185	chr6:290045-337873	18	1	2.4543999999999997
PLA2G15	NM_012320	chr16:68269905-68320910	19	1	1.5793
SLC7A6	NM_003983	chr16:68269905-68320910	19	1	0.7477
ESRP2	NM_024939	chr16:68269905-68320910	19	1	0.1877
PRMT7	NM_001184824	chr16:68269905-68320910	19	1	0.13629999999999998
SLC7A6OS	NM_032178	chr16:68269905-68320910	19	1	0.22340000000000002
C5orf56	NM_001013717	chr5:131789644-131837968,chr5:131744809-131774311	20,57	1	2.5676
IRF1	NM_002198	chr5:131789644-131837968	20	1	0.6351
IL5	NM_000879	chr5:131789644-131837968	20	1	0.0
DEPDC6	NM_022783	chr8:120912554-120948116	21	1	0.5187999999999999
DSCC1	NM_024094	chr8:120912554-120948116	21	1	0.12190000000000001
ARL8B	NM_018184	chr3:5221718-5257157	22	1	0.23009999999999997
EDEM1	NM_014674	chr3:5221718-5257157	22	1	2.1905
KLF13	NM_015995	chr15:31616886-31660608	23	1	1.1848
WWOX	NM_016373	chr16:78768101-78805033	24	1	0.016399999999999998
PCBP2	NM_001128914	chr12:53845127-53876649	25	1	1.6186
MAP3K12	NM_006301	chr12:53845127-53876649	25	1	0.8313
AMHR2	NM_001164691	chr12:53845127-53876649,chr12:53763888-53776575	25,755	1	0.0
PRR13	NM_001005354	chr12:53845127-53876649	25	1	0.1354
TARBP2	NM_134323	chr12:53845127-53876649	25	1	0.8504
NPFF	NM_003717	chr12:53845127-53876649	25	1	0.0885
ATN1	NM_001007026	chr12:7045079-7085909,chr12:7022757-7038303	26,223	1	1.6194
C12orf57	NM_138425	chr12:7045079-7085909,chr12:7022757-7038303	26,223	1	2.019
PTPN6	NM_080548	chr12:7045079-7085909,chr12:7022757-7038303	26,223	1	2.9859
MIR200C	NR_029779	chr12:7045079-7085909,chr12:7022757-7038303	26,223	1	2.2172
MIR141	NR_029682	chr12:7045079-7085909,chr12:7022757-7038303	26,223	1	1.6988
EMG1	NM_006331	chr12:7045079-7085909,chr12:7022757-7038303	26,223	1	0.7984
