GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
ZBTB38	NM_001080412	chr3:141079237-141160651	1	1	3.6307
RASA2	NM_006506	chr3:141079237-141160651	1	1	0.018000000000000002
QPCT	NM_012413	chr2:37525743-37606696,chr2:37615230-37625044	2,528	1	4.2553
PRKD3	NM_005813	chr2:37525743-37606696	2	1	0.9715999999999999
BMP6	NM_001718	chr6:7878401-7919873	3	1	0.022900000000000004
MUTED-TXNDC5	NR_037616	chr6:7878401-7919873,chr6:7958392-7965264	3,604	1	1.738
TXNDC5	NM_001145549	chr6:7878401-7919873,chr6:7958392-7965264	3,604	1	5.9895000000000005
SNN	NM_003498	chr16:11761624-11843184	4	1	2.3506
TXNDC11	NM_015914	chr16:11761624-11843184	4	1	3.7737000000000003
ZC3H7A	NM_014153	chr16:11761624-11843184	4	1	0.3278
TMEM121	NM_025268	chr14:106023355-106052918	5	1	0.1006
DUSP22	NM_020185	chr6:290082-337919	6	1	3.2743
CCDC88C	NM_001080414	chr14:91812872-91885991,chr14:91781662-91802214	7,734	1	1.5467000000000002
IGLL5	NM_001178126	chr22:23217679-23247213,chr22:23268151-23286136,chr22:23189059-23210051	8,13,207	1	10.0081
INPP4A	NM_004027	chr2:99054702-99108245	9	1	1.444
BTG2	NM_006763	chr1:203254961-203281721,chr1:203288206-203298404,chr1:203236315-203248405	10,19,381	1	4.1843
LOC730227	NR_034150	chr1:203254961-203281721,chr1:203288206-203298404,chr1:203236315-203248405	10,19,381	1	7.1023
FMOD	NM_002023	chr1:203254961-203281721,chr1:203288206-203298404	10,19	1	0.0
GPRIN3	NM_198281	chr4:90205172-90230109	11	1	2.713
BCL2L1	NM_001191	chr20:30261876-30312405	12	1	2.9184
COX4I2	NM_032609	chr20:30261876-30312405	12	1	0.0
TPX2	NM_012112	chr20:30261876-30312405	12	1	0.06450000000000002
NEAT1	NR_028272	chr11:65183170-65212855,chr11:65148383-65157287,chr11:65238381-65246462	14,754,810	1	12.0858
MIR612	NR_030343	chr11:65183170-65212855,chr11:65238381-65246462	14,810	1	0.48919999999999997
FRMD8	NM_031904	chr11:65148383-65157287,chr11:65183170-65212855	14,754	1	1.718
SLC25A45	NM_001077241	chr11:65148383-65157287,chr11:65183170-65212855	14,754	1	1.4685000000000001
PRKRIP1	NM_024653	chr7:102063371-102093296	15	1	2.1477999999999997
ORAI2	NM_032831	chr7:102063371-102093296	15	1	3.2345
LRWD1	NM_152892	chr7:102063371-102093296	15	1	0.3516
ALKBH4	NM_017621	chr7:102063371-102093296	15	1	0.5814
POLR2J	NM_006234	chr7:102063371-102093296	15	1	0.2583
CDKN1B	NM_004064	chr12:12866057-12882069	17	1	11.4759
APOLD1	NM_001130415	chr12:12866057-12882069	17	1	1.0942
MIR613	NR_030344	chr12:12866057-12882069	17	1	0.0
GPR19	NM_006143	chr12:12866057-12882069	17	1	0.4639
SELPLG	NM_003006	chr12:109009359-109036441	18	1	7.3102
TMEM119	NM_181724	chr12:109009359-109036441,chr12:108952822-108970688	18,144	1	0.0
FOXO3	NM_201559	chr6:108878091-108960787,chr6:108986320-108997462	20,333	1	1.6412
VOPP1	NM_030796	chr7:55569163-55605701,chr7:55616347-55643009	21,184	1	2.0974000000000004
ADAMTSL4	NM_019032	chr1:150532171-150553199	22	1	5.0023
MCL1	NM_001197320	chr1:150532171-150553199	22	1	1.3668
MIR4257	NR_036211	chr1:150532171-150553199	22	1	0.0
ENSA	NM_207046	chr1:150532171-150553199	22	1	0.7177
CELF2	NM_001025077	chr10:11202468-11223902,chr10:11278900-11304714	23,213	1	0.7081000000000001
CCL1	NM_002981	chr17:32688361-32719727	24	1	1.4911
CCL8	NM_005623	chr17:32688361-32719727	24	1	0.0
CCL13	NM_005408	chr17:32688361-32719727	24	1	0.016699999999999993
CHMP4B	NM_176812	chr20:32398606-32452433	25	1	2.5751999999999997
PMVK	NM_006556	chr1:154907906-154936167,chr1:154942227-154957814	26,492	1	2.2296
PBXIP1	NM_020524	chr1:154907906-154936167,chr1:154942227-154957814,chr1:154971127-154979633	26,492,752	1	3.8572999999999995
PYGO2	NM_138300	chr1:154907906-154936167,chr1:154942227-154957814,chr1:154971127-154979633	26,492,752	1	3.4376
SHC1	NM_001130041	chr1:154907906-154936167,chr1:154942227-154957814,chr1:154971127-154979633	26,492,752	1	2.3924
CKS1B	NR_024163	chr1:154942227-154957814,chr1:154907906-154936167,chr1:154971127-154979633	26,492,752	1	2.3061000000000003
MIR4258	NR_036212	chr1:154942227-154957814,chr1:154907906-154936167,chr1:154971127-154979633	26,492,752	1	2.7870999999999997
FLAD1	NM_201398	chr1:154942227-154957814,chr1:154907906-154936167,chr1:154971127-154979633	26,492,752	1	0.2822
LENEP	NM_018655	chr1:154907906-154936167,chr1:154942227-154957814,chr1:154971127-154979633	26,492,752	1	0.1266
ZBTB7B	NM_015872	chr1:154971127-154979633,chr1:154907906-154936167,chr1:154942227-154957814	26,492,752	1	1.4013
IZUMO4	NM_001039846	chr19:2081383-2098380,chr19:2040927-2062801	27,544	1	1.7553
MOBKL2A	NM_130807	chr19:2081383-2098380,chr19:2040927-2062801	27,544	1	4.3989
MKNK2	NM_017572	chr19:2040927-2062801,chr19:2081383-2098380	27,544	1	0.6378999999999999
PRDM1	NM_001198	chr6:106530329-106556460	28	1	4.5849
ZNF740	NM_001004304	chr12:53582067-53607643	29	1	0.9281999999999999
ITGB7	NM_000889	chr12:53582067-53607643	29	1	5.7486
RARG	NM_000966	chr12:53582067-53607643	29	1	1.6113
MFSD5	NM_001170790	chr12:53582067-53607643	29	1	0.3108
CSAD	NM_015989	chr12:53582067-53607643	29	1	0.324
CFLAR	NM_003879	chr2:201979795-201998075	30	1	2.6339
NDUFB3	NM_002491	chr2:201979795-201998075	30	1	0.2667
CASP10	NM_032974	chr2:202072964-202102124,chr2:201979795-201998075	30,520	1	0.8182
FAM126B	NM_173822	chr2:201979795-201998075	30	1	0.039599999999999996
REPIN1	NM_013400	chr7:150062674-150084758,chr7:150100636-150105311	31,231	1	5.4891000000000005
ZNF775	NM_173680	chr7:150062674-150084758,chr7:150100636-150105311,chr7:150125157-150134034	31,231,503	1	3.1464000000000003
LRRC61	NM_001142928	chr7:150062674-150084758	31	1	0.5304
C7orf29	NM_138434	chr7:150062674-150084758	31	1	0.0
LOC728743	NR_027237	chr7:150100636-150105311,chr7:150062674-150084758,chr7:150125157-150134034	31,231,503	1	4.0068
LOC285972	NR_034033	chr7:150125157-150134034,chr7:150062674-150084758,chr7:150100636-150105311	31,231,503	1	1.3657000000000001
ACTR3C	NM_001164458	chr7:150062674-150084758	31	1	0.10099999999999998
RARRES2	NM_002889	chr7:150062674-150084758	31	1	0.0
BZRAP1	NM_004758	chr17:56404776-56431190	32	1	1.1118000000000001
MIR142	NR_029683	chr17:56404776-56431190	32	1	5.915
SUPT4H1	NM_003168	chr17:56404776-56431190	32	1	1.4958999999999998
RNF43	NM_017763	chr17:56404776-56431190	32	1	0.06880000000000001
MPO	NM_000250	chr17:56404776-56431190	32	1	0.0
GAS2	NM_001143830	chr11:22676612-22704067	33	1	0.9218999999999999
FANCF	NM_022725	chr11:22676612-22704067	33	1	0.7379
TNFRSF17	NM_001192	chr16:12052337-12072051	34	1	10.5937
RUNDC2A	NM_032167	chr16:12052337-12072051	34	1	0.16459999999999997
GSPT1	NM_001130006	chr16:12052337-12072051	34	1	0.043099999999999986
FAM46C	NM_017709	chr1:118141992-118188232,chr1:118194891-118219254	35,61	1	3.7309
CHST15	NM_015892	chr10:125822014-125854871,chr10:125863442-125867647	36,346	1	1.597
C5orf56	NM_001013717	chr5:131744658-131774500,chr5:131789744-131816129	37,196	1	3.2124
SLC22A5	NM_003060	chr5:131744658-131774500	37	1	0.06269999999999999
MIR3936	NR_037500	chr5:131744658-131774500	37	1	0.2519
NDUFV2	NM_021074	chr18:9101621-9126880,chr18:9132570-9157602,chr18:9054669-9074595	39,115,177	1	2.6892
LOC400958	NR_036586	chr2:65156928-65178694,chr2:65139917-65151158	40,350	1	2.4126
SLC1A4	NM_001193493	chr2:65214791-65220855,chr2:65156928-65178694,chr2:65254659-65261258	40,289,871	1	0.5845
LRRC16A	NM_001173977	chr6:25403001-25415269,chr6:25365817-25390371	41,280	1	0.5042
LAPTM5	NM_006762	chr1:31213836-31233404	42	1	3.7175000000000002
LOC100129196	NR_034182	chr1:31213836-31233404	42	1	0.11950000000000001
