GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
FAM46C	NM_017709	chr1:118147892-118218071	1	1	1.5041
HIST2H4B	NM_001034077	chr1:149801425-149834915	2	1	3.7741
HIST2H2AA4	NM_001040874	chr1:149801425-149834915,chr1:149855675-149861448	2,167	1	9.4527
HIST2H3A	NM_001005464	chr1:149801425-149834915,chr1:149855675-149861448	2,167	1	9.5221
HIST2H2BC	NR_036461	chr1:149801425-149834915,chr1:149855675-149861448	2,167	1	9.3972
FCGR1A	NM_000566	chr1:149801425-149834915	2	1	0.3378
HIST2H2AC	NM_003517	chr1:149855675-149861448,chr1:149801425-149834915	2,167	1	6.73
BOLA1	NM_016074	chr1:149801425-149834915,chr1:149855675-149861448	2,167	1	0.5345
HIST2H2BF	NM_001161334	chr1:149801425-149834915	2	1	0.7169
HIST2H3D	NM_001123375	chr1:149801425-149834915	2	1	2.0184
HIST2H2BE	NM_003528	chr1:149855675-149861448,chr1:149801425-149834915	2,167	1	5.7669
HIST2H2AB	NM_175065	chr1:149855675-149861448,chr1:149801425-149834915	2,167	1	6.709
TMEM121	NM_025268	chr14:106023443-106057867,chr14:105946837-105958281	3,482	1	0.4967
CCDC88C	NM_001080414	chr14:91812350-91867243,chr14:91872825-91885864,chr14:91781658-91802332	4,184,218	1	1.6264
INPP4A	NM_004027	chr2:99054390-99109476	5	1	1.15
ZBTB38	NM_001080412	chr3:141079652-141132523	6	1	1.3783
MUTED-TXNDC5	NR_037616	chr6:7883121-7921645,chr6:7958761-7969252	8,470	1	1.1614
TXNDC5	NM_001145549	chr6:7883121-7921645,chr6:7958761-7969252	8,470	1	3.9294
IGLL5	NM_001178126	chr22:23223262-23249235,chr22:23255937-23287901	10,13	1	7.2815
PMVK	NM_006556	chr1:154907436-154935437,chr1:154940895-154949188	11,368	1	3.1808
PBXIP1	NM_020524	chr1:154907436-154935437,chr1:154970620-154977550,chr1:154940895-154949188	11,295,368	1	3.9058
PYGO2	NM_138300	chr1:154907436-154935437,chr1:154970620-154977550,chr1:154940895-154949188	11,295,368	1	3.8875
SHC1	NM_001130041	chr1:154907436-154935437,chr1:154940895-154949188,chr1:154970620-154977550	11,295,368	1	3.3841
CKS1B	NR_024163	chr1:154940895-154949188,chr1:154907436-154935437,chr1:154970620-154977550	11,295,368	1	2.9052
MIR4258	NR_036212	chr1:154940895-154949188,chr1:154907436-154935437,chr1:154970620-154977550	11,295,368	1	3.2915
