#10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19_ROSE/10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X10_0EWW_0229Kronos_MM1S.KB.24hr.2_H3K18Ac_hs.dm_i19.bam
#Using cutoff of 22673.2851 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X10_0EWW_0229Kronos_MM1S.KB.24hr.2_H3K18Ac_hs.dm_i19.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	isSuper
5_MACS_peak_2252_lociStitched	chr1	203236298	203308648	5	59832	464146.955	21676.06	1	1
8_MACS_peak_18688_lociStitched	chr3	141078676	141160679	8	67908	424611.534	19246.1041	2	1
8_MACS_peak_13795_lociStitched	chr2	37525621	37625069	8	82223	382039.4368	21540.4368	3	1
1_MACS_peak_10877_lociStitched	chr17	32688272	32729903	1	41632	286200.6357	9633.4134	4	1
1_MACS_peak_8327_lociStitched	chr14	106023124	106056535	1	33412	258530.9769	6057.4143	5	1
5_MACS_peak_1354_lociStitched	chr1	118141760	118219457	5	67011	245219.5017	10193.8464	6	1
11_MACS_peak_9592_lociStitched	chr16	11754576	11843345	11	69657	252112.8369	17798.1845	7	1
5_MACS_peak_16960_lociStitched	chr22	23188726	23249117	5	53796	243031.5013	9414.9569	8	1
3_MACS_peak_10925_lociStitched	chr17	34596839	34645474	3	46419	237158.8505	12572.1475	9	1
2_MACS_peak_16965_lociStitched	chr22	23262040	23286791	2	22267	221405.1203	5363.5417	10	1
2_MACS_peak_10921_lociStitched	chr17	34508407	34544047	2	34911	216195.804	9886.536	11	1
3_MACS_peak_14474_lociStitched	chr2	99054655	99108655	3	49835	216091.8	12506.4	12	1
8_MACS_peak_8167_lociStitched	chr14	91812950	91886136	8	61930	195201.6992	8775.0014	13	1
4_MACS_peak_20020_lociStitched	chr4	90204439	90253354	4	35241	195787.179	10546.074	14	1
9_MACS_peak_16033_lociStitched	chr20	32398793	32474510	9	52084	198151.389	14499.8055	15	1
7_MACS_peak_10661_lociStitched	chr17	16846732	16895754	7	42635	192509.394	9789.6934	16	1
4_MACS_peak_3906_lociStitched	chr10	112596716	112633415	4	28976	189271.4226	7886.6151	17	1
4_MACS_peak_18626_lociStitched	chr3	133177773	133227080	4	40233	186498.7968	9328.8844	18	1
4_MACS_peak_8332_lociStitched	chr14	106143777	106175999	4	31218	179785.8712	3792.5294	19	1
2_MACS_peak_16986_lociStitched	chr22	24176999	24201037	2	18113	167453.5156	4757.1202	20	1
1_MACS_peak_22315_lociStitched	chr6	7887588	7921791	1	34204	164324.8932	8916.7221	21	1
4_MACS_peak_2320_lociStitched	chr1	206271511	206311220	4	27929	161083.5294	11158.229	22	1
4_MACS_peak_22192_lociStitched	chr6	289904	338121	4	38432	163320.6224	16080.3695	23	1
2_MACS_peak_11020_lociStitched	chr17	38459045	38484806	2	23625	151946.1063	5829.7143	24	1
7_MACS_peak_11212_lociStitched	chr17	46506224	46571645	7	52551	156199.1796	11069.2332	25	1
3_MACS_peak_24459_lociStitched	chr7	55568606	55606328	3	30992	151238.8146	7008.7476	26	1
1_MACS_peak_4914_lociStitched	chr11	72850745	72871854	1	21110	148085.9677	4772.7449	27	1
1_MACS_peak_26312_lociStitched	chr8	120915106	120951105	1	36000	149997.0333	7426.5937	28	1
7_MACS_peak_23335_lociStitched	chr6	108878187	108959062	7	74809	155603.5	14088.425	29	1
6_MACS_peak_21658_lociStitched	chr5	131789292	131842653	6	40179	151507.8873	11024.3826	30	1
4_MACS_peak_11870_lociStitched	chr18	9053773	9085567	4	27968	145594.2642	6520.9494	31	1
3_MACS_peak_15984_lociStitched	chr20	30271601	30312241	3	40109	148067.776	9339.072	32	1
4_MACS_peak_19118_lociStitched	chr3	183220039	183261513	4	35643	148518.394	11554.6564	33	1
1_MACS_peak_2911_lociStitched	chr10	11201828	11224736	1	22909	142274.7156	7090.026	34	1
2_MACS_peak_308_lociStitched	chr1	24511736	24534778	2	22154	137496.2224	4700.568	35	1
3_MACS_peak_21655_lociStitched	chr5	131744670	131775215	3	26859	138176.4165	6756.554	36	1
3_MACS_peak_19797_lociStitched	chr4	71523614	71555458	3	30163	134480.3964	6798.694	37	1
4_MACS_peak_16137_lociStitched	chr20	37486570	37510861	4	16706	130309.0695	4275.216	38	1
3_MACS_peak_24856_lociStitched	chr7	102063365	102093384	3	25281	132005.5506	6126.8779	39	1
3_MACS_peak_6711_lociStitched	chr12	109008375	109036234	3	22537	132374.8244	6571.9381	40	1
1_MACS_peak_4736_lociStitched	chr11	65183101	65199286	1	16186	129996.3015	4832.841	41	1
1_MACS_peak_10093_lociStitched	chr16	66548823	66562236	1	13414	128268.519	3460.554	42	1
5_MACS_peak_23662_lociStitched	chr6	138244144	138299666	5	48964	134740.7896	10005.0644	43	1
3_MACS_peak_1657_lociStitched	chr1	154907889	154936001	3	23385	133683.8048	9040.8192	44	1
7_MACS_peak_15351_lociStitched	chr2	204513797	204587796	7	54592	137201.5459	13305.0202	45	1
5_MACS_peak_23354_lociStitched	chr6	109186260	109232635	5	32578	132414.5375	8732.4125	46	1
1_MACS_peak_18957_lociStitched	chr3	171801747	171828813	1	27067	127670.322	8320.0884	47	1
1_MACS_peak_15126_lociStitched	chr2	182167403	182180980	1	13578	122603.0254	3739.1058	48	1
1_MACS_peak_22490_lociStitched	chr6	25401483	25415964	1	14482	122258.7387	3898.2852	49	1
2_MACS_peak_4347_lociStitched	chr11	19449641	19472344	2	19440	122246.5738	4778.9815	50	1
4_MACS_peak_24181_lociStitched	chr7	25979851	26012371	4	20827	123634.536	6224.328	51	1
3_MACS_peak_4004_lociStitched	chr10	125821669	125855029	3	32364	123765.6	7115.688	52	1
2_MACS_peak_17892_lociStitched	chr3	46244847	46265384	2	17754	120340.6589	4744.047	53	1
3_MACS_peak_1443_lociStitched	chr1	145426791	145457959	3	23214	122780.1024	9447.0208	54	1
3_MACS_peak_11347_lociStitched	chr17	56404856	56430953	3	19148	119247.6318	5939.6772	55	1
