#31_0EX7_0229Kronos_MM1S-No-Treatment-1_IRF4_hs_i45_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/31_0EX7_0229Kronos_MM1S-No-Treatment-1_IRF4_hs_i45_ROSE/31_0EX7_0229Kronos_MM1S-No-Treatment-1_IRF4_hs_i45_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X31_0EX7_0229Kronos_MM1S.No.Treatment.1_IRF4_hs_i45.bam
#Using cutoff of 5127.1332 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X31_0EX7_0229Kronos_MM1S.No.Treatment.1_IRF4_hs_i45.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	isSuperStretch
11_MACS_peak_13052_lociStitched	chr19	2031167	2099465	11	48356	74615.565	16412.0094	1	1
16_MACS_peak_13068_lociStitched	chr19	2229377	2291629	16	43233	55086.7948	12506.4268	2	1
12_MACS_peak_25617_lociStitched	chr7	102118197	102187826	12	40869	47939.5665	20032.2633	3	1
7_MACS_peak_13103_lociStitched	chr19	2594667	2638123	7	30864	53277.056	11572.3328	4	1
9_MACS_peak_15641_lociStitched	chr2	99060624	99108021	9	35777	41225.9106	12541.2462	5	1
13_MACS_peak_12181_lociStitched	chr17	76116680	76176677	13	33954	40161.9918	10781.4609	6	1
14_MACS_peak_9691_lociStitched	chr16	11761511	11819186	14	35545	37344.5625	11990.6325	7	1
11_MACS_peak_14332_lociStitched	chr19	48406520	48461549	11	36286	34084.9626	20190.1401	8	1
6_MACS_peak_25631_lociStitched	chr7	102244687	102283737	6	34302	31790.605	12234.365	9	1
6_MACS_peak_12969_lociStitched	chr19	1061892	1105876	6	27169	35715.008	8906.76	10	1
7_MACS_peak_5840_lociStitched	chr12	7045735	7081058	7	24146	36442.7391	7559.122	11	1
14_MACS_peak_12709_lociStitched	chr18	46439227	46480162	14	28305	29121.159	7761.276	12	1
8_MACS_peak_23200_lociStitched	chr6	7878177	7918613	8	25687	33937.9348	10743.8452	13	1
10_MACS_peak_14453_lociStitched	chr19	50595418	50633232	10	30658	18600.7066	10807.2412	14	1
4_MACS_peak_17996_lociStitched	chr21	45552309	45580899	4	21497	33953.484	7593.504	15	1
5_MACS_peak_1698_lociStitched	chr1	154907982	154935805	5	23012	33173.3629	9086.9918	16	1
1_MACS_peak_21644_lociStitched	chr5	9890	12223	1	2334	42246.8972	5830.8669	17	0
4_MACS_peak_13645_lociStitched	chr19	16244277	16273727	4	23638	27205.91	6096.15	18	1
4_MACS_peak_1786_lociStitched	chr1	156449509	156476087	4	19972	33052.4008	7941.5064	19	1
10_MACS_peak_13519_lociStitched	chr19	12867924	12918419	10	22161	29145.714	7261.181	20	1
5_MACS_peak_6298_lociStitched	chr12	53583168	53607830	5	20729	27848.3304	6056.9872	21	1
4_MACS_peak_14035_lociStitched	chr19	39880842	39904006	4	18351	28651.5516	4790.3152	22	1
7_MACS_peak_8184_lociStitched	chr14	106023210	106052696	7	20603	25113.2262	5655.4148	23	1
5_MACS_peak_26046_lociStitched	chr7	150063337	150084839	5	20818	25374.5102	6282.8844	24	1
6_MACS_peak_15614_lociStitched	chr2	97191188	97220821	6	19926	25896.2787	5905.8569	25	1
5_MACS_peak_13026_lociStitched	chr19	1648003	1673337	5	19202	26091.4866	5104.801	26	1
4_MACS_peak_12987_lociStitched	chr19	1258594	1280462	4	17849	26149.7544	5523.8568	27	1
4_MACS_peak_13093_lociStitched	chr19	2455420	2480651	4	14780	28321.7975	5205.1553	28	1
4_MACS_peak_1766_lociStitched	chr1	156115563	156137064	4	18170	26601.0372	7316.7903	29	1
10_MACS_peak_10300_lociStitched	chr16	67183286	67219812	10	19119	23566.5752	6096.1894	30	1
5_MACS_peak_25611_lociStitched	chr7	102064085	102092845	5	18104	23025.256	5648.464	31	1
3_MACS_peak_6783_lociStitched	chr12	109009520	109031556	3	16234	24973.3988	5233.55	32	1
4_MACS_peak_13161_lociStitched	chr19	3970350	3991209	4	19257	19826.4795	5060.3934	33	1
8_MACS_peak_4037_lociStitched	chr10	125822571	125854486	8	18182	22519.224	5948.956	34	1
6_MACS_peak_18478_lociStitched	chr22	37611195	37642049	6	17942	23054.1088	6275.7036	35	1
5_MACS_peak_1582_lociStitched	chr1	150531959	150553342	5	16490	26130.026	7317.2626	36	1
9_MACS_peak_8374_lociStitched	chr15	31628776	31660586	9	17975	22737.788	6142.511	37	1
7_MACS_peak_28268_lociStitched	chr9	130673051	130706638	7	17936	22311.8441	5884.4424	38	1
7_MACS_peak_28256_lociStitched	chr9	130532630	130568553	7	16939	23906.7565	6106.91	39	1
5_MACS_peak_11800_lociStitched	chr17	56402002	56422719	5	16711	22328.7826	5237.2576	40	1
2_MACS_peak_4884_lociStitched	chr11	65183440	65198121	2	14572	23938.8386	4753.7078	41	1
5_MACS_peak_10001_lociStitched	chr16	30193971	30223403	5	16345	23198.3024	6292.5616	42	1
3_MACS_peak_14820_lociStitched	chr2	20405776	20426269	3	16662	20738.916	4604.7771	43	1
6_MACS_peak_1745_lociStitched	chr1	155900962	155932471	6	16504	23827.1058	7760.6667	44	1
