REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X05_0EWR_0229Kronos_MM1S.KB.3hr.1_H3K18Ac_hs.dm_i07.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
6_MACS_peak_1428_lociStitched	chr1	118141784	118219442	6	62029	170769.942	8627.8038	1	FAM46C		FAM46C	1	1
6_MACS_peak_24444_lociStitched	chr6	108878301	108952013	6	61872	95250.6464	10931.4896	2	FOXO3		FOXO3	2	1
7_MACS_peak_14537_lociStitched	chr2	37526039	37606605	7	60669	180588.689	14775.8044	3	QPCT,PRKD3		QPCT	3	1
9_MACS_peak_19694_lociStitched	chr3	141079115	141149704	9	54770	286090.1581	13701.3249	4	ZBTB38		ZBTB38	4	1
9_MACS_peak_8534_lociStitched	chr14	91813045	91885879	9	52364	109527.7692	7414.5012	5	CCDC88C		CCDC88C	5	1
5_MACS_peak_15212_lociStitched	chr2	99060431	99107707	5	40965	119896.6636	8925.7088	6	INPP4A		INPP4A	6	1
3_MACS_peak_16840_lociStitched	chr20	30271747	30312318	3	36847	110259.8067	8244.0272	7	BCL2L1	COX4I2,TPX2	BCL2L1	7	1
6_MACS_peak_16884_lociStitched	chr20	32398673	32452633	6	36661	88586.132	9130.032	8	CHMP4B		CHMP4B	8	1
7_MACS_peak_12743_lociStitched	chr18	46439346	46480151	7	35749	53768.7485	7010.299	9	SMAD7		SMAD7	9	1
5_MACS_peak_11398_lociStitched	chr17	32688414	32726806	5	34857	98337.2688	7309.8368	10	CCL1	CCL8,CCL13	CCL1	10	1
4_MACS_peak_23259_lociStitched	chr6	289858	338070	4	34851	149799.5052	15967.8144	11	DUSP22		DUSP22	11	1
9_MACS_peak_24054_lociStitched	chr6	52392366	52443062	9	33780	75815.868	8937.7048	12	TRAM2		TRAM2	12	1
7_MACS_peak_11450_lociStitched	chr17	34597787	34641905	7	33150	73447.6464	8735.364	13	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	13	1
3_MACS_peak_23374_lociStitched	chr6	7886838	7921261	3	32721	136359.8299	7056.715	14	MUTED-TXNDC5,TXNDC5		TXNDC5	14	1
