GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
NEAT1	NR_028272	chr11:65183941-65195183	1	1	5.6101
FRMD8	NM_031904	chr11:65183941-65195183	1	1	0.7629
MIR612	NR_030343	chr11:65183941-65195183	1	1	0.5997
SLC25A45	NM_001077241	chr11:65183941-65195183	1	1	0.826
ZFP36	NM_003407	chr19:39892262-39901666	2	1	5.2495
MED29	NM_017592	chr19:39892262-39901666	2	1	2.6137
PLEKHG2	NM_022835	chr19:39892262-39901666	2	1	0.8253
SUPT5H	NM_001130825	chr19:39892262-39901666	2	1	0.3276
PAF1	NM_019088	chr19:39892262-39901666	2	1	0.7051
RPS16	NM_001020	chr19:39892262-39901666	2	1	0.3705
UBC	NM_021009	chr12:125397344-125405818	3	1	2.1955
SCARB1	NM_001082959	chr12:125397344-125405818	3	1	0.0787
IGLL5	NM_001178126	chr22:23229963-23237603,chr22:23270297-23275810	4,30	1	1.4416
ISL2	NM_145805	chr15:76627538-76634414	5	1	1.8568
ETFA	NM_000126	chr15:76627538-76634414	5	1	0.1234
MUTED-TXNDC5	NR_037616	chr6:7905780-7912448,chr6:7915876-7918232	6,680	1	0.3915
TXNDC5	NM_001145549	chr6:7905780-7912448,chr6:7915876-7918232	6,680	1	0.999
LOC148696	NR_026817	chr1:207994037-208000404,chr1:208040738-208042970	7,828	1	2.4996
MIR29C	NR_029832	chr1:207994037-208000404	7	1	0.172
MIR29B2	NR_029518	chr1:207994037-208000404	7	1	0.1929
JUNB	NM_002229	chr19:12899306-12905318	8	1	3.0453
BEST2	NM_017682	chr19:12899306-12905318	8	1	0.0966
RNASEH2A	NM_006397	chr19:12899306-12905318	8	1	0.1407
MAST1	NM_014975	chr19:12899306-12905318	8	1	0.079
HOOK2	NM_013312	chr19:12899306-12905318	8	1	0.3567
PRDX2	NM_181738	chr19:12899306-12905318	8	1	0.1956
RTBDN	NM_001080997	chr19:12899306-12905318	8	1	0.0695
KLF13	NM_015995	chr15:31616032-31622067,chr15:31636687-31640352,chr15:31644150-31646670,chr15:31652102-31654296	9,126,446,728	1	1.504
TRIB1	NM_025195	chr8:126441238-126447642	10	1	1.4009
MKLN1	NM_001145354	chr7:130790192-130796258	11	1	0.1407
FLJ43663	NR_015431	chr7:130790192-130796258	11	1	0.2587
SIN3A	NM_015477	chr15:75742719-75748878	12	1	0.4787
TNIP1	NM_006058	chr5:150457644-150463480,chr5:150464478-150466773	13,621	1	0.7232
CCDC88C	NM_001080414	chr14:91837713-91844274,chr14:91881261-91885118,chr14:91815349-91818411	14,169,555	1	0.5683
PTCH1	NM_001083603	chr9:98267910-98273836	15	1	0.327
MALAT1	NR_002819	chr11:65263790-65269461	16	1	2.2315
