GENE	TF	CHROM	START	STOP	ENHANCER_ID
A1BG	0	chr19	58891341	58902284	4_MACS_peak_18208_lociStitched
A1BG-AS1	0	chr19	58891341	58902284	4_MACS_peak_18208_lociStitched
A4GALT	0	chr22	43057511	43071000	1_MACS_peak_23187_lociStitched
A4GALT	0	chr22	43108037	43117516	2_MACS_peak_23195_lociStitched
AANAT	0	chr17	74475302	74503100	5_MACS_peak_15162_lociStitched
AARS2	0	chr6	44213242	44234183	3_MACS_peak_29446_lociStitched
ABCA7	0	chr19	1066381	1082837	4_MACS_peak_16114_lociStitched
ABCA7	0	chr19	1017397	1029852	4_MACS_peak_16109_lociStitched
ABCB9	0	chr12	123410805	123423828	4_MACS_peak_8394_lociStitched
ABCD1	0	chrX	152973708	152994638	4_MACS_peak_36526_lociStitched
ABCG1	0	chr21	43647616	43660010	2_MACS_peak_22171_lociStitched
ABHD1	0	chr2	27292641	27310673	4_MACS_peak_18565_lociStitched
ABHD12	0	chr20	25275465	25283311	1_MACS_peak_21140_lociStitched
ABHD15	0	chr17	27914967	27929097	4_MACS_peak_13993_lociStitched
ABHD4	0	chr14	23017118	23040543	4_MACS_peak_9272_lociStitched
ABHD8	0	chr19	17412753	17421633	5_MACS_peak_16946_lociStitched
ABL2	0	chr1	179048066	179063174	3_MACS_peak_2657_lociStitched
ACBD3	0	chr1	226308651	226316930	3_MACS_peak_3274_lociStitched
ACER1	0	chr19	6357269	6363213	1_MACS_peak_16401_lociStitched
ACO2	0	chr22	41839740	41845228	2_MACS_peak_23118_lociStitched
ACOXL	0	chr2	111612125	111634261	6_MACS_peak_19614_lociStitched
ACSF3	0	chr16	89179892	89195821	3_MACS_peak_13353_lociStitched
ACTG1	0	chr17	79476733	79487276	6_MACS_peak_15356_lociStitched
ACTN4	0	chr19	39159852	39187066	7_MACS_peak_17368_lociStitched
ACTR3	0	chr2	114642690	114650239	1_MACS_peak_19727_lociStitched
ADA	0	chr20	43269902	43282005	2_MACS_peak_21504_lociStitched
ADAM12	0	chr10	128109526	128129724	7_MACS_peak_5077_lociStitched
ADAM15	0	chr1	154970314	154979994	1_MACS_peak_2250_lociStitched
ADAM15	0	chr1	155049677	155067182	5_MACS_peak_2257_lociStitched
ADAM15	0	chr1	155033702	155044058	2_MACS_peak_2255_lociStitched
ADAM17	0	chr2	9687307	9697223	2_MACS_peak_18346_lociStitched
ADAM22	0	chr7	87548887	87565039	3_MACS_peak_31575_lociStitched
ADAM6	0	chr14	106452740	106473342	8_MACS_peak_10421_lociStitched
ADAMTS4	0	chr1	161134806	161163453	5_MACS_peak_2443_lociStitched
ADAMTSL4	0	chr1	150531157	150554149	1_MACS_peak_2099_lociStitched
ADAT3	0	chr19	1847154	1856805	2_MACS_peak_16179_lociStitched
ADAT3	0	chr19	1894580	1906317	3_MACS_peak_16184_lociStitched
ADD1	0	chr4	2787079	2801409	3_MACS_peak_25550_lociStitched
ADM	0	chr11	10314768	10344834	8_MACS_peak_5389_lociStitched
ADM2	0	chr22	50963007	50984714	7_MACS_peak_23364_lociStitched
ADORA2A	0	chr22	24819373	24834134	3_MACS_peak_22652_lociStitched
ADPGK	0	chr15	73074150	73080654	1_MACS_peak_11276_lociStitched
AEN	0	chr15	89177412	89184909	1_MACS_peak_11622_lociStitched
AFMID	0	chr17	76116284	76144300	8_MACS_peak_15221_lociStitched
AFMID	0	chr17	76164005	76177130	3_MACS_peak_15231_lociStitched
AGAP1	0	chr2	236402273	236414489	1_MACS_peak_20756_lociStitched
AGBL5	0	chr2	27292641	27310673	4_MACS_peak_18565_lociStitched
AGFG2	0	chr7	100135812	100146297	3_MACS_peak_31738_lociStitched
AGPAT3	0	chr21	45283968	45287764	1_MACS_peak_22255_lociStitched
AHNAK	0	chr11	62357493	62383092	7_MACS_peak_5870_lociStitched
AHNAK	0	chr11	62306223	62326537	4_MACS_peak_5864_lociStitched
AHNAK2	0	chr14	105482104	105491711	3_MACS_peak_10376_lociStitched
AIFM1	0	chrX	129298771	129311265	3_MACS_peak_36376_lociStitched
AIM1L	0	chr1	26632248	26649006	3_MACS_peak_633_lociStitched
AIRE	1	chr21	45715293	45721635	2_MACS_peak_22281_lociStitched
AIRE	1	chr21	45658358	45664739	3_MACS_peak_22277_lociStitched
AK1	0	chr9	130667286	130707014	10_MACS_peak_35083_lociStitched
AKAP2	0	chr9	112903921	112925286	2_MACS_peak_34805_lociStitched
AKT1S1	0	chr19	50422354	50441587	4_MACS_peak_17932_lociStitched
AKT1S1	0	chr19	50369369	50382699	4_MACS_peak_17922_lociStitched
AKT1S1	0	chr19	50393078	50407873	5_MACS_peak_17926_lociStitched
ALAD	0	chr9	116162655	116174463	3_MACS_peak_34862_lociStitched
ALAD	0	chr9	116132093	116143809	3_MACS_peak_34859_lociStitched
ALAD	0	chr9	116101631	116115781	4_MACS_peak_34854_lociStitched
ALDH16A1	0	chr19	49953816	49964882	4_MACS_peak_17884_lociStitched
ALDH1A3	0	chr15	101456695	101489921	6_MACS_peak_11813_lociStitched
ALDH8A1	0	chr6	135187327	135196797	2_MACS_peak_30136_lociStitched
ALG12	0	chr22	50353022	50364819	4_MACS_peak_23332_lociStitched
ALKBH4	0	chr7	102063382	102088703	4_MACS_peak_31793_lociStitched
ALKBH4	0	chr7	102147800	102158801	2_MACS_peak_31803_lociStitched
ALKBH7	0	chr19	6357269	6363213	1_MACS_peak_16401_lociStitched
ALLC	0	chr2	3651409	3659054	2_MACS_peak_18274_lociStitched
ALOX5	0	chr10	45913345	45930806	4_MACS_peak_4095_lociStitched
ALPK1	0	chr4	113200007	113212618	3_MACS_peak_26270_lociStitched
ALPK2	0	chr18	56291664	56302114	2_MACS_peak_15935_lociStitched
AMDHD2	0	chr16	2551034	2571765	5_MACS_peak_11971_lociStitched
AMH	0	chr19	2254050	2274853	7_MACS_peak_16206_lociStitched
AMH	0	chr19	2234826	2241799	1_MACS_peak_16205_lociStitched
AMN1	0	chr12	31901403	31913574	3_MACS_peak_7227_lociStitched
AMZ1	0	chr7	2728047	2739955	2_MACS_peak_30596_lociStitched
AMZ2	0	chr17	66230241	66236854	1_MACS_peak_14984_lociStitched
AMZ2P1	0	chr17	62979626	62986050	2_MACS_peak_14932_lociStitched
ANAPC1	0	chr2	112455591	112469143	2_MACS_peak_19660_lociStitched
ANAPC11	0	chr17	79816169	79830947	5_MACS_peak_15382_lociStitched
ANAPC16	0	chr10	74006965	74024634	4_MACS_peak_4302_lociStitched
ANAPC2	0	chr9	140130596	140156868	9_MACS_peak_35414_lociStitched
ANKDD1A	0	chr15	65164222	65191013	6_MACS_peak_11088_lociStitched
ANKLE1	0	chr19	17412753	17421633	5_MACS_peak_16946_lociStitched
ANKMY1	0	chr2	241499001	241509373	3_MACS_peak_20807_lociStitched
ANKMY1	0	chr2	241517145	241527700	2_MACS_peak_20810_lociStitched
ANKRD12	0	chr18	9135022	9148197	5_MACS_peak_15550_lociStitched
ANKRD13B	0	chr17	27914967	27929097	4_MACS_peak_13993_lociStitched
ANKRD34A	0	chr1	145449161	145457878	2_MACS_peak_1977_lociStitched
ANKRD36BP2	0	chr2	89130630	89161462	5_MACS_peak_19370_lociStitched
ANKRD36BP2	0	chr2	89442070	89459891	6_MACS_peak_19376_lociStitched
ANKRD46	0	chr8	101501192	101513254	2_MACS_peak_33432_lociStitched
ANKRD46	0	chr8	101440459	101456662	5_MACS_peak_33421_lociStitched
ANKRD55	0	chr5	55436941	55452957	5_MACS_peak_27184_lociStitched
ANO8	0	chr19	17412753	17421633	5_MACS_peak_16946_lociStitched
ANP32A	0	chr15	69107801	69114775	1_MACS_peak_11190_lociStitched
ANP32B	0	chr9	100744494	100748827	1_MACS_peak_34697_lociStitched
ANP32E	0	chr1	150204792	150209669	1_MACS_peak_2084_lociStitched
ANXA11	0	chr10	81954303	81966127	2_MACS_peak_4477_lociStitched
ANXA6	0	chr5	150502776	150538126	11_MACS_peak_28133_lociStitched
ANXA9	0	chr1	150945705	150956068	4_MACS_peak_2114_lociStitched
AP1AR	0	chr4	113200007	113212618	3_MACS_peak_26270_lociStitched
AP1M1	0	chr19	16244294	16272490	7_MACS_peak_16889_lociStitched
AP3D1	0	chr19	2163059	2169664	2_MACS_peak_16203_lociStitched
AP4E1	0	chr15	51165426	51179117	2_MACS_peak_10865_lociStitched
AP4M1	0	chr7	99716230	99728917	3_MACS_peak_31702_lociStitched
APC2	0	chr19	1437620	1456703	5_MACS_peak_16152_lociStitched
APC2	0	chr19	1400332	1416120	4_MACS_peak_16148_lociStitched
APH1A	0	chr1	150204792	150209669	1_MACS_peak_2084_lociStitched
APOA2	0	chr1	161134806	161163453	5_MACS_peak_2443_lociStitched
APOBEC3F	0	chr22	39485484	39496077	3_MACS_peak_23042_lociStitched
APOBEC3G	0	chr22	39485484	39496077	3_MACS_peak_23042_lociStitched
APOBEC3H	0	chr22	39485484	39496077	3_MACS_peak_23042_lociStitched
APOD	0	chr3	195258222	195278321	5_MACS_peak_25372_lociStitched
APOD	0	chr3	195351010	195363727	3_MACS_peak_25378_lociStitched
APOF	0	chr12	56726293	56734001	2_MACS_peak_7592_lociStitched
APOL3	0	chr22	36552249	36564770	2_MACS_peak_22844_lociStitched
APOL4	0	chr22	36552249	36564770	2_MACS_peak_22844_lociStitched
APOLD1	0	chr12	12866182	12881589	2_MACS_peak_7084_lociStitched
APRT	0	chr16	88845971	88858144	2_MACS_peak_13343_lociStitched
APRT	0	chr16	88869391	88879865	2_MACS_peak_13345_lociStitched
AQP10	0	chr1	154296810	154302058	1_MACS_peak_2208_lociStitched
AQP3	0	chr9	33443755	33459825	3_MACS_peak_34191_lociStitched
AQP7	0	chr9	33443755	33459825	3_MACS_peak_34191_lociStitched
ARF6	0	chr14	50357823	50370716	2_MACS_peak_9510_lociStitched
ARFRP1	0	chr20	62357765	62372964	3_MACS_peak_21864_lociStitched
ARHGAP10	0	chr4	148651306	148655590	1_MACS_peak_26522_lociStitched
ARHGAP21	0	chr10	25006113	25017146	2_MACS_peak_3929_lociStitched
ARHGAP27	0	chr17	43502285	43531790	7_MACS_peak_14501_lociStitched
ARHGAP4	0	chrX	153188415	153201773	4_MACS_peak_36534_lociStitched
ARHGAP4	0	chrX	153230650	153239499	2_MACS_peak_36541_lociStitched
ARHGAP8	0	chr22	45093439	45118644	7_MACS_peak_23232_lociStitched
ARHGAP9	0	chr12	57844993	57857500	1_MACS_peak_7636_lociStitched
ARHGAP9	0	chr12	57909525	57918289	2_MACS_peak_7640_lociStitched
ARHGDIA	0	chr17	79816169	79830947	5_MACS_peak_15382_lociStitched
ARHGEF1	0	chr19	42363134	42381593	5_MACS_peak_17519_lociStitched
ARHGEF18	0	chr19	7400922	7414157	5_MACS_peak_16460_lociStitched
ARHGEF2	0	chr1	155940207	155961857	5_MACS_peak_2303_lociStitched
ARHGEF2	0	chr1	155900520	155918841	4_MACS_peak_2296_lociStitched
ARHGEF38	0	chr4	106550248	106560194	3_MACS_peak_26213_lociStitched
ARID1A	0	chr1	27018521	27034803	3_MACS_peak_653_lociStitched
ARID1B	0	chr6	157097532	157104188	3_MACS_peak_30380_lociStitched
ARID1B	0	chr6	156711459	156720147	1_MACS_peak_30369_lociStitched
ARID2	0	chr12	46118628	46127278	2_MACS_peak_7310_lociStitched
ARID3A	1	chr19	921387	927987	2_MACS_peak_16104_lociStitched
ARID4B	0	chr1	235489420	235494875	2_MACS_peak_3511_lociStitched
ARID5A	1	chr2	97192468	97205821	4_MACS_peak_19454_lociStitched
ARL6IP4	0	chr12	123410805	123423828	4_MACS_peak_8394_lociStitched
ARL6IP5	0	chr3	69128192	69145732	4_MACS_peak_24210_lociStitched
ARPC1A	0	chr7	98971454	98979898	3_MACS_peak_31677_lociStitched
ARPC1B	0	chr7	98971454	98979898	3_MACS_peak_31677_lociStitched
ARPC5L	0	chr9	127609787	127643889	7_MACS_peak_35017_lociStitched
ARPM1	0	chr3	169481439	169492355	3_MACS_peak_25042_lociStitched
ARSG	0	chr17	66230241	66236854	1_MACS_peak_14984_lociStitched
ARTN	0	chr1	44296280	44303576	1_MACS_peak_1124_lociStitched
ASAP3	0	chr1	23849111	23861209	1_MACS_peak_494_lociStitched
ASB16	0	chr17	42294023	42305168	2_MACS_peak_14445_lociStitched
ASB16	0	chr17	42243959	42250366	1_MACS_peak_14441_lociStitched
ASB2	0	chr14	94419695	94431040	3_MACS_peak_10153_lociStitched
ASB9P1	0	chr15	93360682	93384277	4_MACS_peak_11738_lociStitched
ASB9P1	0	chr15	93346145	93355993	2_MACS_peak_11736_lociStitched
ASCC1	0	chr10	74006965	74024634	4_MACS_peak_4302_lociStitched
ASF1B	0	chr19	14237246	14249205	4_MACS_peak_16820_lociStitched
ASNA1	0	chr19	12885319	12918338	9_MACS_peak_16721_lociStitched
ASS1	0	chr9	133319596	133327326	3_MACS_peak_35215_lociStitched
ASXL1	0	chr20	30944856	30958337	5_MACS_peak_21190_lociStitched
ATAD1	0	chr10	89620499	89627433	2_MACS_peak_4520_lociStitched
ATE1	0	chr10	123673424	123688912	3_MACS_peak_5013_lociStitched
ATF3	1	chr1	212779660	212783589	1_MACS_peak_3132_lociStitched
ATF4	1	chr22	39911136	39930955	6_MACS_peak_23071_lociStitched
