REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X16_0EX2_0229Kronos_MM1S.KB.3hr.2_H3K27Ac_hs.dm_i29.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
12_MACS_peak_23411_lociStitched	chr6	108878301	108974191	12	83480	175900.616	13875.283	1	FOXO3		FOXO3	1	1
7_MACS_peak_9604_lociStitched	chr16	11761522	11843193	7	67814	226596.1895	14169.9185	2	SNN,TXNDC11	ZC3H7A	TXNDC11	2	1
13_MACS_peak_18827_lociStitched	chr3	141079145	141160704	13	66583	490699.7235	15357.5597	3	ZBTB38	RASA2	ZBTB38	3	1
11_MACS_peak_13879_lociStitched	chr2	37510055	37593597	11	57020	245880.8144	14853.7676	4	QPCT,PRKD3		PRKD3	4	1
5_MACS_peak_11947_lociStitched	chr18	9095136	9157602	5	50609	199272.7866	10800.3714	5	NDUFV2,ANKRD12		ANKRD12	5	1
5_MACS_peak_16108_lociStitched	chr20	30261853	30312431	5	48631	200020.8166	10368.49	6	BCL2L1	COX4I2,TPX2	BCL2L1	6	1
4_MACS_peak_14528_lociStitched	chr2	99054715	99108019	4	46688	177433.0248	10980.624	7	INPP4A		INPP4A	7	1
3_MACS_peak_22365_lociStitched	chr6	7878895	7919647	3	40278	230452.56	8248.2048	8	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	8	1
4_MACS_peak_1356_lociStitched	chr1	118141966	118188282	4	37698	156163.6572	5201.2868	9	FAM46C		FAM46C	9	1
5_MACS_peak_16154_lociStitched	chr20	32398729	32449017	5	35795	134827.1568	9599.9792	10	CHMP4B		CHMP4B	10	1
5_MACS_peak_12184_lociStitched	chr18	46440379	46480050	5	35711	85098.2621	7200.2865	11	SMAD7		SMAD7	11	1
6_MACS_peak_10279_lociStitched	chr16	78763219	78804925	6	35373	40329.702	3882.8286	12	WWOX		WWOX	12	1
8_MACS_peak_10983_lociStitched	chr17	34597880	34641353	8	33821	84268.0632	8707.6419	13	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	13	1
