GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
MUTED-TXNDC5	NR_037616	chr6:7894881-7922201,chr6:7959677-7969488	1,117	1	1.3349
TXNDC5	NM_001145549	chr6:7894881-7922201,chr6:7959677-7969488	1,117	1	4.1016
TMEM121	NM_025268	chr14:106025643-106053156	2	1	0.1314
ZBTB38	NM_001080412	chr3:141085199-141111668,chr3:141117748-141132313	3,27	1	1.4474
IGLL5	NM_001178126	chr22:23224603-23239958,chr22:23264510-23287169,chr22:23246939-23254535	4,29,221	1	2.432
MEF2D	NM_005920	chr1:156457508-156479667	6	1	2.432
PRDM1	NM_001198	chr6:106531645-106556394	7	1	2.3707
COMMD3	NM_012071	chr10:22595358-22615631,chr10:22623889-22634271	8,73	1	5.4113
BMI1	NM_005180	chr10:22595358-22615631,chr10:22623889-22634271	8,73	1	3.4151
SPAG6	NM_172242	chr10:22595358-22615631,chr10:22623889-22634271	8,73	1	0.393
SDC1	NM_002997	chr2:20403924-20425666	9	1	2.3578
SCARB2	NM_005506	chr4:77117233-77137674	10	1	1.3356
FAM47E	NM_001136570	chr4:77117233-77137674,chr4:77220864-77230272	10,95	1	0.1105
NUP54	NM_017426	chr4:77117233-77137674	10	1	0.1631
NEAT1	NR_028272	chr11:65183646-65198367	11	1	8.4704
FRMD8	NM_031904	chr11:65183646-65198367	11	1	1.1277
MIR612	NR_030343	chr11:65183646-65198367	11	1	0.9141
SLC25A45	NM_001077241	chr11:65183646-65198367	11	1	1.3472
PMVK	NM_006556	chr1:154907538-154920952,chr1:154945473-154949418	12,579	1	3.5477
PBXIP1	NM_020524	chr1:154907538-154920952,chr1:154970773-154977707,chr1:154945473-154949418	12,151,579	1	3.609
CKS1B	NR_024163	chr1:154945473-154949418,chr1:154907538-154920952,chr1:154970773-154977707	12,151,579	1	2.9334
MIR4258	NR_036212	chr1:154945473-154949418,chr1:154907538-154920952,chr1:154970773-154977707	12,151,579	1	3.4122
FLAD1	NM_201398	chr1:154907538-154920952,chr1:154970773-154977707,chr1:154945473-154949418	12,151,579	1	0.5449
LENEP	NM_018655	chr1:154907538-154920952,chr1:154970773-154977707,chr1:154945473-154949418	12,151,579	1	0.5561
PYGO2	NM_138300	chr1:154907538-154920952,chr1:154970773-154977707,chr1:154945473-154949418	12,151,579	1	1.6816
SHC1	NM_001130040	chr1:154907538-154920952,chr1:154970773-154977707,chr1:154945473-154949418	12,151,579	1	2.8362
FBXO18	NM_178150	chr10:5929972-5950170	13	1	1.4943
ANKRD16	NM_019046	chr10:5929972-5950170	13	1	0.8819
EDEM3	NM_025191	chr1:184707366-184724958	14	1	1.5916
TRAM1	NM_014294	chr8:71501652-71521146	15	1	1.495
IGJ	NM_144646	chr4:71521962-71538325,chr4:71539166-71551153	16,44	1	4.3752
ENAM	NM_031889	chr4:71521962-71538325,chr4:71539166-71551153	16,44	1	0.1118
UTP3	NM_020368	chr4:71521962-71538325,chr4:71539166-71551153	16,44	1	1.7087
RUFY3	NM_001130709	chr4:71521962-71538325,chr4:71539166-71551153	16,44	1	0.169
VPS37B	NM_024667	chr12:123370519-123387213,chr12:123355475-123369003,chr12:123416234-123424012	17,47,257	1	2.4638
CDKN1B	NM_004064	chr12:12866220-12880071	18	1	6.1033
APOLD1	NM_001130415	chr12:12866220-12880071	18	1	0.7178
MIR613	NR_030344	chr12:12866220-12880071	18	1	0.074
GPR19	NM_006143	chr12:12866220-12880071	18	1	0.4873
GPRIN3	NM_198281	chr4:90214216-90229984	19	1	1.1597
TXNDC11	NM_015914	chr16:11820571-11837872	20	1	0.9181
CLPTM1L	NM_030782	chr5:1311090-1320329	21	1	3.4052
TERT	NM_001193376	chr5:1311090-1320329	21	1	0.1256
C14orf48	NR_024182	chr14:94473852-94481496,chr14:94436435-94449465,chr14:94422602-94431127	22,139,194	1	2.1442
OTUB2	NM_023112	chr14:94436435-94449465,chr14:94473852-94481496	22,194	1	0.8515
C14orf86	NR_027004	chr14:94436435-94449465,chr14:94422602-94431127	22,139	1	0.1146
ASB2	NM_016150	chr14:94422602-94431127,chr14:94436435-94449465	22,139	1	0.8784
SNX18	NM_001102575	chr5:53813407-53830533	23	1	1.5308
