#03_0EWP_0229Kronos_MM1S-KB-1hr-1_H3K18Ac_hs-dm_i05_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/03_0EWP_0229Kronos_MM1S-KB-1hr-1_H3K18Ac_hs-dm_i05_ROSE/03_0EWP_0229Kronos_MM1S-KB-1hr-1_H3K18Ac_hs-dm_i05_peaks_7KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X03_0EWP_0229Kronos_MM1S.KB.1hr.1_H3K18Ac_hs.dm_i05.bam
#Using cutoff of 13641.8886 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X03_0EWP_0229Kronos_MM1S.KB.1hr.1_H3K18Ac_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	isSuper
7_MACS_peak_15375_lociStitched	chr22	23221520	23287495	7	53502	250309.15	10470.2325	1	1
5_MACS_peak_16971_lociStitched	chr3	141079181	141132904	5	41166	225459.3141	10239.6038	2	1
6_MACS_peak_11190_lociStitched	chr19	2594345	2638097	6	27269	177493.1136	9918.5784	3	1
5_MACS_peak_1198_lociStitched	chr1	118148299	118219144	5	59649	166939.158	8019.654	4	1
2_MACS_peak_19988_lociStitched	chr6	7888850	7921060	2	30417	160628.049	6841.404	5	1
1_MACS_peak_18607_lociStitched	chr5	1311229	1320700	1	9472	121033.6974	2424.576	6	1
3_MACS_peak_7286_lociStitched	chr14	106024595	106057724	3	31550	121878.2781	4952.7855	7	1
1_MACS_peak_6622_lociStitched	chr13	114828946	114835184	1	6239	113633.9032	1634.9798	8	1
3_MACS_peak_9492_lociStitched	chr17	16869305	16895634	3	20885	109249.5526	4799.7767	9	1
2_MACS_peak_22722_lociStitched	chr8	2027431	2050984	2	19000	107102.5569	4093.5114	10	1
5_MACS_peak_19885_lociStitched	chr6	290241	338076	5	35360	115999.875	15264.1485	11	1
1_MACS_peak_24948_lociStitched	chrX	19469856	19470839	1	984	98192.1649	57.4072	12	1
5_MACS_peak_13077_lociStitched	chr2	99060507	99107693	5	39613	106838.5412	9668.4114	13	1
7_MACS_peak_1447_lociStitched	chr1	154907792	154957618	7	28518	100484.0942	13378.281	14	1
1_MACS_peak_4191_lociStitched	chr11	65183442	65199719	1	16278	90898.9065	4285.7341	15	1
3_MACS_peak_15398_lociStitched	chr22	24178950	24200907	3	15626	89975.3946	4178.4171	16	1
5_MACS_peak_9748_lociStitched	chr17	34596581	34642034	5	38128	95651.2932	10081.4754	17	1
5_MACS_peak_15219_lociStitched	chr21	45552624	45581063	5	20870	91348.9119	6515.3749	18	1
1_MACS_peak_2561_lociStitched	chr10	11202743	11223587	1	20845	89024.724	4814.964	19	1
7_MACS_peak_12496_lociStitched	chr2	37531922	37586446	7	38929	91191.39	8511.1964	20	1
8_MACS_peak_7291_lociStitched	chr14	106145123	106177156	8	28214	85063.6315	3155.2505	21	1
3_MACS_peak_9745_lociStitched	chr17	34508261	34540731	3	29569	89172.361	7610.968	22	1
3_MACS_peak_223_lociStitched	chr1	17221389	17241676	3	8906	86442.907	5459.2317	23	1
1_MACS_peak_5421_lociStitched	chr12	53587386	53603817	1	16432	82268.3739	3524.4495	24	1
4_MACS_peak_3410_lociStitched	chr10	112103932	112128837	4	12127	82203.9335	4475.4285	25	1
5_MACS_peak_14447_lociStitched	chr20	25261622	25301516	5	21389	83278.725	6829.8528	26	1
6_MACS_peak_1954_lociStitched	chr1	203236250	203278399	6	25587	88049.261	11666.8432	27	1
2_MACS_peak_1501_lociStitched	chr1	156115547	156137154	2	21343	81704.7098	6164.4771	28	1
4_MACS_peak_22208_lociStitched	chr7	102063728	102093400	4	19230	79971.9744	5014.568	29	1
3_MACS_peak_5897_lociStitched	chr12	109009112	109035759	3	17135	79229.5251	5462.635	30	1
2_MACS_peak_22631_lociStitched	chr7	150062704	150084708	2	20768	78272.6288	5681.4328	31	1
5_MACS_peak_14466_lociStitched	chr20	30262465	30312235	5	33734	79403.058	9496.116	32	1
2_MACS_peak_13224_lociStitched	chr2	112455492	112468027	2	12380	68278.145	2499.479	33	1
2_MACS_peak_11166_lociStitched	chr19	2081699	2098166	2	14929	70631.9031	4880.8188	34	1
3_MACS_peak_11780_lociStitched	chr19	39880664	39904141	3	18141	68127.9063	4134.2997	35	1
2_MACS_peak_14664_lociStitched	chr20	42695057	42710835	2	9284	65533.923	2541.8358	36	1
1_MACS_peak_9959_lociStitched	chr17	43298129	43308690	1	10562	64462.2318	2402.6275	37	1
4_MACS_peak_4367_lociStitched	chr11	72850982	72869857	4	17599	65473.6	3878.8125	38	1
6_MACS_peak_2017_lociStitched	chr1	206271423	206311257	6	23386	70745.184	9157.8366	39	1
1_MACS_peak_11013_lociStitched	chr18	60821786	60831646	1	9861	62770.732	2355.554	40	1
4_MACS_peak_13056_lociStitched	chr2	97190861	97212850	4	14858	64342.0129	4059.1694	41	1
1_MACS_peak_220_lociStitched	chr1	16991257	16994690	1	3434	62158.5846	1894.6727	42	1
3_MACS_peak_18645_lociStitched	chr5	6475871	6497782	3	13635	63502.4602	3713.9145	43	1
5_MACS_peak_16268_lociStitched	chr3	46577594	46608336	5	15828	64189.296	4694.3034	44	1
1_MACS_peak_222_lociStitched	chr1	17065689	17068562	1	2874	60760.5024	1658.0083	45	1
3_MACS_peak_2357_lociStitched	chr1	234733866	234750020	3	11867	61950.59	4180.6552	46	1
2_MACS_peak_4930_lociStitched	chr12	4216416	4230551	2	7992	59976.2185	2855.27	47	1
1_MACS_peak_20143_lociStitched	chr6	25403090	25415656	1	12567	59873.2202	2775.8294	48	1
2_MACS_peak_12826_lociStitched	chr2	70310249	70323306	2	8251	59137.7644	2354.1771	49	1
1_MACS_peak_20858_lociStitched	chr6	106531161	106555891	1	24731	61703.823	5354.045	50	1
1_MACS_peak_12283_lociStitched	chr2	11883312	11898242	1	14931	57695.492	3142.765	51	1
1_MACS_peak_6615_lociStitched	chr13	114556380	114568297	1	11918	56829.7896	3025.7263	52	1
