REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM25.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
3_MACS_peak_2814_lociStitched	chr11	65183941	65195183	3	11214	79302.1922	1	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	1	1
2_MACS_peak_8244_lociStitched	chr19	39892262	39901666	2	9331	61975.1812	2	1	ZFP36	MED29,PLEKHG2,SUPT5H,PAF1,RPS16	ZFP36	2	1
1_MACS_peak_13459_lociStitched	chr5	179245210	179249173	1	3964	43196.7	3	1	SQSTM1	LTC4S,MIR1229,MGAT4B,C5orf45	SQSTM1	3	1
1_MACS_peak_5505_lociStitched	chr15	72765379	72768141	1	2763	42562.6962	4	1	ARIH1		ARIH1	4	1
1_MACS_peak_7982_lociStitched	chr19	14116093	14118424	1	2332	39311.8488	5	1	RFX1	RLN3,IL27RA	RFX1	5	1
1_MACS_peak_13111_lociStitched	chr5	131822663	131827758	1	5096	37391.6955	6	1	IRF1		IRF1	6	1
3_MACS_peak_5172_lociStitched	chr15	31616032	31622067	3	5970	37020.5005	7	1	KLF13		KLF13	7	1
1_MACS_peak_13362_lociStitched	chr5	172197007	172200173	1	3167	36860.7882	8	1	DUSP1		DUSP1	8	1
1_MACS_peak_6903_lociStitched	chr17	43660364	43663748	1	3385	36590.8536	9	1		MGC57346,LOC644172	LOC644172	9	1
1_MACS_peak_7949_lociStitched	chr19	12899306	12905318	1	6013	34356.7764	10	1	JUNB	BEST2,RNASEH2A,MAST1,HOOK2,PRDX2,RTBDN	JUNB	10	1
1_MACS_peak_12953_lociStitched	chr5	90675205	90680656	1	5452	34188.1269	11	1	LOC100129716,ARRDC3		ARRDC3	11	1
2_MACS_peak_13832_lociStitched	chr6	32935809	32941665	2	5551	33792.6336	12	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	12	1
1_MACS_peak_15804_lociStitched	chr8	123792171	123795380	1	3210	33261.6059	13	1	ZHX2		ZHX2	13	1
1_MACS_peak_1471_lociStitched	chr1	207994037	208000404	1	6368	32816.7914	14	1	LOC148696	MIR29C,MIR29B2	LOC148696	14	1
1_MACS_peak_15084_lociStitched	chr7	104651938	104656311	1	4374	32709.6027	15	1	MLL5,LOC100216545		LOC100216545	15	1
1_MACS_peak_2827_lociStitched	chr11	65263790	65269461	1	5672	31981.6045	16	1	MALAT1	SCYL1	MALAT1	16	1
1_MACS_peak_12893_lociStitched	chr5	78531189	78534587	1	3399	31820.9108	17	1	JMY		JMY	17	1
1_MACS_peak_15970_lociStitched	chr9	3524762	3527717	1	2956	31008.588	18	1	RFX3		RFX3	18	1
8_MACS_peak_4195_lociStitched	chr12	125397344	125405818	8	7971	30955.522	19	1	UBC	SCARB1	UBC	19	1
1_MACS_peak_14346_lociStitched	chr6	143265052	143269432	1	4381	30431.364	20	1	HIVEP2		HIVEP2	20	1
