GENE_ID	locusLine	bin_1_43_0EXV_0229Kronos_MM1S-KB-24hr-1_Input_hs_i87.bam
5_MACS_peak_1_lociStitched	chr1(.):30338-40258	0.1489
3_MACS_peak_6_lociStitched	chr1(.):87590-91517	0.1659
3_MACS_peak_9_lociStitched	chr1(.):92598-95793	0.1186
4_MACS_peak_12_lociStitched	chr1(.):131346-135556	0.1033
1_MACS_peak_16_lociStitched	chr1(.):327759-328185	0.0717
3_MACS_peak_17_lociStitched	chr1(.):329687-331712	0.0898
1_MACS_peak_20_lociStitched	chr1(.):432087-432434	0.0192
1_MACS_peak_21_lociStitched	chr1(.):521503-521900	0.1634
1_MACS_peak_22_lociStitched	chr1(.):552194-552536	0.0776
2_MACS_peak_23_lociStitched	chr1(.):659514-660725	0.0929
4_MACS_peak_25_lociStitched	chr1(.):798959-803309	0.0782
3_MACS_peak_29_lociStitched	chr1(.):807754-810957	0.0895
2_MACS_peak_32_lociStitched	chr1(.):821163-823051	0.1387
7_MACS_peak_35_lociStitched	chr1(.):829524-879121	0.0936
3_MACS_peak_42_lociStitched	chr1(.):909125-911289	0.038
5_MACS_peak_45_lociStitched	chr1(.):913435-947716	0.0972
1_MACS_peak_50_lociStitched	chr1(.):951323-953841	0.1008
2_MACS_peak_51_lociStitched	chr1(.):955478-976135	0.0946
9_MACS_peak_53_lociStitched	chr1(.):977172-1016117	0.0737
7_MACS_peak_62_lociStitched	chr1(.):1052560-1079423	0.0871
2_MACS_peak_69_lociStitched	chr1(.):1080927-1087799	0.093
12_MACS_peak_71_lociStitched	chr1(.):1088861-1149934	0.0765
5_MACS_peak_83_lociStitched	chr1(.):1172311-1185047	0.0674
7_MACS_peak_88_lociStitched	chr1(.):1214542-1226954	0.0951
1_MACS_peak_95_lociStitched	chr1(.):1286753-1290451	0.0999
2_MACS_peak_96_lociStitched	chr1(.):1292041-1300637	0.0752
15_MACS_peak_98_lociStitched	chr1(.):1356205-1395305	0.0753
1_MACS_peak_113_lociStitched	chr1(.):1420173-1420491	0.0736
1_MACS_peak_114_lociStitched	chr1(.):1422270-1422599	0.0287
2_MACS_peak_115_lociStitched	chr1(.):1431979-1433012	0.0516
1_MACS_peak_117_lociStitched	chr1(.):1459357-1459799	0.0816
1_MACS_peak_118_lociStitched	chr1(.):1462146-1462553	0.1049
12_MACS_peak_119_lociStitched	chr1(.):1511743-1537797	0.0856
2_MACS_peak_131_lociStitched	chr1(.):1566112-1569156	0.0579
1_MACS_peak_133_lociStitched	chr1(.):1630931-1631817	0.0355
2_MACS_peak_134_lociStitched	chr1(.):1842625-1844173	0.0878
4_MACS_peak_136_lociStitched	chr1(.):1845648-1851729	0.1213
13_MACS_peak_140_lociStitched	chr1(.):1853431-1910422	0.0819
33_MACS_peak_153_lociStitched	chr1(.):1914207-2044853	0.0788
2_MACS_peak_186_lociStitched	chr1(.):2046305-2048802	0.0582
5_MACS_peak_188_lociStitched	chr1(.):2057689-2063720	0.0606
7_MACS_peak_193_lociStitched	chr1(.):2065329-2078035	0.0726
10_MACS_peak_200_lociStitched	chr1(.):2080514-2117965	0.0748
7_MACS_peak_210_lociStitched	chr1(.):2129050-2158860	0.0782
8_MACS_peak_217_lociStitched	chr1(.):2243737-2294416	0.0762
3_MACS_peak_225_lociStitched	chr1(.):2298440-2315688	0.0991
9_MACS_peak_228_lociStitched	chr1(.):2347366-2411425	0.0711
8_MACS_peak_237_lociStitched	chr1(.):2414300-2435203	0.0533
6_MACS_peak_245_lociStitched	chr1(.):2458132-2473626	0.0863
1_MACS_peak_251_lociStitched	chr1(.):2484683-2485371	0.0377
7_MACS_peak_252_lociStitched	chr1(.):2497405-2515329	0.0848
7_MACS_peak_259_lociStitched	chr1(.):2518664-2531116	0.0729
5_MACS_peak_266_lociStitched	chr1(.):2532554-2546092	0.087
1_MACS_peak_271_lociStitched	chr1(.):2547950-2548484	0.1124
1_MACS_peak_272_lociStitched	chr1(.):2552148-2558048	0.093
3_MACS_peak_273_lociStitched	chr1(.):2559065-2565546	0.0625
1_MACS_peak_276_lociStitched	chr1(.):2566553-2566891	0.0776
1_MACS_peak_277_lociStitched	chr1(.):2567949-2569155	0.0922
2_MACS_peak_278_lociStitched	chr1(.):2575370-2578100	0.0652
1_MACS_peak_280_lociStitched	chr1(.):2581144-2581962	0.0716
1_MACS_peak_290_lociStitched	chr1(.):2685470-2691966	0.1937
1_MACS_peak_291_lociStitched	chr1(.):2693174-2694006	0.0781
1_MACS_peak_292_lociStitched	chr1(.):2695048-2695482	0.0196
3_MACS_peak_293_lociStitched	chr1(.):2700086-2702980	0.0928
4_MACS_peak_296_lociStitched	chr1(.):2704843-2708488	0.0557
1_MACS_peak_300_lociStitched	chr1(.):2713869-2714213	0.0242
3_MACS_peak_301_lociStitched	chr1(.):2715975-2734855	0.0821
6_MACS_peak_304_lociStitched	chr1(.):2736039-2743826	0.0738
8_MACS_peak_310_lociStitched	chr1(.):2744866-2759061	0.0779
3_MACS_peak_318_lociStitched	chr1(.):2760987-2767720	0.0601
7_MACS_peak_321_lociStitched	chr1(.):2768983-2786436	0.0599
8_MACS_peak_328_lociStitched	chr1(.):2787646-2810848	0.051
1_MACS_peak_336_lociStitched	chr1(.):2812359-2812776	0.0346
9_MACS_peak_337_lociStitched	chr1(.):2816080-2831000	0.0623
5_MACS_peak_346_lociStitched	chr1(.):2833019-2854633	0.0632
1_MACS_peak_351_lociStitched	chr1(.):2857268-2857739	0.0515
3_MACS_peak_352_lociStitched	chr1(.):2862581-2869397	0.0464
2_MACS_peak_355_lociStitched	chr1(.):2877393-2880423	0.0739
6_MACS_peak_357_lociStitched	chr1(.):2883389-2890184	0.0779
3_MACS_peak_363_lociStitched	chr1(.):2895936-2902462	0.0739
4_MACS_peak_366_lociStitched	chr1(.):2903893-2909100	0.0746
5_MACS_peak_370_lociStitched	chr1(.):2915290-2923058	0.0697
4_MACS_peak_375_lociStitched	chr1(.):2925643-2941186	0.0672
1_MACS_peak_379_lociStitched	chr1(.):2943889-2950430	0.0597
6_MACS_peak_380_lociStitched	chr1(.):2952078-2956968	0.0499
2_MACS_peak_386_lociStitched	chr1(.):2959520-2961221	0.0817
1_MACS_peak_388_lociStitched	chr1(.):2970719-2971565	0.0804
1_MACS_peak_389_lociStitched	chr1(.):2972567-2973081	0.0849
8_MACS_peak_390_lociStitched	chr1(.):2974453-3004399	0.0607
17_MACS_peak_398_lociStitched	chr1(.):3005450-3066197	0.064
8_MACS_peak_415_lociStitched	chr1(.):3067684-3083879	0.0877
3_MACS_peak_423_lociStitched	chr1(.):3085158-3093046	0.0647
2_MACS_peak_426_lociStitched	chr1(.):3094125-3095981	0.0556
8_MACS_peak_428_lociStitched	chr1(.):3099642-3169118	0.0668
2_MACS_peak_436_lociStitched	chr1(.):3171797-3176689	0.0555
11_MACS_peak_438_lociStitched	chr1(.):3178178-3234963	0.0721
1_MACS_peak_449_lociStitched	chr1(.):3236033-3236708	0.0996
6_MACS_peak_450_lociStitched	chr1(.):3238807-3252065	0.071
2_MACS_peak_456_lociStitched	chr1(.):3254703-3259116	0.084
2_MACS_peak_458_lociStitched	chr1(.):3260290-3261655	0.0492
8_MACS_peak_460_lociStitched	chr1(.):3264079-3292400	0.0696
1_MACS_peak_468_lociStitched	chr1(.):3294462-3294971	0.0473
13_MACS_peak_469_lociStitched	chr1(.):3296781-3364326	0.0667
9_MACS_peak_482_lociStitched	chr1(.):3365958-3393175	0.0679
15_MACS_peak_491_lociStitched	chr1(.):3394486-3488304	0.0782
11_MACS_peak_506_lociStitched	chr1(.):3489822-3536155	0.0807
1_MACS_peak_517_lociStitched	chr1(.):3567810-3568310	0.083
5_MACS_peak_518_lociStitched	chr1(.):3666029-3690285	0.0979
1_MACS_peak_523_lociStitched	chr1(.):3716613-3718089	0.0689
1_MACS_peak_524_lociStitched	chr1(.):3720000-3721114	0.0885
1_MACS_peak_525_lociStitched	chr1(.):3832930-3833288	0.0423
2_MACS_peak_526_lociStitched	chr1(.):3834556-3836463	0.0619
3_MACS_peak_528_lociStitched	chr1(.):3840318-3842950	0.03
8_MACS_peak_531_lociStitched	chr1(.):3996654-4010737	0.0725
3_MACS_peak_539_lociStitched	chr1(.):4012491-4020601	0.0866
3_MACS_peak_542_lociStitched	chr1(.):4022201-4024779	0.0592
1_MACS_peak_545_lociStitched	chr1(.):4030711-4031372	0.0469
10_MACS_peak_546_lociStitched	chr1(.):4035714-4049419	0.0595
10_MACS_peak_556_lociStitched	chr1(.):4052838-4064199	0.0784
2_MACS_peak_566_lociStitched	chr1(.):4070759-4072475	0.0704
4_MACS_peak_568_lociStitched	chr1(.):4075869-4083472	0.0799
