GENE_ID	locusLine	bin_1_MOLP-8.jin.bam
NM_021222	chr1(.):150975972-151013189	0.5569
NM_007051	chr1(.):50901934-51430936	0.0849
NM_001010935	chr1(.):112157404-112261101	0.1378
NM_001198993	chr1(.):1677670-1715297	0.7494
NM_023018	chr1(.):1677670-1714909	0.7531
NM_001198994	chr1(.):1677670-1716508	0.7325
NM_024980	chr1(.):9159475-9194229	0.1666
NM_001170754	chr1(.):11001529-11047094	0.6684
NM_015001	chr1(.):16169358-16271950	0.2365
NM_014870	chr1(.):22773343-22862650	0.3114
NM_004091	chr1(.):23827921-23862713	0.7348
NM_001135218	chr1(.):28924608-28974604	0.367
NM_001048199	chr1(.):28827454-28870708	0.5352
NR_002909	chr1(.):28827454-28842404	0.8723
NM_174964	chr1(.):44168217-44401831	0.2963
NM_145716	chr1(.):54687194-54876979	0.2514
NM_001009955	chr1(.):54687194-54877092	0.2517
NM_018841	chr1(.):68162148-68304155	0.319
NM_001081976	chr1(.):112020969-112111597	0.1135
NR_034178	chr1(.):143910747-144099477	0.4177
NM_153713	chr1(.):145472084-145504091	0.4004
NM_020524	chr1(.):154911558-154933567	1.3944
NM_181359	chr1(.):154372668-154445188	0.4139
NM_002249	chr1(.):154674914-154847754	0.4855
NM_170782	chr1(.):154674914-154837338	0.4912
NM_005973	chr1(.):156732273-156775609	0.3972
NM_001135050	chr1(.):159891828-159920386	0.9768
NM_006182	chr1(.):162597227-162755247	0.2403
NM_052862	chr1(.):167594473-167680486	0.6093
NM_002697	chr1(.):167185065-167401582	0.2228
NR_037163	chr1(.):167185122-167401582	0.2229
NM_014412	chr1(.):174963891-174986163	1.0178
NM_014857	chr1(.):174123633-174932327	0.1714
NM_001007214	chr1(.):174963570-174986163	1.0045
NM_145034	chr1(.):179804101-179851941	0.4906
NM_002293	chr1(.):182987594-183119727	0.3867
NM_004481	chr1(.):230197955-230422875	0.3916
NM_024525	chr1(.):231036986-231119618	0.1983
NM_181690	chr1(.):243646534-244011553	0.1606
NM_005465	chr1(.):243661483-244011553	0.1561
NM_032328	chr1(.):245128170-245256148	0.2493
NR_026588	chr1(.):245128630-245256148	0.25
NR_026587	chr1(.):245128630-245293530	0.2225
NR_026586	chr1(.):245128283-245293530	0.2222
NM_031921	chr1(.):1402163-1436582	0.3646
NM_080875	chr1(.):1545794-1570990	0.7673
NM_006983	chr1(.):1562559-1575030	0.7998
NM_018188	chr1(.):1442522-1475067	0.5522
NM_001170536	chr1(.):1442909-1475067	0.5576
NR_002946	chr1(.):1563158-1575027	0.8045
NM_001114748	chr1(.):1465157-1480740	0.1833
NM_001170689	chr1(.):1546244-1570990	0.7801
NM_182838	chr1(.):1658680-1682431	0.7536
NR_002946	chr1(.):1626377-1638247	0.2124
NM_001198995	chr1(.):1677670-1695081	0.4353
NM_007033	chr1(.):2318213-2341885	0.676
NM_002617	chr1(.):2331240-2349010	0.6012
NR_024489	chr1(.):2276852-2289100	0.2043
NM_024848	chr1(.):2247695-2327993	0.3165
NM_177540	chr1(.):6610337-6644817	0.3388
NM_005341	chr1(.):6635062-6654340	0.3391
NM_014851	chr1(.):6645783-6667929	0.7395
NM_153812	chr1(.):6668755-6689093	0.5924
NM_024654	chr1(.):6576406-6619658	0.1987
NM_001195752	chr1(.):6680209-6698642	0.244
NM_001195753	chr1(.):6679924-6698642	0.2422
NR_029610	chr1(.):9206726-9216836	0.1725
NM_007375	chr1(.):11067678-11090549	0.3788
NM_001089591	chr1(.):16128656-16139194	0.09
NR_024279	chr1(.):16155709-16179642	1.0275
NM_017707	chr1(.):23750055-23815750	0.1191
NM_002167	chr1(.):23879408-23891322	0.2739
NM_015627	chr1(.):25865075-25900377	0.5447
NM_006015	chr1(.):27017521-27113601	0.3885
NR_024127	chr1(.):28900049-28913366	0.3942
NM_152304	chr1(.):28913711-28926088	0.3182
NM_001193532	chr1(.):28914006-28926088	0.3247
NR_003035	chr1(.):28902431-28912565	0.4658
NR_002987	chr1(.):28901275-28911405	0.4719
NR_003109	chr1(.):28874528-28910057	0.3079
NM_001269	chr1(.):28839744-28870708	0.3573
NR_002976	chr1(.):28901892-28912024	0.4695
NR_003077	chr1(.):28900254-28910334	0.484
NR_004407	chr1(.):28970111-28980246	0.4389
NM_001262	chr1(.):51429366-51445306	1.94
NM_078626	chr1(.):51430641-51445309	2.1057
NM_002228	chr1(.):59241462-59254785	0.8489
NR_034015	chr1(.):59245822-59370384	0.2053
NM_001924	chr1(.):68145882-68159019	0.7578
NM_004974	chr1(.):111140775-111153345	0.1714
