GENE_ID	locusLine	bin_1_13_0EWZ_0229Kronos_MM1S-KB-1hr-1_H3K27Ac_hs-dm_i22.bam
NM_032236	chr1(.):21999791-22114688	0.2851
NM_001017415	chr1(.):62896974-62922475	1.1013
NM_003368	chr1(.):62897382-62922475	1.1184
NM_201569	chr1(.):183436505-183528328	0.4586
NM_001198993	chr1(.):1677670-1715297	0.8827
NM_023018	chr1(.):1677670-1714909	0.8904
NM_033487	chr1(.):1566099-1660775	0.5947
NM_001198994	chr1(.):1677670-1716508	0.8581
NM_015001	chr1(.):16169358-16271950	0.2104
NR_026567	chr1(.):17012712-17051652	0.171
NM_001113348	chr1(.):21538739-21677034	0.3284
NM_001013693	chr1(.):22133757-22156714	0.073
NM_004091	chr1(.):23827921-23862713	1.3766
NM_173065	chr1(.):24475646-24518751	1.241
NM_020379	chr1(.):25938958-26116258	0.2579
NM_006990	chr1(.):27727125-27821669	0.4017
NM_001135218	chr1(.):28924608-28974604	0.5276
NM_001048199	chr1(.):28827454-28870708	0.6555
NR_002909	chr1(.):28827454-28842404	1.3035
NM_002379	chr1(.):31179123-31201432	0.2241
NR_034182	chr1(.):31186618-31204593	0.254
NM_181809	chr1(.):39952317-40000541	0.9939
NM_003629	chr1(.):46500811-46603380	0.4852
NM_001114172	chr1(.):46500811-46603708	0.4841
NM_002600	chr1(.):66253855-66845262	0.1748
NM_001037341	chr1(.):66253192-66845262	0.1747
NM_001037340	chr1(.):66453389-66845262	0.2303
NM_153713	chr1(.):145472084-145504091	0.2169
NM_207168	chr1(.):150594521-150607098	1.2593
NM_015203	chr1(.):150331989-150454041	0.3022
NM_015607	chr1(.):153601524-153622979	1.2816
NM_020524	chr1(.):154911558-154933567	2.6769
NM_181359	chr1(.):154372668-154445188	0.9976
NM_002249	chr1(.):154674914-154847754	0.4839
NM_170782	chr1(.):154674914-154837338	0.5036
NM_005572	chr1(.):156079460-156112657	0.3678
NM_018489	chr1(.):155300051-155537324	0.232
NM_018116	chr1(.):155575006-155589758	0.6095
NM_005973	chr1(.):156732273-156775609	0.4342
NM_012394	chr1(.):161065345-161092866	0.4767
NM_014412	chr1(.):174963891-174986163	1.4533
NM_001007214	chr1(.):174963570-174986163	1.433
NM_145034	chr1(.):179804101-179851941	0.4991
NM_015149	chr1(.):183600207-183902666	0.3452
NM_025191	chr1(.):184654624-184729041	0.472
NM_144977	chr1(.):197516384-197749623	0.22
NM_001195215	chr1(.):197468878-197749623	0.1993
NM_014827	chr1(.):203759750-203828256	0.2456
NM_182663	chr1(.):206675878-206767616	0.6092
NM_002221	chr1(.):226814390-226931876	0.9426
NM_004481	chr1(.):230197955-230422875	0.4986
NM_152490	chr1(.):235605532-235672781	0.4393
NM_014765	chr1(.):235267657-235297256	0.4686
NM_032328	chr1(.):245128170-245256148	0.3651
NR_026588	chr1(.):245128630-245256148	0.3662
NR_026587	chr1(.):245128630-245293530	0.3011
NR_026586	chr1(.):245128283-245293530	0.3006
NM_182838	chr1(.):1658680-1682431	1.2975
NM_001110781	chr1(.):1587938-1629243	1.1292
NM_024011	chr1(.):1629169-1660791	0.2619
NM_001198995	chr1(.):1677670-1695081	0.5376
NM_002521	chr1(.):11912520-11923992	0.0423
NM_000302	chr1(.):11989745-12040594	0.1733
NM_138346	chr1(.):11975122-11991480	0.2603
NM_001089591	chr1(.):16128656-16139194	0.0709
NR_024279	chr1(.):16155709-16179642	1.4992
NR_026752	chr1(.):16939750-16962401	0.4704
NR_027504	chr1(.):16967068-16981915	1.5423
NR_002729	chr1(.):17076400-17095975	0.1624
NM_014675	chr1(.):17243444-17304474	0.1228
NM_001397	chr1(.):21538739-21621982	0.4336
NM_001113347	chr1(.):21538739-21611183	0.0936
NM_001113349	chr1(.):21538739-21621766	0.4295
NM_001032730	chr1(.):22049338-22114688	0.4204
NM_017707	chr1(.):23750055-23815750	0.0661
NM_002167	chr1(.):23879408-23891322	0.4017
NM_021258	chr1(.):24441260-24474611	0.1027
NR_027087	chr1(.):24521729-24543180	0.4787
NM_015627	chr1(.):25865075-25900377	1.0802
NM_006015	chr1(.):27017521-27113601	0.6249
NM_152304	chr1(.):28913711-28926088	0.584
NM_001193532	chr1(.):28914006-28926088	0.5708
NR_003109	chr1(.):28874528-28910057	0.7759
NM_001269	chr1(.):28839744-28870708	0.3103
NM_024482	chr1(.):28990243-29046387	0.2328
NR_004407	chr1(.):28970111-28980246	1.4558
NM_006762	chr1(.):31200314-31235683	2.3275
NM_005202	chr1(.):36555843-36570850	0.0969
NM_018067	chr1(.):36616802-36651441	0.5391
NM_014408	chr1(.):36597172-36620067	0.5459
NR_003929	chr1(.):39982951-40030370	0.4448
NM_001198979	chr1(.):40854016-40893998	0.1585
NM_001198978	chr1(.):40835304-40893998	0.4808
NM_001198980	chr1(.):40857471-40893998	0.0988
NM_022733	chr1(.):40834377-40893998	0.4736
NM_005727	chr1(.):46635748-46656634	0.095
NM_006004	chr1(.):46764379-46787447	1.0317
NM_006369	chr1(.):46739071-46774038	0.7246
NM_199044	chr1(.):46801389-46835690	0.249
NM_015696	chr1(.):53063042-53079723	0.101
NM_001042693	chr1(.):53094065-53127737	0.7256
NM_001037339	chr1(.):66792792-66845262	0.5629
NM_001001933	chr1(.):75589118-75632218	0.5887
NM_004974	chr1(.):111140775-111153345	0.0555
NM_002232	chr1(.):111209309-111222655	0.4196
NM_017709	chr1(.):118143603-118176011	3.8421
NM_001123068	chr1(.):143762143-143772881	0.0924
NR_027469	chr1(.):143713512-143749587	0.9487
NR_027468	chr1(.):143713512-143749457	0.9521
NM_032305	chr1(.):145451235-145475387	1.0068
NM_202004	chr1(.):145408190-145422545	0.0954
NM_006472	chr1(.):145433461-145447628	0.9887
NM_001039888	chr1(.):145465507-145480647	0.2654
NM_003846	chr1(.):145511164-145528732	0.8762
NM_005105	chr1(.):145502637-145516444	1.577
NM_001184795	chr1(.):145511559-145528732	0.8934
NM_003637	chr1(.):145519989-145548868	0.1184
NM_144698	chr1(.):145544208-145573526	0.1232
NR_002328	chr1(.):145504819-145521076	1.4912
NR_003377	chr1(.):145919387-145947619	0.0902
NR_003377	chr1(.):147461093-147489331	0.0893
NR_027468	chr1(.):147901021-147936980	0.4947
NM_001161334	chr1(.):149749244-149788928	0.3358
NM_001034077	chr1(.):149799220-149809616	1.185
NM_001005464	chr1(.):149807258-149817765	2.2834
NM_001040874	chr1(.):149808784-149819318	2.29
NM_001123375	chr1(.):149779779-149790236	0.8291
NM_000566	chr1(.):149749249-149769074	0.1953
NM_005850	chr1(.):149890210-149904702	0.9916
NM_016074	chr1(.):149866154-149877348	0.3498
NM_003528	chr1(.):149851009-149863232	2.2752
NM_003517	chr1(.):149853524-149863961	2.6397
NM_175065	chr1(.):149854018-149864466	2.6387
NM_014849	chr1(.):149869871-149894434	0.2187
NM_181873	chr1(.):149895542-149913266	0.9796
NM_001145862	chr1(.):149895542-149913791	0.9566
NR_036461	chr1(.):149816758-149827340	2.1614
NM_001040874	chr1(.):149817627-149828161	2.1602
NM_001005464	chr1(.):149819180-149829687	2.1592
NM_001034077	chr1(.):149827329-149837725	1.2033
NM_004698	chr1(.):150288927-150330704	0.2536
NM_019032	chr1(.):150516897-150538412	2.0876
NM_207046	chr1(.):150589598-150606609	0.9876
NR_036211	chr1(.):150519404-150529490	0.1462
NM_001197320	chr1(.):150542026-150557214	1.1339
NM_020239	chr1(.):151018446-151037125	0.7824
NM_138278	chr1(.):151004028-151025076	0.1424
NM_006818	chr1(.):151027150-151045973	2.0753
NM_017860	chr1(.):151015258-151028871	0.2045
NM_144618	chr1(.):151038079-151096007	0.5351
NM_001024213	chr1(.):153586275-153604524	0.1117
NM_005979	chr1(.):153586275-153605715	0.1181
NM_001024211	chr1(.):153586275-153605117	0.1149
NM_001024212	chr1(.):153586275-153604744	0.1121
NM_001024210	chr1(.):153586275-153611568	1.0906
