REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14.bam	41_0EXT_0229Kronos_MM1S-KB-6hr-1_Input_hs_i85.bam
13_MACS_peak_10827_lociStitched	chr16	11754680	11843224	13	61572	187465.3568	15291.548799999999
5_MACS_peak_1521_lociStitched	chr1	118141852	118219378	5	62916	178992.0288	8264.2716
7_MACS_peak_26495_lociStitched	chr6	108878208	108954465	7	67229	119830.24979999999	11087.7678
7_MACS_peak_9258_lociStitched	chr14	91812797	91885978	7	56820	132318.5661	6696.0615
4_MACS_peak_15519_lociStitched	chr2	37528316	37594316	4	54620	165145.2	12025.2
6_MACS_peak_2529_lociStitched	chr1	203236281	203298436	6	47593	322901.4405	16701.0485
6_MACS_peak_19185_lociStitched	chr22	23189180	23247707	6	48084	192618.2097	7292.4642
4_MACS_peak_21165_lociStitched	chr3	141079009	141134018	4	48132	323084.35970000003	11771.926
7_MACS_peak_18125_lociStitched	chr20	32398516	32452703	7	39056	112671.0291	9574.8429
7_MACS_peak_26837_lociStitched	chr6	138245845	138297860	7	33275	66683.23	8421.2285
7_MACS_peak_11435_lociStitched	chr16	68269820	68320847	7	28516	58716.7689	8337.8118
8_MACS_peak_26035_lociStitched	chr6	52392524	52443116	8	38375	94951.0656	9379.756800000001
4_MACS_peak_25183_lociStitched	chr6	289699	338047	4	37379	178882.7652	15669.5868
6_MACS_peak_14737_lociStitched	chr19	42022266	42070357	6	30161	75002.7236	8488.0615
3_MACS_peak_16276_lociStitched	chr2	99060395	99108347	3	45425	156285.1584	9921.2688
5_MACS_peak_12299_lociStitched	chr17	34597769	34642156	5	38717	116928.6741	9068.2641
7_MACS_peak_9562_lociStitched	chr15	31616554	31660437	7	32828	86774.2442	6810.6416
7_MACS_peak_13617_lociStitched	chr18	46439499	46483127	7	37585	72426.8428	7386.2204
3_MACS_peak_25305_lociStitched	chr6	7880508	7921803	3	35289	194528.3565	8527.4175
3_MACS_peak_18078_lociStitched	chr20	30271528	30312268	3	37560	116817.876	8571.696
6_MACS_peak_9316_lociStitched	chr14	95945649	95986208	6	20306	27515.2256	3228.4964
2_MACS_peak_12241_lociStitched	chr17	32688336	32727149	2	35790	137972.4524	7510.315500000001
5_MACS_peak_30003_lociStitched	chr8	126284918	126322830	5	24619	45839.3992	5857.4039999999995
4_MACS_peak_29929_lociStitched	chr8	120912485	120950021	4	33425	87612.7776	6272.2656
5_MACS_peak_12850_lociStitched	chr17	62149810	62187321	5	35829	77478.97050000001	6673.2069
7_MACS_peak_17334_lociStitched	chr2	204537475	204574890	7	23790	59658.2175	6278.237
5_MACS_peak_29168_lociStitched	chr8	27216314	27253229	5	25736	53478.760500000004	6260.784
4_MACS_peak_11992_lociStitched	chr17	16858917	16895713	4	28085	116941.36760000001	6328.911999999999
5_MACS_peak_18502_lociStitched	chr20	52530628	52567148	5	20697	47757.204000000005	5594.8640000000005
5_MACS_peak_4438_lociStitched	chr10	112596767	112633098	5	26410	112342.7182	6099.9749
6_MACS_peak_6389_lociStitched	chr12	7045667	7080971	6	22998	68638.0368	5920.480799999999
6_MACS_peak_24347_lociStitched	chr5	109247808	109282504	6	18229	33623.893599999996	5155.8256
4_MACS_peak_25059_lociStitched	chr5	173309349	173343961	4	28031	43991.852	5209.106
4_MACS_peak_14028_lociStitched	chr19	2594383	2628892	4	21526	104158.5147	7409.0823
5_MACS_peak_2266_lociStitched	chr1	181095342	181129682	5	19450	47320.52	7582.272
5_MACS_peak_12604_lociStitched	chr17	46527848	46562184	5	23808	35122.2944	5153.8336
4_MACS_peak_19775_lociStitched	chr3	5222214	5256338	4	24402	43245.3452	5835.204000000001
5_MACS_peak_3304_lociStitched	chr10	11279014	11313122	5	24231	46925.7864	5774.4844
5_MACS_peak_7435_lociStitched	chr12	92930745	92964722	5	22048	55212.625	5123.7316
6_MACS_peak_25576_lociStitched	chr6	27082424	27116115	6	15486	35796.6875	4629.1434
7_MACS_peak_11106_lociStitched	chr16	30193701	30227225	7	15341	29232.928	5886.8144
2_MACS_peak_9418_lociStitched	chr14	106023247	106056562	2	32380	222900.67049999998	5303.7480000000005
4_MACS_peak_21645_lociStitched	chr3	183227728	183261017	4	28283	87416.91399999999	8635.1666
6_MACS_peak_15873_lociStitched	chr2	64862693	64895960	6	17646	37787.9853	5535.6287999999995
3_MACS_peak_19192_lociStitched	chr22	23265614	23298684	3	26423	194101.058	6048.503000000001
5_MACS_peak_4555_lociStitched	chr10	125821885	125854832	5	30599	103677.61959999999	5518.6225
4_MACS_peak_23370_lociStitched	chr4	185317376	185350088	4	22376	74112.3072	5374.5816
4_MACS_peak_28795_lociStitched	chr7	150052768	150084893	4	25317	109774.3375	7523.675
5_MACS_peak_24836_lociStitched	chr5	150512777	150544893	5	18673	34267.772	5170.676
4_MACS_peak_19430_lociStitched	chr22	37610218	37642316	4	23638	67964.3052	5328.268
5_MACS_peak_17221_lociStitched	chr2	197074700	197106717	5	15603	28043.690300000002	4719.3058
