REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS28BM_jia.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
3_MACS_peak_24961_lociStitched	chr6	290139	338430	3	45112	211026.8409	1	1	DUSP22		DUSP22	DUSP22	3.1043	1	1
6_MACS_peak_12903_lociStitched	chr17	62133815	62210728	6	71293	186506.3337	2	1	ERN1	SNORD104,SNORA76,ICAM2	ERN1	ERN1	1.9584	2	1
3_MACS_peak_27839_lociStitched	chr7	90329699	90368260	3	32491	163864.9695	3	1	CDK14		CDK14	CDK14	0.4849	3	1
7_MACS_peak_20996_lociStitched	chr3	151982113	152055269	7	66559	162764.7844	4	1	MBNL1,LOC401093	TMEM14E	MBNL1	MBNL1	0.8927	4	1
3_MACS_peak_5292_lociStitched	chr11	65183008	65223433	3	35518	162310.4175	5	1	NEAT1,MIR612	FRMD8,MALAT1,SLC25A45	MIR612	MALAT1	4.6009	5	1
3_MACS_peak_1727_lociStitched	chr1	149800313	149836551	3	33024	162070.8312	6	1	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	6.112	6	1
5_MACS_peak_5295_lociStitched	chr11	65236054	65278901	5	36207	142701.9335	7	1	MALAT1	NEAT1,MIR612,SCYL1,LTBP3	MALAT1	NEAT1	8.519	7	1
4_MACS_peak_9384_lociStitched	chr14	106143610	106178975	4	34147	141290.248	8	1			TMEM121	TMEM121	0.0803	8	1
5_MACS_peak_9379_lociStitched	chr14	106023633	106057774	5	33659	139564.9939	9	1		TMEM121	TMEM121	TMEM121	0.0803	9	1
3_MACS_peak_16480_lociStitched	chr2	99054574	99108304	3	45079	136630.017	10	1	INPP4A		INPP4A	INPP4A	0.9317	10	1
2_MACS_peak_23931_lociStitched	chr5	88162739	88202491	2	39405	128247.9024	11	1	MEF2C	MEF2C	MEF2C	MEF2C	0.7898	11	1
3_MACS_peak_29824_lociStitched	chr8	120912539	120950308	3	35967	126832.0789	12	1	DEPDC6	DSCC1	DEPDC6	DEPDC6	0.9273	12	1
1_MACS_peak_1752_lociStitched	chr1	150531748	150553405	1	21658	123488.214	13	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	2.5102	13	1
3_MACS_peak_17191_lociStitched	chr2	197014830	197049391	3	32801	120676.6437	14	1	STK17B		STK17B	STK17B	2.1264	14	1
4_MACS_peak_20888_lociStitched	chr3	141088404	141131859	4	38598	117637.0305	15	1	ZBTB38		ZBTB38	ZBTB38	0.967	15	1
1_MACS_peak_22349_lociStitched	chr4	90205256	90230235	1	24980	116661.9216	16	1	GPRIN3		GPRIN3	GPRIN3	1.7168	16	1
2_MACS_peak_973_lociStitched	chr1	51423416	51451758	2	27229	112157.7966	17	1	CDKN2C,FAF1		CDKN2C	CDKN2C	5.1423	17	1
3_MACS_peak_23942_lociStitched	chr5	88727978	88754946	3	26313	110452.8376	18	1			MEF2C	MEF2C	0.7898	18	1
