GENE_ID	locusLine	bin_1_MM5_jia.bam
1_MACS_peak_1_lociStitched	chr1(.):28704-29496	1.252
2_MACS_peak_2_lociStitched	chr1(.):713310-715081	1.0451
1_MACS_peak_4_lociStitched	chr1(.):762178-763336	0.9192
1_MACS_peak_5_lociStitched	chr1(.):878882-880720	0.6824
1_MACS_peak_6_lociStitched	chr1(.):894194-894730	0.5804
1_MACS_peak_7_lociStitched	chr1(.):901786-902401	0.6534
1_MACS_peak_8_lociStitched	chr1(.):948463-949846	0.766
1_MACS_peak_9_lociStitched	chr1(.):954843-955469	0.7782
1_MACS_peak_10_lociStitched	chr1(.):1004196-1004847	0.7281
1_MACS_peak_11_lociStitched	chr1(.):1166768-1167404	0.7448
1_MACS_peak_12_lociStitched	chr1(.):1208494-1209309	0.7476
1_MACS_peak_13_lociStitched	chr1(.):1242933-1244454	0.7117
1_MACS_peak_14_lociStitched	chr1(.):1259499-1260702	0.7136
2_MACS_peak_15_lociStitched	chr1(.):1284343-1285399	0.6156
1_MACS_peak_17_lociStitched	chr1(.):1310039-1311488	1.0684
2_MACS_peak_18_lociStitched	chr1(.):1333761-1335591	0.7596
1_MACS_peak_20_lociStitched	chr1(.):1342191-1343262	0.6367
1_MACS_peak_21_lociStitched	chr1(.):1397362-1398219	0.6011
1_MACS_peak_22_lociStitched	chr1(.):1406303-1407885	0.8461
2_MACS_peak_23_lociStitched	chr1(.):1440464-1441620	0.6106
1_MACS_peak_25_lociStitched	chr1(.):1446715-1448332	1.1128
1_MACS_peak_26_lociStitched	chr1(.):1509136-1511044	1.8949
2_MACS_peak_27_lociStitched	chr1(.):1550000-1551729	1.255
2_MACS_peak_29_lociStitched	chr1(.):1564835-1565761	0.5304
2_MACS_peak_31_lociStitched	chr1(.):1589783-1591200	0.995
1_MACS_peak_33_lociStitched	chr1(.):1606968-1607581	0.481
1_MACS_peak_34_lociStitched	chr1(.):1609117-1610067	0.5707
1_MACS_peak_35_lociStitched	chr1(.):1622887-1625416	1.3806
1_MACS_peak_36_lociStitched	chr1(.):1655083-1656588	0.9451
