GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
ZBTB38	NM_001080412	chr3:141079038-141149682	1	1	2.6112
BTG2	NM_006763	chr1:203254720-203301212,chr1:203236214-203248574	2,329	1	3.2494
LOC730227	NR_034150	chr1:203254720-203301212,chr1:203236214-203248574	2,329	1	5.3687
FMOD	NM_002023	chr1:203254720-203301212	2	1	0.04340000000000002
TMEM121	NM_025268	chr14:106023385-106056887	3	1	0.172
QPCT	NM_012413	chr2:37526047-37607444,chr2:37614243-37624986	4,428	1	3.2624
PRKD3	NM_005813	chr2:37526047-37607444	4	1	0.6115
MUTED-TXNDC5	NR_037616	chr6:7885879-7921536,chr6:7958205-7965614	5,411	1	1.2689000000000001
TXNDC5	NM_001145549	chr6:7885879-7921536,chr6:7958205-7965614	5,411	1	3.8406000000000002
IGLL5	NM_001178126	chr22:23217639-23247634,chr22:23265085-23286843,chr22:23188532-23211073	6,9,165	1	7.6418
DUSP22	NM_020185	chr6:289928-338092	7	1	2.5069999999999997
INPP4A	NM_004027	chr2:99054560-99108248	8	1	1.0673
GPRIN3	NM_198281	chr4:90204731-90230270	11	1	2.0096
CCL1	NM_002981	chr17:32688343-32727186	12	1	1.7978
CCL8	NM_005623	chr17:32688343-32727186	12	1	0.001799999999999996
CCL13	NM_005408	chr17:32688343-32727186	12	1	0.2423
NEAT1	NR_028272	chr11:65183167-65199976,chr11:65236245-65246144	13,630	1	7.6703
FRMD8	NM_031904	chr11:65183167-65199976	13	1	1.0569
MIR612	NR_030343	chr11:65183167-65199976,chr11:65254255-65278981,chr11:65236245-65246144	13,181,630	1	0.31409999999999993
SLC25A45	NM_001077241	chr11:65183167-65199976	13	1	0.8168
BCL2L1	NM_001191	chr20:30261972-30312318	14	1	1.7834
COX4I2	NM_032609	chr20:30261972-30312318	14	1	0.0
TPX2	NM_012112	chr20:30261972-30312318	14	1	0.005699999999999983
PRKRIP1	NM_024653	chr7:102063575-102093220	15	1	1.3668
ORAI2	NM_032831	chr7:102063575-102093220	15	1	2.0845
LRWD1	NM_152892	chr7:102063575-102093220	15	1	0.13759999999999997
ALKBH4	NM_017621	chr7:102063575-102093220	15	1	0.3186
POLR2J	NM_006234	chr7:102063575-102093220	15	1	0.05750000000000002
TXNDC11	NM_015914	chr16:11794100-11837945,chr16:11761456-11786380	16,98	1	2.4739
