GENE_ID	locusLine	bin_1_MM9_jia.bam
NM_013943	chr1(.):25066759-25175815	0.2136
NM_021222	chr1(.):150975972-151013189	0.3571
NM_173083	chr1(.):226413860-226502198	0.238
NM_032236	chr1(.):21999791-22114688	0.172
NM_005119	chr1(.):36685016-36775957	0.17
NM_002867	chr1(.):52368627-52461436	0.2856
NM_001006605	chr1(.):93302720-93432079	0.4402
NM_001037675	chr1(.):144609958-144833810	0.1026
NM_201569	chr1(.):183436505-183528328	0.2645
NM_206595	chr1(.):216671587-217267976	0.1653
NM_001134285	chr1(.):216671595-217316097	0.1571
NM_001198993	chr1(.):1677670-1715297	0.4025
NM_023018	chr1(.):1677670-1714909	0.4003
NM_001198994	chr1(.):1677670-1716508	0.3949
NM_012102	chr1(.):8407463-8882699	0.3027
NM_015291	chr1(.):15848351-15903228	0.2779
NM_015001	chr1(.):16169358-16271950	0.2284
NR_026567	chr1(.):17012712-17051652	0.1016
NM_001113348	chr1(.):21538739-21677034	0.2686
NM_001013693	chr1(.):22133757-22156714	0.0486
NM_020379	chr1(.):25938958-26116258	0.1163
NM_002379	chr1(.):31179123-31201432	0.2775
NR_034182	chr1(.):31186618-31204593	0.3729
NM_032017	chr1(.):36800224-36856485	0.3209
NM_174964	chr1(.):44168217-44401831	0.1481
NM_001981	chr1(.):51814934-51989995	0.214
NM_145716	chr1(.):54687194-54876979	0.274
NM_001009955	chr1(.):54687194-54877092	0.2739
NM_003713	chr1(.):56955432-57050257	0.3763
NM_002227	chr1(.):65293905-65437187	0.2548
NM_002600	chr1(.):66253855-66845262	0.1632
NM_001037341	chr1(.):66253192-66845262	0.1631
NM_001037340	chr1(.):66453389-66845262	0.2121
NM_001134492	chr1(.):87375334-87569125	0.3466
NM_012262	chr1(.):87375334-87580681	0.3382
NM_003567	chr1(.):94022348-94152385	0.1363
NM_033055	chr1(.):100498788-100553929	0.284
NM_022768	chr1(.):110876944-110894303	0.8702
NM_017744	chr1(.):113061140-113167040	0.1653
NM_138729	chr1(.):113079412-113167040	0.1848
NM_001010922	chr1(.):114414435-114435169	0.1698
NR_024510	chr1(.):144295511-144345773	0.2628
NR_024584	chr1(.):144295516-144346755	0.2593
NR_034178	chr1(.):143910747-144099477	0.3844
NM_203458	chr1(.):145204110-145290912	0.5206
NM_001195260	chr1(.):144946760-145002111	0.5301
NM_022359	chr1(.):144946760-145081186	0.3892
NM_001002812	chr1(.):144885590-145000022	0.4207
NM_001039703	chr1(.):145288370-145373684	0.1934
NM_014644	chr1(.):144846426-145000022	0.3553
NM_001195261	chr1(.):144946760-145000082	0.5292
NM_001198834	chr1(.):144846423-145000033	0.3553
NM_001002810	chr1(.):144946760-145000033	0.5294
NM_001198832	chr1(.):144846423-145044992	0.3566
NM_178230	chr1(.):149548002-149558662	0.0399
NM_207168	chr1(.):150594521-150607098	0.7188
NM_020524	chr1(.):154911558-154933567	0.518
NM_005973	chr1(.):156732273-156775609	0.1743
NM_001135050	chr1(.):159891828-159920386	0.2777
NM_014412	chr1(.):174963891-174986163	0.5028
NM_014857	chr1(.):174123633-174932327	0.1386
NM_001007214	chr1(.):174963570-174986163	0.4978
NM_145034	chr1(.):179804101-179851941	0.2407
NM_004736	chr1(.):180596145-180864415	0.1595
NM_002293	chr1(.):182987594-183119727	0.3005
NM_001164245	chr1(.):186339889-186395503	0.4126
NR_031642	chr1(.):186024866-186451655	0.1244
NM_024420	chr1(.):186793031-186963113	0.1641
NM_144977	chr1(.):197516384-197749623	0.1873
NM_001195215	chr1(.):197468878-197749623	0.1762
NM_001167738	chr1(.):201703962-201801102	0.2856
NM_020443	chr1(.):201612449-201801102	0.1882
NM_014935	chr1(.):204182980-204334044	0.0727
NM_201630	chr1(.):204581302-204659597	0.1397
NM_006338	chr1(.):204581302-204659481	0.1399
NM_182663	chr1(.):206675878-206767616	0.1782
NR_024099	chr1(.):216671595-216901795	0.1709
NM_001438	chr1(.):216671587-216901807	0.1709
NM_002221	chr1(.):226814390-226931876	0.4233
NM_004481	chr1(.):230197955-230422875	0.3738
NM_032328	chr1(.):245128170-245256148	0.1557
NR_026588	chr1(.):245128630-245256148	0.1557
NR_026587	chr1(.):245128630-245293530	0.1333
NR_026586	chr1(.):245128283-245293530	0.1333
NM_182838	chr1(.):1658680-1682431	0.3416
NM_001198995	chr1(.):1677670-1695081	0.2335
NM_001042682	chr1(.):8407463-8488747	0.3062
NM_015866	chr1(.):14026349-14119574	0.3321
NM_001007257	chr1(.):14070875-14119574	0.2058
NM_001135610	chr1(.):14021734-14156574	0.2636
NM_015849	chr1(.):15797595-15822895	0.0658
NM_001229	chr1(.):15813768-15855940	0.2853
NM_032996	chr1(.):15813768-15856285	0.2843
NM_001089591	chr1(.):16128656-16139194	0.0642
NR_024279	chr1(.):16155709-16179642	0.8408
NR_026752	chr1(.):16939750-16962401	0.2084
NR_027504	chr1(.):16967068-16981915	0.308
NR_002729	chr1(.):17076400-17095975	0.1264
NM_014675	chr1(.):17243444-17304474	0.0909
NM_001397	chr1(.):21538739-21621982	0.2316
NM_001113347	chr1(.):21538739-21611183	0.1238
NM_001113349	chr1(.):21538739-21621766	0.225
NM_001032730	chr1(.):22049338-22114688	0.2309
NM_001841	chr1(.):24195459-24244817	0.0784
NM_001191007	chr1(.):24287936-24311953	0.3013
NM_017761	chr1(.):24281300-24294949	0.6332
NM_015627	chr1(.):25865075-25900377	0.5931
NR_026685	chr1(.):26432655-26457026	0.6733
NM_152835	chr1(.):26433267-26457026	0.6889
NM_032588	chr1(.):26372797-26399121	0.0436
NR_023345	chr1(.):26498981-26521375	0.1213
NM_024869	chr1(.):26480510-26494119	0.0494
NM_015871	chr1(.):26491387-26502364	0.2007
NM_006314	chr1(.):26498980-26521375	0.1213
NM_006015	chr1(.):27017521-27113601	0.3834
NM_006762	chr1(.):31200314-31235683	0.5664
NM_005202	chr1(.):36555843-36570850	0.0821
NM_018067	chr1(.):36616802-36651441	0.7173
NM_014408	chr1(.):36597172-36620067	0.3537
NM_032881	chr1(.):36854030-36868493	0.3557
NM_001198979	chr1(.):40854016-40893998	0.2565
NM_001198978	chr1(.):40835304-40893998	0.521
NM_001198980	chr1(.):40857471-40893998	0.2144
NM_022733	chr1(.):40834377-40893998	0.5136
NM_014372	chr1(.):51696944-51744119	0.3208
NM_015696	chr1(.):53063042-53079723	0.3824
NM_001042693	chr1(.):53094065-53127737	0.413
NM_002228	chr1(.):59241462-59254785	0.9137
NR_034015	chr1(.):59245822-59370384	0.2087
NM_001037339	chr1(.):66792792-66845262	0.5886
NM_006769	chr1(.):87789150-87819607	0.4108
NM_002959	chr1(.):109847191-109945563	0.2912
NM_002790	chr1(.):109939471-109974037	0.1959
NR_036595	chr1(.):110823998-110886793	0.2777
NM_004974	chr1(.):111140775-111153345	0.1236
NM_002232	chr1(.):111209309-111222655	0.7651
NM_001040033	chr1(.):111408820-111447558	0.485
NM_000560	chr1(.):111410721-111447558	0.5066
NM_006135	chr1(.):113157074-113219241	0.2977
NM_198268	chr1(.):114466995-114525422	0.2409
NM_022836	chr1(.):114442914-114461708	0.1991
NM_152696	chr1(.):114466995-114519698	0.2584
NM_006594	chr1(.):114432676-114452741	0.221
NM_020190	chr1(.):114517029-114529875	0.1045
NM_198269	chr1(.):114488766-114525422	0.1254
NM_181358	chr1(.):114491498-114525422	0.1131
NM_017709	chr1(.):118143603-118176011	0.7372
NM_001123068	chr1(.):143762143-143772881	0.0485
NR_027469	chr1(.):143713512-143749587	0.3996
NR_027468	chr1(.):143713512-143749457	0.401
NM_207418	chr1(.):143891451-143918143	0.2882
NM_178230	chr1(.):144358586-144369246	0.0483
NR_024584	chr1(.):144475745-144526969	0.289
NR_037182	chr1(.):144671436-144685025	0.2662
NM_001002811	chr1(.):144885590-144937032	0.3521
NM_178230	chr1(.):147949759-147960419	0.0488
NR_027468	chr1(.):147901021-147936980	0.3301
NR_024510	chr1(.):149571452-149621786	0.295
NM_001161334	chr1(.):149749244-149788928	0.1895
NM_001034077	chr1(.):149799220-149809616	0.524
NM_001005464	chr1(.):149807258-149817765	1.0913
