ENHANCER_ID	CHROM	START	STOP	GENE_LIST
12_MACS_peak_19545_lociStitched	chr3	141079120	141159727	ZBTB38
5_MACS_peak_1718_lociStitched	chr1	154907953	154957879	ZBTB7B
5_MACS_peak_24402_lociStitched	chr6	108878216	108974516	FOXO3
2_MACS_peak_6342_lociStitched	chr12	53573162	53604053	RARG,ZNF740
6_MACS_peak_22610_lociStitched	chr5	131789749	131837841	IRF1
2_MACS_peak_26515_lociStitched	chr7	150062710	150084687	ZNF775
1_MACS_peak_24364_lociStitched	chr6	106530330	106555910	PRDM1
3_MACS_peak_1784_lociStitched	chr1	156449649	156476186	MEF2D
1_MACS_peak_5643_lociStitched	chr11	128584853	128610119	FLI1
5_MACS_peak_8798_lociStitched	chr15	31616817	31660648	KLF13
2_MACS_peak_11450_lociStitched	chr17	38465576	38484050	RARA
5_MACS_peak_14959_lociStitched	chr2	97190710	97220693	ARID5A
1_MACS_peak_17771_lociStitched	chr22	29185817	29199729	XBP1
4_MACS_peak_12575_lociStitched	chr18	46440229	46480190	SMAD7
1_MACS_peak_22275_lociStitched	chr5	88111219	88131044	MEF2C
2_MACS_peak_8796_lociStitched	chr15	31546648	31560846	KLF13
2_MACS_peak_17109_lociStitched	chr20	56047512	56058450	CTCFL
2_MACS_peak_17047_lociStitched	chr20	52194862	52215901	ZNF217
1_MACS_peak_22276_lociStitched	chr5	88170918	88187016	MEF2C
2_MACS_peak_6025_lociStitched	chr12	26265739	26280345	BHLHE41
2_MACS_peak_26517_lociStitched	chr7	150100714	150113972	ZNF775
1_MACS_peak_4734_lociStitched	chr11	58339861	58348075	ZFP91
1_MACS_peak_294_lociStitched	chr1	23849572	23858918	E2F2
1_MACS_peak_21529_lociStitched	chr4	185302120	185308438	IRF2
3_MACS_peak_23179_lociStitched	chr5	180228390	180249556	ZFP62
5_MACS_peak_21530_lociStitched	chr4	185317572	185350401	IRF2
6_MACS_peak_10524_lociStitched	chr16	67562639	67601619	CTCF
2_MACS_peak_28478_lociStitched	chr9	94180338	94195996	NFIL3
2_MACS_peak_17772_lociStitched	chr22	29206905	29221456	XBP1
2_MACS_peak_23937_lociStitched	chr6	45386541	45402613	RUNX2
2_MACS_peak_10966_lociStitched	chr17	6915080	6926253	BCL6B
1_MACS_peak_24368_lociStitched	chr6	106609819	106617435	PRDM1
2_MACS_peak_2350_lociStitched	chr1	203722244	203736403	ZBED6
1_MACS_peak_16866_lociStitched	chr20	42307503	42312551	MYBL2
3_MACS_peak_23301_lociStitched	chr6	7134866	7148065	RREB1
4_MACS_peak_18014_lociStitched	chr22	39909921	39929600	ATF4
2_MACS_peak_1855_lociStitched	chr1	161007869	161019256	USF1
2_MACS_peak_10931_lociStitched	chr17	4842159	4854549	CAMTA2
1_MACS_peak_2880_lociStitched	chr1	249111822	249121980	ZNF672,ZNF692
3_MACS_peak_13815_lociStitched	chr19	50369490	50382218	ATF5
1_MACS_peak_24407_lociStitched	chr6	108985725	108999007	FOXO3
3_MACS_peak_19786_lociStitched	chr3	169480842	169492599	MYNN
3_MACS_peak_13806_lociStitched	chr19	50166021	50182952	IRF3
1_MACS_peak_11428_lociStitched	chr17	37924829	37938280	IKZF3
1_MACS_peak_1723_lociStitched	chr1	154970811	154979802	ZBTB7B
2_MACS_peak_23210_lociStitched	chr6	389106	404016	IRF4
1_MACS_peak_20090_lociStitched	chr3	193817761	193823085	HES1
4_MACS_peak_12887_lociStitched	chr19	1846993	1865764	KLF16
1_MACS_peak_26153_lociStitched	chr7	113723742	113728496	FOXP2
1_MACS_peak_2687_lociStitched	chr1	228268925	228279620	ARF1
5_MACS_peak_10241_lociStitched	chr16	29815280	29837079	MAZ
2_MACS_peak_2513_lociStitched	chr1	212779676	212788839	ATF3
3_MACS_peak_20483_lociStitched	chr4	38307085	38322317	KLF3
1_MACS_peak_17528_lociStitched	chr21	45659783	45664983	AIRE
2_MACS_peak_28327_lociStitched	chr9	73026777	73036524	KLF9
3_MACS_peak_10878_lociStitched	chr17	2294396	2306167	MNT
3_MACS_peak_9384_lociStitched	chr15	74827194	74846185	ARID3B
5_MACS_peak_12881_lociStitched	chr19	1647822	1672608	TCF3
1_MACS_peak_22789_lociStitched	chr5	142774722	142785970	NR3C1
