REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	U266_jia.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
8_MACS_peak_28548_lociStitched	chr6	290234	357600	8	57045	166245.8148	1	1	DUSP22	IRF4	DUSP22	DUSP22	2.3986	1	1
3_MACS_peak_11003_lociStitched	chr15	60824868	60885799	3	60036	164373.5587	2	1	RORA		RORA	RORA	1.2407	2	1
4_MACS_peak_18454_lociStitched	chr2	20386769	20426585	4	37526	148720.7232	3	1	SDC1		SDC1	SDC1	4.104	3	1
12_MACS_peak_23543_lociStitched	chr3	13319790	13394673	12	58449	130229.0253	4	1	NUP210		NUP210	NUP210	0.9627	4	1
13_MACS_peak_1847_lociStitched	chr1	118147721	118221123	13	66290	129517.829	5	1	FAM46C		FAM46C	FAM46C	1.4124	5	1
1_MACS_peak_2338_lociStitched	chr1	156448793	156479679	1	30887	128970.6702	6	1	MEF2D	C1orf61	MEF2D	MEF2D	2.6248	6	1
3_MACS_peak_18696_lociStitched	chr2	37562601	37607344	3	44104	127222.2462	7	1	QPCT	PRKD3	QPCT	QPCT	3.1079	7	1
11_MACS_peak_19339_lociStitched	chr2	87749789	87825917	11	64386	124583.472	8	1	NCRNA00152		NCRNA00152	NCRNA00152	1.6372	8	1
10_MACS_peak_19637_lociStitched	chr2	112181721	112258276	10	67481	122763.598	9	1	LOC541471		LOC541471	LOC541471	0.9482	9	1
7_MACS_peak_10402_lociStitched	chr14	106022094	106068845	7	45428	120603.5547	10	1		TMEM121	TMEM121	TMEM121	0.203	10	1
7_MACS_peak_2211_lociStitched	chr1	154373519	154418832	7	32692	115117.6765	11	1	IL6R		IL6R	IL6R	1.6672	11	1
8_MACS_peak_25257_lociStitched	chr3	186693094	186751221	8	52425	112940.761	12	1	ST6GAL1		ST6GAL1	ST6GAL1	1.1098	12	1
12_MACS_peak_21165_lociStitched	chr20	30248839	30312399	12	57443	110982.116	13	1	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	1.6328	13	1
4_MACS_peak_28655_lociStitched	chr6	7878411	7919799	4	40104	106234.7184	14	1	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	2.3518	14	1
13_MACS_peak_3455_lociStitched	chr1	233742287	233814160	13	56658	100011.2795	15	1	KCNK1		KCNK1	KCNK1	1.4155	15	1
2_MACS_peak_6015_lociStitched	chr11	65182823	65217324	2	34436	98700.4608	16	1	NEAT1,MIR612	FRMD8,MALAT1,SLC25A45	NEAT1	NEAT1	3.8338	16	1
6_MACS_peak_22980_lociStitched	chr22	38634350	38687893	6	43413	98262.1136	17	1	TMEM184B,CSNK1E	MAFF	TMEM184B	TMEM184B	1.6998	17	1
2_MACS_peak_14773_lociStitched	chr17	56404300	56430719	2	22354	95536.3878	18	1	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	4.4566	18	1
7_MACS_peak_22567_lociStitched	chr22	23255724	23298741	7	32981	93695.3277	19	1		IGLL5	IGLL5	IGLL5	1.8048	19	1
6_MACS_peak_10100_lociStitched	chr14	91811546	91867185	6	51188	91548.4106	20	1	CCDC88C		CCDC88C	CCDC88C	0.9814	20	1
1_MACS_peak_2099_lociStitched	chr1	150531157	150554149	1	22993	88057.0608	21	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	2.1876	21	1
9_MACS_peak_4308_lociStitched	chr10	74051530	74100286	9	32960	84021.2148	22	1	DNAJB12	DDIT4	DNAJB12	DDIT4	1.611	22	1
4_MACS_peak_30888_lociStitched	chr7	25979977	26011252	4	23416	82118.7675	23	1	MIR148A		MIR148A	MIR148A	4.3494	23	1
10_MACS_peak_10409_lociStitched	chr14	106143772	106188886	10	36710	80939.0274	24	1			TMEM121	TMEM121	0.203	24	1
9_MACS_peak_19485_lociStitched	chr2	99054926	99109886	9	47746	79175.376	25	1	INPP4A		INPP4A	INPP4A	0.6133	25	1
1_MACS_peak_6023_lociStitched	chr11	65253713	65279171	1	25459	76715.1372	26	1	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	2.8897	26	1
9_MACS_peak_21405_lociStitched	chr20	37486906	37524260	9	34352	76161.0706	27	1	PPP1R16B	FAM83D	FAM83D	FAM83D	0.1898	27	1
6_MACS_peak_11813_lociStitched	chr15	101456695	101489921	6	26850	76060.9592	28	1	ALDH1A3,LRRK1		LRRK1	LRRK1	0.6008	28	1
7_MACS_peak_31777_lociStitched	chr7	101915326	101955601	7	29675	71415.63	29	1	CUX1,SH2B2,MIR4285	SPDYE6	MIR4285	MIR4285	2.0677	29	1
5_MACS_peak_11232_lociStitched	chr15	70768948	70805993	5	27038	70237.32	30	1			UACA	UACA	NONE	30	1
4_MACS_peak_31276_lociStitched	chr7	55571658	55605839	4	30724	67278.4623	31	1	VOPP1		VOPP1	VOPP1	1.0508	31	1
6_MACS_peak_2059_lociStitched	chr1	149800634	149834995	6	28717	66502.2794	32	1	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2AA4	HIST2H2AA4	2.0187	32	1
4_MACS_peak_28361_lociStitched	chr5	173309979	173358125	4	46469	65233.0154	33	1	CPEB4		CPEB4	CPEB4	0.9058	33	1
8_MACS_peak_16132_lociStitched	chr19	1237203	1277502	8	25253	65151.3933	34	1	ATP5D,MIDN,CIRBP,C19orf24,C19orf26,C19orf23	STK11,EFNA2	MIDN	MIDN	1.4015	34	1
6_MACS_peak_11088_lociStitched	chr15	65164222	65191013	6	21740	64226.0643	35	1		PLEKHO2,ANKDD1A,PIF1	ANKDD1A	PLEKHO2	0.8181	35	1
7_MACS_peak_35017_lociStitched	chr9	127609787	127643889	7	24317	63968.5316	36	1	WDR38,ARPC5L,RPL35,GOLGA1		RPL35	RPL35	1.0583	36	1
4_MACS_peak_34892_lociStitched	chr9	117243194	117270552	4	22076	62288.6944	37	1	DFNB31		DFNB31	DFNB31	0.8105	37	1
7_MACS_peak_35103_lociStitched	chr9	130813119	130847391	7	28665	61549.0848	38	1	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	SLC25A25	1.1304	38	1
3_MACS_peak_18693_lociStitched	chr2	37524661	37553989	3	27786	61336.5792	39	1	PRKD3	QPCT	PRKD3	QPCT	3.1079	39	1
2_MACS_peak_3482_lociStitched	chr1	234733479	234749623	2	16024	61222.8912	40	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	3.8648	40	1
6_MACS_peak_35093_lociStitched	chr9	130716309	130748849	6	27134	61028.77	41	1	FAM102A	ST6GALNAC4,PIP5KL1,DPM2,FAM102A	FAM102A	FAM102A	1.4305	41	1
9_MACS_peak_16721_lociStitched	chr19	12885319	12918338	9	20401	60543.6384	42	1	JUNB,RNASEH2A,HOOK2,PRDX2	ASNA1,BEST2,MAST1,C19orf43,RTBDN	JUNB	JUNB	2.9043	42	1
5_MACS_peak_35074_lociStitched	chr9	130529014	130551217	5	18440	60505.3953	43	1	CDK9,MIR2861,SH2D3C	FPGS,TOR2A,SH2D3C	SH2D3C	FPGS	0.545	43	1
11_MACS_peak_22219_lociStitched	chr21	44758499	44790017	11	21956	60457.8276	44	1			SIK1	SIK1	1.0404	44	1
3_MACS_peak_25325_lociStitched	chr3	192593399	192619120	3	25274	60040.5303	45	1	C3orf59		C3orf59	C3orf59	0.7666	45	1
4_MACS_peak_14267_lociStitched	chr17	37909266	37935795	4	22273	59645.1507	46	1	IKZF3	GRB7,C17orf37	GRB7	C17orf37	0.4069	46	1
