GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
HIST2H4B	NM_001034077	chr1:149801425-149834915	1	1	3.7741
HIST2H2AA4	NM_001040874	chr1:149801425-149834915,chr1:149855675-149861448	1,72	1	9.4527
HIST2H3A	NM_001005464	chr1:149801425-149834915,chr1:149855675-149861448	1,72	1	9.5221
HIST2H2BC	NR_036461	chr1:149801425-149834915,chr1:149855675-149861448	1,72	1	9.3972
FCGR1A	NM_000566	chr1:149801425-149834915	1	1	0.3378
HIST2H2AC	NM_003517	chr1:149855675-149861448,chr1:149801425-149834915	1,72	1	6.73
BOLA1	NM_016074	chr1:149801425-149834915,chr1:149855675-149861448	1,72	1	0.5345
HIST2H2BF	NM_001161334	chr1:149801425-149834915	1	1	0.7169
HIST2H3D	NM_001123375	chr1:149801425-149834915	1	1	2.0184
HIST2H2BE	NM_003528	chr1:149855675-149861448,chr1:149801425-149834915	1,72	1	5.7669
HIST2H2AB	NM_175065	chr1:149855675-149861448,chr1:149801425-149834915	1,72	1	6.709
TMEM121	NM_025268	chr14:106023443-106057867,chr14:105946837-105958281	2,347	1	0.4967
MUTED-TXNDC5	NR_037616	chr6:7883121-7921645,chr6:7958761-7969252	3,754	1	1.1614
TXNDC5	NM_001145549	chr6:7883121-7921645,chr6:7958761-7969252	3,754	1	3.9294
IGLL5	NM_001178126	chr22:23223262-23249235,chr22:23255937-23287901	4,12	1	7.2815
CCDC88C	NM_001080414	chr14:91812350-91867243,chr14:91872825-91885864,chr14:91781658-91802332	5,216,465	1	1.6264
ZBTB38	NM_001080412	chr3:141079652-141132523	6	1	1.3783
PMVK	NM_006556	chr1:154907436-154935437,chr1:154940895-154949188	8,249	1	3.1808
PBXIP1	NM_020524	chr1:154907436-154935437,chr1:154970620-154977550,chr1:154940895-154949188	8,151,249	1	3.9058
PYGO2	NM_138300	chr1:154907436-154935437,chr1:154970620-154977550,chr1:154940895-154949188	8,151,249	1	3.8875
SHC1	NM_001130041	chr1:154907436-154935437,chr1:154940895-154949188,chr1:154970620-154977550	8,151,249	1	3.3841
CKS1B	NR_024163	chr1:154940895-154949188,chr1:154907436-154935437,chr1:154970620-154977550	8,151,249	1	2.9052
MIR4258	NR_036212	chr1:154940895-154949188,chr1:154907436-154935437,chr1:154970620-154977550	8,151,249	1	3.2915
FLAD1	NM_201398	chr1:154907436-154935437,chr1:154970620-154977550,chr1:154940895-154949188	8,151,249	1	0.4402
LENEP	NM_018655	chr1:154907436-154935437,chr1:154970620-154977550,chr1:154940895-154949188	8,151,249	1	0.5579
ZBTB7B	NM_015872	chr1:154970620-154977550,chr1:154907436-154935437,chr1:154940895-154949188	8,151,249	1	2.1149
INPP4A	NM_004027	chr2:99054390-99109476	9	1	1.15
FAM46C	NM_017709	chr1:118147892-118218071	11	1	1.5041
IER2	NM_004907	chr19:13259784-13284799	13	1	3.8455
STX10	NM_003765	chr19:13259784-13284799	13	1	3.0728
NACC1	NM_052876	chr19:13259784-13284799	13	1	0.4887
LYL1	NM_005583	chr19:13259784-13284799	13	1	1.1825
TRMT1	NM_017722	chr19:13259784-13284799	13	1	1.2615
BCAN	NM_021948	chr1:156626743-156648006	14	1	2.9116
NES	NM_006617	chr1:156626743-156648006,chr1:156695780-156699448	14,599	1	3.2981
HAPLN2	NM_021817	chr1:156626743-156648006	14	1	0.1814
CRABP2	NM_001878	chr1:156626743-156648006,chr1:156709246-156722776,chr1:156695780-156699448	14,90,599	1	0.1712
