GENE_ID	locusLine	bin_1_06_0EWS_0229Kronos_MM1S-KB-3hr-2_H3K18Ac_hs-dm_i13.bam
1_MACS_peak_1_lociStitched	chr1(.):28244-30296	2.6754
1_MACS_peak_2_lociStitched	chr1(.):441743-442812	0.4065
1_MACS_peak_3_lociStitched	chr1(.):540278-541380	0.5943
1_MACS_peak_4_lociStitched	chr1(.):713240-715327	1.7758
1_MACS_peak_5_lociStitched	chr1(.):761731-763892	1.2579
1_MACS_peak_6_lociStitched	chr1(.):793207-794518	0.4668
1_MACS_peak_7_lociStitched	chr1(.):879168-880593	0.6652
3_MACS_peak_8_lociStitched	chr1(.):894059-902867	0.4286
1_MACS_peak_11_lociStitched	chr1(.):947932-949750	1.0711
1_MACS_peak_12_lociStitched	chr1(.):997864-1000492	1.0362
1_MACS_peak_13_lociStitched	chr1(.):1051035-1052177	0.6502
2_MACS_peak_14_lociStitched	chr1(.):1071137-1080423	0.2769
1_MACS_peak_16_lociStitched	chr1(.):1092778-1094099	1.1281
1_MACS_peak_17_lociStitched	chr1(.):1166092-1167809	1.4276
1_MACS_peak_18_lociStitched	chr1(.):1185216-1186065	0.4681
1_MACS_peak_19_lociStitched	chr1(.):1207965-1210298	0.8454
1_MACS_peak_20_lociStitched	chr1(.):1242514-1245000	1.2697
1_MACS_peak_21_lociStitched	chr1(.):1259466-1261383	1.4696
2_MACS_peak_22_lociStitched	chr1(.):1283533-1285788	0.7392
1_MACS_peak_24_lociStitched	chr1(.):1309725-1311819	1.2421
2_MACS_peak_25_lociStitched	chr1(.):1333711-1343683	0.4587
2_MACS_peak_27_lociStitched	chr1(.):1396681-1408394	0.5284
2_MACS_peak_29_lociStitched	chr1(.):1439747-1448732	0.753
1_MACS_peak_31_lociStitched	chr1(.):1509032-1511222	1.2615
2_MACS_peak_32_lociStitched	chr1(.):1545061-1552421	0.8307
1_MACS_peak_34_lociStitched	chr1(.):1589632-1591668	1.6603
2_MACS_peak_35_lociStitched	chr1(.):1605965-1610946	1.3513
1_MACS_peak_37_lociStitched	chr1(.):1622633-1625736	3.2216
1_MACS_peak_38_lociStitched	chr1(.):1654967-1656900	1.2849
2_MACS_peak_39_lociStitched	chr1(.):1668724-1678874	1.3329
1_MACS_peak_41_lociStitched	chr1(.):1708700-1715038	2.2265
1_MACS_peak_42_lociStitched	chr1(.):1754803-1756333	0.3982
1_MACS_peak_43_lociStitched	chr1(.):1772472-1775177	0.6364
2_MACS_peak_44_lociStitched	chr1(.):1821006-1829788	0.5227
1_MACS_peak_46_lociStitched	chr1(.):1837384-1841436	0.8205
2_MACS_peak_47_lociStitched	chr1(.):2120478-2127396	0.251
1_MACS_peak_49_lociStitched	chr1(.):2158331-2159435	0.8957
1_MACS_peak_50_lociStitched	chr1(.):2186492-2188071	0.7435
1_MACS_peak_51_lociStitched	chr1(.):2221232-2223306	0.8807
1_MACS_peak_52_lociStitched	chr1(.):2230944-2233801	1.9337
1_MACS_peak_53_lociStitched	chr1(.):2321986-2324211	0.7406
2_MACS_peak_54_lociStitched	chr1(.):2343043-2347982	1.1767
1_MACS_peak_56_lociStitched	chr1(.):2456641-2458805	1.02
2_MACS_peak_57_lociStitched	chr1(.):2476869-2489203	1.375
2_MACS_peak_59_lociStitched	chr1(.):2508641-2518578	0.5141
1_MACS_peak_61_lociStitched	chr1(.):2573530-2575168	1.7912
1_MACS_peak_62_lociStitched	chr1(.):3086988-3088255	0.5672
2_MACS_peak_63_lociStitched	chr1(.):3540355-3547893	0.4612
2_MACS_peak_65_lociStitched	chr1(.):3565628-3570294	0.8687
1_MACS_peak_67_lociStitched	chr1(.):3688296-3689115	0.4293
1_MACS_peak_68_lociStitched	chr1(.):3711896-3713766	0.838
