GENE_ID	locusLine	bin_1_41_0EXT_0229Kronos_MM1S-KB-6hr-1_Input_hs_i85.bam
1_MACS_peak_1_lociStitched	chr1(.):28433-30436	0.2162
1_MACS_peak_2_lociStitched	chr1(.):441763-442680	0.1029
1_MACS_peak_3_lociStitched	chr1(.):540196-541323	0.1015
1_MACS_peak_4_lociStitched	chr1(.):713151-715208	0.1524
1_MACS_peak_5_lociStitched	chr1(.):761927-763819	0.0913
1_MACS_peak_6_lociStitched	chr1(.):793243-794521	0.1358
1_MACS_peak_7_lociStitched	chr1(.):879159-880782	0.0697
3_MACS_peak_8_lociStitched	chr1(.):893916-902712	0.0798
1_MACS_peak_11_lociStitched	chr1(.):947998-949710	0.201
1_MACS_peak_12_lociStitched	chr1(.):998320-1000298	0.0969
1_MACS_peak_13_lociStitched	chr1(.):1051029-1051944	0.1277
1_MACS_peak_14_lociStitched	chr1(.):1071826-1072826	0.0917
1_MACS_peak_15_lociStitched	chr1(.):1079165-1080353	0.1062
1_MACS_peak_16_lociStitched	chr1(.):1092816-1094237	0.0951
1_MACS_peak_17_lociStitched	chr1(.):1166207-1167551	0.2056
1_MACS_peak_18_lociStitched	chr1(.):1208286-1210316	0.1318
1_MACS_peak_19_lociStitched	chr1(.):1242427-1245065	0.0939
1_MACS_peak_20_lociStitched	chr1(.):1259450-1261493	0.154
2_MACS_peak_21_lociStitched	chr1(.):1283659-1285782	0.065
1_MACS_peak_23_lociStitched	chr1(.):1309759-1311752	0.1543
2_MACS_peak_24_lociStitched	chr1(.):1333940-1343447	0.1652
1_MACS_peak_26_lociStitched	chr1(.):1396617-1398827	0.2163
1_MACS_peak_27_lociStitched	chr1(.):1406048-1408187	0.0924
2_MACS_peak_28_lociStitched	chr1(.):1439748-1448242	0.125
1_MACS_peak_30_lociStitched	chr1(.):1509110-1511131	0.1508
1_MACS_peak_31_lociStitched	chr1(.):1549964-1552277	0.1679
1_MACS_peak_32_lociStitched	chr1(.):1565600-1566446	0.0465
1_MACS_peak_33_lociStitched	chr1(.):1589612-1591655	0.1909
2_MACS_peak_34_lociStitched	chr1(.):1606383-1611069	0.1705
1_MACS_peak_36_lociStitched	chr1(.):1622654-1625706	0.2126
1_MACS_peak_37_lociStitched	chr1(.):1655060-1656782	0.1739
2_MACS_peak_38_lociStitched	chr1(.):1668809-1678946	0.1502
2_MACS_peak_40_lociStitched	chr1(.):1708869-1715217	0.1877
1_MACS_peak_42_lociStitched	chr1(.):1772973-1775227	0.1493
2_MACS_peak_43_lociStitched	chr1(.):1821011-1829622	0.1065
1_MACS_peak_45_lociStitched	chr1(.):1838135-1841397	0.1287
2_MACS_peak_46_lociStitched	chr1(.):2120521-2127283	0.1101
1_MACS_peak_48_lociStitched	chr1(.):2158356-2159420	0.0518
1_MACS_peak_49_lociStitched	chr1(.):2221222-2223189	0.1248
1_MACS_peak_50_lociStitched	chr1(.):2231210-2233479	0.1793
