REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X08_0EWU_0229Kronos_MM1S.KB.6hr.2_H3K18Ac_hs.dm_i16.bam	X42_0EXU_0229Kronos_MM1S.KB.6hr.2_Input_hs_i86.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
6_MACS_peak_27195_lociStitched	chr6	108878121	108954012	6	66738	129439.6896	11884.5306	1	FOXO3		FOXO3	1	1
7_MACS_peak_15841_lociStitched	chr2	37526047	37607444	7	64128	230190.716	14293.3132	2	QPCT,PRKD3		QPCT	2	1
8_MACS_peak_21654_lociStitched	chr3	141079038	141149682	8	57401	363625.8612	14517.342	3	ZBTB38		ZBTB38	3	1
4_MACS_peak_16621_lociStitched	chr2	99054560	99108248	4	46970	165648.9552	10173.876	4	INPP4A		INPP4A	4	1
7_MACS_peak_9514_lociStitched	chr14	91829368	91885988	7	46604	118488.674	5560.084	5	CCDC88C		CCDC88C	5	1
5_MACS_peak_18482_lociStitched	chr20	30261972	30312318	5	42389	129943.026	9998.7156	6	BCL2L1	COX4I2,TPX2	BCL2L1	6	1
3_MACS_peak_1545_lociStitched	chr1	118141856	118189275	3	40994	102496.1685	5315.6699	7	FAM46C		FAM46C	7	1
5_MACS_peak_2605_lociStitched	chr1	203254720	203301212	5	38796	302993.0132	13361.8008	8	BTG2,LOC730227	FMOD	BTG2	8	1
7_MACS_peak_13944_lociStitched	chr18	46439433	46482984	7	37993	74942.5608	7451.5761	9	SMAD7		SMAD7	9	1
4_MACS_peak_12587_lociStitched	chr17	34597768	34641861	4	37810	126013.3847	9594.6368	10	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	10	1
4_MACS_peak_25846_lociStitched	chr6	289928	338092	4	37675	189313.4184	14969.3712	11	DUSP22		DUSP22	11	1
5_MACS_peak_30760_lociStitched	chr8	120912558	120951310	5	36840	95922.8256	6335.952	12	DEPDC6	DSCC1	DEPDC6	12	1
3_MACS_peak_12536_lociStitched	chr17	32688343	32727186	3	36829	152245.1385	7554.9635	13	CCL1	CCL8,CCL13	CCL1	13	1
7_MACS_peak_11130_lociStitched	chr16	11794100	11837945	7	35943	125598.387	7940.3295	14	TXNDC11	SNN	TXNDC11	14	1
