REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X27_0F2D_0229Kronos_MM1S.KB.6hr.1_H3K27me3_hs.dm_i14.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
31_MACS_peak_15797_lociStitched	chr17	77084510	77228183	31	138072	198671.0244	11594.4111	1	ENGASE,RBFOX3		ENGASE	1	1
15_MACS_peak_23817_lociStitched	chr20	60984439	61072120	15	85737	138290.4732	7023.2481	2	C20orf151,GATA5	RPS21,LAMA5,CABLES2	GATA5	2	1
14_MACS_peak_17148_lociStitched	chr19	3798494	3882930	14	82638	127506.8036	10470.064	3	ATCAY,MATK,ZFR2	MRPL54,APBA3,RAX2,MATK	ZFR2	3	1
7_MACS_peak_6872_lociStitched	chr11	1982285	2063745	7	80532	134995.512	6223.544	4	LOC100133545,H19,MIR675	TNNT3,MRPL23	H19	4	1
12_MACS_peak_701_lociStitched	chr1	3408583	3488396	12	78106	114826.9631	5586.91	5	MEGF6,MIR551A	ARHGEF16	MIR551A	5	1
16_MACS_peak_15874_lociStitched	chr17	77356374	77430433	16	72314	92721.868	5998.779	6	RBFOX3		RBFOX3	6	1
9_MACS_peak_36306_lociStitched	chr9	139525924	139596965	9	69363	112038.7611	5853.7784	7	EGFL7,MIR126,AGPAT2	FAM69B,LOC100128593,SNORA43,SNORA17,SNHG7,LCN10,LCN6	MIR126	7	1
5_MACS_peak_16286_lociStitched	chr17	79009457	79075045	5	64927	118845.456	5358.5396	8	BAIAP2	CHMP6,MIR3065,FLJ90757,MIR657,MIR338,MIR1250	BAIAP2	8	1
12_MACS_peak_14698_lociStitched	chr17	47966550	48031573	12	64085	85674.3048	5663.5033	9		DLX4,TAC4,DLX3	DLX4	9	1
10_MACS_peak_24484_lociStitched	chr21	44155094	44219926	10	63155	114849.888	8907.9168	10	PDE9A		WDR4	10	1
10_MACS_peak_16711_lociStitched	chr19	681389	745189	10	62505	108810.9	7388.04	11	FSTL3,PALM,PRSSL1	FGF22,C19orf21,POLRMT,RNF126	PALM	11	1
19_MACS_peak_29285_lociStitched	chr4	9211676	9274612	19	61364	178178.1096	18868.2128	12	USP17		USP17	12	1
14_MACS_peak_1760_lociStitched	chr1	10792405	10851990	14	57839	77245.994	4909.804	13	CASZ1		CASZ1	13	1
18_MACS_peak_25912_lociStitched	chr22	37771848	37832345	18	57788	77914.0863	5753.2647	14	ELFN2		ELFN2	14	1
5_MACS_peak_16756_lociStitched	chr19	1286368	1343729	5	57038	123228.6363	7107.0279	15	EFNA2	ATP5D,MIDN,CIRBP,C19orf24,MUM1,NDUFS7,C19orf26,C19orf23	EFNA2	15	1
11_MACS_peak_17237_lociStitched	chr19	4557655	4616219	11	56995	88935.2904	7835.8632	16	SEMA6B	TNFAIP8L1,PLIN4,PLIN5,LRG1	SEMA6B	16	1
5_MACS_peak_20665_lociStitched	chr19	48406606	48462924	5	56207	108676.8446	19531.0824	17	SNAR-A13,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C2,SNAR-C4,SNAR-C3	SNAR-A12,SNAR-C1,ELSPBP1,SULT2A1,BSPH1	SNAR-C2	17	1
10_MACS_peak_1211_lociStitched	chr1	6475519	6530224	10	52961	83151.6	4452.987	18	ESPN,HES2,MIR4252,TNFRSF25,PLEKHG5	ACOT7	MIR4252	18	1
5_MACS_peak_2188_lociStitched	chr1	17012917	17066239	5	52804	128538.0132	12520.0056	19	ESPNP	MST1P2,MST1P9	ESPNP	19	1
11_MACS_peak_23858_lociStitched	chr20	61317094	61371332	11	52406	75293.1916	4279.3782	20	NTSR1	SLCO4A1,LOC100127888	NTSR1	20	1
12_MACS_peak_1172_lociStitched	chr1	6180737	6233905	12	50938	68661.1552	4769.1696	21	CHD5	RNF207,RPL22	CHD5	21	1
19_MACS_peak_25027_lociStitched	chr22	19694355	19747735	19	50653	73322.768	4345.132	22	SEPT5,SEPT5-GP1BB,GP1BB,TBX1		GP1BB	22	1
7_MACS_peak_16339_lociStitched	chr17	79399993	79451503	7	50622	82204.809	3816.891	23	BAHCC1,MIR3186	FSCN2,ACTG1	MIR3186	23	1
18_MACS_peak_575_lociStitched	chr1	3099592	3153338	18	50476	62436.7282	3525.7376	24	PRDM16		MIR4251	24	1
10_MACS_peak_23982_lociStitched	chr20	61850369	61900948	10	50003	76713.1693	4192.9991	25	BIRC7,MIR3196,FLJ16779,NKAIN4	MIR124-3,ARFGAP1,MIR4326,COL20A1,YTHDF1	MIR3196	25	1
4_MACS_peak_21045_lociStitched	chr19	50594088	50643832	4	49514	84893.1104	14749.096	26	SNAR-A6,SNAR-A4,SNAR-A8,SNAR-A11,SNAR-A14,SNAR-B1,SNAR-B2,SNAR-D	FLJ26850,IZUMO2	SNAR-B1	26	1
2_MACS_peak_18035_lociStitched	chr19	8851028	8900870	2	49350	181375.038	24751.5372	27		OR2Z1,ACTL9,ZNF558	OR2Z1	27	1
11_MACS_peak_283_lociStitched	chr1	2244473	2294371	11	49225	82037.3018	4011.7992	28	MORN1,LOC100129534	RER1,PEX10	LOC100129534	28	1
17_MACS_peak_23905_lociStitched	chr20	61590502	61640746	17	48546	67698.7656	4476.7404	29	SLC17A9,LOC63930,BHLHE23	C20orf11,LOC100144597,DIDO1,NCRNA00029	BHLHE23	29	1
11_MACS_peak_16797_lociStitched	chr19	1703692	1753544	11	48540	94055.7684	6111.8552	30		ONECUT3	ONECUT3	30	1
10_MACS_peak_25898_lociStitched	chr22	37712348	37761779	10	48385	64492.6257	4592.1399	31		CYTH4	CYTH4	31	1
7_MACS_peak_26962_lociStitched	chr22	46325732	46374709	7	48103	69885.2813	3923.0577	32	WNT7B	LOC730668	WNT7B	32	1
16_MACS_peak_24190_lociStitched	chr20	62815114	62864270	16	48053	65067.7972	4753.3852	33	MYT1	PCMTD2	MYT1	33	1
9_MACS_peak_36297_lociStitched	chr9	139477211	139524592	9	46666	68432.3783	3449.3368	34		EGFL7,MIR126,NOTCH1	EGFL7	34	1
5_MACS_peak_24467_lociStitched	chr21	44074192	44120964	5	46034	73165.4396	5636.026	35	PDE9A		PDE9A	35	1
11_MACS_peak_29304_lociStitched	chr4	9324626	9370930	11	45498	127081.328	13270.7264	36	USP17,USP17L6P		USP17L6P	36	1
4_MACS_peak_33428_lociStitched	chr8	142012894	142058604	4	45247	69739.747	5933.158	37		PTK2	PTK2	37	1
14_MACS_peak_9512_lociStitched	chr12	54342681	54389666	14	44367	59943.463	3993.725	38	HOXC12,HOXC11,HOXC10,MIR196A2,HOTAIR	HOXC13,HOXC9,HOXC8,HOXC6,HOXC5,MIR615	HOXC11	38	1
7_MACS_peak_24779_lociStitched	chr21	46709972	46755051	7	44257	80159.4778	6045.0939	39	LOC642852	POFUT2	LOC642852	39	1
17_MACS_peak_17494_lociStitched	chr19	5842290	5888485	17	43794	56454.9095	6388.7685	40	FUT3,FUT5	NRTN,VMAC,CAPS,FUT6,NDUFA11	FUT5	40	1
9_MACS_peak_11273_lociStitched	chr16	1153022	1197394	9	43403	67303.4496	3114.9144	41		SSTR5,CACNA1H,LOC146336,C1QTNF8	CACNA1H	41	1
13_MACS_peak_16323_lociStitched	chr17	79328009	79373184	13	42959	63913.59	3826.3225	42		BAHCC1,C17orf55,TMEM105,MIR3186	BAHCC1	42	1
10_MACS_peak_191_lociStitched	chr1	1938459	1981797	10	42355	56738.1096	3666.3948	43	GABRD	PRKCZ,KIAA1751	GABRD	43	1
9_MACS_peak_17083_lociStitched	chr19	3391387	3434109	9	41173	57320.1074	4874.5802	44	NFIC	C19orf77	NFIC	44	1
2_MACS_peak_24712_lociStitched	chr21	46301434	46342405	2	40926	86993.7243	5408.172	45	ITGB2	C21orf70,PTTG1IP,C21orf67	ITGB2	45	1
14_MACS_peak_14710_lociStitched	chr17	48033185	48075781	14	40745	56358.7676	4242.5616	46	DLX4,DLX3		DLX4	46	1
6_MACS_peak_34568_lociStitched	chr9	129376633	129417814	6	40697	59082.3807	3525.0936	47	LMX1B		LMX1B	47	1
12_MACS_peak_35108_lociStitched	chr9	135053569	135094711	12	39703	51657.8952	3673.9806	48	NTNG2		NTNG2	48	1
5_MACS_peak_24038_lociStitched	chr20	62081967	62122510	5	39640	59063.0424	2769.0869	49	KCNQ2,EEF1A2	PPDPF,PTK6	KCNQ2	49	1
6_MACS_peak_30291_lociStitched	chr6	31990990	32030619	6	39097	67817.1077	3974.7887	50	C4B,C4A,CYP21A2,TNXB	STK19,TNXA	STK19	50	1
8_MACS_peak_23842_lociStitched	chr20	61169818	61209459	8	38969	55263.5181	3373.4491	51		C20orf166,MIR1-1,MIR133A2,C20orf200	MIR133A2	51	1
