GENE	CHROM	START	STOP	ENHANCER_ID
AIRE	chr21	45660217	45664567	2_MACS_peak_14441_lociStitched
ARF1	chr1	228269306	228271579	1_MACS_peak_2139_lociStitched
ARID3A	chr19	917085	920881	1_MACS_peak_10283_lociStitched
ARID5A	chr2	97188182	97195914	2_MACS_peak_12457_lociStitched
ARID5A	chr2	97201585	97204494	1_MACS_peak_12461_lociStitched
ATF3	chr1	212780201	212783351	1_MACS_peak_2012_lociStitched
BCL11A	chr2	60776446	60782954	7_MACS_peak_12059_lociStitched
CAD	chr2	27383792	27391140	3_MACS_peak_11847_lociStitched
CAMTA1	chr1	6977335	6984637	3_MACS_peak_154_lociStitched
CEBPB	chr20	48806946	48809814	1_MACS_peak_13907_lociStitched
CTCF	chr16	67594902	67598807	2_MACS_peak_8114_lociStitched
CTCF	chr16	67580687	67584067	2_MACS_peak_8111_lociStitched
DDIT3	chr12	57913243	57917167	2_MACS_peak_4974_lociStitched
E2F3	chr6	20402022	20404811	1_MACS_peak_18465_lociStitched
FOSL1	chr11	65624576	65628980	2_MACS_peak_3777_lociStitched
FOXH1	chr8	145732348	145735259	2_MACS_peak_21697_lociStitched
FOXO3	chr6	108878540	108883607	3_MACS_peak_19113_lociStitched
FOXP2	chr7	113722985	113728266	2_MACS_peak_20477_lociStitched
HBP1	chr7	106807612	106810325	2_MACS_peak_20442_lociStitched
JUNB	chr19	12899444	12905259	4_MACS_peak_10674_lociStitched
JUND	chr19	18390561	18393697	2_MACS_peak_10868_lociStitched
KLF13	chr15	31555128	31560350	4_MACS_peak_6621_lociStitched
KLF13	chr15	31617084	31622097	3_MACS_peak_6625_lociStitched
KLF6	chr10	3824655	3828438	3_MACS_peak_2325_lociStitched
LTF	chr3	46542666	46548150	3_MACS_peak_15468_lociStitched
MAF	chr16	79039680	79044796	2_MACS_peak_8248_lociStitched
MAF	chr16	79631797	79644554	14_MACS_peak_8253_lociStitched
MAF	chr16	79908110	79912303	2_MACS_peak_8281_lociStitched
MAZ	chr16	29815980	29819752	2_MACS_peak_7821_lociStitched
MEF2D	chr1	156468673	156471741	3_MACS_peak_1554_lociStitched
MYC	chr8	128746516	128751361	1_MACS_peak_21504_lociStitched
NFE2L2	chr2	178128271	178130421	1_MACS_peak_12976_lociStitched
NFE2L3	chr7	26239164	26242315	2_MACS_peak_19662_lociStitched
NOTCH1	chr9	139439327	139442437	2_MACS_peak_22559_lociStitched
SF1	chr11	64545272	64547641	2_MACS_peak_3692_lociStitched
SIN3A	chr15	75742763	75748761	4_MACS_peak_7114_lociStitched
SP3	chr2	174828097	174830792	2_MACS_peak_12953_lociStitched
SREBF2	chr22	42227277	42230394	2_MACS_peak_14919_lociStitched
TBX10	chr11	67413571	67418612	4_MACS_peak_3874_lociStitched
TFAP4	chr16	4320827	4324113	2_MACS_peak_7560_lociStitched
TGIF1	chr18	3447351	3451346	1_MACS_peak_9808_lociStitched
XBP1	chr22	29194015	29199630	2_MACS_peak_14648_lociStitched
ZBTB38	chr3	141084664	141093378	6_MACS_peak_16021_lociStitched
ZBTB38	chr3	141119236	141124268	3_MACS_peak_16032_lociStitched
ZBTB7B	chr1	154971115	154977623	1_MACS_peak_1485_lociStitched
ZBTB7B	chr1	154988071	154992891	1_MACS_peak_1486_lociStitched
ZFP91	chr11	58344992	58347497	1_MACS_peak_3545_lociStitched
ZNF423	chr16	49888913	49893342	2_MACS_peak_7954_lociStitched
ZNF580	chr19	56164868	56167646	2_MACS_peak_11537_lociStitched
ZNF581	chr19	56164868	56167646	2_MACS_peak_11537_lociStitched
ZNF689	chr16	30668276	30671611	2_MACS_peak_7872_lociStitched
ZNF775	chr7	150064276	150068360	3_MACS_peak_20704_lociStitched
ZNF775	chr7	150070037	150077340	6_MACS_peak_20707_lociStitched
ZNF784	chr19	56164868	56167646	2_MACS_peak_11537_lociStitched
