GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
ZBTB38	NM_001080412	chr3:141078882-141164546	1	1	2.2337
RASA2	NM_006506	chr3:141078882-141164546	1	1	0.1959
INPP4A	NM_004027	chr2:99053010-99135819	2	1	1.5627
ERN1	NM_001433	chr17:62133099-62210706	3	1	2.1384
SNORD104	NR_004380	chr17:62133099-62210706	3	1	1.0712
SNORA76	NR_002995	chr17:62133099-62210706	3	1	1.0818
ICAM2	NM_000873	chr17:62133099-62210706	3	1	0.0767
CCDC88C	NM_001080414	chr14:91812631-91885839,chr14:91782037-91802384	4,233	1	1.2425
FAM46C	NM_017709	chr1:118147672-118218918	5	1	2.3856
ST3GAL6	NM_006100	chr3:98448030-98511346	6	1	3.1691
RUNX2	NM_001024630	chr6:45381213-45445766,chr6:45506022-45530435	7,117	1	1.0923
SUPT3H	NM_003599	chr6:45162228-45171881,chr6:45381213-45445766	7,678	1	0.1624
ELF1	NM_001145353	chr13:41537963-41594703	8	1	0.507
WBP4	NM_007187	chr13:41628529-41637025,chr13:41537963-41594703	8,1033	1	0.3619
SUGT1P3	NR_003365	chr13:41537963-41594703	8	1	0.0691
UAP1	NM_003115	chr1:162529903-162584181	9	1	5.2665
DDR2	NM_006182	chr1:162594994-162605126,chr1:162529903-162584181	9,987	1	0.185
DENND2C	NM_198459	chr1:115210314-115260546	10	1	0.2241
AMPD1	NM_001172626	chr1:115210314-115260546	10	1	1.8816
NRAS	NM_002524	chr1:115210314-115260546,chr1:115291472-115301630	10,607	1	3.0667
CSDE1	NM_007158	chr1:115210314-115260546,chr1:115291472-115301630	10,607	1	1.2417
MAPKAPK2	NM_032960	chr1:206849029-206916787	11	1	1.2309
DYRK3	NM_001004023	chr1:206849029-206916787	11	1	0.1574
IL10	NM_000572	chr1:206849029-206916787,chr1:206975600-206992144,chr1:206954799-206966003	11,619,1368	1	0.3204
UTP3	NM_020368	chr4:71513338-71558576	12	1	0.9989
IGJ	NM_144646	chr4:71513338-71558576	12	1	3.9781
ENAM	NM_031889	chr4:71513338-71558576	12	1	0.3046
RUFY3	NM_001130709	chr4:71513338-71558576	12	1	0.2808
BTG2	NM_006763	chr1:203236322-203298469	13	1	3.7772
LOC730227	NR_034150	chr1:203236322-203298469	13	1	4.0499
CHIT1	NM_003465	chr1:203236322-203298469	13	1	0.059
FMOD	NM_002023	chr1:203236322-203298469	13	1	0.1218
BMP6	NM_001718	chr6:7878325-7921702	14	1	0.1496
MUTED-TXNDC5	NR_037616	chr6:7878325-7921702,chr6:7958385-7968037	14,679	1	1.7676
TXNDC5	NM_001145549	chr6:7878325-7921702,chr6:7958385-7968037	14,679	1	6.1727
CHST15	NM_015892	chr10:125812510-125868074	15	1	1.1686
CPEB4	NM_030627	chr5:173309853-173356880	17	1	1.0092
RAB37	NM_175738	chr17:72732198-72782200	19	1	0.7936
SLC9A3R1	NM_004252	chr17:72732198-72782200	19	1	2.6105
MIR3615	NR_037409	chr17:72732198-72782200	19	1	3.2946
TMEM104	NM_017728	chr17:72732198-72782200	19	1	0.2053
NAT9	NM_015654	chr17:72732198-72782200	19	1	0.6817
CD300LF	NM_139018	chr17:72732198-72782200	19	1	0.185
ACTN4	NM_004924	chr19:39137374-39186991	20	1	1.6203
EIF3K	NM_013234	chr19:39137374-39186991	20	1	0.4751
