GENE_ID	locusLine	bin_1_04_0EWQ_0229Kronos_MM1S-KB-1hr-2_H3K18Ac_hs-dm_i06.bam
NM_001113348	chr1(.):21538739-21677034	0.2766
NM_004091	chr1(.):23827921-23862713	0.8314
NM_173065	chr1(.):24475646-24518751	0.833
NM_001048199	chr1(.):28827454-28870708	0.4441
NR_002909	chr1(.):28827454-28842404	0.8772
NM_002379	chr1(.):31179123-31201432	0.2685
NR_034182	chr1(.):31186618-31204593	0.3005
NM_002600	chr1(.):66253855-66845262	0.1927
NM_001037341	chr1(.):66253192-66845262	0.1925
NM_001037340	chr1(.):66453389-66845262	0.2485
NM_153713	chr1(.):145472084-145504091	0.2101
NM_207168	chr1(.):150594521-150607098	0.6757
NM_020524	chr1(.):154911558-154933567	1.4728
NM_181359	chr1(.):154372668-154445188	0.6398
NM_002249	chr1(.):154674914-154847754	0.4887
NM_170782	chr1(.):154674914-154837338	0.5006
NM_005572	chr1(.):156079460-156112657	0.4646
NM_170708	chr1(.):156079460-156114878	0.4479
NM_012394	chr1(.):161065345-161092866	0.3227
NM_015149	chr1(.):183600207-183902666	0.306
NM_014827	chr1(.):203759750-203828256	0.1797
NM_001684	chr1(.):203590927-203718209	0.2417
NM_182663	chr1(.):206675878-206767616	0.4066
NM_001193338	chr1(.):207071630-207100235	0.7488
NM_005449	chr1(.):207071630-207100378	0.7458
NM_002221	chr1(.):226814390-226931876	0.7588
NM_004481	chr1(.):230197955-230422875	0.435
NM_014675	chr1(.):17243444-17304474	0.1179
NM_001397	chr1(.):21538739-21621982	0.3409
NM_001113347	chr1(.):21538739-21611183	0.0919
NM_001113349	chr1(.):21538739-21621766	0.3376
NM_017707	chr1(.):23750055-23815750	0.0934
NM_002167	chr1(.):23879408-23891322	0.4771
NM_021258	chr1(.):24441260-24474611	0.1063
NR_027087	chr1(.):24521729-24543180	0.4597
NM_015627	chr1(.):25865075-25900377	0.7808
NM_006015	chr1(.):27017521-27113601	0.3595
NM_014280	chr1(.):28521789-28564542	0.179
NM_016311	chr1(.):28557610-28569611	0.4848
NM_001164721	chr1(.):28468676-28525447	0.1441
NM_001164722	chr1(.):28468676-28525437	0.1441
NM_031459	chr1(.):28581005-28614002	0.1367
NR_003109	chr1(.):28874528-28910057	0.4733
NM_001269	chr1(.):28839744-28870708	0.2114
NM_006762	chr1(.):31200314-31235683	1.4326
NM_005202	chr1(.):36555843-36570850	0.0895
NM_018067	chr1(.):36616802-36651441	0.4052
NM_014408	chr1(.):36597172-36620067	0.428
NM_001037339	chr1(.):66792792-66845262	0.5343
NM_004974	chr1(.):111140775-111153345	0.0747
