GENE_ID	locusLine	bin_1_07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14.bam
1_MACS_peak_1_lociStitched	chr1(.):28433-30436	2.0788
1_MACS_peak_2_lociStitched	chr1(.):441763-442680	0.5535
1_MACS_peak_3_lociStitched	chr1(.):540196-541323	0.7873
1_MACS_peak_4_lociStitched	chr1(.):713151-715208	1.1769
1_MACS_peak_5_lociStitched	chr1(.):761927-763819	1.2214
1_MACS_peak_6_lociStitched	chr1(.):793243-794521	0.4791
1_MACS_peak_7_lociStitched	chr1(.):879159-880782	0.6577
3_MACS_peak_8_lociStitched	chr1(.):893916-902712	0.4133
1_MACS_peak_11_lociStitched	chr1(.):947998-949710	1.1286
1_MACS_peak_12_lociStitched	chr1(.):998320-1000298	1.0918
1_MACS_peak_13_lociStitched	chr1(.):1051029-1051944	0.628
1_MACS_peak_14_lociStitched	chr1(.):1071826-1072826	0.5239
1_MACS_peak_15_lociStitched	chr1(.):1079165-1080353	0.4818
1_MACS_peak_16_lociStitched	chr1(.):1092816-1094237	1.5661
1_MACS_peak_17_lociStitched	chr1(.):1166207-1167551	1.5344
1_MACS_peak_18_lociStitched	chr1(.):1208286-1210316	1.1075
1_MACS_peak_19_lociStitched	chr1(.):1242427-1245065	1.14
1_MACS_peak_20_lociStitched	chr1(.):1259450-1261493	1.3049
2_MACS_peak_21_lociStitched	chr1(.):1283659-1285782	0.8217
1_MACS_peak_23_lociStitched	chr1(.):1309759-1311752	1.0755
2_MACS_peak_24_lociStitched	chr1(.):1333940-1343447	0.4973
1_MACS_peak_26_lociStitched	chr1(.):1396617-1398827	1.2623
1_MACS_peak_27_lociStitched	chr1(.):1406048-1408187	0.587
2_MACS_peak_28_lociStitched	chr1(.):1439748-1448242	0.7025
1_MACS_peak_30_lociStitched	chr1(.):1509110-1511131	1.1897
1_MACS_peak_31_lociStitched	chr1(.):1549964-1552277	1.9646
1_MACS_peak_32_lociStitched	chr1(.):1565600-1566446	0.4425
1_MACS_peak_33_lociStitched	chr1(.):1589612-1591655	1.55
