REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	23_0F29_0229Kronos_MM1S-KB-1hr-1_H3K27me3_hs-dm_i05.bam	37_0EXP_0229Kronos_MM1S-KB-1hr-1_Input_hs_i80.bam
26_MACS_peak_13202_lociStitched	chr17	77078190	77297617	26	213357	328262.792	19616.7738
18_MACS_peak_13475_lociStitched	chr17	79316467	79474262	18	153825	265758.339	14438.2425
26_MACS_peak_13235_lociStitched	chr17	77344718	77493399	26	141081	183442.6178	14005.7502
20_MACS_peak_1357_lociStitched	chr1	10755015	10903301	20	144626	214466.04179999998	13568.169
15_MACS_peak_13843_lociStitched	chr19	1668836	1813165	15	139952	299424.94340000005	21606.0513
24_MACS_peak_12359_lociStitched	chr17	47938377	48078691	24	136057	208282.1016	15167.9434
15_MACS_peak_9370_lociStitched	chr16	1204113	1342062	15	135412	245825.11800000002	11946.383399999999
21_MACS_peak_14085_lociStitched	chr19	3773047	3910688	21	133759	207135.9409	18595.2991
32_MACS_peak_121_lociStitched	chr1	1914569	2044272	32	120480	150792.7078	11063.6659
33_MACS_peak_10921_lociStitched	chr17	724900	854477	33	121832	142042.30740000002	11843.3378
16_MACS_peak_28528_lociStitched	chr9	132406572	132520085	16	110687	153299.3065	11374.0026
30_MACS_peak_5388_lociStitched	chr11	1587788	1700995	30	104840	150203.0476	12486.7321
10_MACS_peak_13786_lociStitched	chr19	681112	794294	10	111072	209499.88199999998	15743.6162
17_MACS_peak_19756_lociStitched	chr20	61313047	61424092	17	105675	181203.231	11459.844
25_MACS_peak_332_lociStitched	chr1	2974009	3083990	25	104477	129678.5971	7302.7384
15_MACS_peak_14045_lociStitched	chr19	3327187	3434806	15	104147	147384.2205	13333.9941
5_MACS_peak_13458_lociStitched	chr17	78991634	79095259	5	102346	215788.69999999998	10310.6875
13_MACS_peak_20152_lociStitched	chr21	44049691	44146484	13	92409	151180.9867	13589.7372
12_MACS_peak_28765_lociStitched	chr9	135021003	135116571	12	93647	134483.2896	9757.4928
13_MACS_peak_5507_lociStitched	chr11	2148625	2241889	13	90596	138720.8736	7367.856
22_MACS_peak_7311_lociStitched	chr12	3319850	3409034	22	82704	96283.04639999999	8436.8064
7_MACS_peak_19740_lociStitched	chr20	60984630	61072552	7	86927	172142.4838	8229.4992
5_MACS_peak_20400_lociStitched	chr21	46709100	46794456	5	84243	167972.0724	11693.772
10_MACS_peak_22010_lociStitched	chr22	46289839	46374830	10	83638	129934.2408	7130.744900000001
4_MACS_peak_422_lociStitched	chr1	3404590	3488387	4	83315	146091.6898	6619.963
9_MACS_peak_20165_lociStitched	chr21	44147863	44231074	9	81513	144787.13999999998	11200.2006
13_MACS_peak_28694_lociStitched	chr9	133834660	133917317	13	79452	118149.9158	8249.1686
18_MACS_peak_20347_lociStitched	chr21	46404154	46485827	18	77935	146733.7118	11001.353099999998
1_MACS_peak_5487_lociStitched	chr11	1981897	2063462	1	81566	170005.9295	7406.102000000001
8_MACS_peak_14138_lociStitched	chr19	4544607	4624094	8	77808	143195.8305	11970.7422
