GENE_ID	locusLine	bin_1_02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04.bam
NM_030806	chr1(.):184351149-184603155	0.2415
NM_002867	chr1(.):52368627-52461436	0.2933
NM_001006605	chr1(.):93302720-93432079	0.1797
NM_024408	chr1(.):120449175-120617276	0.1533
NM_201569	chr1(.):183436505-183528328	0.35
NM_018664	chr1(.):212854758-212878327	0.1854
NM_004091	chr1(.):23827921-23862713	0.9856
NM_020448	chr1(.):24737244-24804473	0.1203
NM_173065	chr1(.):24475646-24518751	0.636
NM_020379	chr1(.):25938958-26116258	0.2583
NM_002379	chr1(.):31179123-31201432	0.353
NR_034182	chr1(.):31186618-31204593	0.4174
NM_153341	chr1(.):33397049-33435286	0.1384
NM_001127714	chr1(.):41970683-42389496	0.3415
NM_174964	chr1(.):44168217-44401831	0.2104
NM_148906	chr1(.):52077545-52259891	0.1403
NM_001981	chr1(.):51814934-51989995	0.0948
NM_002600	chr1(.):66253855-66845262	0.2165
NM_001037341	chr1(.):66253192-66845262	0.2163
NM_001037340	chr1(.):66453389-66845262	0.2886
NM_018841	chr1(.):68162148-68304155	0.1978
NR_034178	chr1(.):143910747-144099477	0.3908
NM_203458	chr1(.):145204110-145290912	0.4814
NM_004892	chr1(.):145091406-145121922	0.2457
NM_153713	chr1(.):145472084-145504091	0.2748
NM_207168	chr1(.):150594521-150607098	0.923
NM_005060	chr1(.):151773546-151809348	0.4541
NM_001001523	chr1(.):151773546-151803553	0.4209
NM_020524	chr1(.):154911558-154933567	2.8665
NM_181359	chr1(.):154372668-154445188	0.8299
NM_002249	chr1(.):154674914-154847754	0.6349
NM_170782	chr1(.):154674914-154837338	0.6414
NM_005572	chr1(.):156079460-156112657	0.5698
NM_170708	chr1(.):156079460-156114878	0.553
NM_005973	chr1(.):156732273-156775609	0.2584
NM_005531	chr1(.):158974681-159029945	0.35
NM_001231	chr1(.):160155284-160176676	0.8712
NM_012394	chr1(.):161065345-161092866	0.3983
NM_007348	chr1(.):161731083-161933852	0.2054
NM_015149	chr1(.):183600207-183902666	0.4449
NM_025191	chr1(.):184654624-184729041	0.4291
NM_024420	chr1(.):186793031-186963113	0.1754
NM_144977	chr1(.):197516384-197749623	0.1974
NM_001195215	chr1(.):197468878-197749623	0.1799
NM_177402	chr1(.):202554724-202684551	0.2649
NM_014827	chr1(.):203759750-203828256	0.2229
NM_015375	chr1(.):205106630-205185727	0.1603
NM_182663	chr1(.):206675878-206767616	0.7415
NM_001193338	chr1(.):207071630-207100235	1.0091
NM_005449	chr1(.):207071630-207100378	1.005
NM_172362	chr1(.):210846656-211312457	0.1108
NM_001143962	chr1(.):223709971-223858436	0.0603
NM_002221	chr1(.):226814390-226931876	0.7151
NM_004481	chr1(.):230197955-230422875	0.5523
NM_014675	chr1(.):17243444-17304474	0.1099
NM_017707	chr1(.):23750055-23815750	0.0728
NM_002167	chr1(.):23879408-23891322	0.6207
NR_027042	chr1(.):23948823-23972056	0.2959
NM_021258	chr1(.):24441260-24474611	0.1001
NR_027087	chr1(.):24521729-24543180	0.6393
NM_001199013	chr1(.):24678488-24745262	0.3193
NM_001199012	chr1(.):24678488-24746587	0.3144
NM_015627	chr1(.):25865075-25900377	0.7534
NM_017837	chr1(.):27109485-27129887	0.493
NM_006015	chr1(.):27017521-27113601	0.5186
NM_018066	chr1(.):27200872-27221869	0.1687
NM_032283	chr1(.):27148200-27187211	0.358
NM_006142	chr1(.):27184632-27195947	0.7705
NM_006762	chr1(.):31200314-31235683	1.6036
NM_001625	chr1(.):33471825-33507512	0.1411
NM_005202	chr1(.):36555843-36570850	0.0982
NM_018067	chr1(.):36616802-36651441	0.5085
NM_014408	chr1(.):36597172-36620067	0.6478
NM_022756	chr1(.):37953175-37985364	0.1125
NM_025079	chr1(.):37935118-37954978	0.5966
NR_002983	chr1(.):40028045-40038182	1.1514
NR_003929	chr1(.):39982951-40030370	0.2784
NM_014571	chr1(.):40084102-40110348	0.1208
NM_001135653	chr1(.):40021484-40047521	0.7754
NM_001198979	chr1(.):40854016-40893998	0.3039
NM_001198978	chr1(.):40835304-40893998	0.7393
NM_001198980	chr1(.):40857471-40893998	0.1505
NM_022733	chr1(.):40834377-40893998	0.7283
NM_001037339	chr1(.):66792792-66845262	0.6968
NM_001001933	chr1(.):75589118-75632218	0.5173
NM_006769	chr1(.):87789150-87819607	0.6164
NM_004974	chr1(.):111140775-111153345	0.0524
NM_002232	chr1(.):111209309-111222655	0.5828
NM_017709	chr1(.):118143603-118176011	2.0706
NM_207418	chr1(.):143891451-143918143	0.627
NM_032305	chr1(.):145451235-145475387	1.3219
NM_202004	chr1(.):145408190-145422545	0.1167
NM_006472	chr1(.):145433461-145447628	1.393
NM_001039888	chr1(.):145465507-145480647	0.3115
NM_005105	chr1(.):145502637-145516444	1.1731
NM_001161334	chr1(.):149749244-149788928	0.3619
NM_001034077	chr1(.):149799220-149809616	1.1225
NM_001005464	chr1(.):149807258-149817765	2.1154
NM_001040874	chr1(.):149808784-149819318	2.1047
NM_001123375	chr1(.):149779779-149790236	0.964
NM_000566	chr1(.):149749249-149769074	0.1817
NM_005850	chr1(.):149890210-149904702	0.7457
NM_016074	chr1(.):149866154-149877348	0.3501
NM_003528	chr1(.):149851009-149863232	2.4459
NM_003517	chr1(.):149853524-149863961	2.8292
NM_175065	chr1(.):149854018-149864466	2.8113
NM_014849	chr1(.):149869871-149894434	0.2267
NM_181873	chr1(.):149895542-149913266	1.0269
NM_001145862	chr1(.):149895542-149913791	1.0007
NR_036461	chr1(.):149816758-149827340	2.1294
NM_001040874	chr1(.):149817627-149828161	2.1451
NM_001005464	chr1(.):149819180-149829687	2.1598
NM_001034077	chr1(.):149827329-149837725	1.1665
NM_016274	chr1(.):150117169-150136825	1.2117
NM_019032	chr1(.):150516897-150538412	1.5491
NM_207046	chr1(.):150589598-150606609	0.7735
NR_036211	chr1(.):150519404-150529490	0.1485
NM_001197320	chr1(.):150542026-150557214	0.8963
NM_001083964	chr1(.):151740954-151768010	0.3496
NM_001004432	chr1(.):151767764-151782882	0.1782
NM_001136003	chr1(.):151805338-151818033	0.8278
NM_182578	chr1(.):151814576-151831173	0.2381
NR_024237	chr1(.):151805944-151821641	0.7584
NM_005620	chr1(.):151999981-152014511	1.1378
NM_002966	chr1(.):151950385-151971714	0.2063
NM_001008536	chr1(.):152051619-152066540	0.0801
NM_024330	chr1(.):153742767-153757633	0.5614
NM_006556	chr1(.):154892207-154914484	1.467
NM_001130041	chr1(.):154929773-154951959	1.2706
NM_001130040	chr1(.):154929773-154948223	1.3772
NM_201398	chr1(.):154950769-154970587	0.4038
NM_015872	chr1(.):154970111-154995999	1.249
NM_207196	chr1(.):155018761-155040252	0.4022
NM_001184892	chr1(.):154950769-154966488	0.4048
NM_018655	chr1(.):154961061-154971791	0.368
NM_001143687	chr1(.):155001281-155028406	0.4126
NR_024163	chr1(.):154942117-154956725	1.491
NM_144622	chr1(.):154986002-155011257	0.46
NM_138300	chr1(.):154924501-154939258	2.45
NR_036212	chr1(.):154943168-154953259	1.6929
NM_006912	chr1(.):155862600-155886177	0.1677
NM_001162384	chr1(.):155911629-155953336	1.2878
NM_181885	chr1(.):155906479-155917625	1.8893
NM_004723	chr1(.):155911629-155952966	1.2843
NM_014949	chr1(.):155877835-155909188	0.3903
NR_002974	chr1(.):155884699-155894833	0.1143
NR_003005	chr1(.):155890748-155900877	0.146
NM_020131	chr1(.):156000091-156028516	0.2894
NM_001093725	chr1(.):156036803-156056789	0.1468
NM_020387	chr1(.):156025965-156045295	0.1385
NM_001145264	chr1(.):156019516-156033301	0.4397
NM_003145	chr1(.):155973838-155995758	0.4598
NM_014655	chr1(.):156158729-156187587	0.5746
NM_007221	chr1(.):156177783-156214833	0.7754
NM_022367	chr1(.):156118321-156152542	1.9942
NM_001193302	chr1(.):156118368-156152542	1.9951
NM_001193301	chr1(.):156114734-156152542	1.9652
NM_005920	chr1(.):156428518-156475529	1.5027
NM_004494	chr1(.):156706898-156726543	1.1161
NM_001126051	chr1(.):156706898-156727024	1.0904
NM_001126050	chr1(.):156706898-156727240	1.0794
NM_030980	chr1(.):156687412-156702705	0.4764
NM_001878	chr1(.):156664407-156680375	0.1487
NM_001142560	chr1(.):156693262-156711752	0.7278
NM_145729	chr1(.):156702093-156715923	0.5762
NR_001560	chr1(.):157093153-157103463	0.1047
NM_005240	chr1(.):157097975-157113177	0.8372
NM_001145312	chr1(.):157089458-157113383	0.5627
NM_001001734	chr1(.):160142200-160161767	0.1278
NM_144699	chr1(.):160116351-160161767	0.1092
NM_003768	chr1(.):160170124-160190162	0.7357
NM_001778	chr1(.):160643535-160686585	0.9351
NM_021181	chr1(.):160704076-160729601	0.6821
NM_152366	chr1(.):161063180-161075138	0.3585
NM_030916	chr1(.):161035780-161064385	0.7213
NM_007122	chr1(.):161004040-161020757	1.599
NM_001113205	chr1(.):161002421-161013774	0.3636
NR_033385	chr1(.):161063150-161075138	0.3588
NM_181720	chr1(.):161011731-161044760	1.4167
NM_016946	chr1(.):160960000-160996133	0.4407
NM_001077470	chr1(.):161194455-161213000	0.4573
NM_001039711	chr1(.):161085768-161107478	0.6348
NM_016406	chr1(.):161118533-161133646	1.117
NM_004550	chr1(.):161164104-161189184	0.8013
NM_000309	chr1(.):161131180-161146010	0.7326
NM_001643	chr1(.):161187082-161198418	1.1637
NM_001185094	chr1(.):161082907-161095984	0.4924
NM_003779	chr1(.):161136100-161152314	1.3565
NM_012475	chr1(.):161124253-161140516	0.7595
NM_001039712	chr1(.):161085768-161107256	0.6394
NM_005600	chr1(.):161082861-161095984	0.4908
NM_001185093	chr1(.):161082906-161095984	0.4924
NM_032174	chr1(.):161190832-161205407	0.6302
NM_001166159	chr1(.):161166936-161189184	0.8314
NM_005099	chr1(.):161154537-161173845	1.4279
NM_004106	chr1(.):161180086-161194038	0.7739
NR_030284	chr1(.):168339761-168349859	0.1153
NM_181093	chr1(.):169816803-169868076	0.3466
NM_002021	chr1(.):171212662-171260113	0.5051
NR_033186	chr1(.):178506930-178523024	0.2677
NM_022371	chr1(.):179046111-179070129	1.3308
NM_016545	chr1(.):181052637-181064979	0.6777
