GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
ZBTB38	NM_001080412	chr3:141091641-141132600	1	1	0.2337
INPP4A	NM_004027	chr2:99062038-99107614,chr2:99118026-99122525	2,622	1	0.22789999999999996
MUTED-TXNDC5	NR_037616	chr6:7893097-7919053,chr6:7960131-7964911	3,320	1	0.19199999999999998
TXNDC5	NM_001145549	chr6:7893097-7919053,chr6:7960131-7964911	3,320	1	0.3781
DUSP22	NM_020185	chr6:290185-329889	4	1	0.28759999999999997
CCL4L1	NM_001001435	chr17:34611601-34641235,chr17:34516150-34539744	5,6	1	0.41950000000000004
CCL3L1	NM_021006	chr17:34611601-34641235,chr17:34516150-34539744	5,6	1	0.8008
CCL3L3	NM_001001437	chr17:34611601-34641235,chr17:34516150-34539744	5,6	1	0.8016
TBC1D3C	NM_001001418	chr17:34611601-34641235	5	1	0.0
TBC1D3B	NM_001001417	chr17:34516150-34539744	6	1	0.0
BCL2L1	NM_001191	chr20:30279236-30312154	7	1	0.2679
TPX2	NM_012112	chr20:30279236-30312154	7	1	0.006599999999999995
CCL8	NM_005623	chr17:32690561-32719172	8	1	0.0034000000000000002
CCL13	NM_005408	chr17:32690561-32719172	8	1	0.019199999999999995
CCL1	NM_002981	chr17:32690561-32719172	8	1	0.36
FNDC3B	NM_001135095	chr3:171802078-171826714	9	1	0.0592
NEAT1	NR_028272	chr11:65183615-65199695,chr11:65238958-65245908	10,552	1	0.6755
FRMD8	NM_031904	chr11:65183615-65199695	10	1	0.05830000000000002
MIR612	NR_030343	chr11:65183615-65199695,chr11:65238958-65245908	10,552	1	0.1321
SLC25A45	NM_001077241	chr11:65183615-65199695	10	1	0.05360000000000001
ZNF740	NM_001004304	chr12:53582336-53601450	11	1	0.15580000000000002
ITGB7	NM_000889	chr12:53582336-53601450	11	1	0.44300000000000006
MFSD5	NM_001170790	chr12:53582336-53601450	11	1	0.011799999999999991
CSAD	NM_015989	chr12:53582336-53601450	11	1	0.01730000000000001
RARG	NM_001042728	chr12:53582336-53601450	11	1	0.10979999999999998
REPIN1	NM_013400	chr7:150063791-150084406,chr7:150017418-150021488,chr7:150101257-150104857	12,488,684	1	0.38969999999999994
ZNF775	NM_173680	chr7:150063791-150084406,chr7:150101257-150104857	12,684	1	0.186
LRRC61	NM_001142928	chr7:150017418-150021488,chr7:150063791-150084406	12,488	1	0.09090000000000001
C7orf29	NM_138434	chr7:150063791-150084406,chr7:150017418-150021488	12,488	1	0.0
LOC728743	NR_027237	chr7:150101257-150104857,chr7:150063791-150084406	12,684	1	0.26330000000000003
LOC285972	NR_034033	chr7:150063791-150084406,chr7:150101257-150104857	12,684	1	0.1059
ACTR3C	NM_001164458	chr7:150017418-150021488,chr7:150063791-150084406	12,488	1	0.03190000000000001
RARRES2	NM_002889	chr7:150063791-150084406,chr7:150017418-150021488	12,488	1	0.0
VOPP1	NM_030796	chr7:55616432-55642471,chr7:55570419-55585535,chr7:55598964-55604286	13,181,232	1	0.2693
IZUMO4	NM_001039846	chr19:2082432-2097945	14	1	0.1695
MOBKL2A	NM_130807	chr19:2082432-2097945	14	1	0.3232
MKNK2	NM_017572	chr19:2082432-2097945	14	1	0.08829999999999999
RHOH	NM_004310	chr4:40194019-40208049	15	1	0.1518
ADM	NM_001124	chr11:10324200-10345172	16	1	0.5035000000000001
SBF2	NM_030962	chr11:10324200-10345172	16	1	0.0
BZRAP1	NM_004758	chr17:56405433-56422685	17	1	0.07750000000000001
MIR142	NR_029683	chr17:56405433-56422685	17	1	0.2434
SUPT4H1	NM_003168	chr17:56405433-56422685	17	1	0.2275
MPO	NM_000250	chr17:56405433-56422685	17	1	0.0
MALAT1	NR_002819	chr11:65263925-65278868,chr11:65238958-65245908	18,552	1	0.5595000000000001
