GENE_ID	locusLine	bin_1_43_0EXV_0229Kronos_MM1S-KB-24hr-1_Input_hs_i87.bam
NM_001990	chr1(.):28295818-28420131	0.1187
NM_001006605	chr1(.):93302720-93432079	0.0749
NM_001113228	chr1(.):107677628-108029475	0.054
NM_014917	chr1(.):107677744-108029475	0.054
NM_001010935	chr1(.):112157404-112261101	0.0693
NM_201569	chr1(.):183436505-183528328	0.1866
NM_003820	chr1(.):2482804-2500267	0.0986
NR_026567	chr1(.):17012712-17051652	0.2146
NM_001113348	chr1(.):21538739-21677034	0.1105
NM_004091	chr1(.):23827921-23862713	0.1469
NM_020448	chr1(.):24737244-24804473	0.1227
NM_173065	chr1(.):24475646-24518751	0.1653
NM_002379	chr1(.):31179123-31201432	0.127
NR_034182	chr1(.):31186618-31204593	0.1276
NM_181809	chr1(.):39952317-40000541	0.1398
NM_174964	chr1(.):44168217-44401831	0.1116
NM_002600	chr1(.):66253855-66845262	0.1057
NM_001037341	chr1(.):66253192-66845262	0.1058
NM_001037340	chr1(.):66453389-66845262	0.1114
NM_001081976	chr1(.):112020969-112111597	0.0593
NM_198459	chr1(.):115122195-115217732	0.0561
NM_203458	chr1(.):145204110-145290912	0.4038
NM_001195260	chr1(.):144946760-145002111	0.3004
NM_004892	chr1(.):145091406-145121922	0.3571
NM_153713	chr1(.):145472084-145504091	0.1911
NM_022359	chr1(.):144946760-145081186	0.3308
NM_001002812	chr1(.):144885590-145000022	0.2733
NM_014644	chr1(.):144846426-145000022	0.2588
NM_001195261	chr1(.):144946760-145000082	0.2963
NM_001198834	chr1(.):144846423-145000033	0.2588
NM_001002810	chr1(.):144946760-145000033	0.2962
NM_001198832	chr1(.):144846423-145044992	0.2839
NM_207168	chr1(.):150594521-150607098	0.2413
NM_015203	chr1(.):150331989-150454041	0.1634
NM_020524	chr1(.):154911558-154933567	0.2714
NM_181359	chr1(.):154372668-154445188	0.2022
NM_002249	chr1(.):154674914-154847754	0.1791
NM_170782	chr1(.):154674914-154837338	0.1784
NM_005572	chr1(.):156079460-156112657	0.1867
NM_170708	chr1(.):156079460-156114878	0.1871
NM_005973	chr1(.):156732273-156775609	0.1789
NM_012394	chr1(.):161065345-161092866	0.1953
NM_007348	chr1(.):161731083-161933852	0.1715
NM_014412	chr1(.):174963891-174986163	0.2263
NM_014857	chr1(.):174123633-174932327	0.1446
NM_001035230	chr1(.):174839683-174932327	0.1458
NM_001007214	chr1(.):174963570-174986163	0.2236
NM_145034	chr1(.):179804101-179851941	0.1832
NM_015149	chr1(.):183600207-183902666	0.1781
NM_144977	chr1(.):197516384-197749623	0.1694
NM_001195215	chr1(.):197468878-197749623	0.1678
NM_080921	chr1(.):198603136-198731545	0.1591
NM_014827	chr1(.):203759750-203828256	0.1561
NM_182663	chr1(.):206675878-206767616	0.1876
NM_001193338	chr1(.):207071630-207100235	0.2207
NM_005449	chr1(.):207071630-207100378	0.2203
NM_006147	chr1(.):209956261-209984479	0.1763
NM_002221	chr1(.):226814390-226931876	0.1906
NM_004481	chr1(.):230197955-230422875	0.1734
NM_014765	chr1(.):235267657-235297256	0.1821
NM_032328	chr1(.):245128170-245256148	0.1447
NR_026588	chr1(.):245128630-245256148	0.1447
NR_026587	chr1(.):245128630-245293530	0.1433
NR_026586	chr1(.):245128283-245293530	0.1433
NM_001010926	chr1(.):2455183-2466684	0.1011
NR_026927	chr1(.):2476358-2489284	0.1662
NM_018216	chr1(.):2434974-2463035	0.0724
NM_001195741	chr1(.):2513188-2527908	0.0909
NR_036638	chr1(.):2512898-2527908	0.0899
NR_026752	chr1(.):16939750-16962401	0.4759
NR_027504	chr1(.):16967068-16981915	0.4137
NR_002729	chr1(.):17076400-17095975	0.2572
NM_014675	chr1(.):17243444-17304474	0.1195
NM_001397	chr1(.):21538739-21621982	0.1139
NM_001113347	chr1(.):21538739-21611183	0.1035
NM_001113349	chr1(.):21538739-21621766	0.1138
NM_017707	chr1(.):23750055-23815750	0.098
NM_002167	chr1(.):23879408-23891322	0.1867
NR_027042	chr1(.):23948823-23972056	0.1377
NM_021258	chr1(.):24441260-24474611	0.0956
NR_027087	chr1(.):24521729-24543180	0.1629
NM_198174	chr1(.):24640811-24695970	0.1317
NM_198173	chr1(.):24640811-24686808	0.1346
NM_021180	chr1(.):24644529-24686808	0.1355
NM_001195010	chr1(.):24641055-24686808	0.1353
NM_001199013	chr1(.):24678488-24745262	0.1356
NM_001199012	chr1(.):24678488-24746587	0.1359
NM_017837	chr1(.):27109485-27129887	0.1502
NM_006015	chr1(.):27017521-27113601	0.1472
NM_032283	chr1(.):27148200-27187211	0.1281
NM_014280	chr1(.):28521789-28564542	0.1184
NM_016311	chr1(.):28557610-28569611	0.1495
NM_001164721	chr1(.):28468676-28525447	0.1091
NM_001164722	chr1(.):28468676-28525437	0.1091
NM_031459	chr1(.):28581005-28614002	0.1095
NM_006762	chr1(.):31200314-31235683	0.1991
NM_005202	chr1(.):36555843-36570850	0.1121
NM_018067	chr1(.):36616802-36651441	0.1179
NM_014408	chr1(.):36597172-36620067	0.1474
NM_022756	chr1(.):37953175-37985364	0.1237
NM_025079	chr1(.):37935118-37954978	0.1666
NR_003929	chr1(.):39982951-40030370	0.1293
NM_001198979	chr1(.):40854016-40893998	0.1302
NM_001198978	chr1(.):40835304-40893998	0.1504
NM_001198980	chr1(.):40857471-40893998	0.1238
NM_022733	chr1(.):40834377-40893998	0.1491
NM_006004	chr1(.):46764379-46787447	0.1265
NM_006369	chr1(.):46739071-46774038	0.1299
NM_199044	chr1(.):46801389-46835690	0.1215
NM_015696	chr1(.):53063042-53079723	0.1261
NM_001042693	chr1(.):53094065-53127737	0.1155
NM_001037339	chr1(.):66792792-66845262	0.1552
NM_001001933	chr1(.):75589118-75632218	0.1259
NM_006769	chr1(.):87789150-87819607	0.151
NM_004974	chr1(.):111140775-111153345	0.0476
NM_002232	chr1(.):111209309-111222655	0.092
NR_034126	chr1(.):112136628-112155940	0.0862
NM_007158	chr1(.):115254536-115305624	0.0686
NM_002524	chr1(.):115242077-115264515	0.0733
NM_001172626	chr1(.):115210719-115243239	0.0727
NM_001130523	chr1(.):115254537-115305671	0.0686
NM_017709	chr1(.):118143603-118176011	0.1315
NM_001123068	chr1(.):143762143-143772881	0.1507
NR_027469	chr1(.):143713512-143749587	0.1821
NR_027468	chr1(.):143713512-143749457	0.182
NM_001002811	chr1(.):144885590-144937032	0.2615
NM_032305	chr1(.):145451235-145475387	0.2657
NM_202004	chr1(.):145408190-145422545	0.1553
NM_006472	chr1(.):145433461-145447628	0.2824
NM_001039888	chr1(.):145465507-145480647	0.2526
NM_005105	chr1(.):145502637-145516444	0.2353
NR_027468	chr1(.):147901021-147936980	0.1471
NM_001161334	chr1(.):149749244-149788928	0.1564
NM_001034077	chr1(.):149799220-149809616	0.2411
NM_001005464	chr1(.):149807258-149817765	0.2587
NM_001040874	chr1(.):149808784-149819318	0.2597
NM_001123375	chr1(.):149779779-149790236	0.195
NM_000566	chr1(.):149749249-149769074	0.1419
NM_005850	chr1(.):149890210-149904702	0.2272
NM_016074	chr1(.):149866154-149877348	0.1911
NM_003528	chr1(.):149851009-149863232	0.3147
NM_003517	chr1(.):149853524-149863961	0.3517
NM_175065	chr1(.):149854018-149864466	0.3462
NM_014849	chr1(.):149869871-149894434	0.1576
NM_181873	chr1(.):149895542-149913266	0.2315
NM_001145862	chr1(.):149895542-149913791	0.2281
NR_036461	chr1(.):149816758-149827340	0.2558
NM_001040874	chr1(.):149817627-149828161	0.2595
NM_001005464	chr1(.):149819180-149829687	0.2515
NM_001034077	chr1(.):149827329-149837725	0.1985
NM_016274	chr1(.):150117169-150136825	0.1803
NM_004698	chr1(.):150288927-150330704	0.1376
NM_019032	chr1(.):150516897-150538412	0.24
NM_207046	chr1(.):150589598-150606609	0.2334
NR_036211	chr1(.):150519404-150529490	0.1541
NM_001197320	chr1(.):150542026-150557214	0.2501
NM_005620	chr1(.):151999981-152014511	0.2562
NM_002966	chr1(.):151950385-151971714	0.1886
NM_001008536	chr1(.):152051619-152066540	0.1375
NM_020452	chr1(.):154295275-154328780	0.2112
NM_001005855	chr1(.):154293035-154315322	0.2141
NM_080429	chr1(.):154288591-154302801	0.237
NM_006556	chr1(.):154892207-154914484	0.2044
NM_001130041	chr1(.):154929773-154951959	0.2535
NM_001130040	chr1(.):154929773-154948223	0.2661
NM_201398	chr1(.):154950769-154970587	0.1767
NM_015872	chr1(.):154970111-154995999	0.2038
NM_207196	chr1(.):155018761-155040252	0.2127
NM_001184892	chr1(.):154950769-154966488	0.1762
NM_018655	chr1(.):154961061-154971791	0.1685
NM_001143687	chr1(.):155001281-155028406	0.1872
NR_024163	chr1(.):154942117-154956725	0.2816
NM_144622	chr1(.):154986002-155011257	0.1681
NM_138300	chr1(.):154924501-154939258	0.2905
