#10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19_ROSE/10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X10_0EWW_0229Kronos_MM1S.KB.24hr.2_H3K18Ac_hs.dm_i19.bam
#Using cutoff of 22673.2851 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X10_0EWW_0229Kronos_MM1S.KB.24hr.2_H3K18Ac_hs.dm_i19.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	isStretch
8_MACS_peak_13795_lociStitched	chr2	37525621	37625069	8	82223	382039.4368	21540.4368	1	1
7_MACS_peak_23335_lociStitched	chr6	108878187	108959062	7	74809	155603.5	14088.425	2	1
11_MACS_peak_9592_lociStitched	chr16	11754576	11843345	11	69657	252112.8369	17798.1845	3	1
8_MACS_peak_18688_lociStitched	chr3	141078676	141160679	8	67908	424611.534	19246.1041	4	1
5_MACS_peak_1354_lociStitched	chr1	118141760	118219457	5	67011	245219.5017	10193.8464	5	1
8_MACS_peak_8167_lociStitched	chr14	91812950	91886136	8	61930	195201.6992	8775.0014	6	1
5_MACS_peak_2252_lociStitched	chr1	203236298	203308648	5	59832	464146.955	21676.06	7	1
7_MACS_peak_15351_lociStitched	chr2	204513797	204587796	7	54592	137201.5459	13305.0202	8	1
5_MACS_peak_16960_lociStitched	chr22	23188726	23249117	5	53796	243031.5013	9414.9569	9	1
7_MACS_peak_11212_lociStitched	chr17	46506224	46571645	7	52551	156199.1796	11069.2332	10	1
9_MACS_peak_16033_lociStitched	chr20	32398793	32474510	9	52084	198151.389	14499.8055	11	1
3_MACS_peak_14474_lociStitched	chr2	99054655	99108655	3	49835	216091.8	12506.4	12	1
5_MACS_peak_23662_lociStitched	chr6	138244144	138299666	5	48964	134740.7896	10005.0644	13	1
3_MACS_peak_10925_lociStitched	chr17	34596839	34645474	3	46419	237158.8505	12572.1475	14	1
7_MACS_peak_10661_lociStitched	chr17	16846732	16895754	7	42635	192509.394	9789.6934	15	1
5_MACS_peak_14605_lociStitched	chr2	112186226	112242293	5	42404	95835.3231	9178.1679	16	1
1_MACS_peak_10877_lociStitched	chr17	32688272	32729903	1	41632	286200.6357	9633.4134	17	1
4_MACS_peak_12112_lociStitched	chr18	46439099	46483178	4	40750	90031.3575	8480.7996	18	1
7_MACS_peak_22961_lociStitched	chr6	52392472	52443046	7	40346	99150.327	9872.0448	19	1
4_MACS_peak_18626_lociStitched	chr3	133177773	133227080	4	40233	186498.7968	9328.8844	20	1
6_MACS_peak_21658_lociStitched	chr5	131789292	131842653	6	40179	151507.8873	11024.3826	21	1
3_MACS_peak_15984_lociStitched	chr20	30271601	30312241	3	40109	148067.776	9339.072	22	1
5_MACS_peak_17895_lociStitched	chr3	46317415	46365252	5	39769	117382.4306	8505.4186	23	1
4_MACS_peak_22192_lociStitched	chr6	289904	338121	4	38432	163320.6224	16080.3695	24	1
7_MACS_peak_10147_lociStitched	chr16	68269565	68321032	7	37747	113340.6274	9475.0747	25	1
5_MACS_peak_8462_lociStitched	chr15	31616454	31660697	5	37378	102157.087	7937.1942	26	1
3_MACS_peak_11427_lociStitched	chr17	62149798	62187405	3	37018	99790.1745	7874.9058	27	1
1_MACS_peak_26312_lociStitched	chr8	120915106	120951105	1	36000	149997.0333	7426.5937	28	1
6_MACS_peak_17901_lociStitched	chr3	46388477	46439610	6	35775	92734.8088	9101.674	29	1
4_MACS_peak_19118_lociStitched	chr3	183220039	183261513	4	35643	148518.394	11554.6564	30	1
4_MACS_peak_20020_lociStitched	chr4	90204439	90253354	4	35241	195787.179	10546.074	31	1
2_MACS_peak_10921_lociStitched	chr17	34508407	34544047	2	34911	216195.804	9886.536	32	1
1_MACS_peak_22315_lociStitched	chr6	7887588	7921791	1	34204	164324.8932	8916.7221	33	1
1_MACS_peak_8327_lociStitched	chr14	106023124	106056535	1	33412	258530.9769	6057.4143	34	1
7_MACS_peak_13132_lociStitched	chr19	42022229	42070730	7	32785	114404.1588	9069.687	35	1
5_MACS_peak_3886_lociStitched	chr10	112146345	112186579	5	32776	86680.1296	6099.4744	36	1
5_MACS_peak_23354_lociStitched	chr6	109186260	109232635	5	32578	132414.5375	8732.4125	37	1
3_MACS_peak_4004_lociStitched	chr10	125821669	125855029	3	32364	123765.6	7115.688	38	1
7_MACS_peak_2127_lociStitched	chr1	192475695	192521245	7	32099	104496.255	10918.335	39	1
4_MACS_peak_25651_lociStitched	chr8	27208517	27253616	4	31471	85909.0851	9073.9188	40	1
4_MACS_peak_8332_lociStitched	chr14	106143777	106175999	4	31218	179785.8712	3792.5294	41	1
3_MACS_peak_24459_lociStitched	chr7	55568606	55606328	3	30992	151238.8146	7008.7476	42	1
3_MACS_peak_14382_lociStitched	chr2	87782386	87821835	3	30619	66372.9425	6619.5422	43	1
2_MACS_peak_8942_lociStitched	chr15	68568475	68599552	2	30402	74631.4155	6756.1398	44	1
9_MACS_peak_28036_lociStitched	chrX	37634647	37685574	9	30285	59548.9411	4140.3651	45	1
3_MACS_peak_19797_lociStitched	chr4	71523614	71555458	3	30163	134480.3964	6798.694	46	1
6_MACS_peak_15246_lociStitched	chr2	197065073	197115396	6	30016	75887.084	8242.9074	47	1
5_MACS_peak_27482_lociStitched	chr9	123630341	123668201	5	29379	95062.674	6614.142	48	1
4_MACS_peak_3906_lociStitched	chr10	112596716	112633415	4	28976	189271.4226	7886.6151	49	1
