REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS12_jia.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
5_MACS_peak_16205_lociStitched	chr6	290051	343722	5	49791	210680.1434	1	1	DUSP22	IRF4	DUSP22	1	1
6_MACS_peak_16384_lociStitched	chr6	26155079	26219793	6	44942	89311.7914	2	1	HIST1H1E,HIST1H2BD,HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H2AE,HIST1H4D,HIST1H3D,HIST1H2AD,HIST1H2BG	HIST1H2AC,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H1T,HIST1H2BC,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H4D	2	1
2_MACS_peak_6134_lociStitched	chr15	20992058	21032591	2	40290	88203.8613	3	1		BCL8,POTEB	BCL8	3	1
2_MACS_peak_6141_lociStitched	chr15	21998749	22039367	2	39403	83965.5296	4	1	CXADRP2		CXADRP2	4	1
5_MACS_peak_5031_lociStitched	chr12	127525586	127572384	5	39347	83291.0804	5	1			LOC440117	5	1
7_MACS_peak_17543_lociStitched	chr7	30323074	30371004	7	38909	59687.229	6	1	ZNRF2,MIR550A1,MIR550B1	DKFZP586I1420	MIR550B1	6	1
4_MACS_peak_1213_lociStitched	chr1	149797844	149836676	4	36308	106112.3232	7	1	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2AA4	7	1
6_MACS_peak_13370_lociStitched	chr22	46422799	46471672	6	35118	130109.7006	8	1	LOC150381,LOC100271722,C22orf26	LOC730668,LOC400931,MIR3619,MIRLET7A3,MIRLET7B,WNT7B	LOC150381	8	1
5_MACS_peak_7673_lociStitched	chr16	81829317	81877546	5	34769	63802.1441	9	1	PLCG2		PLCG2	9	1
3_MACS_peak_16447_lociStitched	chr6	27772786	27808608	3	31937	68369.8692	10	1	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H4J,HIST1H2BN,HIST1H2BL,HIST1H2AJ,HIST1H4K,HIST1H2AK	HIST1H2AL,HIST1H1B,HIST1H3I,HIST1H4L,HIST1H3J	HIST1H4J	10	1
3_MACS_peak_6097_lociStitched	chr14	106024726	106057810	3	31578	142171.8732	11	1		TMEM121	TMEM121	11	1
4_MACS_peak_12992_lociStitched	chr22	23188356	23227438	4	31060	60807.6838	12	1		MIR650,IGLL5	IGLL5	12	1
3_MACS_peak_2190_lociStitched	chr10	22595340	22634258	3	30394	85654.6262	13	1	COMMD3,BMI1	SPAG6	BMI1	13	1
4_MACS_peak_17533_lociStitched	chr7	29694094	29726637	4	29929	68096.2275	14	1	DPY19L2P3,LOC646762,LOC100271874		LOC646762	14	1
6_MACS_peak_20156_lociStitched	chrX	48767921	48816926	6	29424	52298.136	15	1	SLC35A2,PIM2,OTUD5	PQBP1,TIMM17B,KCND1,GRIPAP1	PIM2	15	1
6_MACS_peak_2751_lociStitched	chr10	112599920	112642794	6	28694	72945.8236	16	1	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	16	1
3_MACS_peak_8116_lociStitched	chr17	27037286	27074354	3	27406	68390.46	17	1	RPL23A,SNORD42B,SNORD4A,SNORD42A,SNORD4B,NEK8,TRAF4,PROCA1,RAB34,TLCD1	SUPT6H,SDF2	NEK8	17	1
5_MACS_peak_16425_lociStitched	chr6	27094161	27130324	5	27018	52949.8646	18	1	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H2BK	18	1
1_MACS_peak_1754_lociStitched	chr1	206281577	206308313	1	26737	66559.272	19	1	C1orf186	CTSE	C1orf186	19	1
6_MACS_peak_6506_lociStitched	chr15	63764403	63801155	6	26159	59144.9936	20	1	USP3		USP3	20	1
4_MACS_peak_3799_lociStitched	chr11	111230409	111263879	4	26155	85445.563	21	1	POU2AF1		POU2AF1	21	1
1_MACS_peak_6139_lociStitched	chr15	21924773	21950571	1	25799	106037.5194	22	1	LOC646214		LOC646214	22	1
4_MACS_peak_11380_lociStitched	chr2	112186088	112223603	4	25721	38370.342	23	1	LOC541471		LOC541471	23	1
2_MACS_peak_16969_lociStitched	chr6	106531325	106563072	2	25548	60271.6795	24	1	PRDM1		PRDM1	24	1
6_MACS_peak_17592_lociStitched	chr7	38374046	38408285	6	24751	35098.3989	25	1			TARP	25	1
3_MACS_peak_7406_lociStitched	chr16	34718764	34745413	3	24618	43112.7522	26	1	LOC100130700	LOC146481	LOC100130700	26	1
5_MACS_peak_19783_lociStitched	chr9	134126846	134154226	5	24389	63031.498	27	1	FAM78A	PPAPDC3	FAM78A	27	1
1_MACS_peak_16278_lociStitched	chr6	7896167	7920086	1	23920	64643.4894	28	1	MUTED-TXNDC5,TXNDC5		TXNDC5	28	1
7_MACS_peak_3288_lociStitched	chr11	62306386	62343233	7	23610	46383.0036	29	1	AHNAK,EEF1G,TUT1	ROM1,MTA2,EML3,B3GAT3	AHNAK	29	1
6_MACS_peak_10223_lociStitched	chr19	42027261	42070137	6	23390	33246.0504	30	1		CEACAM21	CEACAM21	30	1
3_MACS_peak_11265_lociStitched	chr2	87795110	87825347	3	22629	44711.4519	31	1	NCRNA00152		NCRNA00152	31	1
9_MACS_peak_19367_lociStitched	chr9	78713297	78751265	9	22358	16694.5296	32	1	PCSK5		PCSK5	32	1
2_MACS_peak_3944_lociStitched	chr11	128584839	128607153	2	22293	56237.9742	33	1	FLI1		FLI1	33	1
5_MACS_peak_18188_lociStitched	chr7	137664523	137688083	5	21995	40165.088	34	1	CREB3L2		CREB3L2	34	1
2_MACS_peak_14947_lociStitched	chr4	90206641	90230099	2	21735	53944.0168	35	1	GPRIN3		GPRIN3	35	1
8_MACS_peak_9645_lociStitched	chr19	10512847	10543714	8	21664	26740.0821	36	1	PDE4A,CDC37,MIR1181	PDE4A,TYK2	PDE4A	36	1
3_MACS_peak_12714_lociStitched	chr21	34586801	34614564	3	21585	59210.1501	37	1	IFNAR2	IL10RB,C21orf54	IFNAR2	37	1
4_MACS_peak_1928_lociStitched	chr1	228643112	228679616	4	21161	55869.372	38	1	HIST3H2BB,RNF187,HIST3H2A	TRIM11,TRIM17,HIST3H3	RNF187	38	1
4_MACS_peak_10979_lociStitched	chr2	54777403	54810184	4	21015	34688.8542	39	1	SPTBN1	RPL23AP32	SPTBN1	39	1
3_MACS_peak_12492_lociStitched	chr20	52194603	52215794	3	21011	96003.7064	40	1	ZNF217		ZNF217	40	1
5_MACS_peak_4942_lociStitched	chr12	122219362	122251590	5	20798	90357.6436	41	1	TMEM120B,SETD1B,RHOF,LOC338799	HPD	RHOF	41	1
19_MACS_peak_9049_lociStitched	chr18	14462436	14498549	19	20513	15943.8895	42	1	CXADRP3	POTEC	CXADRP3	42	1
11_MACS_peak_6101_lociStitched	chr14	106145200	106175817	11	20443	76196.5279	43	1			TMEM121	43	1
1_MACS_peak_1388_lociStitched	chr1	156455742	156476172	1	20431	64953.099	44	1	MEF2D		MEF2D	44	1
5_MACS_peak_2894_lociStitched	chr11	303410	333415	5	20352	28936.822	45	1	IFITM2,IFITM1,IFITM3	NLRP6,ATHL1,B4GALNT4,IFITM5	IFITM3	45	1
3_MACS_peak_18924_lociStitched	chr8	128567718	128594720	3	20296	35413.123	46	1			LOC727677	46	1
8_MACS_peak_16394_lociStitched	chr6	26301687	26343379	8	20246	25949.1008	47	1		HIST1H2BH,HIST1H2BI,BTN3A2,BTN2A2,HIST1H3G,HIST1H4H	HIST1H4H	47	1
3_MACS_peak_14832_lociStitched	chr4	71526054	71554963	3	20038	38087.6075	48	1	UTP3,IGJ	ENAM,RUFY3	IGJ	48	1
1_MACS_peak_2500_lociStitched	chr10	81946404	81966424	1	20021	53679.626	49	1	ANXA11		ANXA11	49	1
5_MACS_peak_12511_lociStitched	chr20	52530702	52559638	5	19915	38178.1584	50	1		SUMO1P1	SUMO1P1	50	1
2_MACS_peak_704_lociStitched	chr1	51425014	51449926	2	19879	29201.8464	51	1	CDKN2C,FAF1		CDKN2C	51	1
