GENE	CHROM	START	STOP	ENHANCER_ID
ARID5A	chr2	97190571	97205447	3_MACS_peak_12508_lociStitched
ATF5	chr19	50378485	50382461	1_MACS_peak_11537_lociStitched
BCL6B	chr17	6915117	6927208	3_MACS_peak_8839_lociStitched
BHLHE22	chr8	65480261	65498233	2_MACS_peak_22413_lociStitched
BHLHE40	chr3	5017727	5031612	2_MACS_peak_15081_lociStitched
BHLHE41	chr12	26265779	26280681	3_MACS_peak_4666_lociStitched
CAMTA1	chr1	6976630	6984790	1_MACS_peak_98_lociStitched
CAMTA2	chr17	4841910	4855178	2_MACS_peak_8814_lociStitched
CEBPB	chr20	48806563	48810702	1_MACS_peak_14046_lociStitched
CREB3L1	chr11	46258935	46266511	2_MACS_peak_3561_lociStitched
CREB3L4	chr1	153928840	153940925	3_MACS_peak_1383_lociStitched
CREB3L4	chr1	153916818	153919981	1_MACS_peak_1382_lociStitched
CTCF	chr16	67594734	67599084	1_MACS_peak_8408_lociStitched
DBP	chr19	49135680	49142240	1_MACS_peak_11479_lociStitched
DDIT3	chr12	57912289	57918148	1_MACS_peak_4974_lociStitched
E2F2	chr1	23848736	23866625	3_MACS_peak_284_lociStitched
E2F4	chr16	67192460	67218878	7_MACS_peak_8391_lociStitched
ETV6	chr12	11800979	11806653	1_MACS_peak_4511_lociStitched
FERD3L	chr7	19135610	19157873	3_MACS_peak_20774_lociStitched
FIZ1	chr19	56145570	56170491	4_MACS_peak_11665_lociStitched
FIZ1	chr19	56110303	56118280	2_MACS_peak_11662_lociStitched
FLI1	chr11	128584454	128605280	6_MACS_peak_4339_lociStitched
FOSL1	chr11	65623837	65630143	1_MACS_peak_3794_lociStitched
FOSL1	chr11	65654967	65670347	4_MACS_peak_3796_lociStitched
FOXH1	chr8	145686379	145705439	3_MACS_peak_23146_lociStitched
FOXH1	chr8	145732222	145736098	1_MACS_peak_23149_lociStitched
FOXH1	chr8	145741981	145755159	3_MACS_peak_23150_lociStitched
FOXO3	chr6	108878214	108887983	1_MACS_peak_20108_lociStitched
FOXP2	chr7	113722095	113728916	1_MACS_peak_21585_lociStitched
GFI1	chr1	92941313	92954485	2_MACS_peak_948_lociStitched
GLI1	chr12	57846441	57856811	1_MACS_peak_4972_lociStitched
GMEB2	chr20	62257151	62260443	1_MACS_peak_14186_lociStitched
GZF1	chr20	23329629	23347691	4_MACS_peak_13744_lociStitched
HINFP	chr11	118963716	118979608	3_MACS_peak_4235_lociStitched
HSF4	chr16	67192460	67218878	7_MACS_peak_8391_lociStitched
IRF2	chr4	185392210	185397319	1_MACS_peak_17591_lociStitched
IRF2	chr4	185267711	185276827	1_MACS_peak_17582_lociStitched
IRF3	chr19	50175223	50184226	3_MACS_peak_11525_lociStitched
IRF4	chr6	388893	401112	1_MACS_peak_19060_lociStitched
IRF5	chr7	128572188	128582428	2_MACS_peak_21678_lociStitched
IRX2	chr5	2694492	2705656	2_MACS_peak_17686_lociStitched
JUNB	chr19	12885748	12918278	7_MACS_peak_10851_lociStitched
JUND	chr19	18389807	18393991	1_MACS_peak_11020_lociStitched
KLF10	chr8	103665326	103675621	2_MACS_peak_22768_lociStitched
KLF13	chr15	31545446	31560852	3_MACS_peak_7063_lociStitched
KLF13	chr15	31615442	31622833	1_MACS_peak_7066_lociStitched
KLF13	chr15	31635553	31660698	4_MACS_peak_7067_lociStitched
KLF16	chr19	1847341	1865493	4_MACS_peak_10570_lociStitched
KLF2	chr19	16434896	16440365	1_MACS_peak_10946_lociStitched
KLF2	chr19	16474754	16485143	1_MACS_peak_10949_lociStitched
KLF6	chr10	3822692	3828736	1_MACS_peak_2330_lociStitched
KLF9	chr9	73024832	73036494	2_MACS_peak_23504_lociStitched
MAF	chr16	79628853	79637468	1_MACS_peak_8556_lociStitched
MAZ	chr16	29815276	29833825	3_MACS_peak_8181_lociStitched
MEF2D	chr1	156457112	156476240	1_MACS_peak_1477_lociStitched
MNX1	chr7	156799821	156810506	2_MACS_peak_21881_lociStitched
MXI1	chr10	111966977	111975938	2_MACS_peak_3085_lociStitched
