#MM8_jia_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM8_jia_ROSE/MM8_jia_peaks_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MM8_jia.bam
#Using cutoff of 2620.8728 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM8_jia.bam	enhancerRank	isSuperStretch
9_MACS_peak_12992_lociStitched	chr6	7895439	7918973	9	22491	30455.3494	1	1
6_MACS_peak_1117_lociStitched	chr1	156457032	156471720	6	14033	13727.4048	2	1
1_MACS_peak_1963_lociStitched	chr1	234738102	234749416	1	11315	17109.0308	3	1
2_MACS_peak_10292_lociStitched	chr22	23228548	23238624	2	10065	14663.6028	4	1
5_MACS_peak_3055_lociStitched	chr11	65184385	65194749	5	9941	10148.4288	5	1
7_MACS_peak_8949_lociStitched	chr2	89157065	89167467	7	9901	9843.4126	6	1
4_MACS_peak_1620_lociStitched	chr1	203289107	203298373	4	9050	10824.5412	7	1
2_MACS_peak_924_lociStitched	chr1	150545396	150553044	2	7380	11393.2256	8	1
1_MACS_peak_1611_lociStitched	chr1	203255003	203261538	1	6536	11819.201	9	1
2_MACS_peak_15018_lociStitched	chr8	126441353	126448673	2	7282	10914.12	10	1
10_MACS_peak_752_lociStitched	chr1	118148098	118157810	10	8395	9012.736	11	1
5_MACS_peak_1615_lociStitched	chr1	203271979	203280550	5	7753	9512.0958	12	1
2_MACS_peak_1385_lociStitched	chr1	178544409	178552251	2	7834	8905.3752	13	1
6_MACS_peak_10296_lociStitched	chr22	23270486	23278790	6	8060	7778.3568	14	1
3_MACS_peak_1087_lociStitched	chr1	155943972	155952150	3	7836	7777.278	15	1
3_MACS_peak_2159_lociStitched	chr10	22604215	22611696	3	7470	7637.3529	16	1
3_MACS_peak_13621_lociStitched	chr6	106533275	106540875	3	7269	6603.64	17	1
3_MACS_peak_1719_lociStitched	chr1	207993654	208000093	3	6319	8197.4909	18	1
2_MACS_peak_1562_lociStitched	chr1	200859497	200866695	2	6951	7134.6576	19	1
1_MACS_peak_922_lociStitched	chr1	150532563	150538008	1	5446	8756.649	20	1
3_MACS_peak_3065_lociStitched	chr11	65264091	65270894	3	6497	7022.0566	21	1
8_MACS_peak_4898_lociStitched	chr14	91836027	91843380	8	7189	5258.1303	22	1
7_MACS_peak_7011_lociStitched	chr17	75135948	75143547	7	6760	5248.6293	23	1
1_MACS_peak_7731_lociStitched	chr19	12899874	12905232	1	5359	7654.4388	24	1
2_MACS_peak_7754_lociStitched	chr19	13261210	13267004	2	5766	6722.1988	25	1
3_MACS_peak_3593_lociStitched	chr12	12867279	12873368	3	5883	6482.3494	26	1
1_MACS_peak_927_lociStitched	chr1	150581515	150587147	1	5633	6842.3168	27	1
1_MACS_peak_1137_lociStitched	chr1	156716265	156722427	1	6163	5535.3246	28	1
4_MACS_peak_15035_lociStitched	chr8	128747002	128753168	4	5448	6722.1732	29	1
2_MACS_peak_7852_lociStitched	chr19	16694222	16700047	2	5763	6016.06	30	1
3_MACS_peak_7390_lociStitched	chr19	1648113	1653641	3	5024	7063.1256	31	1
4_MACS_peak_2591_lociStitched	chr10	112255571	112262151	4	5831	5194.91	32	1
2_MACS_peak_13315_lociStitched	chr6	32935806	32941166	2	5089	6404.664	33	1
6_MACS_peak_3337_lociStitched	chr11	111237258	111243667	6	5807	4765.0915	34	1
2_MACS_peak_7837_lociStitched	chr19	16434952	16439887	2	4843	6411.552	35	1
2_MACS_peak_7328_lociStitched	chr19	659271	663951	2	4648	6532.812	36	1
3_MACS_peak_1885_lociStitched	chr1	228269107	228273500	3	3917	7295.4551	37	1
7_MACS_peak_13764_lociStitched	chr6	133690739	133697434	7	5837	4312.2495	38	1
3_MACS_peak_13036_lociStitched	chr6	12008172	12013456	3	4984	5880.0352	39	1
4_MACS_peak_9045_lociStitched	chr2	111875335	111881502	4	5579	4790.5256	40	1
3_MACS_peak_14970_lociStitched	chr8	124045930	124051754	3	5477	4873.5232	41	1
2_MACS_peak_12922_lociStitched	chr6	295030	300519	2	5437	4915.9484	42	1
5_MACS_peak_5475_lociStitched	chr15	75742644	75748690	5	5585	4575.6128	43	1
2_MACS_peak_10370_lociStitched	chr22	29194224	29198532	2	4307	6611.0568	44	1
1_MACS_peak_15301_lociStitched	chr9	66454661	66459167	1	4507	6270.5496	45	1
6_MACS_peak_1728_lociStitched	chr1	209278892	209285048	6	5202	4913.1036	46	1
2_MACS_peak_9212_lociStitched	chr2	158296130	158301374	2	5155	4993.8612	47	1
2_MACS_peak_5657_lociStitched	chr15	93425037	93429102	2	3918	6551.967	48	1
