REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	NCI.H929.jin.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
11_MACS_peak_1526_lociStitched	chr1	118147892	118218071	11	60280	147214.4883	1	1	FAM46C		FAM46C	1	1
7_MACS_peak_16118_lociStitched	chr2	99054390	99109476	7	50285	156350.5938	2	1	INPP4A		INPP4A	2	1
5_MACS_peak_8471_lociStitched	chr14	91812350	91867243	5	48004	178341.8677	3	1	CCDC88C		CCDC88C	3	1
3_MACS_peak_20537_lociStitched	chr3	141079652	141132523	3	45770	176488.6851	4	1	ZBTB38		ZBTB38	4	1
3_MACS_peak_16052_lociStitched	chr2	89130550	89169835	3	39026	150261.1965	5	1			ANKRD36BP2	5	1
7_MACS_peak_15628_lociStitched	chr2	47713305	47755798	7	34462	107294.825	6	1	KCNK12		KCNK12	6	1
3_MACS_peak_8752_lociStitched	chr14	106023443	106057867	3	34067	235787.188	7	1		TMEM121	TMEM121	7	1
7_MACS_peak_25023_lociStitched	chr6	109186720	109228038	7	33331	90151.7442	8	1	ARMC2		ARMC2	8	1
15_MACS_peak_23235_lociStitched	chr5	131400378	131453639	15	32561	63508.4164	9	1	CSF2	IL3	CSF2	9	1
4_MACS_peak_2064_lociStitched	chr1	162530281	162562951	4	32458	75255.345	10	1	UAP1	DDR2	UAP1	10	1
4_MACS_peak_23981_lociStitched	chr6	7883121	7921645	4	31546	180612.0692	11	1	MUTED-TXNDC5,TXNDC5		TXNDC5	11	1
4_MACS_peak_1690_lociStitched	chr1	149801425	149834915	4	31491	269219.412	12	1	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2AA4	12	1
3_MACS_peak_7108_lociStitched	chr12	123355353	123387329	3	31260	107730.3416	13	1	VPS37B	HIP1R	VPS37B	13	1
5_MACS_peak_8756_lociStitched	chr14	106143853	106176314	5	30033	174623.9495	14	1			TMEM121	14	1
5_MACS_peak_4213_lociStitched	chr10	125821859	125854771	5	29761	77856.6272	15	1	CHST15		CHST15	15	1
4_MACS_peak_21579_lociStitched	chr4	71522861	71557037	4	29703	103413.1584	16	1	UTP3,IGJ	ENAM,RUFY3	IGJ	16	1
3_MACS_peak_29090_lociStitched	chr9	93676146	93708736	3	29313	103016.99	17	1			SYK	17	1
5_MACS_peak_11824_lociStitched	chr17	32688722	32719405	5	28097	72240.0552	18	1	CCL1	CCL8,CCL13	CCL1	18	1
2_MACS_peak_13163_lociStitched	chr18	42286140	42314356	2	28048	103470.8936	19	1	SETBP1		SETBP1	19	1
8_MACS_peak_15505_lociStitched	chr2	38855283	38896112	8	27255	73459.5368	20	1	GALM	HNRPLL	GALM	20	1
8_MACS_peak_28286_lociStitched	chr8	126285140	126322584	8	26176	51990.994	21	1	NSMCE2		TRIB1	21	1
8_MACS_peak_8537_lociStitched	chr14	94420205	94448314	8	25726	71967.4727	22	1	ASB2	FAM181A,C14orf48,OTUB2,C14orf86	ASB2	22	1
4_MACS_peak_18675_lociStitched	chr22	23255937	23287901	4	25714	180475.1368	23	1		IGLL5	IGLL5	23	1
3_MACS_peak_18672_lociStitched	chr22	23223262	23249235	3	24989	140456.7894	24	1	IGLL5		IGLL5	24	1
2_MACS_peak_24970_lociStitched	chr6	106531390	106556688	2	24895	87012.471	25	1	PRDM1		PRDM1	25	1
7_MACS_peak_24180_lociStitched	chr6	26340133	26368177	7	24649	71327.1096	26	1	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	26	1
4_MACS_peak_20330_lociStitched	chr3	124487120	124512803	4	24463	68463.1731	27	1	ITGB5	UMPS	UMPS	27	1
8_MACS_peak_5964_lociStitched	chr12	7045670	7081054	8	23889	64409.4952	28	1	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	28	1
9_MACS_peak_16040_lociStitched	chr2	88899129	88928492	9	23395	36342.5851	29	1	EIF2AK3		EIF2AK3	29	1
5_MACS_peak_18498_lociStitched	chr21	45552325	45580472	5	23258	84967.3489	30	1	C21orf33	PWP2	C21orf33	30	1
5_MACS_peak_2033_lociStitched	chr1	161409491	161442470	5	22880	55408.0179	31	1		FCGR2A	FCGR2A	31	1
7_MACS_peak_1482_lociStitched	chr1	115233002	115260030	7	22712	52812.712	32	1	AMPD1,NRAS,CSDE1	DENND2C	AMPD1	32	1
8_MACS_peak_25133_lociStitched	chr6	119761870	119799087	8	22375	42423.6583	33	1			MAN1A1	33	1
5_MACS_peak_5773_lociStitched	chr11	128585497	128609874	5	22032	59955.2315	34	1	FLI1		FLI1	34	1
1_MACS_peak_15274_lociStitched	chr2	20404120	20426098	1	21979	93472.434	35	1	SDC1		SDC1	35	1
2_MACS_peak_1716_lociStitched	chr1	150531364	150554334	2	21977	114707.586	36	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	36	1
7_MACS_peak_187_lociStitched	chr1	9121702	9148161	7	21846	67335.5091	37	1	SLC2A5	SLC2A7,GPR157	SLC2A5	37	1
2_MACS_peak_1916_lociStitched	chr1	156456769	156479258	2	21810	119933.837	38	1	MEF2D		MEF2D	38	1
3_MACS_peak_11562_lociStitched	chr17	16872897	16895891	3	21671	103670.7484	39	1	TNFRSF13B		TNFRSF13B	39	1
4_MACS_peak_15501_lociStitched	chr2	38818401	38845140	4	21300	76438.7793	40	1	HNRPLL	GALM	HNRPLL	40	1
2_MACS_peak_13967_lociStitched	chr19	13259784	13284799	2	21249	124839.859	41	1	IER2,STX10	NACC1,LYL1,TRMT1	IER2	41	1
8_MACS_peak_29354_lociStitched	chr9	117125602	117152689	8	21213	66376.6935	42	1	AKNA	ORM1,ORM2	AKNA	42	1
2_MACS_peak_18020_lociStitched	chr20	52191530	52214105	2	21187	82401.0075	43	1	ZNF217		ZNF217	43	1
3_MACS_peak_8397_lociStitched	chr14	81930703	81955729	3	21039	72590.4156	44	1	SEL1L		SEL1L	44	1
3_MACS_peak_24604_lociStitched	chr6	45383001	45405912	3	20964	112153.9272	45	1	RUNX2	SUPT3H	RUNX2	45	1
8_MACS_peak_13743_lociStitched	chr19	7400359	7434964	8	20939	53523.5535	46	1		ARHGEF18	ARHGEF18	46	1
3_MACS_peak_4071_lociStitched	chr10	112166733	112188218	3	20905	115808.447	47	1			DUSP5	47	1
2_MACS_peak_16836_lociStitched	chr2	197023240	197044444	2	20882	58378.8528	48	1	STK17B		STK17B	48	1
6_MACS_peak_7787_lociStitched	chr14	23018145	23039978	6	20830	71374.2603	49	1	DAD1	ABHD4	DAD1	49	1
17_MACS_peak_2771_lociStitched	chr1	228745842	228783233	17	20622	21548.4333	50	1	DUSP5P		DUSP5P	50	1
4_MACS_peak_6003_lociStitched	chr12	9873909	9896679	4	20616	32570.208	51	1	CLECL1	CD69	CLECL1	51	1
4_MACS_peak_1838_lociStitched	chr1	154907436	154935437	4	20422	170948.9051	52	1	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	52	1
4_MACS_peak_12532_lociStitched	chr17	72732340	72756900	4	20401	42260.392	53	1	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	MIR3615	53	1
3_MACS_peak_22541_lociStitched	chr5	27450598	27474412	3	20239	48856.8024	54	1			CDH9	54	1
7_MACS_peak_19720_lociStitched	chr3	46129717	46154479	7	19995	42459.4014	55	1			XCR1	55	1
6_MACS_peak_23876_lociStitched	chr6	304025	331343	6	19987	43498.4514	56	1	DUSP22		DUSP22	56	1
7_MACS_peak_22973_lociStitched	chr5	88163495	88186853	7	19959	47505.5004	57	1	MEF2C	MEF2C	MEF2C	57	1
3_MACS_peak_1923_lociStitched	chr1	156626743	156648006	3	19942	123576.3034	58	1	BCAN,NES	HAPLN2,BCAN,CRABP2,ISG20L2	NES	58	1
4_MACS_peak_20126_lociStitched	chr3	98477494	98497960	4	19918	48893.274	59	1	ST3GAL6		ST3GAL6	59	1
3_MACS_peak_3262_lociStitched	chr10	22595451	22615458	3	19815	58868.5968	60	1	COMMD3,BMI1	SPAG6	COMMD3	60	1
5_MACS_peak_5500_lociStitched	chr11	111230489	111251915	5	19610	54012.8034	61	1	POU2AF1		POU2AF1	61	1
3_MACS_peak_18770_lociStitched	chr22	29206004	29226765	3	19531	56968.184	62	1		CCDC117,XBP1	XBP1	62	1
6_MACS_peak_30765_lociStitched	chrX	153188322	153219622	6	19494	87251.88	63	1	ARHGAP4,NAA10,RENBP,HCFC1	AVPR2,TMEM187,MIR3202-1,L1CAM,MIR3202-2	NAA10	63	1
