REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X30_0F2G_0229Kronos_MM1S.KB.24hr.2_H3K27me3_hs.dm_i19.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
16_MACS_peak_2001_lociStitched	chr1	10755008	10852162	16	95082	133392.442	7879.1894	1	CASZ1		CASZ1	CASZ1	1.2389999999999999	1	1
15_MACS_peak_30263_lociStitched	chr4	9211666	9274629	15	62112	208294.1966	19499.6411	2	USP17		USP17	USP17	2.8933	2	1
26_MACS_peak_7220_lociStitched	chr11	1636290	1733629	26	92536	133296.0266	8964.9219	3	KRTAP5-5,FAM99A,KRTAP5-6,MOB2,KRTAP5-4,FAM99B	LOC338651,DUSP8,KRTAP5-1,KRTAP5-2,KRTAP5-3,LOC402778	FAM99A	FAM99A	1.5545	3	1
25_MACS_peak_36230_lociStitched	chr9	135020241	135116610	25	92987	127794.9309	8731.0314	4	NTNG2		NTNG2	NTNG2	1.1749	4	1
15_MACS_peak_37518_lociStitched	chr9	139525808	139614229	15	86552	139669.8116	7816.4164	5	EGFL7,MIR126,FAM69B,AGPAT2	LOC100128593,SNORA43,SNORA17,SNHG7,LCN10,LCN6,LCN8,LCN15	MIR126	LCN6	1.5694000000000001	5	1
13_MACS_peak_24672_lociStitched	chr20	60985038	61072557	13	85098	132652.5483	7132.7985	6	C20orf151,GATA5	RPS21,LAMA5,CABLES2	GATA5	GATA5	1.3783	6	1
12_MACS_peak_7324_lociStitched	chr11	1981997	2064723	12	81286	132634.5958	6783.532	7	LOC100133545,H19,MIR675	TNNT3,MRPL23	H19	H19	1.9032	7	1
2_MACS_peak_18502_lociStitched	chr19	8851044	8900888	2	49608	201559.1672	22414.8468	8		OR2Z1,ACTL9,ZNF558	OR2Z1	ACTL9	0.2889	8	1
14_MACS_peak_25320_lociStitched	chr21	44150158	44231308	14	79274	141274.035	10849.755	9	PDE9A		WDR4	WDR4	NONE	9	1
11_MACS_peak_15208_lociStitched	chr17	47952082	48032268	11	78696	114216.9384	7160.6098	10		DLX4,TAC4,DLX3	DLX4	DLX4	1.4749999999999999	10	1
22_MACS_peak_17662_lociStitched	chr19	3869646	3953377	22	79205	113497.3705	9863.5118	11	ATCAY,ITGB1BP3	ZFR2,MIR637,DAPK3,SNORD37,EEF2	ITGB1BP3	ZFR2	1.5703	11	1
15_MACS_peak_25571_lociStitched	chr21	46404316	46478128	15	71705	121789.8	8953.3956	12	NCRNA00163,NCRNA00162	C21orf70,ADARB1,C21orf67,C21orf122	NCRNA00162	NCRNA00162	1.7804000000000002	12	1
9_MACS_peak_17653_lociStitched	chr19	3798200	3868247	9	69565	121272.3711	8818.9173	13	MATK,ZFR2	MRPL54,ATCAY,APBA3,RAX2,MATK	MATK	ATCAY	1.15	13	1
11_MACS_peak_34500_lociStitched	chr8	142012716	142085000	11	70531	117996.4016	9165.6112	14		PTK2	PTK2	PTK2	0.1092	14	1
10_MACS_peak_21337_lociStitched	chr19	48404603	48468899	10	63161	137477.7072	19603.8504	15	SNAR-A13,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C2,SNAR-C4,SNAR-C3	SNAR-A12,SNAR-C1,ELSPBP1,SULT2A1,BSPH1	SNAR-C2	SNAR-C2	2.1068000000000002	15	1
6_MACS_peak_16822_lociStitched	chr17	79009681	79075349	6	65135	116954.708	6415.7636	16	BAIAP2	CHMP6,MIR3065,FLJ90757,MIR657,MIR338,MIR1250	BAIAP2	BAIAP2	1.5739	16	1
